Project Name,Opportunity ID,Opportunity Name,Creative Format,Hooks,scripts,Ad Copy,Technical Directions,Opportunity Owner,Pipeline,Contact Id
"Wayso Project","V01-WA","[V01-WA] Video - -","Video","-","تحليل السوق، بناء الاستراتيجية، وهندسة رحلة العميل.","-","-","Abdellah Chaaban","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V02-WA","[V02-WA] Video - قاع لي روڤاوك ڨالولك الربح السريع؟ أنا ولد بلادك م","Video","قاع لي روڤاوك ڨالولك الربح السريع؟ أنا ولد بلادك من أدرار، وجيت نقولك على الربح الآمن.","شحال من مرة سمعت بفرصة على الإنترنت... وفي آخر لحظة حبست؟
علاه؟ على خاطر خفت.
خفت تتنصب عليك، خفت يروح تعبك باطل، وخفت الثقة لي بقاتلك تضيع.
هذا الخوف نعرفو مليح... أنا فلان، ولد أدرار، كيما نتوما.
شفت بعيني كيفاش ناس بزاف ضيعت دراهمها في وعود فارغة.
على جال هذا، قررت نخدم على حاجة مختلفة... حاجة مبنية على الثقة قبل الربح.
بنيت برنامج 'مستقبلي'.
ماشي باش نبيعلك الوهم... بصح باش نعطيك طريق واضحة وآمنة تزيد بيها مدخولك وأنت مطمن.
'مستقبلي' هو نظام تسويق بالعمولة، بصح الضمانة تاعو هي أنا، ولد بلادكم.
المكتب تاعنا هنا في أدرار، والباب مفتوح ليكم في أي وقت.
هنا، كل نقطة تجمعها عندها قيمة، وكل تعب عندو مقابل حقيقي.
راك حاب تبدل وضعك الحالي؟ بصح هاد المرة، مع واحد يضمنلك حقك؟
هذا هو الجسر لي راح ينقلك من الخوف... للأمان المالي.
هادي هي فرصتك باش تبني مستقبلك.","تعبت من الوعود وخايف من النصب؟ ارواح تشوف الحل الآمن من قلب أدرار.

نعرفو بلي الثقة هي كلش، خاصة كي يتعلق الأمر بمستقبلك المالي. في هذا الفيديو، فلان، ولد بلادكم من أدرار، يشارككم علاش وكيفاش بنى برنامج 'مستقبلي' باش يكون هو الضمانة تاعكم ضد أي خوف. فرصة حقيقية باش تزيد مدخولك وأنت مرتاح البال.

اضغط هنا باش تبدا رحلتك الآمنة مع 'مستقبلي' وتشوف التفاصيل كاملة!

#أدرار #مستقبلي #دخل_إضافي_آمن #الجزائر #التسويق_بالعمولة #ثقة #أمان #فرص_عمل_الجزائر","[المشهد 1: افتتاح قوي]
- زاوية الكاميرا: Medium close-up. الوجه الإعلامي ينظر مباشرة للكاميرا.
- الإضاءة: إضاءة درامية خفيفة (low-key) لإبراز الجدية والتعاطف مع مشكلة الخوف.
- الأداء: نبرة صوت هادئة، واثقة، وصادقة. وقفات قصيرة بعد جملة 'على خاطر خفت'. يتكلم ببطء لترسيخ كل كلمة.

[المشهد 2: بناء الثقة]
- زاوية الكاميرا: ينتقل التصوير لخلفية مكتب نظيف ومرتب أو مكان معروف في أدرار. زاوية واسعة قليلاً لإظهار البيئة.
- الإضاءة: تصبح الإضاءة أكثر دفئاً وإشراقاً (high-key) لتعكس الأمل والثقة.
- الأداء: نبرة الصوت تصبح أكثر حيوية وتفاؤلاً. ابتسامة خفيفة عند ذكر 'أنا ولد أدرار'. يستخدم لغة الجسد المفتوحة (حركة اليدين).
- B-Roll: لقطات سريعة للمكتب، لافتة 'مستقبلي'، لقطة سريعة وهو يتحدث مع أحد العملاء.

[المشهد 3: تقديم الحل]
- زاوية الكاميرا: Close-up على الوجه الإعلامي وهو يشرح الحل.
- الإضاءة: ساطعة وواضحة.
- الأداء: نبرة عملية ومبسطة. يشرح المفهوم كأنه يتحدث مع صديق.
- B-Roll: ظهور موشن جرافيك بسيط يشرح 'نظام النقاط' بجانب الوجه الإعلامي.

[المشهد 4: الدعوة للعمل]
- زاوية الكاميرا: يعود لـ Medium close-up، ينظر مباشرة للعين.
- الإضاءة: تبقى ساطعة ودافئة.
- الأداء: نبرة حماسية ومباشرة. نظرة عين ثابتة ومقنعة. ينهي بابتسامة واثقة.","Islem Ben","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C03-WA","[C03-WA] Carousel - تحسب التسويق بالعمولة غير للـ 'Geeks'؟ ارواح نبسطه","Carousel","تحسب التسويق بالعمولة غير للـ 'Geeks'؟ ارواح نبسطهالك في 5 سوايبات وتولي فاهم كلش.","Slide 1: سمعت بالتسويق بالعمولة وحسيتو معقد؟
خلّي نبسطوهلك في أقل من دقيقة!
(اسحب لليمين)
Slide 2: واش هو التسويق بالعمولة؟
ببساطة: أنت تروّج لمنتجات أو خدمات... وكل واحد يشري عن طريقك، أنت تدي عمولة (دراهم). ساهلة!
Slide 3: كيفاش تربح مع 'مستقبلي'؟
1. سجّل في برنامجنا.
2. شارك رابط المنتجات مع معارفك.
3. اربح نقاط على كل عملية شراء.
4. حوّل نقاطك لدراهم حقيقية!
Slide 4: الأمان هو أولويتنا القصوى!
مع 'مستقبلي'، كلش شفاف. تقدر تتبع نقاطك وأرباحك لحظة بلحظة، وفريقنا في أدرار ديما هنا باش يجاوبك.
Slide 5: مستعد تبدا؟
زيادة مدخولك تبدا بخطوة. انضم لينا اليوم وابني مستقبلك الآمن.","التسويق بالعمولة... ساهل ماهل كيما ما تخيلتوش!

خممت كيفاش الناس تربح من الانترنت؟ واحد من أسهل الطرق هو التسويق بالعمولة. في هذا الكاروسال، بسطنالك الفكرة كامل في 5 خطوات بسيطة. اكتشف كيفاش تقدر تبدا تزيد مدخولك مع برنامج 'مستقبلي' بكل سهولة وأمان.

اسحب باش تفهم أكثر وتبدا تربح!

#تسويق_بالعمولة #شرح_مبسط #اربح_من_الانترنت #مستقبلي #الجزائر #أدرار #تعليم_مالي","- الخلفية: تصميم جرافيكي نظيف ومشرق باستخدام ألوان علامة 'مستقبلي' التجارية.
- Slide 1: عنوان كبير وجذاب مع أيقونة 'علامة استفهام' و 'سهم للسحب'.
- Slide 2: رسم توضيحي بسيط: (شخص) -> (مشاركة رابط) -> (شخص آخر يشتري) -> (علامة الدولار).
- Slide 3: استخدام أيقونات مرقمة (1, 2, 3, 4) لكل خطوة لتسهيل القراءة.
- Slide 4: استخدام أيقونة 'درع' أو 'قفل' لترسيخ فكرة الأمان. الخط يكون عريض وواضح.
- Slide 5: صورة محفزة لشخص مبتسم، مع زر CTA وهمي بارز في التصميم.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P04-WA","[P04-WA] Image - الروڤاج خلاك تخاف من ظلك؟ 'مستقبلي' هو الضمانة ماش","Image","الروڤاج خلاك تخاف من ظلك؟ 'مستقبلي' هو الضمانة ماشي الوعود.","قبل ما تحوس على الربح، حوس على الأمان.
'مستقبلي': الأمان أولاً.","في عالم الانترنت، الأمان ماشي خيار... هو الأساس.

كامل نحوسو على دخل إضافي، بصح الخوف من النصب يخلينا نترددو. (Qualify/Understand)
في 'مستقبلي'، فهمنا هذا الخوف وبنينا نظامنا على أساس واحد: الأمان أولاً. (Educate)
نظامنا شفاف، فريقنا حقيقي وموجود في أدرار، وأرباحك مضمونة. (Stimulate)
مستعد تبدا في بيئة آمنة 100%؟ (Transition)

شوف برنامج 'مستقبلي' اللي يضمنلك الأمان والربح. الرابط في البايو!

#الأمان_أولا #لا_للنصب #الثقة #مستقبلي #أدرار #الجزائر #استثمار_آمن","- التصميم: صورة ذات جودة عالية. في الوسط، أيقونة كبيرة تمزج بين 'درع' و 'ورقة نقدية'.
- النص: مكتوب بخط عريض، قوي وواضح (Sans-serif) فوق الأيقونة.
- الألوان: استخدام اللونين الأزرق (للثقة) والأخضر (للمال) بشكل متناغم.
- الشعار: شعار 'مستقبلي' يوضع في زاوية بشكل أنيق.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V05-WA","[V05-WA] Video - حاب تشوف الصح وماشي الهدرة؟ شوف بعينك واش يصرا كي ","Video","حاب تشوف الصح وماشي الهدرة؟ شوف بعينك واش يصرا كي يجونا ناس كيما نتا لمكتبنا في أدرار.","(صوت خلفي هادئ وموسيقى حماسية خفيفة)
(لقطات متنوعة لأشخاص يدخلون المكتب، يصافحون الموظفين، يجلسون ويتحدثون، يضحكون، وينظرون إلى شاشة كمبيوتر معاً)

(صوت شخص 1 - عميل): صراحة، في الأول كنت متردد... قلت بالاك كيما قاع لي نسمع بيهم.

(لقطة للعميل وهو يتحدث بجدية مع موظف يشرح له على الكمبيوتر)

(صوت شخص 1 - يكمل): بصح كي جيت للمكتب هنا في أدرار، وشفت الناس بعيني، وشفت كلش قدامي... تبدلت الفكرة كامل.

(لقطة للعميل وهو يبتسم ويصافح الموظف بحرارة)

(صوت شخص 2 - عميلة): الأمان... هذا واش كنت نحوس. كي تلقى ناس تستقبلك وتجاوبك على كل سؤال... هنا تعرف بلي راك في المكان الصح.

(نص يظهر على الشاشة: الثقة تبنى بالأفعال، ماشي بالأقوال. 'مستقبلي' - منكم وإليكم في أدرار.)","ماشي مجرد برنامج أونلاين... حنا عائلة حقيقية في قلب أدرار!

يقولك 'لي فاتك بليلة فاتك بحيلة'، بصح حنا نقولولك 'لي تشوفو بعينك خير ملي تسمعو'. شوف بنفسك الأجواء في مكتبنا والتفاعل الحقيقي مع أعضاء مجتمع 'مستقبلي'. هنا، الثقة هي لغة الحوار.

زورنا في المكتب وشوف بعينيك، ولا تواصل معنا مباشرة! الأرقام والتفاصيل في البايو.

#دليل_ملموس #مجتمع_مستقبلي #أدرار #ثقة_وأمان #جزائر #مكتبنا_مفتوح","- الأسلوب: UGC (محتوى من صنع المستخدم) أو نمط وثائقي. الفيديو يجب أن يبدو حقيقياً وغير مصطنع.
- الكاميرا: كاميرا محمولة باليد (Handheld) لإعطاء شعور بالواقعية. لقطات قريبة (Close-ups) على تعابير وجوه الناس المبتسمة والمهتمة.
- الصوت: التقاط الصوت الطبيعي للمكان (أصوات حديث خافتة، نقرات كيبورد) مع إضافة موسيقى تصويرية ملهمة بصوت منخفض.
- المونتاج: قصات سريعة وحيوية بين مختلف التفاعلات. التركيز على اللحظات الصادقة (ضحكة، نظرة فهم، مصافحة).
- الهدف: ليس بيع المنتج، بل بيع 'الثقة' و 'المجتمع' و 'الوجود الفعلي'.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C06-WA","[C06-WA] Carousel - ناس من أدرار... كانوا كيما نتا... وشوف وين راهم ال","Carousel","ناس من أدرار... كانوا كيما نتا... وشوف وين راهم اليوم. قصصهم راح تبدلك نظرتك.","Slide 1: شهادات حقيقية من قلب أدرار.
ناس كيما نتا... لقاو الأمان المالي مع 'مستقبلي'.
(اسحب وشوف قصصهم)
Slide 2: قبل 'مستقبلي':
محمد، 34 سنة: ""كنت ديما متخوف من أي حاجة في الانترنت. نسمع غير بالنصب ونخاف على دراهمي. المدخول كان على قد الحال والقلق كبير.""
Slide 3: بعد 'مستقبلي':
محمد، اليوم: ""الحمد لله، كي عرفت بلي عندهم مكتب في أدرار تشجعت. الآن عندي دخل إضافي ثابت وأنا مطمن 100%. الثقة لي لقيتها هنا ما تتقدرش بثمن.""
Slide 4: أنت تاني تقدر تكون قصة النجاح الجاية!
عائلة 'مستقبلي' تكبر كل يوم. انضم لينا وابدا تبني مستقبلك الآمن.","من الشك... إلى اليقين والدخل الإضافي! قصص حقيقية من أدرار.

النجاح ماشي مجرد أرقام، هو قصص ناس حقيقيين. في هذا الكاروسال، نشاركوكم شهادة محمد، واحد من أعضاء عائلتنا في أدرار، وكيفاش انتقل من الخوف والشك إلى الأمان والثقة مع 'مستقبلي'. قصتو ممكن تكون قصتك.

اسحب وشوف قصص النجاح، انضم ليهم دروك!

#قصص_نجاح #شهادات_حية #أدرار_تنجح #مستقبلي #إثبات_اجتماعي #الجزائر #تحفيز","- الخلفية: تصميم أنيق وبسيط يركز على المحتوى.
- Slide 1: عنوان جذاب مع صورة جماعية لأعضاء مبتسمين (إن وجدت) أو أيقونة شهادة.
- Slide 2: استخدام صورة حقيقية للشخص (محمد) بتعبير وجه عادي أو قلق. النص يكون بجانب الصورة. استخدام ألوان باهتة أو فلتر رمادي خفيف.
- Slide 3: نفس الشخص (محمد) بصورة أخرى وهو مبتسم وواثق. استخدام ألوان زاهية ومشرقة. النص يبرز الكلمات الإيجابية مثل 'الحمد لله'، 'مطمن'، 'ثقة'.
- Slide 4: دعوة للعمل واضحة مع زر CTA وهمي كبير وشعار 'مستقبلي'.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P07-WA","[P07-WA] Image - ماشي هدرة تاع 'أربح الملايين'. نظام نقاط واضح، شفا","Image","ماشي هدرة تاع 'أربح الملايين'. نظام نقاط واضح، شفاف، ويتحول لدراهم صح في جيبك. هكذا نخدمو.","مع 'مستقبلي':
✅ نظام نقاط شفاف.
✅ مكافآت حقيقية.
✅ أمان مضمون.","الوضوح هو مفتاح الثقة. اكتشف نظام 'مستقبلي'!

تعبت من البرامج المعقدة والوعود الغامضة؟ (Attention)
نقدم لك نظام 'مستقبلي': بسيط، مباشر، وشفاف. كل مجهود تبذله يتحول إلى نقاط ذات قيمة حقيقية يمكنك تتبعها بسهولة. (Interest)
تخيل أن يكون عندك مصدر دخل إضافي يمكنك الاعتماد عليه وأنت مرتاح البال. (Desire)
هذا هو وعدنا لك.

اكتشف كيفاش 'مستقبلي' يسهل عليك الربح. اضغط على الرابط!

#شفافية #وضوح #مكافآت #نظام_النقاط #مستقبلي #أدرار #الجزائر","- التصميم: إنفوجرافيك بسيط وجذاب.
- الأيقونات: استخدام أيقونة 'عين' أو 'مكبّرة' بجانب 'نظام شفاف'. أيقونة 'كيس نقود' أو 'هدية' بجانب 'مكافآت حقيقية'. أيقونة 'درع' بجانب 'أمان مضمون'.
- الخطوط: خط واضح وسهل القراءة. التركيز على الكلمات الأساسية (شفاف، حقيقية، مضمون) بتغيير اللون أو حجم الخط.
- الشعار: شعار 'مستقبلي' في الأسفل.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V08-WA","[V08-WA] Video - عندك 3 دقائق؟ نوريلك كيفاش تفتح حسابك وتدي أول نقا","Video","عندك 3 دقائق؟ نوريلك كيفاش تفتح حسابك وتدي أول نقاط ليك في 'مستقبلي' بلا ما تكسر راسك.","(صوت معلق حيوي وودود)
هاي ليكم! في أقل من 3 دقائق، راح نوريلكم كيفاش تبداو رحلتكم مع 'مستقبلي'.
الخطوة الأولى: اضغط على رابط التسجيل في البايو.
(تظهر شاشة هاتف تقوم بالضغط على الرابط)
الخطوة الثانية: عمّر معلوماتك الأساسية. الاسم، اللقب، والإيميل. ساهلة!
(تظهر شاشة الهاتف والكتابة تتم بسرعة)
الخطوة الثالثة: وافق على الشروط وفعل حسابك.
(تظهر شاشة الهاتف ويتم الضغط على زر التفعيل)
ومبروووك عليك! حسابك جاهز وأول نقاطك الترحيبية راهي في رصيدك!
(تظهر شاشة الحساب وفيها نقاط ترحيبية مع مؤثرات صوتية احتفالية)
شفتو شحال ساهلة؟ ابدا دروك!","ابدأ رحلتك نحو دخل إضافي آمن... في 3 خطوات و 3 دقائق فقط!

ديما تحس بلي التسجيل في البرامج الرقمية صعيب وياخذ وقت؟ مع 'مستقبلي'، الأمر مختلف تماماً. حضرنالك هذا الفيديو القصير باش نورولك كيفاش تقدر تسجل وتحصل على أول نقاطك بكل سهولة وسرعة. مستقبلك على بعد خطوات بسيطة!

ابدأ التسجيل دروك! الرابط راهو هنا باش تبدا رحلتك مع 'مستقبلي'.

#شرح_تطبيقي #موشن_جرافيك #سهل_وسريع #مستقبلي #أدرار #الجزائر #خطوة_بخطوة","- الأسلوب: موشن جرافيكس سريع وممتع.
- الرسوميات: استخدام أيقونات ورسوم متحركة بألوان 'مستقبلي' الزاهية.
- الحركة: انتقالات سريعة وسلسة بين الخطوات. تكبير (Zoom in) على الأزرار المهمة التي يجب الضغط عليها.
- الصوت: تعليق صوتي واضح وحماسي، مع موسيقى خلفية إيجابية ومؤثرات صوتية (نقرات، صوت احتفال 'Tada') لتعزيز التجربة.
- الهدف: كسر حاجز 'التعقيد التقني' وإظهار أن العملية بسيطة جداً.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C09-WA","[C09-WA] Carousel - 'بصح... حلال؟ لازم خبرة؟ كيفاش نجبد دراهمي؟' كل سؤ","Carousel","'بصح... حلال؟ لازم خبرة؟ كيفاش نجبد دراهمي؟' كل سؤال مقلقك، الجواب تاعو راه هنا.","Slide 1: عندك أسئلة على 'مستقبلي'؟
حنا عندنا الأجوبة الواضحة لي تريحلك بالك.
(اسحب لليمين)
Slide 2: س: هل برنامج 'مستقبلي' حلال؟
ج: نعم 100%. عملنا هو تسويق لمنتجات وخدمات حقيقية مقابل عمولة واضحة ومتفق عليها. لا يوجد أي شبهة ربا أو غرر.
Slide 3: س: هل لازم تكون عندي خبرة في التسويق؟
ج: إطلاقاً. البرنامج مصمم للمبتدئين. نوفر لك كل الدعم والتوجيه اللي تحتاجه باش تنجح.
Slide 4: س: كيفاش نقدر نسحب أرباحي؟
ج: بكل سهولة. يمكنك سحب أرباحك مباشرة عن طريق CCP أو BaridiMob، أو تزورنا في المكتب وتستلمها يداً بيد.
Slide 5: س: ما هو ضمان عدم الاحتيال؟
ج: ضماننا هو وجودنا الفعلي في أدرار، وشفافية نظامنا، وشخصية المؤسس المعروفة محلياً. نحن هنا لنبقى ونبني الثقة معكم.","كل الأسئلة اللي راهي تدور في بالك... جاوبنا عليها بصراحة تامة.

من حقك تسأل، ومن واجبنا نجاوبو بوضوح. جمعنا لكم أكثر الأسئلة شيوعاً حول برنامج 'مستقبلي' وقدمنا إجابات مباشرة وشفافة. هدفنا هو راحتك وثقتك قبل كل شيء.

اسحب باش تشوف الإجابات وتطّمن أكثر!

#أسئلة_شائعة #جاوبناكم #شفافية_مطلقة #مستقبلي #أدرار #الجزائر #حلال #بدون_خبرة","- التصميم: على شكل بطاقات أسئلة وأجوبة (Q&A Flashcards).
- Slide 1: أيقونة كبيرة لعلامة استفهام مع العنوان.
- Slides 2-5: كل سلايد مقسوم لجزأين. الجزء العلوي بخلفية داكنة مكتوب فيه السؤال بحرف 'س'، والجزء السفلي بخلفية فاتحة مكتوب فيه الجواب بحرف 'ج'.
- الأيقونات: استخدام أيقونة 'هلال' أو 'ميزان' لسؤال الحلال. أيقونة 'قبعة تخرج' لسؤال الخبرة. أيقونة 'سحب نقود' للسؤال المالي. أيقونة 'مصافحة' أو 'مبنى' لسؤال الضمان.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P10-WA","[P10-WA] Image - كل يوم تأجيل هو فرصة ضايعة. الخطوة اللي قادر تبدل ","Image","كل يوم تأجيل هو فرصة ضايعة. الخطوة اللي قادر تبدل مستقبلك راهي قدامك دروك.","مستقبلك يبدأ بنقرة واحدة.
ابدأ اليوم، وليس غداً.","الفرصة الذهبية اللي كنت تحوس عليها راهي هنا! ما تخليهاش تفوتك.

أفضل وقت لتبدأ في بناء مستقبلك كان البارح. ثاني أفضل وقت هو الآن! لا تضيع المزيد من الوقت في التردد. برنامج 'مستقبلي' يمنحك الفرصة الآمنة والمضمونة لزيادة دخلك. الخطوة الأولى هي الأصعب، والباقي أسهل.

مستقبلك يبدا اليوم! اضغط على الرابط في البايو وسجل دروك!

#ابدأ_الآن #لا_تؤجل #فرصة_العمر #تحفيز #مستقبلي #أدرار #الجزائر #استقلال_مالي","- التصميم: صورة قوية ومحفزة. يمكن أن تكون صورة طريق مفتوح نحو الأفق عند شروق الشمس، أو صورة يد على وشك الضغط على زر 'ابدأ'.
- النص: مكتوب بخط كبير وواضح في منتصف الصورة. كلمة 'اليوم' تكون بلون مختلف أو بحجم أكبر للتأكيد عليها.
- الألوان: ألوان دافئة ومحفزة مثل البرتقالي والأصفر لتعكس معنى الفرصة والبداية الجديدة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
