Project Name,Opportunity ID,Opportunity Name,Creative Format,Hooks,scripts,Ad Copy,Technical Directions,Opportunity Owner,Pipeline,Contact Id
"Wayso Project","V01-WA","[V01-WA] Video - -","Video","-","تحليل السوق، بناء الاستراتيجية، وهندسة رحلة العميل.","-","-","Abdellah Chaaban","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V02-WA","[V02-WA] Video - شحال من مرة خممت في مستقبلك... و لقيت روحك في حيط ","Video","شحال من مرة خممت في مستقبلك... و لقيت روحك في حيط مسدود؟","راك تشوف في صحابك ينجحو... وأنت مازالك حاير في بلاصتك.
تحس بالضغط تاع الدار... تاع المجتمع... كل يوم نفس السؤال: ""واش راك دير في حياتك؟"".
القلق هذا راهو ياكل فيك... ويخليك تحس بلي ضيعت الطريق.
بصح اسمحلي نقولك... المشكل ماشي فيك.
المشكل في غياب الخطة... في غياب التوجيه الصحيح.
وهنا تجي ""العماد"".
حنا ماشي مجرد مؤسسة... حنا المرشد لي كان خاصك.
نظام متكامل يبدا من عقلك... ويوصلك لهدفك.
مع ""العماد""، راح تتحصل على شهادة معتمدة تفتحلك البيبان المسدودة.
راح تستعمل تطبيق تخطيط ذكي، يوريلك كل خطوة في طريقك.
والأهم، راح تكون عندك مرافقة شخصية من أساتذة خبراء يفهموك ويوجهوك.
تخايل روحك... من إنسان ضايع... لإنسان عندو خطة واضحة... ومرتاح البال.
تخايل الفرحة في عينين والديك كي يشوفوك ناجح.
هذا هو التحول لي نضمنوهولك في ""العماد"".
العماد: شهادة، خطة، وراحة البال... في بلاصة وحدة.
مستقبلك يبدا اليوم.","ضايع بين أحلامك وضغط الواقع؟ الفيديو هذا ليك. 

 كل يوم تعاود نفس الحكاية: قلق على المستقبل، ضغط من كل جهة، وتحس روحك وحدك في مواجهة كلش.

بصح واش لوكان نقولك بلي كاين نظام جزائري متكامل، مصمم خصيصا باش يخرجك من هذا الضياع؟

شاهد كيف ""العماد"" يقدملك الحل الشامل: شهادة معتمدة تفرض قيمتك في سوق الشغل، تطبيق تخطيط يوريك الطريق خطوة بخطوة، ومرافقة خبراء ما يخليوكش وحدك.

العماد: ماشي مجرد تكوين، هو بداية حياة جديدة. 

 اكتشف كيف تبني مستقبلك بثقة. تفضل بزيارة موقعنا الآن! 

 #العماد #التخطيط_الشخصي #الأمن_الفكري #مستقبل_الشباب #شهادة_معتمدة #الجزائر #تطوير_الذات #نجاح_مهني","[المشهد الافتتاحي - PAS Problem]: لقطات مقربة (Close-up) على وجه شاب/شابة يبدو عليه القلق والتفكير العميق، في غرفة شبه مظلمة. إضاءة خافتة. صوت خافت لضوضاء خارجية (حركة مرور، أصوات بعيدة). نبرة الصوت في التعليق تكون هادئة ومتعاطفة.
[مشهد 2 - PAS Agitate]: لقطات سريعة (Quick cuts) تظهر الضغط: والدين بنظرة قلقة، إشعارات طلبات عمل مرفوضة على الهاتف، مقارنة مع صور نجاح الأصدقاء على وسائل التواصل. الموسيقى تصبح أكثر توتراً. نبرة الصوت تصف الألم بدقة.
[مشهد 3 - StoryBrand Guide]: انتقال مفاجئ إلى مشهد مضاء ومشرق. يظهر شعار ""العماد"" بوضوح. لقطة لأستاذ مبتسم وواثق. الموسيقى تتغير إلى لحن ملهم ومفعم بالأمل. نبرة الصوت تصبح واثقة (Authoritative) ومطمئنة.
[مشهد 4 - BAB Bridge]: لقطات Motion Graphics ديناميكية تعرض أيقونات تمثل: (شهادة معتمدة، تطبيق على الهاتف، أيقونة أستاذ). ثم لقطات حقيقية: طالب يتسلم شهادة، يد تستخدم التطبيق بسلاسة، جلسة توجيه فردية بين أستاذ وطالب في بيئة أكاديمية حديثة.
[مشهد 5 - BAB After]: لقطات تصور ""ما بعد التحول"": نفس الشاب/الشابة في المشهد الأول، لكن الآن في بيئة عمل احترافية، مبتسم وواثق. لقطة أخرى له مع عائلته وهم فخورون به. إضاءة دافئة ومشرقة. الموسيقى تصل إلى ذروتها الإلهامية.
[المشهد الختامي]: يظهر شعار ""العماد"" مع الشعار المكتوب: ""شهادة، خطة، وراحة البال في بلاصة وحدة"". معلومات الموقع تظهر بوضوح. نبرة الصوت قوية ومباشرة في الدعوة للعمل.","Islem Ben","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C03-WA","[C03-WA] Carousel - الأمن الفكري: ماشي مجرد كلمة... هادا هو سلاحك السر","Carousel","الأمن الفكري: ماشي مجرد كلمة... هادا هو سلاحك السري لمستقبل مضمون!","Slide 1: الأمن الفكري: واش هو؟ وعلاش هو سلاحك السري لمستقبل ناجح؟
Slide 2: ببساطة، الأمن الفكري هو القدرة على التفكير بوضوح، واتخاذ قرارات صحيحة بلا تأثير الأفكار السلبية أو ضغط المجتمع.
Slide 3: كي يغيب الأمن الفكري، تبدا المشاكل: قرارات غالطة، تبعية للغير، خوف من التجربة، وفي الأخير... ضياع وضبابية في المستقبل.
Slide 4: كي يكون عندك أمن فكري، كل شي يولي ساهل: تخطط بثقة، تعرف واش من طريق تختار، وتكون عندك رؤية واضحة لوين راك حاب توصل.
Slide 5: نصيحة عملية: كل يوم، أكتب 3 حوايج قدرت تحققهم، مهما كانو صغار. هذا يعزز ثقتك في قدراتك وقراراتك.
Slide 6: في ""العماد""، أول حاجة نخدمو عليها معاك هي بناء أمنك الفكري. لأننا نآمنو بلي العقل السليم هو أساس كل نجاح.
Slide 7: حاب تعرف كثر؟ خلي ""العماد"" يكون مرشدك. زور موقعنا واكتشف برنامجنا المتكامل.","عقلك هو أقوى سلاح عندك... بصح هل راك تستعملو صح؟ 

 نسمعو بزاف بمصطلح ""الأمن الفكري""، بصح قليل لي يعرف قيمتو الحقيقية وتأثيرو على مستقبلنا.

في هذا الكاروسال، شرحنالك علاش بناء أمنك الفكري هو الخطوة الأولى والأساسية باش تتخلص من الضياع وتبني مستقبل واضح.

اسحب لليسار واكتشف كيفاش فكرة بسيطة تقدر تبدل حياتك. 

 اقرأ الكاروسال تاعنا باش تفهم أكثر وتعرف كيفاش ""العماد"" يقدر يعاونك! 

 #الأمن_الفكري #تطوير_الذات #صناعة_القرار #العماد #الثقة_بالنفس #الجزائر #تحفيز #تخطيط_استراتيجي","تصميم الكاروسال يجب أن يكون نظيفاً واحترافياً.
Slide 1: خلفية بلون أزرق داكن (يعكس الثقة) مع عنوان بخط أبيض أو أصفر فاتح (ملهم) وبارز.
Slide 2-5: خلفية بيضاء أو رمادية فاتحة. استخدام أيقونات بسيطة لكل فكرة (مثلاً: أيقونة دماغ لـ'الأمن الفكري'، أيقونة طريق متفرع لـ'القرارات الخاطئة').
Slide 6: صورة رمزية لأستاذ يوجه طالباً، مع دمج شعار ""العماد"" بشكل أنيق.
Slide 7: خلفية بلون أزرق داكن مجدداً مع دعوة للعمل واضحة ورابط الموقع. استخدام نفس الخطوط والألوان في كل الصفحات للحفاظ على الهوية البصرية.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P04-WA","[P04-WA] Image - الورقة لي تحكم في مستقبلك... لازم تكون صحيحة!","Image","الورقة لي تحكم في مستقبلك... لازم تكون صحيحة!","شهادة معتمدة.
مستقبل مضمون.","ماشي مجرد ورقة... شهادتك هي مفتاحك لسوق الشغل. 

 في عالم فيه المنافسة قوية، الاعتراف الرسمي هو لي يدير الفرق.

شهادة ""العماد"" المعتمدة ماشي مجرد إثبات على أنك كملت تكوين، بل هي دليل على أنك اكتسبت مهارات حقيقية وخطة عمل واضحة، تحت إشراف خبراء.

استثمر في المصداقية. استثمر في مستقبلك. 

 العماد: شهادة تفتح لك أبواب المستقبل. زور موقعنا وتعرف على برامجنا المعتمدة. 

 #شهادة_معتمدة #العماد #النجاح_المهني #سوق_الشغل_الجزائري #مصداقية #الجزائر #تكوين_احترافي","صورة عالية الجودة تظهر شهادة احترافية تحمل شعار ""العماد"" واسم طالب وهمي. يمكن وضع الشهادة على مكتب أنيق بجانب قلم وحاسوب محمول. النص يكون مكتوباً على الصورة بخط رسمي وأنيق (Serif Font) للتأكيد على الجانب الأكاديمي. الألوان تعكس الثقة: الأزرق، الرمادي، مع لمسة من الذهبي أو الفضي.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V05-WA","[V05-WA] Video - تعبت من كلمة ""مكانش خدمة""؟ ولا الروتين القاتل لي ي","Video","تعبت من كلمة ""مكانش خدمة""؟ ولا الروتين القاتل لي يسرقلك في شبابك؟","(الأستاذ يتكلم مباشرة للكاميرا)
السلام عليكم،
كل يوم نسمع شباب يقولو ""تعبنا من البطالة""، ""راني حاصل في روتين واحد""...
وهذا الإحساس بالعجز، للأسف، يقدر يدي لطرق أخرى... طرق لي تزيد تضيّع المستقبل ماشي تبنيه.
بصح هل سألت روحك... وعلاش راك تحس هكذا؟
(يتوقف للحظة، بنظرة تفهم)
لأن الرؤية غايبة. الخطة مكانش.
كي تكون ماعلابالكش وين راك رايح، أي طريق تبانلك غالطة.
حنا في ""العماد"" فهمنا هذا المشكل من جذورو.
الخدمة تاعنا ماشي نعطوك حل مؤقت... خدمتنا نبنيو معاك رؤية واضحة.
نورولك كيفاش تكتشف نقاط قوتك، كيفاش تحط أهداف قابلة للتحقيق، وكيفاش تمشي ليها بخطوات ثابتة.
كي تكون عندك خطة... كلمة ""مكانش خدمة"" تولي ""أنا نصنع فرصتي"".
والروتين يولي عبارة عن خطوات مدروسة توصلك لهدفك.","إذا كنت تحارب البطالة أو الروتين... هذا الفيديو من أستاذنا موجه ليك. 

 الإحساس بالضياع والبطالة ماشي قدر محتوم. هو نتيجة مباشرة لغياب الرؤية والخطة.

في هذا الفيديو، يشرح الأستاذ الخبير في فريق ""العماد"" كيفاش تقدر تحول هذا الإحساس من عجز إلى قوة، وكيفاش تبني طريقك الخاص نحو النجاح المهني والشخصي.

نصيحة من خبير تقدر تبدلك نظرتك للأمور. 

 اكتشف مع الأستاذ كيفاش ""العماد"" يقدر يوريك طريق النجاح. شاهد الفيديو الآن! 

 #بطالة_الشباب #التوجيه_المهني #العماد #تنمية_بشرية #الجزائر #تحفيز_الشباب #صناعة_الفرص","[المشهد]: الأستاذ (وجه إعلامي) في مكتبة أو استوديو ذو ديكور أكاديمي (كتب، سبورة بيضاء). إضاءة جيدة وناعمة. يتكلم بنبرة خبير ومتعاطف في نفس الوقت.
[B-Roll]: أثناء حديثه، تظهر لقطات B-roll تدعم كلامه:
- عند ذكر ""البطالة"": لقطة لشاب يتصفح إعلانات عمل بقلق.
- عند ذكر ""الروتين"": لقطة لنفس الشاب يقوم بنفس الفعل مراراً وتكراراً (مثلاً: يشرب قهوة بنفس الطريقة كل يوم).
- عند ذكر ""الرؤية الواضحة"": لقطة لنفس الشاب وهو يرسم خريطة ذهنية أو يكتب أهدافه بحماس.
- عند ذكر ""نصنع فرصتي"": لقطة للشاب وهو في مقابلة عمل أو يبدأ مشروعه الخاص بثقة.
[الكاميرا]: زاوية تصوير متوسطة (Medium shot) للأستاذ، مع تقريب (Zoom in) بطيء في اللحظات المهمة للتأكيد على الرسالة. الصوت يجب أن يكون واضحاً جداً.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C06-WA","[C06-WA] Carousel - راك تضيع في الوقت؟ إليك 3 خطوات بسيطة تبدا بيها ال","Carousel","راك تضيع في الوقت؟ إليك 3 خطوات بسيطة تبدا بيها التخطيط الصح.","Slide 1: ضيعت بزاف وقت وحاب تبدا تخطط صح؟ هذي هي 3 خطوات أساسية باش تبدا.
Slide 2: الخطوة 1: حدد وجهتك (تحديد الأهداف). قبل ما تبدا تمشي، لازم تعرف وين راك رايح. أكتب: واش حاب تحقق صح في حياتك المهنية والشخصية؟ خليك واضح.
Slide 3: الخطوة 2: اعرف وين راك (تقييم الواقع). كن صريح مع روحك. ما هي نقاط قوتك؟ ما هي نقاط ضعفك؟ واش هي الموارد لي عندك دوكا؟
Slide 4: الخطوة 3: ارسم الطريق (وضع خطة عمل). اربط بين وين راك دوكا (الخطوة 2) و وين حاب توصل (الخطوة 1). قسم الهدف الكبير لأهداف صغيرة ومهام يومية.
Slide 5: يبانلك صعيب؟ تطبيق ""العماد"" مصمم خصيصا باش يسهّلها عليك. يرشدك في كل خطوة من هادو ويخليك تبع تقدمك بكل سهولة.
Slide 6: ما تزيدش تضيع دقيقة. مستقبلك يستاهل خطة واضحة. حمل تطبيقنا وابدا اليوم!","ماعندكش خطة واضحة لمستقبلك؟ ابدا من هنا. 

 التخطيط ماشي حاجة معقدة ومخصصة غير للشركات الكبرى. هو أداة بسيطة وفعالة تقدر تبدل حياتك 180 درجة.

في هذا الكاروسال، لخصنالك 3 خطوات عملية تقدر تبدا تطبقها اليوم باش تخرج من دائرة الضياع وترسم طريق واضح لمستقبلك.

اسحب لليسار وخذ أول خطوة. 

 اقرأ الكاروسال تاعنا وابدأ في تخطيط حياتك. تطبيق ""العماد"" راح يكون معاك في كل خطوة! 

 #التخطيط_الشخصي #تحديد_الأهداف #إدارة_الوقت #العماد #تطبيق_العماد #الجزائر #إنتاجية","تصميم الكاروسال يكون عملي ومباشر. استخدام أرقام كبيرة وواضحة لكل خطوة (1, 2, 3). 
Slide 1: عنوان جذاب على خلفية ملهمة (صورة طريق أو قمة جبل).
Slide 2-4: كل صفحة تركز على خطوة واحدة. استخدام أيقونات تمثل كل خطوة (هدف، خريطة، سلم). النص يكون مختصر ومباشر.
Slide 5: لقطة شاشة (Screenshot) لواجهة التطبيق التي تظهر ميزة تحديد الأهداف أو تتبع المهام.
Slide 6: دعوة للعمل واضحة مع أزرار تحميل وهمية لـ App Store و Google Play.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P07-WA","[P07-WA] Image - راحة البال ماشي حلم... هي نتيجة تخطيط!","Image","راحة البال ماشي حلم... هي نتيجة تخطيط!","راحة البال تبدأ عندما يصبح المجهول... خطة.","هل تبحث عن راحة البال؟ 

 القلق من المستقبل هو أكبر سارق للسعادة وراحة البال.

الحل ليس في تجاهل المستقبل، بل في التخطيط له. عندما تكون لديك خطة واضحة، يختفي الخوف من المجهول وتحل محله الثقة والسكينة.

""العماد"" لا يمنحك خطة فقط، بل يمنحك راحة البال التي تأتي معها. 

 العماد: نخطط معاك... باش تعيش مرتاح. زور موقعنا واكتشف كيف. 

 #راحة_البال #السلام_الداخلي #التخطيط_للمستقبل #العماد #الصحة_النفسية #الجزائر #تحفيز","صورة ذات جودة عالية لشخص ينظر إلى الأفق من مكان هادئ (شاطئ، قمة جبل) ويبدو عليه الارتياح والسكينة. ألوان الصورة تكون هادئة (أزرق سماوي، أبيض، ألوان ترابية). النص يكون مكتوباً بخط أنيق وعصري في منتصف الصورة. شعار ""العماد"" يوضع في زاوية بشكل غير مزعج.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V08-WA","[V08-WA] Video - تخطط بصح ماكاش نتائج؟ بالك الطريقة لي راك تخدم بيه","Video","تخطط بصح ماكاش نتائج؟ بالك الطريقة لي راك تخدم بيها هي المشكل!","[صوت حيوي وموسيقى ديناميكية]
راك تعاني من الضياع؟ تحط أهداف بصح جامي توصللها؟
بلا شك، راك محتاج أداة ذكية تسهل عليك الطريق!
نقدمولك تطبيق ""العماد""... المساعد الشخصي تاعك للنجاح.
شوف شحال ساهل!
أولاً، حدد أهدافك الكبيرة... واش حاب تحقق هذا العام؟
ثانياً، التطبيق يساعدك تقسمها لمهام شهرية وأسبوعية... قابلة للتحقيق.
ثالثاً، تبع تقدمك كل يوم. شوف شحال راك قريب من هدفك.
التطبيق يرسلك إشعارات ذكية... باش تبقى ديما متحفز وماتنساش مهامك.
الواجهة تاعو بسيطة وواضحة... كل شي في بلاصتو.
مع تطبيق ""العماد""، التخطيط يولي متعة... ماشي عبء.
مستقبلك بين يديك... حرفيا!
واش راك تستنى؟","حوّل أهدافك من مجرد أفكار... إلى واقع ملموس! 

 التخطيط على الورق مليح، بصح في عالم سريع كيما تاع اليوم، تحتاج أداة تواكبك.

اكتشف في هذا الفيديو كيف تطبيق ""العماد"" يخلي عملية التخطيط سهلة، ممتعة، وفعالة. من تحديد الأهداف الكبيرة إلى متابعة مهامك اليومية، كل شي مصمم باش يضمنلك توصل لنتائج حقيقية.

وداعاً للفوضى، ومرحباً بالإنتاجية! 

 حمل تطبيق 'العماد' درك وابدأ تخطيط حياتك صح! 

 #تطبيق_العماد #تخطيط_رقمي #إنتاجية #تحقيق_الأهداف #الجزائر #تكنولوجيا #العماد","فيديو Motion Graphics بالكامل. الأسلوب يكون عصري، بسيط، وممتع.
[Attention]: يبدأ بسؤال مباشر مع رسوم متحركة تظهر شخصية كرتونية حائرة أمام عدة طرق.
[Interest]: تظهر واجهة التطبيق بشكل أنيق على شاشة هاتف. يتم التركيز على ميزة تحديد الأهداف. الرسوم تظهر الهدف الكبير وهو يتحول إلى مهام صغيرة.
[Desire]: عرض ميزة تتبع التقدم (شريط تقدم يمتلئ بالأخضر) وشخصية كرتونية تحتفل بالإنجاز. عرض الإشعارات الذكية وهي تظهر على الشاشة.
[Action]: تظهر شاشة الهاتف بوضوح مع دعوة لتحميل التطبيق، مع ظهور أزرار التحميل لـ App Store و Google Play بشكل متحرك. الموسيقى تكون إيجابية ومحفزة طوال الفيديو.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C09-WA","[C09-WA] Carousel - تطبيق يخليك تخدم على مستقبلك وأنت مرتاح؟ شوف بنفسك","Carousel","تطبيق يخليك تخدم على مستقبلك وأنت مرتاح؟ شوف بنفسك!","Slide 1: تطبيق ""العماد"": مستقبلك بين يديك... بكل سهولة.
Slide 2: الميزة 1: واجهة بسيطة وواضحة. ماكانش تعقيدات. كل شي في بلاصتو باش تركز على المهم: أهدافك.
Slide 3: الميزة 2: تتبع التقدم والإنجازات. شوف بعينيك شحال تقدمت. كل مهمة تكملها هي خطوة نحو هدفك الكبير.
Slide 4: الميزة 3: إشعارات وتذكيرات ذكية. التطبيق يفكرك بمهامك ويشجعك باش تبقى ديما في الطريق الصحيح.
Slide 5: التخطيط جامي كان بهذي السهولة. حمل التطبيق اليوم وابدا رحلتك نحو النجاح!","3 ميزات في تطبيق ""العماد"" راح تبدل طريقة تخطيطك! 

 أي تطبيق يقدر يعطيك قائمة مهام، بصح تطبيق ""العماد"" مصمم باش يكون شريكك في النجاح.

اسحب لليسار واكتشف الميزات الذكية لي تخلي عملية التخطيط فعالة ومحفزة، ماشي مملة.

السهولة والفعالية في مكان واحد. 

 شوف ميزات تطبيق 'العماد' اللي راح تبهرك! حمل التطبيق الآن. 

 #تطبيق_العماد #مميزات_التطبيق #سهولة_الاستخدام #الجزائر #العماد #تكنولوجيا_التعليم","تصميم يركز على عرض واجهة التطبيق بشكل جذاب.
Slide 1: عنوان قوي مع صورة Mockup لهاتف يعرض شاشة البداية للتطبيق.
Slide 2-4: كل صفحة تعرض لقطة شاشة (Screenshot) للميزة المذكورة. النص يكون قصيراً ومباشراً، مع سهم يشير إلى الجزء المهم في الصورة.
Slide 5: دعوة للعمل مع أزرار التحميل وشعار ""العماد"". استخدام ألوان زاهية وخطوط عصرية لجعل التصميم جذاباً.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P10-WA","[P10-WA] Image - التخطيط ماشي كلام... تطبيق ""العماد"" يوريك الطريق ع","Image","التخطيط ماشي كلام... تطبيق ""العماد"" يوريك الطريق عملياً!","خطط. نفذ. تبع. انجح.
الأمر بهذه البساطة.","كفى من التنظير، حان وقت التطبيق. 

 الكلام على التخطيط ساهل، بصح النجاح الحقيقي يجي من التنفيذ والمتابعة.

تطبيق ""العماد"" هو الأداة العملية لي تحول أفكارك إلى أفعال، وأفعالك إلى نتائج ملموسة.

واجهة واحدة تشوف فيها كل شي: أهدافك، مهامك، وتقدمك. 

 حمل تطبيق 'العماد' وابدا تشوف نتائجك. 

 #التطبيق_العملي #العماد #نتائج_ملموسة #الجزائر #تخطيط_فعال #تطبيق_ذكي","صورة Mockup عالية الجودة لواجهة التطبيق الرئيسية (Dashboard) على هاتف ذكي. يجب أن تظهر الواجهة بوضوح التقدم المحرز في الأهداف (مثلاً: شريط تقدم، نسبة مئوية). الخلفية تكون بسيطة وغير مشتتة. النص يكون مكتوباً فوق أو تحت الصورة بخط واضح وقوي.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
