Project Name,Opportunity ID,Opportunity Name,Creative Format,Hooks,scripts,Ad Copy,Technical Directions,Opportunity Owner,Pipeline,Contact Id
"Wayso Project","V01-WA","[V01-WA] Video - -","Video","-","تحليل السوق، بناء الاستراتيجية، وهندسة رحلة العميل.","-","-","Abdellah Chaaban","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V02-WA","[V02-WA] Video - راح تفرش دارك و مخك قريب ينفجر؟ حبس الدوران!","Video","راح تفرش دارك و مخك قريب ينفجر؟ حبس الدوران!","(صوت عميق وموثوق)
كل واحد فينا يحلم بدار يلقى فيها راحته... دار تعكس ذوقه وشخصيته.
لكن الحلم هذا، بالخف يولي كابوس.
كي تبدا تدور على الحوانت... واحد للصالون، واحد للكوزينة، واحد لشومبرة الدراري.
الوقت يضيع، الجهد يروح، وراسك يتخلط.
تحس روحك حاصل... بين موديلات ماتتشابش، وألوان ما تتوالمش.
والنتيجة؟ دار مخلطة، بعيدة على واش كنت تحلم بيه.
(تتغير الموسيقى لنبرة ملهمة وحماسية)
بصح، وعلاش تكسر راسك؟
في مالك موبل، حلمك يولي حقيقة... في بلاصة وحدة.
تخيل معانا... تدخل لمكان واحد، تلقى فيه كلش.
من الصالون اللي يستقبل ضيافك... لغرفة نومك اللي ترتاح فيها.
من كوزينتك اللي تلم العايلة... حتى لشومبرة ولادك اللي يلعبوا فيها.
مئات الموديلات... آلاف الخيارات... كل الأذواق وكل الميزانيات.
ماشي برك تفرش دارك... راك تبني مملكتك.
مالك موبل، ماشي مجرد محل أثاث.
حنا هوما الحل، باه تفرش دارك بلا ما تكسر راسك.
كلش... في مالك موبل.","🤯 تعبت من الدوران على الحوانت؟ الحل راهو هنا! 

 تأثيث دار جديدة ماشي لازم يكون كابوس. نعرفوا مليح الإرهاق والحيرة اللي تحس بيهم كي تكون تدور من بلاصة لبلاصة... بلا فايدة.

لهذا السبب، في 'مالك موبل' جمعنالك كل واش تحتاج تحت سقف واحد! من الصالون للكوزينة، من غرف النوم لغرف الدراري، عندنا أكبر تشكيلة في الجزائر اللي تخليك تحقق دار أحلامك بسهولة وراحة بال.

فرّش دارك بلا ما تكسّر راسك. كلش في مالك موبل. 

 📍 زور معرضنا اليوم وشوف بعينك كيفاش نفرشولك دارك بأناقة وراحة! 

 #مالك_موبل #أثاث_الجزائر #تأثيث_منازل #ديكور_جزائري #صالونات_جزائرية #غرف_نوم #الجزائر #وهران #قسنطينة","المشهد 1 (BAB - Before): لقطات سريعة لزوجين يبدوان مرهقين ومحبطين. يقلبون في هواتفهم، ينظرون إلى جدران منزل فارغ. إضاءة باردة قليلاً. كاميرا محمولة لإعطاء إحساس بالقلق.
المشهد 2 (PAS - Problem): لقطات سريعة جداً (Fast Cuts) لأقدام تمشي في محلات مختلفة، أيادي تلمس أقمشة مختلفة، تعابير وجه حائرة. استخدام مؤثر صوتي لضربات قلب متسارعة أو ضجيج خفيف.
المشهد 3 (Agitation): لقطة مقرّبة على وجه البطل وهو يمسك رأسه. تظهر رسومات Motion Graphics حوله (علامات استفهام، أسهم متضاربة) ترمز للحيرة.
المشهد 4 (Solution - The Guide): انتقال سلس. تفتح أبواب زجاجية ضخمة ويظهر اسم 'Malek Meuble' بوضوح. إضاءة دافئة ومشرقة. موسيقى ملهمة تبدأ في الخلفية. لقطة واسعة بانورامية للمعرض الضخم.
المشهد 5 (Transformation): لقطات تحول سريعة (Wipe transition / Timelapses). نرى غرفة فارغة تتحول إلى صالون فخم، غرفة أخرى تتحول إلى غرفة نوم مريحة، إلخ. التركيز على تنوع الأساليب (مودرن، كلاسيك...).
المشهد 6 (BAB - After): نرى نفس الزوجين من المشهد الأول، لكن هذه المرة يبتسمون وهم يسترخون في صالونهم الجديد المتكامل. يلعبون مع أطفالهم في غرفة نومهم. إحساس بالراحة والسعادة.
المشهد الأخير: لقطة درون (Drone shot) للمعرض من الخارج، مع ظهور الشعار ومعلومات التواصل بوضوح. نبرة الصوت في النهاية تكون قوية وحاسمة.","Islem Ben","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C03-WA","[C03-WA] Carousel - دارك فيها بزاف غرف؟ عندنا ليهم قاع واش يلزم!","Carousel","دارك فيها بزاف غرف؟ عندنا ليهم قاع واش يلزم!","Slide 1: مالك موبل: كل غرفة في دارك، عندها حكايتها عندنا!
Slide 2: الصالونات: واجهة دارك تبدا من هنا. موديلات عصرية، كلاسيكية، وكابيتوني... خيّر اللي يوالم ضيافك وراحتك.
Slide 3: غرف النوم: مملكتك الخاصة تستاهل الأفضل. تصاميم تضمنلك الراحة والهدوء بعد نهار طويل. شوف لي مودال تاعنا.
Slide 4: غرف الأطفال: عالم من الألوان والإبداع لولادك. حلول ذكية تستغل المساحات وتخليهم يلعبوا ويقراو في أمان.
Slide 5: المطابخ وطاولات الأكل: قلب الدار اللي يلم العايلة. طاولات عملية وتصاميم تخلي كل وجبة مناسبة خاصة.
Slide 6: كل دارك في بلاصة وحدة. مالك موبل، الحل لي يريحلك بالك. زورنا واكتشف أكثر!","🛋️ لكل غرفة حكاية... وحكايتهم قاع تبدا من عندنا! 

 علاش تضيّع وقتك في البحث؟ في 'مالك موبل'، جبنالك حل لكل غرفة في دارك في مكان واحد. من أناقة الصالونات لراحة غرف النوم، ومن إبداع غرف الأطفال لدفء طاولات الأكل.

تشكيلة ضخمة تخليك تختار الأنسب لذوقك وميزانيتك بلا ما تتعب. 

 اسحب لليسار 👈 واكتشف عالم من الخيارات، أو اضغط على الرابط في البايو وشوف الكتالوج الكامل! 

 #كتالوج_أثاث #أثاث_متكامل #ديكور_داخلي #مالك_موبل #تجهيز_منازل #الجزائر #أثاث_مودرن","الخلفية العامة: تصميم نظيف وأنيق، مع استخدام هوية 'مالك موبل' البصرية. كل سلايد يحتوي على صورة عالية الجودة للمنتجات المذكورة.
Slide 1: صورة بانورامية واسعة للمعرض. العنوان بخط كبير وجذاب.
Slide 2: صورة صالون فخم. النص مكتوب بطريقة واضحة بجانب الصورة أو عليها.
Slide 3: صورة غرفة نوم مريحة وأنيقة.
Slide 4: صورة غرفة أطفال مبهجة وعملية.
Slide 5: صورة طاولة أكل مجتمعة حولها عائلة (صورة ستوك أو حقيقية إن أمكن).
Slide 6: كولاج صور لكل الأنواع مع الشعار ومعلومات التواصل والـCTA بخط واضح.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P04-WA","[P04-WA] Image - بلاصة وحدة... تفرشلك دارك من الألف إلى الياء!","Image","بلاصة وحدة... تفرشلك دارك من الألف إلى الياء!","أكبر تشكيلة أثاث في الجزائر راهي تستناك في مالك موبل.","📍 وجهتك الوحيدة لتأثيث بيت الأحلام! 

 ماتزيدش تتعب وتدور. في 'مالك موبل'، كل ما تحتاجه تلقاه تحت سقف واحد. الجودة، التنوع، والأسعار اللي تناسبك. 

تجربة تسوق مريحة تضمنلك راحة البال. 

 تاغي صاحبك اللي راه يفرش باش تسهل عليه المهمة! 

 #أثاث_الجزائر #مالك_موبل #OneStopShop #ديكور_الجزائر #تجهيز_العرائس #الجزائر","صورة واحدة عالية الجودة. لقطة واسعة جداً (Wide shot) للمعرض تُظهر حجمه الهائل وتنوع المنتجات. أو تصميم كولاج احترافي يجمع صوراً متنوعة (صالون، غرفة نوم، طاولة أكل...) بشكل متناغم. النص يكون مكتوباً على الصورة بخط أنيق وواضح.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V05-WA","[V05-WA] Video - شحال من يوم لازمك باش تفرش دار كاملة؟ معانا، يوم و","Video","شحال من يوم لازمك باش تفرش دار كاملة؟ معانا، يوم واحد يكفي!","(موسيقى ديناميكية وسريعة)
تخيل روحك داخل لأكبر معرض أثاث في الجزائر...
كل خطوة ديرها، تكتشف عالم جديد.
هنا، قسم الصالونات... أكثر من 100 موديل يستناو فيك.
ومن بعد، ندخلو لعالم غرف النوم... وين الراحة والأناقة يتلاقاو.
وما ننساوش غرف الأطفال... ألوان وتصاميم تفرح ولادك.
وحتى الكوزينة والطابلة تاع الماكلة... كلش مخدوم باش يلم العايلة.
(تظهر رسومات Motion Graphics على الشاشة)
أكثر من 10,000 متر مربع تاع الاختيارات.
كل الأذواق... كل الألوان... وكل الميزانيات.
في مالك موبل، ماشي برك تشري موبل.
راك تربح الوقت، الجهد، وراحة البال.
مالك موبل. فرّش دارك في نهار واحد.","🚀 جولة سريعة في أكبر مملكة للأثاث في الجزائر! 

 عمرك شفت معرض بهذا الحجم؟ حبينا نورولكم لمحة صغيرة على واش يستنا فيكم في 'مالك موبل'.

الهدف تاعنا ماشي برك نبيعولك أثاث، الهدف تاعنا نمدولك تجربة تسوق تخليك تربح وقتك وجهدك، وتلقى كلش في بلاصة وحدة. الثقة تبنى بالشفافية، وحنا نورولكم كلش. 

 حاب تشوف بعينك؟ زورنا في المعرض واكتشف بنفسك! 

 #جولة_افتراضية #معرض_أثاث #مالك_موبل #الثقة #الجودة #أثاث_فاخر #الجزائر","النمط: جولة افتراضية سريعة (Motion Graphics / Hyperlapse). استخدام كاميرا درون افتراضية تطير داخل المعرض الضخم. أسهم ورسومات تظهر على الشاشة لتوجيه المشاهد عبر الأقسام المختلفة ('قسم الصالونات'، 'غرف النوم'...). إظهار أرقام (مثل '+100 موديل صالون') لتعزيز فكرة التنوع الهائل. المونتاج يكون سريعاً وحماسياً. نبرة الصوت تكون واثقة ومليئة بالطاقة.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C06-WA","[C06-WA] Carousel - شكون كاين ورا كل قطعة أثاث توصلك لباب دارك؟","Carousel","شكون كاين ورا كل قطعة أثاث توصلك لباب دارك؟","Slide 1: وراء كل قطعة أثاث من مالك موبل... كاين فريق ضخم يخدم على راحتك.
Slide 2: المخازن الضخمة: هنا تبدا الحكاية! آلاف القطع مخزنة بعناية، وجاهزة باش توصلك في أي وقت.
Slide 3: فريق التوصيل والتركيب: ماشي برك نوصلولك، فريقنا المحترف يركبلك كلش ويخليلك دارك واجدة.
Slide 4: مستشارو المبيعات: خبراء في الديكور يستناوا فيك في المعرض باش يعاونوك تختار الأنسب ليك ولدارك.
Slide 5: أكثر من 10,000 متر مربع، وعشرات الخبراء في خدمتك. مالك موبل، ماشي مجرد اسم، هو ثقة والتزام.","💪🏼 اكتشف الجيش اللي يخدم على راحتك! 

 الجودة والراحة اللي نقدموها في 'مالك موبل' ماجاتش وحدها. وراها كاين فريق كامل من الخبراء، من المستودعات الضخمة لعمّال التوصيل المحترفين، الكل يخدم بهدف واحد: نضمنولك أفضل تجربة من اللحظة اللي تخيّر فيها المودال حتى تشوفو مفرش في دارك.

حنا نبنوا الثقة بالعمل والشفافية. 

 اسحب لليسار 👈 واكتشف القصة الكاملة وراء 'مالك موبل'! 

 #خلف_الكواليس #فريق_العمل #ثقة #احترافية #مالك_موبل #خدمة_الزبائن #الجزائر","النمط: خلف الكواليس. استخدام صور حقيقية عالية الجودة.
Slide 1: صورة بانورامية للمستودعات الضخمة، أو صورة جماعية للفريق. العنوان بخط عريض وواثق.
Slide 2: صورة للمخازن وهي منظمة ومليئة بالبضاعة.
Slide 3: صورة لفريق التوصيل وهو يركب أثاثاً في منزل زبون (مع الحرص على أن يكونوا مبتسمين ومحترفين).
Slide 4: صورة لأحد مستشاري المبيعات وهو يتحدث بلطف مع زبون داخل المعرض.
Slide 5: لقطة درون للمعرض من الخارج، مع كتابة الأرقام (المساحة، عدد الفريق...) بشكل بارز.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P07-WA","[P07-WA] Image - عنوان واحد يغنيك على الدوران: مالك موبل.","Image","عنوان واحد يغنيك على الدوران: مالك موبل.","مالك موبل: عنوانك الوحيد للأناقة والراحة!","📍 هنا يبدأ حلم بيتك المثالي. 

 عندما يتعلق الأمر بتأثيث منزلك، لا تقبل بأقل من الأفضل. 'مالك موبل' ليس مجرد متجر، بل هو وجهتك النهائية لتحقيق رؤيتك للأناقة والراحة.

نحن في انتظارك لنبدأ هذه الرحلة معاً. 

 زورنا اليوم وشوف بنفسك الفرق! 

 #مالك_موبل #عنوان_الفخامة #أثاث_الجزائر #ديكور #معرض_أثاث #الجزائر","صورة احترافية عالية الجودة للواجهة الخارجية للمعرض. يفضل أن تكون في وقت الغروب أو في الليل مع إضاءة ممتازة تبرز فخامة المكان. الشعار يكون واضحاً جداً. النص مكتوب على الصورة بشكل بسيط وأنيق.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V08-WA","[V08-WA] Video - شحال من مرة شريت فراش لشمبرتك و ندمت عليه؟","Video","شحال من مرة شريت فراش لشمبرتك و ندمت عليه؟","(صوت هادئ ومتفهم)
غرفة نومك... هي البلاصة الوحيدة اللي تهرب ليها من تعب الدنيا.
بصح، بزاف ناس يغلطوا في الفراش تاعها... وتولي هي سبة التعب.
(تظهر على الشاشة أخطاء شائعة مع علامة X حمراء)
الخطأ الأول: تشري موبل كبير على حساب الشومبرة. تحس روحك مخنوق.
الخطأ الثاني: الألوان الغامقة بزاف. تزيد من القلق وماتريحش العين.
الخطأ الثالث: تخيّر الزين وتنسى الصح. الكاليتي تاع الماتلا والخشب هي الصح.
(تتغير الموسيقى لنبرة إيجابية)
الحل بسيط.
في مالك موبل، عندنا خبراء يعاونوك.
نورولك كيفاش تخيّر القياس المناسب... والألوان اللي تريحك.
ونضمنولك الجودة اللي تخليك ترقد مهني لسنين.
ماتزيدش تندم على فراش دارك.","😴 3 غلطات تخليك تكره غرفة نومك! (وتقدر تتفاداهم) 

 غرفة نومك هي مكان راحتك، ماشي مصدر تعبك! في هذا الفيديو القصير، نكشفلك على الأخطاء الشائعة اللي يديروها الناس كي يخيروا الأثاث، وكيفاش تقدر تتفاداها بسهولة.

في 'مالك موبل'، مانبيعولكش برك، ننصحوك ونوجهوك باش دير الاختيار الصحيح اللي يريحك. 

 شاهد الفيديو واكتشف أسرار اختيار غرفة النوم المثالية! 

 #نصائح_ديكور #غرف_نوم #أخطاء_شائعة #مالك_موبل #راحة_البال #جودة #الجزائر","النمط: فيديو تعليمي سريع (Motion Graphics).
المشهد 1 (Problem): رسوم متحركة بسيطة لشخص يبدو متعباً في غرفة نوم ضيقة ومظلمة. تظهر نصوص توضيحية للأخطاء المذكورة.
المشهد 2 (Agitation): إظهار أيقونات ترمز لقلة النوم، ألم الظهر، والشعور بالضيق.
المشهد 3 (Solution): انتقال سلس إلى مشاهد لغرف نوم مثالية من كتالوج 'مالك موبل'. تظهر علامات ✓ خضراء على 'المساحة المناسبة'، 'الألوان الفاتحة'، 'الجودة العالية'.
المشهد الأخير: لقطة مقربة لأحد الموديلات عالية الجودة مع ظهور الشعار. نبرة الصوت تكون تعليمية وواثقة.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C09-WA","[C09-WA] Carousel - قبل ما تشري شومبرة نومك، اقرا هاد 3 نصايح!","Carousel","قبل ما تشري شومبرة نومك، اقرا هاد 3 نصايح!","Slide 1: 3 نصائح ذهبية من مالك موبل لاختيار غرفة نوم أحلامك.
Slide 2: النصيحة 1: قيس قبل ما تغيص! قبل كلش، اعرف قياسات غرفتك مليح. اختار أثاث بحجم مناسب يخليلك مساحة للحركة وماتحسش روحك مخنوق.
Slide 3: النصيحة 2: الراحة قبل الشكل. صح، التصميم شباب مهم، بصح جودة المرتبة (الماتلا) وصلابة الخشب هوما الصح. استثمر في راحتك على المدى الطويل.
Slide 4: النصيحة 3: التخزين الذكي هو الحل. خير لي مودال اللي فيهم حلول تخزين مدمجة، كيما الأدراج تحت السرير أو الخزانات الطويلة. تربح المساحة وتنظم حوايجك.
Slide 5: حاضرين باش تعاونكم تختاروا الأفضل. زوروا معرضنا وخلوا خبرائنا يوجهوكم. مالك موبل، راحتكم هي أولويتنا.","🛏️ الدليل السريع لاختيار غرفة نوم مثالية! 

 الاختيار الصحيح لغرفة نومك يقدر يغير حياتك للأفضل. لهذا، حبينا نشاركوا معاكم 3 نصائح بسيطة وفعالة من خبراء الديكور تاعنا باش تضمنوا استثماركم في راحتكم.

لأننا في 'مالك موبل' نؤمن بأن غرفة نومك هي أهم غرفة في الدار. 

 اسحب لليسار 👈 لتعرف المزيد وتحفظ المنشور لوقت الحاجة! 

 #دليل_الشراء #نصائح_أثاث #غرفة_نوم #مالك_موبل #استثمار #راحة #ديكور_جزائري","النمط: تعليمي وإرشادي. تصميم بسيط وواضح.
Slide 1: عنوان جذاب مع أيقونة لمبة أو نجمة ذهبية.
Slide 2-4: كل سلايد يحتوي على أيقونة بسيطة تمثل النصيحة (شريط قياس، مرتبة، خزانة). النص يكون قصيراً ومباشراً. يمكن استخدام صورة مثال من منتجات 'مالك موبل' في الخلفية.
Slide 5: دعوة للعمل واضحة مع شعار 'مالك موبل' ومعلومات التواصل.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P10-WA","[P10-WA] Image - راح تشري طابلة تاع ماكلة؟ حذاري من هاد الغلطات!","Image","راح تشري طابلة تاع ماكلة؟ حذاري من هاد الغلطات!","طاولة الأكل: واش لازم دير ✅ و واش لازم تتفادى ❌
✅ خيّر حجم مناسب لعدد أفراد العايلة والمساحة.
❌ ماتشريش طابلة كبيرة بزاف تخنقلك الكوزينة.
✅ فكّر في الكراسي المريحة اللي تقدر تقعد فيها مدة طويلة.
❌ ماتضحيش بالراحة على جال الشكل برك.","🍽️ قبل ما تخيّر طاولة الأكل ديالك، شوف هاد البوست! 

 طاولة الأكل هي مركز البيت، وين تتلاقى العايلة. اختيارها ماشي ساهل! حبينا نمدولكم نصيحة خفيفة باش تتفاداو الأخطاء الشائعة وتختاروا الطابلة المثالية ليكم.

عندنا في مالك موبل، تلقاو تشكيلة واسعة تناسب كل العائلات والمساحات. 

 خلي تعليق بكلمة 'دليل' ونبعتلك في الخاص دليل شامل لاختيار الأثاث! 

 #إنفوجرافيك #نصيحة_اليوم #طاولة_طعام #أثاث_المطبخ #مالك_موبل #ديكور #الجزائر","النمط: إنفوجرافيك بسيط وجذاب. التصميم يكون مقسوماً لجزئين: جزء أخضر مع علامة 'صح' (Do's) وجزء أحمر مع علامة 'خطأ' (Don'ts). استخدام أيقونات بسيطة لتوضيح كل نقطة. شعار 'مالك موبل' يكون في الأسفل.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
