Project Name,Opportunity ID,Opportunity Name,Creative Format,Hooks,scripts,Ad Copy,Technical Directions,Opportunity Owner,Pipeline,Contact Id
"Wayso Project","V01-WA","[V01-WA] Video - -","Video","-","تحليل السوق، بناء الاستراتيجية، وهندسة رحلة العميل","-","-","Abdellah Chaaban","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V02-WA","[V02-WA] Video - الدقيقة لي تسمع فيها حس غريب في طونوبيلتك... ممكن ","Video","الدقيقة لي تسمع فيها حس غريب في طونوبيلتك... ممكن تكون فاتت الأوان.","(صوت محرك سيارة يعاني، ثم صوت فرامل حاد لا يستجيب جيداً)
الخوف هذا... على طونوبيلك، على سلامتك، وعلى سلامة لي معاك... كامل نعرفوه.
كل يوم، آلاف الناس يطيحو في فخ قطع الغيار المضروبة.
يخسرو دراهمهم في تصليحات ما تخلاصش.
و الأخطر... يحطو حياتهم في الميزان.
ماشي خسارة دراهم برك... هادي راحة بالك لي تروح.
بصح الحكاية ماشي لازم تكمل هكذا.
أنت، البطل في هاد القصة، تستاهل تركب في سيارتك و أنت مهني.
وحنا هنا باش نكونو المرشد تاعك.
نقدمولك الحل النهائي: قطع غيار أصلية 100%، مضمونة، و عليها الكلام.
الفرق ماشي في السومة برك... الفرق في الثقة.
في الأمان لي تحس بيه كي تكون تسوق.
وفي قيمة طونوبيلتك لي تبقى محفوظة.
ماتزيدش تخلي الشك يسوق معاك في الطريق.
اختار الصح. اختار راحة البال.","🚨 قبل ما يغدرك الموتور... لازم تشوف هذا الفيديو! 

 تعرف هذاك الإحساس تاع الخوف كي تسمع صوت ماشي نورمال في طونوبيلتك؟ 😟

هذاك هو الإنذار الأول بلي ممكن تكون ضحية قطعة غيار مقلدة. المشكل ماشي غير في الدراهم لي تخسرهم على التصليحات لي ما تخلاصش، المشكل الأكبر هو في سلامتك وسلامة عائلتك.

في [اسم البراند]، المهمة تاعنا هي نعطوك راحة البال. نوفرولك قطع غيار أصلية 100% ومضمونة، باش تمشي في الطريق وأنت مهني.

سيارتك تستاهل الصح، وأنت تستاهل الأمان. 

 باه تضمن الأمان و راحة البال، أدخل شوف مجموعتنا و اتصل بنا درك! 

 #قطع_غيار_السيارات #الجزائر #أمان_السيارات #ميكانيك_السيارات #قطع_غيار_أصلية #dzinfluencer #algerie #dzpower","[المشهد الافتتاحي - 0-3 ثواني]: لقطات سريعة ومظلمة. كلوز آب على وجه سائق قلق يسمع صوتاً غريباً. صوت صرير فرامل حاد وفاشل. إضاءة خافتة ومتوترة. موسيقى تصاعدية تثير القلق.
[مشكلة - 3-8 ثواني]: Voiceover يبدأ. لقطات تظهر سيارة معطلة على جانب الطريق. سائق يضرب المقود بيأس. ميكانيكي يهز رأسه بأسف. استخدام ألوان باهتة.
[تضخيم - 8-15 ثواني]: لقطات سريعة لسيناريوهات الخطر: سيارة كادت تفقد السيطرة، عائلة قلقة في المقعد الخلفي. تظهر رسوم بيانية متحركة (Motion Graphics) تبيّن كيف أن المال يُهدر على نفس الإصلاح مراراً وتكراراً.
[تقديم المرشد - 15-20 ثواني]: انتقال مفاجئ إلى مشهد مشرق ونظيف. يظهر الوجه الإعلامي (لا يتجاوز 30% من الوقت) وهو يفحص قطعة غيار أصلية بثقة. Voiceover بنبرة خبير ومطمئن. موسيقى هادئة وموثوقة تبدأ.
[الحل - 20-27 ثواني]: لقطات ماكرو عالية الجودة لقطع الغيار الأصلية في علبها. Motion Graphics تبرز كلمات: ""أصلية 100%""، ""ضمان الجودة"". لقطات لسيارات تعمل بسلاسة وأداء عالٍ.
[الخاتمة والدعوة للعمل - 27-30 ثواني]: لقطة لسائق يبتسم براحة وهو يقود سيارته مع عائلته. يظهر شعار العلامة التجارية بوضوح. الـ Voiceover يلقي الدعوة للعمل بنبرة واضحة ومباشرة.","Islem Ben","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C03-WA","[C03-WA] Carousel - هادي ماشي بياسة... هادي قنبلة موقوتة في طونوبيلتك!","Carousel","هادي ماشي بياسة... هادي قنبلة موقوتة في طونوبيلتك!","Slide 1: القطعة المقلدة لي راهي تهدد حياتك درك!
ماشي غير دراهمك لي يروحو، حياتك تاني في خطر بسباب القطع المقلدة!

Slide 2: أعطال كارثية!
تخيل فرامل ما تحكمش في لحظة حاسمة، أو محرك ينفجر في طريق سريع... هذه سيناريوهات حقيقية تسببها قطع الغيار الرديئة.

Slide 3: جيبك يفرغ بلا فايدة!
الدراهم لي رايحين في الخسارة... قطعة مقلدة تعيش شهر، و الأصلية تعيش سنين. راك تخسر في دراهمك على تصليحات متكررة كان قادر تتفاداها.

Slide 4: طونوبيلتك تفقد قيمتها!
استعمال قطع الغيار المضروبة ينقص من قيمة سيارتك بشكل كبير عند إعادة البيع. حتى واحد ما يحب يشري سيارة معمرة بالمشاكل.

Slide 5: القلق لي ما يخليكش ترتاح!
الوجع النفسي... هذاك الخوف والقلق لي يسكنك كل ما تركب في السيارة أو تركب عايلتك معاك. هل هي آمنة؟ هل راح توصلني؟

Slide 6: الحل يبدأ من عندك!
الأمان يبدأ باختيارك للأصلي. الفرق بين قطعة مقلدة وقطعة أصلية هو الفرق بين الخطر وراحة البال.","حياتك أغلى من قطعة غيار رخيصة! 🚫 

 الكثير يظن أن القطع المقلدة هي مجرد 'خسارة دراهم'... لكن الحقيقة أصدم! 💥

من أعطال كارثية في الطريق، إلى القلق النفسي لي يتبعك في كل مشوار، القطع المضروبة تدمر أكثر من مجرد سيارتك.

في هذا الكاروسال، نكشفلك على 5 مخاطر حقيقية لازم تعرفها قبل ما تركب أي قطعة ماشي أصلية في طونوبيلتك. 

 اسحب باش تعرف الحقيقة الصادمة لي ممكن تنقذ حياتك! 

 #خطر #سلامة_الطرقات #قطع_غيار_مقلدة #تحذير #سيارات_الجزائر #ميكانيك #dz","Slide 1: خلفية داكنة مع صورة مقربة لقطعة غيار صدئة ومكسورة. العنوان بخط كبير وصادم باللون الأحمر أو الأصفر. 
Slide 2: استخدام صور حقيقية (أو واقعية) لحوادث أو سيارات معطلة. النص يكون على شريط داكن لضمان الوضوح.
Slide 3: تصميم يظهر أيقونة حصالة نقود مكسورة أو أسهم مالية تتجه للأسفل. استخدام ألوان توحي بالخسارة.
Slide 4: صورة لسيارة فخمة بجانبها رسم بياني يوضح انخفاض قيمتها بشكل حاد.
Slide 5: صورة لسائق يضع يده على رأسه بتوتر وقلق. استخدام فلتر لوني بارد (أزرق/رمادي).
Slide 6: انتقال مفاجئ لخلفية مشرقة ونظيفة. صورة لقطعة غيار أصلية لامعة. النص يكون بخط واضح ويدعو للتفاؤل.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P04-WA","[P04-WA] Image - معانا، طونوبيلك تبقى جديدة... و روحك تبقى هانية.","Image","معانا، طونوبيلك تبقى جديدة... و روحك تبقى هانية.","معانا، طونوبيلك تبقى جديدة و سالمة.","راحة البال... هي أفضل قطعة غيار تركبها في سيارتك. ✨ 

 تخيل تسوق كل يوم وأنت متأكد 100% بلي سيارتك في أفضل حالاتها. لا قلق، لا شك، لا خوف من المفاجآت.

هذا هو الوعد تاعنا في [اسم البراند]. نوفرولك القطع الأصلية لي تخلي سيارتك محافظة على قيمتها وأدائها، وتخليك أنت مرتاح البال.

لأن سيارتك تستاهل الصح. 

 زور موقعنا للقطع الأصلية و استمتع براحة البال. 

 #راحة_البال #سيارة_جديدة #جودة_عالية #قطع_غيار_الجزائر #الأصلي_يضمن #algeria #dzcars","تصميم عالي الجودة لصورة سيارة حديثة ونظيفة جداً تبدو كأنها خرجت من المصنع، متوقفة في مكان هادئ وجميل (مثلاً منظر طبيعي). النص (الهوك) مكتوب بخط أنيق وواضح في زاوية من الصورة. شعار العلامة التجارية يوضع بشكل احترافي. الألوان مشرقة وتوحي بالثقة والنقاء.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V05-WA","[V05-WA] Video - قبل ما تكسيري... لازم تسقسي روحك هاد السؤال.","Video","قبل ما تكسيري... لازم تسقسي روحك هاد السؤال.","(صوت تسارع سيارة)
رايح بسرعة... كلش تحت السيطرة.
بصح، واش من ثقة عندك في الفراين تاعك؟
هل أنت متأكد بلي القطعة لي راك معول عليها... ماشي مغشوشة؟
(موشن جرافيك يقارن بين قرص فرامل أصلي يتوقف بسرعة وقرص مقلد يكمل طريقه لمسافة أطول)
هذا هو الفرق بين فرامل أصلية... وفرامل 'تشبهلها'.
الأولى تصنعت باش تحميك.
الثانية تصنعت باش تخدعك.
المادة، الوزن، التحمل... كل تفصيل صغير يصنع الفرق بين الأمان... والكارثة.
سلامتك وسلامة عائلتك مافيهاش لعب.","هل الفرامل تاعك راح تحكم... ولا راح تخونك؟ 🛑 

 أهم قطعة في سيارتك هي لي توقفها، ماشي لي تمشيها.

بزاف ناس تتهاون في نوعية الفرامل لي تركبها، وماعلابالهاش بلي فرق صغير في الجودة ممكن يسبب فرق كبير في النتيجة.

ماتلعبش بحياتك وحياة الناس على جال سومة رخيصة. اعرف الصح وتأكد بلي راك محمي. 

 ماتلعبش بحياتك! سقسينا درك على الفراين الأصليين لي عندك! 

 #فرامل_السيارة #السلامة_أولا #قطع_غيار #الجزائر #حوادث_السير #توعية #dzauto #securite_routiere","الأسلوب: Motion Graphics سريع و جذاب، مع إمكانية دمج لقطات UGC (شخص يصور табло السيارة وهو يسوق).
[0-3 ثواني]: لقطة من منظور السائق (POV)، الطريق يتحرك بسرعة. موسيقى حماسية. الهوك يظهر كنص على الشاشة.
[3-10 ثواني]: الـ Voiceover يطرح الأسئلة. تظهر رسوم متحركة بسيطة تبيّن قرص فرامل عليه علامة استفهام كبيرة.
[10-20 ثواني]: شاشة مقسومة. على اليسار ""الأصلي"" مع علامة صح خضراء، وعلى اليمين ""المقلد"" مع علامة خطأ حمراء. رسوم بيانية بسيطة تقارن بين مواد الصنع ومسافة التوقف.
[20-25 ثواني]: مشهد مؤثر (موشن جرافيك) يظهر سيارة تتوقف بأمان قبل خط المشاة بفضل الفرامل الأصلية. النص: ""اختيارك يحدد مصيرك"".
[25-30 ثواني]: ظهور شعارنا مع رسالة واضحة. Voiceover بنبرة حازمة ومباشرة.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C06-WA","[C06-WA] Carousel - ما تخدعكش العين! تعلم كيفاش تعرف الفراين الأصلية م","Carousel","ما تخدعكش العين! تعلم كيفاش تعرف الفراين الأصلية من المقلدة.","Slide 1: 5 حوايج تفرق بيهم بين الفراين الأصلية و المضروبة!

Slide 2: 1. التغليف و العلامة (Packaging):
الأصلي: العلبة تاعو متقونة، الطباعة واضحة، وفيها علامات أمان (هولوغرام). 
المقلد: العلبة رديئة، الألوان باهتة، وكاين أخطاء إملائية.

Slide 3: 2. الوزن و الملمس (Material):
الأصلي: أثقل في الوزن لأن المواد ذات جودة عالية، والملمس تاعو متجانس. 
المقلد: خفيف، ويبان فيه فراغات أو خشونة غير طبيعية.

Slide 4: 3. الأرقام التسلسلية (Serial Numbers):
الأصلي: كل قطعة عندها رقم تسلسلي محفور بليزر وبشكل دقيق. 
المقلد: الرقم مطبوع بجودة رديئة، أو غير موجود أصلاً.

Slide 5: 4. شهادة الضمان (Warranty):
الأصلي: دايماً يجي معاه وثيقة ضمان من الشركة المصنعة. 
المقلد: ما عندوش أي ضمان رسمي.

Slide 6: 5. السومة (Price):
الأصلي: سعره معقول ومناسب لجودته. 
المقلد: سعره رخيص بزاف لدرجة تثير الشك. إذا كانت الصفقة تبدو أفضل من أن تكون حقيقية، فهي غالباً كذلك!

Slide 7: وين تلقى المصدر الموثوق؟
عندنا في [اسم البراند]، نضمنلك الأصلي ونهنيوك من الشك. كل قطعة تجي بالضمان تاعها.","راك حاب تولي خبير في الفرامل؟ 👨‍🔧 احفظ هذا المنشور! 

 التفاصيل الصغيرة هي لي تصنع الفرق بين الأمان والكارثة.

في هذا الدليل السريع، راح نوريلك 5 طرق سهلة باش تفرق بين بلاكات الفران الأصلية والمقلدة كيما يدير الميكانيكي المحترف.

ماتخلي حتى واحد يخدعك. تعلم الصح واحمي روحك. 

 اسحب باش تولي خبير في الفراين وشارك المعلومة مع صحابك! 

 #دليل #تعليم #ميكانيك #اصنعها_بنفسك #diy #قطع_غيار_سيارات #نصائح_سيارات #الجزائر #dz","تصميم تعليمي ونظيف جداً. كل سلايد يستخدم أيقونة خاصة به (أيقونة علبة، ميزان، رقم تسلسلي...).
استخدام صور مقارنة واضحة (Side-by-side) بين القطعة الأصلية والمقلدة في كل خطوة. 
استخدام علامات (صح) باللون الأخضر على صور المنتج الأصلي وعلامات (خطأ) باللون الأحمر على المقلد. 
الخط يجب أن يكون سهل القراءة. 
السلايد الأخير يكون عبارة عن دعوة للثقة في علامتنا التجارية مع وضع الشعار بشكل بارز.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P07-WA","[P07-WA] Image - سلامتك أغلى من أي سومة رخيصة!","Image","سلامتك أغلى من أي سومة رخيصة!","سلامتك أغلى من أي سومة رخيصة!","رسالة لكل واحد يسوق... 💭 

 أحياناً، أرخص اختيار هو لي يجينا بأغلى تكلفة.

عندما يتعلق الأمر بسلامتك وسلامة الناس لي تحبهم، لا يوجد مجال للمساومة.

اختر الجودة. اختر الأمان. اختر الأصلي. 

 استثمر في الأصلي، تستثمر في حياتك. 

 #السلامة_أولا #حياتك_أغلى #تذكير #نصيحة_اليوم #سيارات #الجزائر #dzpower","صورة مؤثرة وقوية. يمكن أن تكون صورة مقربة ليد أب يمسك بيد طفله داخل السيارة، مع التركيز على الشعور بالحماية والمسؤولية. أو صورة تعرض بطاقة سعر رخيصة بجانب صورة لحادث سيارة (بشكل غير مباشر). النص مكتوب بخط كبير وواضح يغطي جزءاً كبيراً من الصورة. الألوان يجب أن تكون جادة لتعكس أهمية الرسالة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V08-WA","[V08-WA] Video - نوريلك بعينيك... علاش الثقة تاعك فينا هي الصح.","Video","نوريلك بعينيك... علاش الثقة تاعك فينا هي الصح.","(موسيقى هادئة وواثقة)
كل يوم، توصلنا آلاف قطع الغيار.
بصح ماشي كل قطعة عندها الحق تدخل للمخزن تاعنا.
هنا تبدا خدمتنا.
(لقطات لعملية الفحص)
كل علبة تتفتح... كل قطعة تتفحص.
نتأكدو من الختم، من الرقم التسلسلي، من الوزن... من كل تفصيل صغير.
هذا ماشي مجرد عمل... هادي هي مسؤوليتنا تجاهك.
(لقاء سريع مع خبير في الفريق)
الخبرة تاعنا تخلينا نعرفو المضروب من الأصلي على بعد كيلومتر.
لأن الثقة لي تمدوهالنا... هي أمانة.
وحنا هنا باش نكونو قد هاد الأمانة.
[اسم البراند] ماشي مجرد بائع... حنا شريكك في أمان سيارتك.","ادخل معانا وشوف واش يصرا خلف الكواليس! 🤫 

 تساءلت يوماً كيفاش نضمنولك بلي كل قطعة تديها من عندنا أصلية 100%؟

الأمر ماشي ساهل! هو عبارة عن عملية دقيقة من الفحص والتحقق والخبرة الطويلة.

في هذا الفيديو، نفتحولك أبوابنا باش تشوف بعينيك الالتزام تاعنا بالجودة والثقة. لأن راحت بالك تبدأ من هنا. 

 تأكد من اختيارك للثقة و الجودة! زورنا أو اتصل بنا اليوم. 

 #خلف_الكواليس #الجودة #الثقة #خبراء_السيارات #قطع_غيار_مضمونة #الجزائر #dzteam","الأسلوب: وثائقي وقصصي (Storytelling). إضاءة احترافية ودافئة.
[0-5 ثواني]: لقطات سينمائية جميلة لداخل مستودع أو ورشة نظيفة ومنظمة. الهوك يظهر على الشاشة.
[5-15 ثواني]: Voiceover يبدأ. نرى موظفين (بما فيهم الوجه الإعلامي) يرتدون ملابس عمل عليها الشعار، وهم يقومون بعملية فحص دقيقة لقطع الغيار. كلوز آب على أيديهم وهم يتفحصون الأرقام التسلسلية والمواد.
[15-20 ثواني]: لقطة مقابلة سريعة مع خبير أو مسؤول يتحدث بثقة عن معايير الجودة (صوته قد لا يكون مسموعاً بالكامل، والـ Voiceover يكمل المعنى).
[20-25 ثواني]: لقطات لقطع غيار أصلية مرصوصة بعناية على الرفوف، جاهزة للعملاء. يظهر عامل وهو يسلم قطعة لعميل مبتسم.
[25-30 ثواني]: لقطة ختامية للشعار مع السلوغان ""سيارتك تستاهل الصح، معانا تلقى الأصل وترتاح"". الموسيقى تصل إلى ذروتها الإيجابية.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C09-WA","[C09-WA] Carousel - عندك شك في الضمانات؟ كل أجوبتك هنا!","Carousel","عندك شك في الضمانات؟ كل أجوبتك هنا!","Slide 1: كلشي على الضمان و الثقة في قطع الغيار تاعنا! (أسئلتكم... أجوبتنا)

Slide 2: س: وشنو هي أنواع الضمان لي تقدموها؟
ج: كل قطعة أصلية نبيعوها تجي مع ضمان الشركة المصنعة الرسمي. المدة تختلف حسب نوع القطعة والشركة، وفريقنا راح يشرحلك كل التفاصيل قبل الشراء.

Slide 3: س: كيفاش تتم عملية استرجاع القطع؟
ج: إذا كان فيه أي عيب مصنعي في القطعة (وهذا نادر جداً)، عملية الاستبدال أو الاسترجاع تتم بكل سهولة وبشروط واضحة ومكتوبة في فاتورة الشراء تاعك. هدفنا هو رضاك التام.

Slide 4: س: كيفاش نقدر نتأكد من أصالة القطعة بعد ما نشريها؟
ج: حنا نشجعوك! تقدر تتأكد من الرقم التسلسلي للقطعة في الموقع الرسمي للشركة المصنعة. الشفافية هي أساس الثقة بيناتنا.

Slide 5: فريقنا في الخدمة!
مازال عندك أسئلة؟ فريق الخبراء تاعنا راهو هنا باش يجاوب على كل استفساراتك ويساعدك تختار القطعة المناسبة لسيارتك. ماتحشمش، سقسينا!","الضمان؟ الاسترجاع؟ الأصالة؟ 🤔 كل الأجوبة لي تحتاجها. 

 الثقة ماشي كلمة تتقال برك، الثقة أفعال وضمانات واضحة.

جمعنالكم أكثر الأسئلة لي توصلنا حول سياسة الضمان والجودة، وجاوبنا عليها بكل شفافية.

لأننا نؤمن أن عميل على دراية هو عميل مطمئن. 

 اسحب لمعرفة كل التفاصيل لي تضمنلك حقك وراحة بالك! 

 #أسئلة_شائعة #ضمان #ثقة #خدمة_العملاء #قطع_غيار #الجزائر #dzbusiness","تصميم على شكل أسئلة وأجوبة (Q&A). كل سلايد بخلفية نظيفة وموحدة. السؤال يكون بخط أغمق أو أكبر من الجواب. استخدام أيقونات بسيطة (أيقونة ضمان، أيقونة استرجاع، أيقونة تحقق). السلايد الأخير يحتوي على صورة لفريق العمل أو أيقونة خدمة العملاء مع معلومات الاتصال.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P10-WA","[P10-WA] Image - سيارتك تستاهل الصح، معانا تلقى الأصل وترتاح.","Image","سيارتك تستاهل الصح، معانا تلقى الأصل وترتاح.","سيارتك تستاهل الصح، معانا تلقى الأصل وترتاح.","القرار الأخير... هو الأهم. ✅ 

 بعد كل الكلام، يبقى اختيار واحد: هل تختار الشك والقلق، أو تختار الثقة وراحة البال؟

في [اسم البراند]، اختيارك واضح.

نحن لسنا مجرد متجر لقطع الغيار، نحن شريكك في الحفاظ على سلامة سيارتك وأمان عائلتك.

سيارتك تستاهل الصح، معانا تلقى الأصل وترتاح. 

 ماتخليش الشك يدمر سيارتك! اتصل بنا درك و اقتني الأصلي! 

 #الاختيار_الصحيح #الجودة_أولا #الثقة #علامة_تجارية #قطع_غيار_أصلية #الجزائر #madeindz #dzmotors","تصميم قوي يركز على العلامة التجارية (Branding). شعار [اسم البراند] يكون في الوسط بشكل كبير وواضح. تحته مباشرة، يُكتب السلوغان (الهوك) بخط احترافي ومقروء. الخلفية تكون بلون سادة من ألوان الهوية البصرية للعلامة، أو صورة عالية الجودة لقطعة غيار أصلية ومهمة (مثل محرك أو علبة سرعة) مع تمويه خفيف. التصميم يعكس الثقة والاحترافية المطلقة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
