Project Name,Opportunity ID,Opportunity Name,Creative Format,Hooks,scripts,Ad Copy,Technical Directions,Opportunity Owner,Pipeline,Contact Id
"Wayso Project","V01-WA","[V01-WA] Video - -","Video","-","تحليل السوق، بناء الاستراتيجية، وهندسة رحلة العميل.","-","-","Abdellah Chaaban","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V02-WA","[V02-WA] Video - راك تخدم شهور باش تشري سيارة... و مبعد تخلي قيمتها","Video","راك تخدم شهور باش تشري سيارة... و مبعد تخلي قيمتها تذوب قدام عينيك؟","(صوت قلق) سيارتك ماشي مجرد وسيلة نقل... هي استثمار.
وكل يوم، هذا الاستثمار راهو ينقص.
(صوت واثق) التشققات، البهتان، الأوساخ... ماشي مجرد منظر ماشي شباب. هذي دراهمك لي راهي تروح.
بصح كاين حل.
أنا سليمان شاكر، ومهمتي ماشي نظافة برك، مهمتي نحمي قيمة سيارتك.
بخبرتنا، نرجعو الجلد لحالته الأصلية ونحميو كل تفصيلة لداخل.
هذا ماشي كمالية، هذا قرار ذكي باش تحافظ على استثمارك.
شوف الفرق... من سيارة تفقد قيمتها، لقطعة فنية تزيد قيمتها.
الفخامة تبدا من الداخل، وقيمة سيارتك ثاني.","سيارتك راهي تفقد من قيمتها كل يوم وانت ماشي فايق! 

 كل تشقق صغير في الجلد وكل بقعة على المقاعد هي إنذار بأن استثمارك راهو في خطر. ماشي لازم تستنى حتى يفوت الفوت!

مع خبرة سليمان شاكر، حنا منرجعولهاش اللمعان برك، بل نحميو قيمتها المالية على المدى الطويل. خدمتنا هي درع يحمي سيارتك من التآكل ويضمنلك شعور الفخامة في كل مرة تفتح فيها الباب.

خبرة سليمان شاكر: فخامة تشوفها وقيمة تحافظ عليها. 

 احجز استشارتك المجانية اليوم واكتشف كيف نحافظ على قيمة وفخامة سيارتك! اضغط هنا! 

 #سليمان_شاكر #حماية_السيارات #ديتايلينغ_الجزائر #فخامة #استثمار #سيارات_الجزائر #الجزائر","[مشهد 1: لقطة افتتاحية صادمة] Split screen. على اليسار: مقعد سيارة فخم جديد ولامع. على اليمين: نفس المقعد بالي، متشقق، وباهت. حركة سريعة وموسيقى درامية.
[مشهد 2: لقطات مقربة (Close-up)] لقطات مقربة جداً على تشققات الجلد، بقع على القماش، غبار في أماكن صعبة. إضاءة خافتة لإظهار العيوب. نبرة الصوت قلقة.
[مشهد 3: ظهور الخبير] انتقال سلس لـ سليمان شاكر، واقف بثقة في ورشة عمل احترافية جداً ونظيفة. إضاءة دافئة. يرتدي لباس عمل براندد. نبرة صوته تصبح واثقة وهادئة.
[مشهد 4: لقطات العمل (B-Roll)] لقطات سينمائية لعملية التنظيف الاحترافية: استخدام آلات متخصصة، مواد عالية الجودة، التركيز على يديه الخبيرة وهي تعمل بدقة. تسريع طفيف للقطات (Timelapse).
[مشهد 5: التحول (The Reveal)] لقطات 'بعد' مبهرة. slow-motion بانورامي داخل السيارة وهي تبدو كأنها جديدة. إضاءة ساطعة تعكس اللمعان والنظافة. موسيقى ملهمة وراقية.
[مشهد 6: لقطة ختامية] سليمان شاكر يقف بجانب السيارة بعد التحول، ينظر للكاميرا بابتسامة خبير. يظهر النص على الشاشة مع CTA.","Islem Ben","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C03-WA","[C03-WA] Carousel - علاش لازم تحمي سيارتك من الداخل؟ الجواب ماشي كيما ","Carousel","علاش لازم تحمي سيارتك من الداخل؟ الجواب ماشي كيما راك تتخيل!","Slide 1: حافظ على قيمة سيارتك! هل تعلم أن الإهمال الداخلي قادر يخفضلك سعرها بأكثر من 20% وقت البيع؟
Slide 2: المشكلة الحقيقية: الشمس، الاحتكاك اليومي، الأوساخ والبقع ماشي برك يفسدو المنظر... بل يتلفو المواد الأصلية للسيارة ويصعب تصليحها.
Slide 3: الحل الاحترافي: في ورشة سليمان شاكر، نتبعو خطوات مدروسة: تشخيص دقيق، تنظيف عميق بآلات متخصصة، معالجة الجلد أو القماش بمواد عالمية، وأخيراً طبقة حماية تدوم طويلاً.
Slide 4: الفوائد ليك: 1- قيمة إعادة بيع أعلى. 2- شعور بالفخامة والراحة كل يوم. 3- راحة البال بأن استثمارك محمي.
Slide 5: الفرق واضح: التنظيف العادي يمسح الغبرة السطحية. خدمتنا تعالج، تحمي، وترجع السيارة لحالة الوكالة.
Slide 6: استثمارك يستاهل الأفضل. استشر خبير قبل ما تخسر أكثر.","ماشي مجرد نظافة... استثمار يرجعلك فايدة! 

 الكثير يعتقد أن العناية بالسيارة من الداخل هي رفاهية، بصح الحقيقة أنها من أذكى القرارات المالية لي تقدر تديرها.

في هذا الكاروسال، نكشفلك علاش حماية مقصورة سيارتك هي استثمار مباشر في قيمتها وكيفاش خدمتنا الاحترافية تضمنلك نتيجة تشوفها بعينيك وتحسها في جيبك.

اسحب لليمين واكتشف السر. 

 اضغط للتعرف على سر الحفاظ على استثمارك الثمين! 

 #تعليم #سيارات #استثمار #ديتايلينغ #نصائح_سيارات #الجزائر #قيمة_السيارة #سليمان_شاكر","Slide 1: صورة مقربة جداً على عداد سيارة فخمة مع نص جذاب بخط عريض.
Slide 2: صورة مقسومة، نصف يظهر جلد متشقق والنصف الآخر قماش عليه بقع. استخدام أيقونات (شمس، احتكاك) للتوضيح.
Slide 3: تصميم إنفوجرافيك بسيط يوضح الخطوات الثلاث (تشخيص، معالجة، حماية) مع أيقونات لكل خطوة. الخلفية صورة للورشة.
Slide 4: استخدام تصميم ثلاثي الأعمدة، كل عمود فيه أيقونة ومنفعة مكتوبة تحته. خط نظيف وواضح.
Slide 5: صورة مقارنة 'قبل/بعد' واضحة جداً. كلمة 'تنظيف عادي' فوق صورة 'قبل' و 'خبرة سليمان شاكر' فوق صورة 'بعد'.
Slide 6: صورة لسليمان شاكر يبدو فيها خبيراً وواثقاً، مع CTA واضحة في الأسفل.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P04-WA","[P04-WA] Image - الخبرة ماشي واش نخدمو... الخبرة هي علاش نخدمو.","Image","الخبرة ماشي واش نخدمو... الخبرة هي علاش نخدمو.","سليمان شاكر: ""خدمتنا ماشي مجرد تنظيف، هي استثمار في فخامة سيارتك وراحة بالك.""","الفرق بين الهاوي والخبير... في التفاصيل. 

 كل سيارة نتعاملو معاها هي قصة ثقة ومسؤولية.

خبرتنا هي ضمان ليك بأن كل تفصيلة صغيرة في سيارتك راح تاخذ العناية لي تستحقها. لأننا نؤمن أن الفخامة الحقيقية هي راحة البال لما تعرف أن استثمارك في أيدٍ أمينة.

خبرة سليمان شاكر: فخامة تشوفها وقيمة تحافظ عليها. 

 اكتشف خدماتنا! 

 #ثقة #خبرة #احترافية #سليمان_شاكر #جودة #سيارات_فخمة #الجزائر #ديتايلينغ_احترافي","التصميم: صورة 'قبل/بعد' قوية جداً لمقعد سيارة فارهة. في الجزء السفلي من الصورة، يوضع الاقتباس بخط أنيق وواضح (Serif font). شعار 'سليمان شاكر' يوضع في زاوية بشكل غير مزعج. التركيز الكلي على قوة التحول البصري.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V05-WA","[V05-WA] Video - غلطة وحدة في ورشة ماشي محترفة... تقدر تكلفك أغلى م","Video","غلطة وحدة في ورشة ماشي محترفة... تقدر تكلفك أغلى من السيارة.","راك فرحان... ديت سيارتك لورشة باش ينظفوهالك بسعر مغري.
(صوت يتغير ليصبح قلقاً) بصح... واش من مواد راهم يستعملو؟
هل عندهم الخبرة باش يتعاملو مع الجلد الطبيعي؟
(موسيقى متوترة) غلطة وحدة... منتج غالط... يقدر يتلفلك المقاعد للأبد.
تشققات... بهتان اللون... تلف دائم!
هذيك الدراهم لي كنت حاسب ربحتها... راح تخسرها أضعاف في التصليح.
ولا الأسوأ... تخسرها في قيمة سيارتك لي طاحت للأرض.
ماتغامرش باستثمارك.","أكبر خطأ يرتكبه أصحاب السيارات في الجزائر! 

 السعر الرخيص في البداية، قادر يكون هو أغلى غلطة تديرها في حق سيارتك.

الورشات غير المحترفة تستعمل مواد تجارية قادرة تتلفلك الجلد، تبهت اللون، وتسبب أضرار دائمة تكلفك آلاف الدينارات لتصليحها... هذا إذا قدرت تصلحها أصلاً.

قبل ما تسلم مفاتح سيارتك، شوف هذا الفيديو واعرف كيفاش تحمي استثمارك من خطأ واحد قادر يندمك. 

 لا تخلي سيارتك ضحية، استشر الخبراء. اضغط هنا لتصحيح الأخطاء! 

 #تحذير #سيارات_الجزائر #ورشة_تصليح #ديتايلينغ #خسارة #احتيال #حماية_المستهلك #سليمان_شاكر","[مشهد 1: لقطة UGC] لقطة تبدو وكأنها مصورة بهاتف، لشخص يصور سيارته من الداخل وهو يقول 'شوفو واش صرا للجلد!'.
[مشهد 2: Motion Graphics] رسوم متحركة بسيطة تظهر علامة '؟' فوق عبوات مواد تنظيف مجهولة. ثم تظهر علامة 'X' حمراء كبيرة.
[مشهد 3: لقطات مقربة سلبية] لقطات مقربة جداً لجلد تالف بسبب مواد كيميائية خاطئة، خيوط مقطعة، لون باهت بشكل غير طبيعي. موسيقى تصويرية متوترة.
[مشهد 4: Motion Graphics] رسم بياني بسيط يوضح سهم سعر السيارة وهو يهبط للأسفل بسرعة، مع صوت خسارة.
[مشهد 5: لقطة ختامية] شاشة سوداء يظهر عليها النص: 'المغامرة تكلف غالياً. اختر الخبرة.' ثم يظهر شعار سليمان شاكر.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C06-WA","[C06-WA] Carousel - 3 علامات تقولك بلي سيارتك من الداخل راهي في خطر حق","Carousel","3 علامات تقولك بلي سيارتك من الداخل راهي في خطر حقيقي!","Slide 1: سيارتك راهي تبعتلك في إشارات تحذير! هل أنت تشوف فيها؟ تجاهلها يكلفك غالي.
Slide 2: العلامة 1: بهتان وتشققات. ماشي مجرد علامة تاع قدم، بل دليل على أن الجلد فقد الترطيب تاعه وراهو معرض للتلف الكامل. السبب؟ الشمس والمواد الغالطة.
Slide 3: العلامة 2: روائح كريهة. الرائحة لي متحبش تروح ماشي مجرد إزعاج. قادرة تكون دليل على وجود بكتيريا وعفن تحت المقاعد، وهذا خطر على صحتك وصحة عائلتك.
Slide 4: العلامة 3: ملمس خشن أو جاف. كي تلمس المقاعد وتحسها ماشي ناعمة كيما كانت، هذا إنذار أخير قبل ما تبدأ مرحلة التآكل والتلف الدائم لي تصليحه شبه مستحيل.
Slide 5: الحل الوقائي: الصيانة الدورية الاحترافية ماشي رفاهية. هي لي تحميك من كل هذا. نستعملو مواد مخصصة ترطب، تحمي، وتنظف بعمق باش نتفاداو الكارثة.
Slide 6: ما تستناش حتى تولي مشكلة كبيرة. اكتشف الحلول الآن.","لا تتجاهل هذه العلامات في سيارتك! 

 سيارتك تتكلم معك... لكن بلغة الإشارات. تشقق صغير أو رائحة خفيفة اليوم، قادرة تكون مشكلة كبيرة ومكلفة غداً.

في هذا الكاروسال، نبهناك للعلامات التحذيرية الثلاثة الأخطر لي لازم كل مالك سيارة يعرفها.

اسحب لليمين وتعلّم كيفاش تقرا هذي الإشارات وتحمي استثمارك قبل فوات الأوان. 

 تعرف على الحلول قبل فوات الأوان! 

 #صيانة_سيارات #نصائح #تحذير #مشاكل_سيارات #ديتايلينغ #الجزائر #سليمان_شاكر #وقاية","Slide 1: صورة درامية لعلامة تعجب كبيرة فوق صورة داخلية لسيارة. استخدام ألوان تحذيرية (أصفر، أسود).
Slide 2: صورة مقربة جداً على تشقق في الجلد، مع أيقونة شمس صغيرة بجانبها.
Slide 3: تصميم غرافيكي يظهر أيقونات بكتيريا صغيرة بشكل كرتوني فوق رسم لمقعد سيارة، للتعبير عن الفكرة دون صور مقززة.
Slide 4: صورة يد تلمس مقعد سيارة، مع تركيز على نسيج الجلد الجاف. استخدام فلتر يبرز الجفاف.
Slide 5: صورة ليد خبير تضع مادة حماية على الجلد. الصورة يجب أن تبدو نظيفة جداً واحترافية.
Slide 6: CTA واضحة وكبيرة على خلفية نظيفة مع شعار سليمان شاكر.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P07-WA","[P07-WA] Image - راك من ضمن الـ 70% لي يخسرو دراهمهم في قيمة السيار","Image","راك من ضمن الـ 70% لي يخسرو دراهمهم في قيمة السيارة بلا ما يفيقو؟","هل تعلم؟
70% من القيمة المفقودة للسيارات المستعملة سببها المباشر هو الإهمال الداخلي والمظهر البالي.","إحصائية صادمة لكل مالك سيارة في الجزائر. 

 الرقم لا يكذب. 7 من كل 10 سيارات تفقد جزء كبير من قيمتها ليس بسبب المحرك أو الأعطال الميكانيكية، بل بسبب شيء يمكن التحكم فيه: الحالة الداخلية.

إهمال بسيط اليوم يعني خسارة مالية كبيرة غداً عند البيع.

قرارك اليوم يحدد قيمة استثمارك غداً. 

 احمِ سيارتك الآن! 

 #إحصائيات #خسارة_مالية #سوق_السيارات #الجزائر #استثمار #نصيحة_اليوم #سليمان_شاكر #قيمة_مضافة","التصميم: خلفية داكنة وأنيقة. الرقم '70%' مكتوب بحجم ضخم جداً ولون بارز (أحمر أو ذهبي). باقي النص مكتوب تحته بخط أصغر ولكن واضح جداً. التركيز البصري الكامل على الإحصائية الصادمة. شعار 'سليمان شاكر' في الأسفل.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V08-WA","[V08-WA] Video - كانو حاسبين سياراتهم خلاص راحت عليهم... اسمع واش ق","Video","كانو حاسبين سياراتهم خلاص راحت عليهم... اسمع واش قالو كي شافوها!","(شهادة 1 - صوت رجل أعمال) كنت حشمان ندي معايا كليون في سيارتي. بعد خدمة سليمان شاكر، وليت نفتاخر بيها. رجعتلي الثقة.
(شهادة 2 - صوت سيدة) سيارتي عائلية، مع الدراري كانت حالتها حالة. كنت نظن مستحيل ترجع نظيفة. سليمان فاجأني، رجعت خير من لي كانت جديدة.
(شهادة 3 - صوت شاب) نحب سيارتي ونحب تبان دايماً TOP. جربت بزاف ورشات، بصح الدقة والاحترافية تاع سليمان شاكر وحدها. التفاصيل هي كلش.
(صوت سليمان شاكر الختامي) فرحة كل عميل هي أكبر نجاح لينا. حنا منخدموش على السيارات، نخدمو على الثقة.","النتيجة تتكلم وحدها... والعملاء يشهدون! 

 لا تأخذ كلمتنا كأمر مسلم به، بل اسمع مباشرة من الناس الذين وضعوا ثقتهم في خبرة سليمان شاكر وشاهدوا التحول بأعينهم.

من الإحراج إلى الفخر، ومن اليأس إلى الدهشة. هذه ليست مجرد شهادات، بل هي قصص حقيقية عن استثمارات تم إنقاذها وثقة تم استعادتها.

شاهد الفيديو واكتشف بنفسك لماذا يختاروننا. 

 جاهز باش تشوف سيارتك كيما جامي شفتها؟ احجز موعدك اليوم! 

 #شهادات_عملاء #زبائن_راضون #ثقة #نتائج_مضمونة #ديتايلينغ_الجزائر #سليمان_شاكر #فخامة #الجزائر","[مشهد 1: لقطات 'بعد' سينمائية] الفيديو يبدأ بلقطات جمالية وبطيئة جداً للسيارات بعد الخدمة. إضاءة مثالية، لمعان، نظافة فائقة. موسيقى راقية وملهمة.
[مشهد 2: شهادات العملاء] نسمع أصوات العملاء (Voice Over) بينما نرى لقطات للسيارات المعنية. يمكن إظهار أجزاء من وجوه العملاء وهم يبتسمون (دون الكشف الكامل عن هويتهم للحفاظ على الخصوصية) أو لقطات لهم وهم يستلمون مفاتيح سياراتهم بسعادة.
[مشهد 3: التركيز على التفاصيل] مع كل شهادة، يتم عرض لقطات مقربة جداً للتفاصيل التي يتحدث عنها العميل (الجلد اللامع، القماش النظيف، انعدام الغبار).
[مشهد 4: لقطة ختامية] لقطة لسليمان شاكر وهو يسلم المفتاح لعميل مبتسم. يظهر النص والـ CTA على الشاشة.","Islem Ben","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C09-WA","[C09-WA] Carousel - ماشي حنا لي نقولو خدمتنا هي الأفضل... هوما لي يقول","Carousel","ماشي حنا لي نقولو خدمتنا هي الأفضل... هوما لي يقولو!","Slide 1: واش راهم يقولو علينا؟ شوف بعينيك قصص نجاح حقيقية لعملاء وضعوا ثقتهم في خبرة سليمان شاكر.
Slide 2: ""السيارة رجعت كأنها خرجت من المصنع اليوم. خدمة احترافية ودقة في المواعيد. شكراً سليمان."" - محمد. أ.
Slide 3: ""كنت على وشك تغيير مقاعد سيارتي بالكامل. سليمان أنقذ الموقف وأنقذني من تكلفة كبيرة. النتيجة فاقت توقعاتي."" - فاطمة. ز.
Slide 4: ""أفضل استثمار درتو في سيارتي. كل دينار يستاهل. التعامل راقي والنتيجة مبهرة."" - كريم. ب.
Slide 5: علاش يختارونا؟ لأننا نقدم أكثر من مجرد خدمة: نقدم ثقة، خبرة مثبتة، ونتائج تدوم طويلاً.
Slide 6: الثقة تاعكم هي لي تصنع نجاحنا. انضم لعائلتنا الراضية.","أقوى دليل على جودتنا؟ ثقة عملائنا. 

 في سوق مليء بالوعود، نحن نفضل ترك النتائج تتحدث بنفسها، وعملائنا يشاركون قصصهم.

كل اقتباس في هذا الكاروسال هو شهادة حقيقية على التزامنا بالجودة والاحترافية.

اسحب لليمين وشوف علاش خبرة سليمان شاكر هي الخيار رقم واحد للباحثين عن الأفضل. 

 ثقة العملاء هي سر نجاحنا! تواصل معنا! 

 #اراء_العملاء #social_proof #ثقة #جودة #الجزائر #ديتايلينغ #سيارات #سليمان_شاكر","Slide 1: تصميم أنيق بخلفية فاخرة، مع عنوان جذاب واستخدام أيقونات 'اقتباس'.
Slide 2: صورة 'بعد' مذهلة لداخلية سيارة سيدان فخمة. الاقتباس مكتوب بخط واضح وأنيق، واسم العميل في الأسفل.
Slide 3: صورة 'بعد' رائعة لداخلية سيارة SUV عائلية. نفس نسق التصميم للاقتباس.
Slide 4: صورة 'بعد' لسيارة رياضية أو كوبيه. نفس نسق التصميم للحفاظ على الهوية البصرية.
Slide 5: تصميم إنفوجرافيك بسيط يلخص 3 نقاط قوة (ثقة، خبرة، نتائج) باستخدام أيقونات جذابة.
Slide 6: صورة لسليمان شاكر وهو يصافح عميلاً (دون إظهار وجه العميل بوضوح)، مع CTA واضحة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P10-WA","[P10-WA] Image - سيارتك ماشي مجرد حديد... هي جزء من هويتك.","Image","سيارتك ماشي مجرد حديد... هي جزء من هويتك.","الفخامة تبدأ من الداخل.","بعض التفاصيل... تحدث كل الفرق. 

 سيارتك هي انعكاس لذوقك وشخصيتك. الاهتمام بأدق تفاصيلها الداخلية ليس مجرد صيانة، بل هو تعبير عن تقديرك للفخامة والجودة.

امنح سيارتك العناية التي تستحقها، ودعها تحكي قصة أناقتك.

خبرة سليمان شاكر: فخامة تشوفها وقيمة تحافظ عليها. 

 خلي سيارتك تحكي قصة الفخامة. احجز موعدك! 

 #فخامة #أناقة #تفاصيل #سيارات_فخمة #lifestyle_dz #الجزائر #سليمان_شاكر #جودة_عالية","التصميم: صورة فوتوغرافية فنية ومبهرة للغاية لقطعة واحدة من داخل السيارة بعد الخدمة (مثلاً، مقبض الباب الجلدي مع الخياطة، أو جزء من المقود). الإضاءة والزاوية يجب أن تكونا احترافيتين جداً لتعطي شعوراً بالإعلان عن ساعة فاخرة. النص 'الفخامة تبدأ من الداخل' يكتب بخط يدوي (Script font) أنيق وصغير.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
