Project Name,Opportunity ID,Opportunity Name,Creative Format,Hooks,scripts,Ad Copy,Technical Directions,Opportunity Owner,Pipeline,Contact Id
"Wayso Project","V01-WA","[V01-WA] Video - -","Video","-","تحليل السوق، بناء الاستراتيجية، وهندسة رحلة العميل","-","-","Abdellah Chaaban","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V02-WA","[V02-WA] Video - راك حاسب المشكل في شعرك؟ لا، المشكل الحقيقي خداو م","Video","راك حاسب المشكل في شعرك؟ لا، المشكل الحقيقي خداو منك دراهمك وخلاوك بيه.","شحال من خطرة شريت زيت للشعر على أساس يحل المشكل... وفي التالي، لقيت روحك خسرت دراهمك وثقتك؟
المشكل الحقيقي ماشي في شعرك... المشكل راه في طريقة العلاج لي كانت غالطة.
الزيوت التقليدية، 90% منها تبقى فوق جلدة الراس، وما توصلش للجذور. يعني فائدتها شبه منعدمة.
لكن اليوم، هاد المشكل خلاص.
نقدمولك نظام Oleum. ماشي مجرد زيت، بل نظام علاجي متكامل يغير كلش.
السر تاعنا؟ هو الامتصاص المضاعف.
زيت Oleum بتركيبته الفريدة، مع جهاز التدليك الذكي اللي يفتح المسامات ويوصل كل قطرة لعمق الجذور.
النتيجة؟ ماشي مجرد وعود. شوف بعينيك... (مقاطع لشهادات بصرية سريعة).
باش نزيدو نطمنوك... جلسة علاج واحدة في عيادة متخصصة تكلفك آلاف الدنانير لنتيجة مؤقتة.
نظام Oleum الكامل، اللي هو عيادتك الخاصة في الدار، يجيك بسعر أقل من جلسة واحدة!
والأهم... رانا متأكدين من النتيجة لدرجة أننا نقدملك ضمان ذهبي.
جرب نظام Oleum، وإذا ما شفتش النتيجة اللي تسناها، دراهمك يرجعولك كاملين. بلا حتى سؤال.
هادي هي ثقتنا في Oleum. وهادي هي فرصتك باش تسترجع شعرك... وثقتك.","خسرت دراهمك على وعود فارغة؟ اليوم تفهم علاش وترجع حقك.

تعبت من زيوت الشعر اللي ما تجيب حتى نتيجة؟ السر ماشي في شعرك، السر في الامتصاص!

اكتشف في هذا الفيديو كيف نظام Oleum الثوري يحل المشكل من جذوره، ويضمنلك وصول كل الفوائد لعمق بصيلات الشعر بفضل تقنية الامتصاص المضاعف.

عيادة متكاملة في دارك، بسعر أقل من جلسة وحدة، وبضمان استرجاع أموالك 100% إذا ما شفتش نتيجة.

اكتشف السر الكامل لشعر صحي وثقة ما تتقدرش بثمن! اضغط هنا وتعرف على نظام Oleum المتكامل.

#OleumSystem #علاج_الشعر #تساقط_الشعر_الجزائر #الامتصاص_المضاعف #صحة_الشعر #عناية_بالشعر_الجزائر #منتجات_جزائرية","[مونتاج بن صايبي - بانورامي فاخر]
- افتتاحية (Pain): لقطات سريعة لمنتجات زيوت شعر قديمة مرمية، شخص ينظر للمرآة بخيبة أمل. إضاءة خافتة.
- كشف المشكل (Agitate): موشن جرافيك بسيط يوضح كيف الزيت التقليدي يبقى فوق فروة الرأس (طبقة دهنية) ولا يخترقها.
- تقديم الحل (Solution): لقطة سينمائية تظهر فيها علبة Oleum الفاخرة تُفتح ببطء. إضاءة ساطعة ونظيفة. موسيقى ملهمة تبدأ في الخلفية.
- عرض الآلية (Mechanism): لقطات مقربة (Macro) للزيت وهو يُطبق، ثم لقطات للجهاز وهو يعمل على فروة الرأس مع إظهار اهتزازات خفيفة. يمكن استخدام مؤثرات بصرية لإظهار 'الاختراق'.
- الدليل الاجتماعي (Proof): مونتاج سريع لصور 'قبل/بعد' إيحائية (التركيز على كثافة الشعر وليس الوجوه) أو مقاطع UGC قصيرة لأشخاص يبتسمون وهم يمررون أيديهم في شعرهم.
- مقارنة القيمة (Value): تقسيم الشاشة. على اليسار 'عيادة - 15,000 دج (جلسة واحدة)'. على اليمين 'نظام Oleum - سعر أقل (علاج دائم)'.
- كسر الاعتراض (Risk Reversal): الوجه الإعلامي ينظر مباشرة للكاميرا بنبرة واثقة وحاسمة عند ذكر الضمان. يظهر ختم 'ضمان ذهبي 100%' على الشاشة.
- الختام: لقطة بطل للمنتج مع CTA واضح.","Islem Ben","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C03-WA","[C03-WA] Carousel - السر اللي شركات التجميل ما يحبوكش تعرفو: المشكل ما","Carousel","السر اللي شركات التجميل ما يحبوكش تعرفو: المشكل ماشي في الزيت، المشكل في الامتصاص.","Slide 1: وعود الشعر الكاذبة... علاش أغلب الزيوت ما خدمتش معاك؟
Slide 2: المشكل الحقيقي: الامتصاص الضعيف. الزيوت التقليدية تبقى فوق جلدة الراس كطبقة دهنية، وما توصلش للجذور وين كاين المشكل الصح.
Slide 3: الحل العلمي: نظام Oleum. سيستام متكامل مصمم باش يحل مشكلة الامتصاص من أساسها.
Slide 4: مفتاح النجاح: جهاز Oleum الذكي. بفضل الاهتزازات المدروسة، يفتح المسامات ويضاعف امتصاص الزيت، باش يوصل مباشرة لعمق البصيلات.
Slide 5: النتيجة: ماشي مجرد شعر صحي... بل استعادة كاملة للثقة بالنفس. شعر أكثف، أقوى، وحياة جديدة.","كفاك إهداراً للمال! السر ليس في الزيت، بل في كيفية وصوله للجذور.

لسنوات، كنت تظن أن المشكلة في نوع الزيت، لكن الحقيقة أبسط وأعمق من ذلك.

في هذا الكاروسال، نكشف لك عن السبب الحقيقي لفشل معظم علاجات الشعر: الامتصاص الضعيف.

اسحب لليسار لتكتشف كيف يغير نظام Oleum قواعد اللعبة ويضمن لك نتائج حقيقية وملموسة.

تعرف على علم الشعر الجديد مع Oleum! اسحب لليسار باش تكتشف السر.

#علم_الشعر #امتصاص_الزيت #نظام_Oleum #علاج_تساقط_الشعر #شعر_صحي #الجزائر #dzbeauty","[تصميم عبد الرحمن - تعليمي وقصصي]
- Slide 1: خلفية درامية مع عنوان قوي. صورة لشخص محبط ينظر لزجاجات زيت.
- Slide 2: رسم بياني (إنفوجرافيك) بسيط جداً. سهم يوضح الزيت يتوقف عند سطح الجلدة. استخدام أيقونة 'X' حمراء.
- Slide 3: صورة فاخرة لعلبة نظام Oleum. استخدام أيقونة 'مفتاح' أو 'لمبة' لترمز للحل.
- Slide 4: صورة مقربة لجهاز Oleum وهو يعمل. استخدام خطوط أو أسهم متحركة لإظهار 'الامتصاص العميق'. أيقونة '2X Absorption'.
- Slide 5: صورة مشرقة لشخص يبدو واثقاً وسعيداً (لا يظهر الوجه كاملاً، التركيز على الشعر الصحي). استخدام ألوان دافئة ومشرقة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P04-WA","[P04-WA] Image - القوة ماشي فالزيت برك، القوة فالسيستام اللي يوصلو ","Image","القوة ماشي فالزيت برك، القوة فالسيستام اللي يوصلو للجدور.","الامتصاص المضاعف. النتائج المضمونة.","هنا تتوقف الوعود وتبدأ النتائج.

الكثير يبيعون الزيت، لكننا نمنحك النظام الذي يضمن وصوله.

نظام Oleum المتكامل هو الحل النهائي الذي يجمع بين تركيبة الزيت الفعالة والتكنولوجيا التي تضاعف امتصاصه.

لأن القوة الحقيقية ليست في المكونات فقط، بل في الطريقة التي تصل بها إلى جذور المشكلة.

شعر أقوى يبدأ من امتصاص أعمق. اكتشف نظام Oleum الآن!

#Oleum #نتائج_مضمونة #شعر_قوي #عناية_بالشعر #تكنولوجيا_الشعر #حلول_الشعر #الجزائر","[تصميم عبد الرحمن - Single Post]
- صورة احترافية وعالية الجودة لنظام Oleum الكامل (العلبة، زجاجة الزيت، والجهاز) على خلفية فاخرة وبسيطة (رخام أو خلفية داكنة مع إضاءة مركزة).
- النص 'الامتصاص المضاعف. النتائج المضمونة.' مكتوب بخط أنيق وواضح فوق الصورة أو أسفلها.
- التركيز على إظهار المنتج كـ 'بطل' المشهد.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V05-WA","[V05-WA] Video - ما ترميش دراهمك! قبل ما تشري أي زيت للشعر، لازم تش","Video","ما ترميش دراهمك! قبل ما تشري أي زيت للشعر، لازم تشوف هاد الفيديو وتفهم علاش 90% منها ما تخدمش.","السلام عليكم، اليوم حبيت نحكي معاكم على موضوع مهم بزاف.
كامل تحوسو على شعر صحي وكثيف، وشريتو أنواع وأشكال تاع الزيوت.
بصح أغلبكم ما لقاش نتيجة. وعلاش؟
(Problem) المشكل هو أنكم تعالجو في عرض ماشي في سبب.
تحط الزيت فوق شعرك، تحس باللي راه يلمع ومدهون، بصح في الحقيقة راهو قاعد غير من الفوق.
(Agitate) جلدة الراس عندها طبقة حماية طبيعية تمنع امتصاص أغلب المواد. الزيت يبقى سطحي، يسد المسام، وممكن حتى يزيد المشكل.
الدراهم اللي خسرتهم... راحو في منتج ما قدرش حتى يوصل للمكان اللي لازم يخدم فيه.
(Solution) الحل ماشي في زيت أغلى، الحل في نظام يضمن الامتصاص.
لازم تفهم أن الامتصاص هو المفتاح الأول والأخير لصحة الشعر.
كي تضمن باللي المكونات الفعالة توصل لعمق البصيلة، هنا تبدا تشوف النتائج الحقيقية.","السر المفقود الذي تخفيه عنك كل علامات زيوت الشعر!

هل تساءلت يوماً لماذا لا تعمل الزيوت التقليدية كما هو متوقع؟

في هذا الفيديو التعليمي، نكشف لك الحقيقة العلمية وراء ضعف الامتصاص، وكيف يمكن أن تكون قد أهدرت أموالك على حلول سطحية.

شاهد الفيديو لتفهم أساس المشكلة، وكيف يمكنك أخيراً الحصول على النتائج التي تستحقها.

فهم سر الامتصاص يغير كل شيء. اضغط هنا لتتعرف على الحل مع نظام Oleum.

#نصائح_شعر #معلومات_تهمك #الامتصاص #شعر_صحي #علاج_الشعر #خبراء_الشعر #Oleum_Educates #الجزائر","[تصوير أحمد/إسلام - تعليمي]
- الوجه الإعلامي يتحدث مباشرة إلى الكاميرا في بيئة نظيفة ومشرقة (مكتب أنيق أو استوديو بخلفية بيضاء).
- استخدام نبرة صوت موثوقة وهادئة، مثل خبير يقدم نصيحة.
- عند شرح 'المشكل'، تظهر على الشاشة رسوم بيانية متحركة بسيطة (موشن جرافيك) لتوضيح فكرة 'الزيت السطحي'.
- لقطات مقربة على الوجه الإعلامي لتعزيز الثقة والتواصل المباشر مع المشاهد.
- الإضاءة احترافية وناعمة.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C06-WA","[C06-WA] Carousel - علاش منتجات الشعر القديمة ما خدمتش معاك؟ الجواب في","Carousel","علاش منتجات الشعر القديمة ما خدمتش معاك؟ الجواب في كلمة وحدة: الامتصاص!","Slide 1: الامتصاص: مفتاح صحة الشعر اللي ما يقولوهولكش!
Slide 2: الزيوت التقليدية: تبقى فوق الشعر. فائدتها سطحية ومؤقتة، ولا تعالج المشكل من جذوره العميقة.
Slide 3: نظام Oleum يغير المعادلة: تركيبته الذكية وجهازه المتطور يضمنان وصول الزيت لأعمق نقطة في فروة الرأس.
Slide 4: صحة فروة الرأس تبدأ بالامتصاص الصحيح. امتصاص أفضل = تغذية أعمق = شعر أقوى وأكثر كثافة.","المعلومة التي ستغير نظرتك لكل منتجات الشعر!

توقف عن تجربة الحلول المؤقتة.

المشكلة الحقيقية ليست دائماً في المنتج، بل في عدم قدرته على الوصول إلى حيث يجب أن يعمل.

اسحب لليسار واكتشف العلم المبسط وراء الامتصاص، ولماذا هو العامل الأهم في صحة شعرك.

زيد تعلم على علم الامتصاص اللي يغير كلش. اسحب لليسار!

#صحة_الفروة #امتصاص_عميق #شعر_قوي #العناية_بالشعر #معلومات_علمية #Oleum #الجزائر","[تصميم عبد الرحمن - تعليمي]
- Slide 1: عنوان بارز وجذاب على خلفية نظيفة. يمكن استخدام أيقونة مفتاح أو قفل.
- Slide 2: إنفوجرافيك مقارنة بسيط: 'الزيوت التقليدية' مع سهم قصير يتوقف على السطح، مقابل 'نظام Oleum' مع سهم طويل يصل إلى جذر الشعرة (البصيلة).
- Slide 3: صورة مقربة عالية الجودة للجهاز مع الزيت، لإبراز الجانب التكنولوجي والعلمي.
- Slide 4: صورة نهائية تظهر شعر صحي ولامع مع نص يلخص الفائدة النهائية. استخدام ألوان مشرقة وصحية.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P07-WA","[P07-WA] Image - هذا ليس مجرد جهاز تدليك، هذه هي التكنولوجيا التي ت","Image","هذا ليس مجرد جهاز تدليك، هذه هي التكنولوجيا التي تضاعف النتائج.","تكنولوجيا الامتصاص المضاعف 2X","الدليل التكنولوجي الذي يميزنا عن البقية.

الزيت وحده لا يكفي.

جهاز الامتصاص الذكي من Oleum هو ما يحول علاجك المنزلي إلى جلسة احترافية. مصمم علمياً لضمان وصول كل قطرة من الزيت المغذي إلى أعمق نقطة في بصيلات شعرك.

هذه ليست إضافة، هذا هو أساس النتائج.

اكتشف القوة العلمية وراء جهاز Oleum.

#تكنولوجيا_Oleum #جهاز_الامتصاص #نتائج_مضاعفة #علاج_احترافي #العناية_بالشعر #ابتكار_جزائري","[تصميم عبد الرحمن - Single Post]
- صورة مقربة جداً (Macro) لجهاز Oleum وهو في اليد، مع التركيز على تفاصيله التكنولوجية.
- يمكن إضافة تأثير بصري خفيف يوحي بالاهتزازات أو الطاقة حول رأس الجهاز.
- الخلفية تكون تقنية أو طبية بسيطة (Hexagonal pattern or clean white).
- النص 'تكنولوجيا الامتصاص المضاعف 2X' يكون بارزاً وبخط حديث.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V08-WA","[V08-WA] Video - شحال من خطرة تيفيتي تخرج؟ شحال من خطرة تخاف من نظر","Video","شحال من خطرة تيفيتي تخرج؟ شحال من خطرة تخاف من نظرة الناس؟ اذا كان شعرك هو سبة هاد الشي... كمل الفيديو.","(صوت هادئ وعميق في الخلفية)
تحبس قدام المرايا... وتخاف تشوف الحقيقة.
تعيّا تبدل تسريحة شعرك باش تخبي الفراغات.
كي تكون مع الناس، تحسهم كامل يشوفو في شعرك... الثقة تاعك تروح.
صورة حاب تتصورها... بصح تتراجع.
مناسبة حاب تحضرلها... بصح تقعد في الدار.
ماشي ساهل... كي حاجة صغيرة كيما هادي، تولي تتحكم في حياتك الاجتماعية، في نفسيتك، في ثقتك بروحك.
حنا فاهمين هاد الإحساس.
وفاهمين باللي المشكل ماشي مجرد شعر يطيح...
المشكل هو جزء من روحك قاعد يطيح معاه.
لكن كاين أمل. وكاين حل.","الأمر لا يتعلق بالشعر فقط... أليس كذلك؟

إنه يتعلق بالثقة التي تهتز في كل مرة تنظر فيها إلى المرآة. يتعلق باللحظات الجميلة التي تتجنبها بسبب القلق من مظهرك.

إذا شعرت يوماً أن شعرك يؤثر على حالتك النفسية وحياتك الاجتماعية، فهذا الفيديو لك.

نحن نتفهم هذا الألم... ونقدم لك بداية جديدة.

حان الوقت لاسترجاع ثقتك بنفسك. اضغط هنا لترى كيف يمكن لـ Oleum أن يساعدك.

#الثقة_بالنفس #الألم_النفسي #استرجع_حياتك #علاج_الشعر #صحة_نفسية #Oleum_cares #الجزائر","[تصوير أحمد/إسلام - قصصي UGC]
- لقطات قصصية بدون حوار، تعتمد على التمثيل الصامت والموسيقى المؤثرة.
- مشهد لشخص يتجنب النظر في المرآة. مشهد لشخص يرفض التقاط صورة سيلفي. مشهد لشخص في تجمع اجتماعي يبدو منزوياً وقلقاً.
- استخدام إضاءة طبيعية، وأحياناً ظلال لتعميق الإحساس بالألم العاطفي.
- كاميرا محمولة باليد (Handheld) لإعطاء شعور بالواقعية والحميمية (UGC feel).
- التركيز على لغة الجسد والعيون. لا يجب أن يكون التمثيل مبالغاً فيه، بل طبيعياً وحقيقياً.
- في النهاية، تظهر لقطة أمل (شخص يبتسم بخفة) مع ظهور اسم 'Oleum' على الشاشة.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C09-WA","[C09-WA] Carousel - ماشي غير شعر... هادي ثقة وحياة جديدة! شوف كيفاش Ol","Carousel","ماشي غير شعر... هادي ثقة وحياة جديدة! شوف كيفاش Oleum يغير كلش.","Slide 1: ماشي مجرد شعر... إنها استعادة للثقة والحياة!
Slide 2: من قبل: القلق من كل مناسبة اجتماعية. الخوف من نظرات الناس وتجنب الظهور في الصور.
Slide 3: من قبل: الإحباط أمام المرآة كل صباح. الشعور بأنك أكبر سناً وأقل حيوية.
Slide 4: من بعد: الثقة في كل خطوة. الاستمتاع باللحظات الاجتماعية دون قلق. حب انعكاسك في المرآة.
Slide 5: Oleum لا يغير شعرك فقط. إنه يغير الطريقة التي ترى بها نفسك، والطريقة التي يعيش بها يومك.","التحول أعمق مما تتخيل.

القصة الحقيقية ليست عن نمو الشعر، بل عن نمو الثقة بالنفس من جديد.

اسحب لليسار لترى كيف يمكن لرحلة العناية بشعرك أن تكون رحلة لاستعادة حياتك الاجتماعية وراحتك النفسية.

شاهد التحول من القلق إلى الثقة.

قصص حقيقية... اكتشف التحول! اسحب لليسار.

#تحول #قبل_وبعد #استعادة_الثقة #قصص_نجاح #Oleum #حياة_جديدة #الجزائر","[تصميم عبد الرحمن - قصصي]
- استخدام أسلوب قصصي يعتمد على التباين في الألوان والمشاعر.
- Slide 2 & 3: صور بألوان باهتة أو بالأسود والأبيض. مشاهد توحي بالقلق والانعزال (شخص ينظر للأسفل، يد تغطي جزء من الرأس).
- Slide 4: صور بألوان زاهية ومشرقة. مشاهد توحي بالثقة والسعادة (شخص يضحك، يمشي بثقة، يلتقط سيلفي).
- Slide 5: صورة جميلة لنظام Oleum بجانب عبارة ملهمة. تصميم أنيق يجمع بين الأمل والفخامة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P10-WA","[P10-WA] Image - شعر كثيف، ثقة عالية. ماشي مجرد زيت، هادي استعادة ل","Image","شعر كثيف، ثقة عالية. ماشي مجرد زيت، هادي استعادة لروحك.","استثمر في ثقتك بنفسك.","أغلى ما تملك هو ثقتك بنفسك.

نظام Oleum ليس مجرد منتج تجميلي، إنه استثمار في حالتك النفسية وراحتك البالية.

لأننا نؤمن أن الشعر الصحي والكثيف هو أحد أعمدة الثقة بالنفس والمظهر الشبابي.

لا تتردد في الاستثمار في أغلى أصولك.

ثقتك تستاهل. ابدأ رحلتك مع Oleum.

#استثمار_في_الذات #ثقة_بالنفس #صحة_نفسية #جمالك_ثقتك #Oleum #الجزائر","[تصميم عبد الرحمن - Single Post]
- صورة فنية وأنيقة. يمكن أن تكون صورة ظلية (Silhouette) لشخص يقف بثقة، مع التركيز على خط الشعر الكثيف.
- الإضاءة درامية والتركيز على إيصال شعور القوة والثقة.
- النص 'استثمر في ثقتك بنفسك' مكتوب بخط فاخر وأنيق.
- شعار Oleum يكون صغيراً وأنيقاً في الزاوية.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
