Project Name,Opportunity ID,Opportunity Name,Creative Format,Hooks,scripts,Ad Copy,Technical Directions,Opportunity Owner,Pipeline,Contact Id
"Wayso Project","V01-WA","[V01-WA] Video - -","Video","-","تحليل السوق، بناء الاستراتيجية، وهندسة رحلة العميل","-","-","Abdellah Chaaban","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V02-WA","[V02-WA] Video - شحال تسوا كرامتك كي يطيحو بيها قدام الناس؟ وقتاش ت","Video","شحال تسوا كرامتك كي يطيحو بيها قدام الناس؟ وقتاش تكسر هاد السلسلة؟","(صوت نفس عميق وقلق)
تحس روحك شفاف... الناس تشوف فيك بصح مايشوفوكش.
كلامهم... نظراتهم... كل يوم نفس الحكاية.
""وقتاش تتسڨم؟""... ""شوف فلان وين وصل...""
تحس روحك ثقيل على داركم... عبء.
العمر يجري، والأحلام تذبال... والضياع يكبر.
(توقف قصير، تغيير في نبرة الصوت إلى أمل)
بصح... كاين طريق.
طريق ماشي غير باش تخدم... طريق باش ترجع قيمتك.
في ""العماد""، فهمنا بلي المشكل ماشي فيك... المشكل في البوصلة لي ضاعتلك.
علابيها بنينا برنامج يرجعلك زوج حوايج: الأمن في راسك، والصنعة في يدك.
الأمن الفكري باش تعرف شكون نتا ووين راك رايح.
وشهادة معتمدة... ماشي ورقة... هادي مفتاح يرجعلك كرامتك ومكانتك في المجتمع.
مع أساتذة ومرافقين يفهموك ويوجهوك، خطوة بخطوة.
ماشي وحدك. هادي المرة ماشي وحدك.
""العماد"" ماشي غير تكوين، ""العماد"" هو بداية جديدة لحياة تستاهلها.
شهادة تبني بيها حياتك، وعقلية تبدّل بيها حالتك.","عييت من نظرة الشفقة وكلام الناس؟ كاين حل يرجعلك قيمتك. 

 كل يوم تحس روحك بعيد على الطريق لي كنت تحلم بيه... تحس روحك عبء... وضايع بين الناس.

""العماد"" ماشي مجرد مركز تكوين، هو اليد لي راح تعاونك توقف على رجليك من جديد. نمدولك المفاتيح لي ضاعتلك: الأمن الفكري باش تصفي عقلك، وشهادة معتمدة باش تبني مستقبلك وترجع كرامتك.

شهادة تبني بيها حياتك، وعقلية تبدّل بيها حالتك. 

 الخطوة الأولى تبدا هنا. سجل دروك في برنامج ""العماد"" وغيّر طريقك للأفضل. الرابط في البايو. 

 #العماد #تكوين_الجزائر #شباب_الجزائر #تنمية_بشرية #الأمن_الفكري #شهادة_معتمدة #بداية_جديدة #الجزائر","[Master Video V1 - بن صايبي]
- **افتتاحية (0-5 ثواني):** لقطات مقربة جداً ومظلمة (Close-up) على شاب (20-25 سنة) في غرفته، نظراته تائهة. إضاءة خافتة من نافذة. صوت محيطي خافت مع صوت تنفس قلق مسموع. 
- **تصاعد المشكلة (5-15 ثانية):** لقطات سريعة (Quick cuts) تظهر مواقف تسبب الألم: الأب ينظر إليه بنظرة خيبة أمل، شباب من عمره يضحكون في الخارج، لقطة POV وهو ينظر في المرآة ولا يعجبه ما يرى. Motion graphics تظهر كلمات مثل ""فاشل""، ""ضايع"" تظهر وتختفي حول رأسه. صوت همسات غير مفهومة.
- **تقديم الحل (15-25 ثانية):** تتوقف الموسيقى. لقطة للشاب وهو يرفع رأسه نحو ضوء يدخل الغرفة. تظهر كلمة ""العماد"" بـ motion graphic أنيق ومشرق. تبدأ موسيقى ملهمة وهادئة.
- **شرح الحل (25-45 ثانية):** لقطات حية للشاب داخل مركز ""العماد"". يبتسم، يتفاعل مع أستاذ يتكلم معه بحنان أبوي. Motion graphics تظهر أيقونات: ""عقل (أمن فكري)"" و ""يد (شهادة معتمدة)"". لقطات سريعة لورشات عمل حقيقية.
- **النتيجة والتحول (45-55 ثانية):** لقطات مشرقة. الشاب يسلم على والديه وهو خارج للعمل، يضحك معهم. يظهر وهو في مكان عمله، واثق من نفسه. يحمل شهادته في يده بفخر.
- **الخاتمة (55-60 ثانية):** الوجه الإعلامي (بن صايبي) ينظر مباشرة للكاميرا بنبرة موثوقة ويقول الجملة الأخيرة. يظهر شعار ""العماد"" مع الـ CTA على الشاشة.","Islem Ben","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C03-WA","[C03-WA] Carousel - تحس روحك في متاهة بلا نهاية؟ ها كيفاش ""العماد"" يرس","Carousel","تحس روحك في متاهة بلا نهاية؟ ها كيفاش ""العماد"" يرسم لك طريق واضح.","Slide 1: ضياع، قلق، ومستقبل مجهول؟
ماشي وحدك لي تحس هاكا... وكاين حل جزائري يفهمك.

Slide 2: علاش تحس بالضياع؟
- كلام الناس ونظرة المجتمع.
- غياب الهدف والبوصلة في حياتك.
- الإحساس بأنك عبء على العائلة.
- الفراغ والروتين القاتل.

Slide 3: الحل ماشي مجرد شهادة، الحل هو عقلية جديدة!
""العماد"" يقدم لك معادلة النجاح:
الأمن الفكري (الثقة بالنفس) + شهادة معتمدة (القيمة في المجتمع).

Slide 4: كيفاش نساعدوك عمليًا؟
1. الأمن الفكري: ورشات وجلسات ترجعلك ثقتك وتصفي تفكيرك.
2. التخطيط للمستقبل: نعلموك كيفاش تحط أهداف وتحققها.
3. مرافقة شخصية: أساتذة وموجهون معاك خطوة بخطوة.

Slide 5: واش راح تربح؟
- الكرامة واحترام الذات.
- احترام الناس ونظرة فخر من عائلتك.
- مستقبل واضح وفرص عمل حقيقية.
- راحة البال.

Slide 6: علاش ""العماد"" هو خيارك الأفضل؟
- مركز جزائري 100% يفهم عقليتك ومجتمعك.
- برنامج متكامل يخدم على العقل واليد.
- مرافقة حقيقية ماشي مجرد دروس.

Slide 7: مستعد تبدا صفحة جديدة؟
حياتك لي تحلم بيها تبدا بقرار واحد.","ضايع بين الحيوط؟ افتح وشوف خريطة الطريق لمستقبلك. 

 التيهان لي راك تحس بيه ماشي قدر محتوم. هو مجرد غياب للخريطة الصحيحة.

في هذا الكاروسال، فككنالك المشكل والحل خطوة بخطوة. اكتشف كيفاش برنامج ""العماد"" المتكامل يعالج الأسباب العميقة للضياع، ويمدلك الأدوات باش تبني حياتك من جديد: ثقة بالنفس، وشهادة تفتحلك البيبان. 

 حمّل الدليل الكامل لبرنامج ""العماد"" من الرابط في البايو، واكتشف بالتفصيل كيف تقدر تبدا من اليوم! 

 #دليل_النجاح #العماد #مستقبلك #تطوير_الذات #حلول_للشباب #الجزائر #infographic","[Carousel C2 - عبد الرحمن]
- **النمط العام:** تصميم إنفوجرافيك عصري ونظيف. استخدام أيقونات ورسوم توضيحية بسيطة. ألوان العلامة التجارية ""العماد"" (دافئة وموثوقة).
- **Slide 1:** خلفية بصورة شاب ينظر من نافذة بشكل يوحي بالأمل. النص بخط عريض وواضح.
- **Slide 2:** استخدام أيقونات تمثل كل نقطة (أيقونة أذن لكلام الناس، بوصلة للهدف، إلخ). تصميم على شكل قائمة مرقمة.
- **Slide 3:** تصميم يوضح المعادلة: أيقونة ""عقل"" + أيقونة ""شهادة"" = أيقونة ""شخص ناجح"".
- **Slide 4:** تصميم مقسم لثلاثة أقسام، كل قسم بأيقونته الخاصة وشرح مختصر.
- **Slide 5:** استخدام صور تعبيرية قوية بجانب كل نقطة (شخص واثق، عائلة سعيدة، يد تصافح).
- **Slide 6:** وضع العلم الجزائري بشكل مصغر وأنيق. استخدام علامات صح (checkmarks) بجانب كل ميزة.
- **Slide 7:** صورة خلفية ملهمة مع CTA واضح في المنتصف. استخدام خط يدعو للفعل (Action-oriented font).","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P04-WA","[P04-WA] Image - كي تكون عندك صنعة في يدك، حتى واحد ما يزيد يشوف في","Image","كي تكون عندك صنعة في يدك، حتى واحد ما يزيد يشوف فيك شوفة ناقصة.","قبل: ""ماعنديش بلاصة في المجتمع.""

بعد: ""عندي شهادة نبني بيها مكانتي.""","مكانتك في المجتمع ما تستناهاش، اصنعها بيدك. 

 الانتقال من الشعور بأنك شخص إضافي في هذا العالم، إلى شخص عنده قيمة وكلمة، يبدأ بخطوة: امتلاك مهارة حقيقية.

شهادة ""العماد"" ماشي مجرد ورقة، هي دليل ملموس على قيمتك وقدراتك. هي لي تخليك تفرض احترامك وتبني مكانتك. 

 راك مستعد تبدا التغيير؟ ابعثلنا كلمة ""مستعد"" في الخاص وكادر من ""العماد"" راح يتواصل معاك. 

 #اصنع_مكانتك #الكرامة #شهادة #العماد #تغيير #تحفيز_يومي #جزائري_وافتخر","[Post P3 - عبد الرحمن]
- **الصورة:** صورة ملهمة عالية الجودة. شاب يقف بثقة، يرتدي ملابس عمل أو ورشة، وينظر إلى الأفق. الشمس خلفه (توحي ببداية جديدة). التركيز على تعابير الوجه الواثقة.
- **النص:** النص مكتوب فوق الصورة بخط أبيض عريض جداً وواضح (Bold text overlay). كلمة ""قبل"" بلون خافت قليلاً، وكلمة ""بعد"" بلون ساطع للتأكيد على التحول. شعار ""العماد"" في زاوية بشكل أنيق.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V05-WA","[V05-WA] Video - عقلك خدام ضدك؟ 3 خطوات بسيطة باش ترجعو يخدم معاك.","Video","عقلك خدام ضدك؟ 3 خطوات بسيطة باش ترجعو يخدم معاك.","عقلك ساعات يكون كيما غرفة مظلمة ومعمرة بالكراكيب.
أفكار سلبية... مقارنات مع الناس... خوف من المستقبل...
كل هادو يخليوك محبوس في بلاصتك.
هذا هو غياب ""الأمن الفكري"".
بصح كيفاش ترجع النور لهاد الغرفة؟
أولاً: أشعل الضوء. واجه الأفكار لي راهي تعيق فيك، وسميها بأسمائها.
ثانياً: ابدا ترتب. حط أهداف صغيرة وواضحة تقدر تحققها. كل هدف تحققه هو كركوبة رميتها.
ثالثاً: افتح الشباك. دخل أفكار جديدة وتعلم مهارات جديدة. كل مهارة هي نسمة هواء نقي.
الأمن الفكري هو الأساس لي تبني عليه كلش.
كي تتحكم في عقلك، تتحكم في حياتك.","إذا كان عقلك أكبر عدو ليك، جا الوقت باش دير معاه هدنة. 

 الأفكار السلبية والتشويش الداخلي يقدرو يشلّو حياتك كاملة. هذا ماشي قدر، هذا اسمو غياب ""الأمن الفكري"".

في هذا الفيديو، نشرحلك ببساطة واش معناه وكيفاش تبدا أولى خطواتك باش تسترجع التحكم في تفكيرك، وبالتالي في مستقبلك.

برنامج ""العماد"" يركز على بناء هذا الأساس قبل كل شيء. 

 الأمن الفكري هو الخطوة الأولى. ابعثلنا كلمة ""أمان"" في الخاص، وراح نبعثولك تفاصيل أكثر على برنامج ""العماد"". 

 #الأمن_الفكري #تطوير_الذات #صحة_نفسية #العماد #راحة_البال #تحكم_في_حياتك #الجزائر","[Motion Graphics V4 - إسلام]
- **النمط:** 2D Motion Graphics بأسلوب Explainer video. رسومات بسيطة وواضحة، وألوان هادئة.
- **المشهد 1:** رسم توضيحي لرأس إنسان، وداخله فوضى من الخطوط والأشكال المتشابكة (تمثل الأفكار السلبية).
- **المشهد 2:** تظهر أيقونات تمثل (المقارنات، الخوف) داخل الرأس.
- **المشهد 3:** يظهر مصباح يُضاء فوق الرأس مع ظهور كلمة ""الأمن الفكري"".
- **المشهد 4:** تظهر 3 أيقونات مرقمة.
- **عند ""أولاً"":** أيقونة يد تضغط على زر إضاءة، والظلام داخل الرأس يختفي.
- **عند ""ثانياً"":** أيقونة قائمة مهام (To-do list) مع علامات صح صغيرة.
- **عند ""ثالثاً"":** أيقونة نافذة تُفتح ويدخل منها ضوء وشعاع. تظهر أيقونات صغيرة تمثل مهارات (مطرقة، حاسوب).
- **الخاتمة:** الرأس الفوضوي من البداية يصبح الآن منظمًا ومشرقًا. يظهر شعار ""العماد"" مع الـ CTA.","islam Lak","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C06-WA","[C06-WA] Carousel - 5 خطوات عملية باش ترتب الفوضى لي في راسك وتبدا تشو","Carousel","5 خطوات عملية باش ترتب الفوضى لي في راسك وتبدا تشوف الطريق واضح.","Slide 1: 5 خطوات بسيطة باش تلقى الأمان في راسك وترتاح.

Slide 2: الخطوة 1: فرّغ راسك.
اكتب كل الأفكار لي تدور في راسك على ورقة، بلا ما تحكم عليها. مجرد الكتابة تنقص من قوتها.

Slide 3: الخطوة 2: ابدا بالصغير.
خير هدف واحد صغير تقدر تديرو اليوم. (مثال: نرتب غرفتي، نمشي نص ساعة). الإنجاز يقتل التفكير السلبي.

Slide 4: الخطوة 3: غيّر المحيط.
تبع ناس وصفحات إيجابية. تلاقى مع صحابك لي يطلعولك المورال. عقلك يتأثر بالشي لي يشوفو ويسمعو.

Slide 5: الخطوة 4: تعلم حاجة جديدة.
كي تتعلم مهارة جديدة، عقلك يركز على الحاضر وينسى التفكير الزايد. كل مهارة هي ثقة جديدة تكتسبها.

Slide 6: الأمن الفكري يبدا بخطوة.
""العماد"" يرافقك في كل خطوة باش تبني هذا الأمان.","التفكير الزايد سرق منك راحة البال؟ استرجعها بهاد الخطوات. 

 الأمن الفكري ماشي حاجة معقدة، هو مجموعة عادات بسيطة ديرها كل يوم باش تحمي عقلك من الفوضى.

في هذا الكاروسال، مدينالك 5 خطوات عملية تقدر تبدا تطبقها من اليوم. احفظ المنشور باش ترجع ليه وقت الحاجة. 

 حاب تفهم أكثر كيفاش برنامجنا يبني معاك الأمن الفكري خطوة بخطوة؟ زور موقعنا الرسمي من الرابط في البايو. 

 #نصائح #تطوير_الذات #الأمن_الفكري #صحة_نفسية #خطوات_النجاح #العماد #الجزائر","[Carousel C5 - عبد الرحمن]
- **النمط العام:** تصميم إنفوجرافيك عملي (How-to style). كل سلايد يركز على خطوة واحدة.
- **Slide 1:** عنوان جذاب على خلفية هادئة (صورة سماء صافية أو بحر هادئ).
- **Slides 2-5:** كل سلايد له رقم الخطوة واضح وكبير. استخدام أيقونة بسيطة لكل خطوة (قلم وورقة، سلم صغير، مجموعة أشخاص، لمبة مضيئة). النص يكون مختصر ومباشر.
- **Slide 5:** يمكن وضع أيقونات لمهارات مختلفة (برمجة، تصميم، حرفة يدوية) للتلميح لخدمات ""العماد"".
- **Slide 6:** نفس خلفية السلايد الأول مع وضع شعار ""العماد"" بشكل بارز والـ CTA.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P07-WA","[P07-WA] Image - الحرب الحقيقية ماشي برا، راهي داخل راسك.","Image","الحرب الحقيقية ماشي برا، راهي داخل راسك.","""أكبر عدو ليك هو تفكيرك السلبي. حان الوقت تتحكم فيه.""","انتصر في المعركة لي لداخل، تربح كلش برا. 

 الأفكار السلبية تقدر تدمر مستقبلك قبل ما يبدا. بصح الخبر المليح هو أنك نتا القائد في هاد المعركة.

التحكم في تفكيرك هو أول وأهم خطوة باش تبني الحياة لي تستاهلها. 

 فكرتك هي لي تصنع واقعك. ابدا في تغييرها اليوم مع مرافقة ""العماد"". تواصل معنا. 

 #تحفيز #إقتباس #تفكير_إيجابي #العماد #قوة_العقل #تنمية_بشرية #الجزائر","[Post P6 - عبد الرحمن]
- **الصورة:** تصميم جرافيكي بسيط وأنيق. خلفية بلون واحد داكن (كحلي، رمادي غامق). 
- **النص:** الاقتباس مكتوب في المنتصف بخط أبيض أنيق وقوي (Serif or bold Sans-serif). يمكن إبراز كلمات مثل ""عدو"" و ""تتحكم"" بلون مختلف أو بحجم أكبر. 
- **العناصر:** إضافة شعار ""العماد"" في الأسفل بشكل صغير.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V08-WA","[V08-WA] Video - عندك أحلام كبار بصح الواقع تاعك صغير؟ المشكل ماشي ","Video","عندك أحلام كبار بصح الواقع تاعك صغير؟ المشكل ماشي في الحلم، في الخريطة.","(الموجه يتحدث بأسلوب حواري، طبيعي ومباشر للكاميرا)
السلام عليكم،
شحال من واحد فيكم عندو أهداف كبيرة... حاب يدير دراهم، يبني دارو، يفرح والديه.
بصح كي يجي يشوف الواقع، يلقى روحو مازال في نقطة الصفر.
علاش؟ ماشي لخاطر الحلم كبير عليك. لخاطر ماعندكش خطة واضحة توصلك ليه.
الحلم بلا تخطيط يبقى مجرد أمنية.
التخطيط هو الجسر لي يربط بين وين راك اليوم، ووين حاب تكون غدوة.
هو لي يحول ""يا لوكان"" إلى ""راني درت"".
في ""العماد""، أول حاجة نعلموها للشاب هي كيفاش يخطط. ماشي تخطيط معقد تاع شركات.
تخطيط بسيط وواقعي لحياتو هو.
نقسمو الهدف الكبير لأهداف صغيرة... كل سمانة واش لازم يدير... كل شهر وين لازم يوصل.
كي تبدا تشوف روحك تتقدم، حتى ولو بخطوات صغيرة، الثقة تاعك تزيد، والحلم هذاك يبدا يقرب.
ما تخليش أحلامك تموت في راسك.","ما الفرق بين الحالم والناجح؟ كلمة واحدة: الخطة. 

 الأحلام وحدها ما تكفيش باش تبني مستقبل. لازمها خريطة طريق واضحة تقولك واش دير كل يوم.

في هذا الفيديو، الخبير تاعنا من ""العماد"" يشرحلك علاش التخطيط الاستراتيجي لحياتك هو المفتاح لي كان خاصك باش تحول أحلامك لأفعال حقيقية.

استمع مليح، بالاك تلقى الجواب لي كنت تحوس عليه. 

 مستعد تكتب قصة نجاحك؟ سجل في ورشة التخطيط المجانية لي ينظمها ""العماد"" عبر الإنترنت. الرابط في البايو. 

 #التخطيط #تحديد_الأهداف #مستقبلك #النجاح #العماد #تحفيز #تطوير_الذات #الجزائر","[UGC V7 - أحمد]
- **المكان:** مكتب بسيط ومنظم، أو غرفة جلوس مريحة. الإضاءة طبيعية. الهدف هو أن يبدو المكان حقيقيًا وليس استوديو.
- **الكاميرا:** لقطة متوسطة (Medium Shot) ثابتة. المتحدث (خبير/موجه من العماد) يجلس ويتحدث مباشرة إلى الكاميرا كأنه في مكالمة فيديو مع المشاهد.
- **الأداء:** طبيعي جداً، عفوي، يستخدم لغة الجسد (حركة اليدين للشرح). نبرة الصوت ودودة وموثوقة. لا يوجد مونتاج معقد، ربما فقط قطع بسيط لإزالة التوقفات الطويلة.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C09-WA","[C09-WA] Carousel - التخطيط لمستقبلك أسهل مما تتخيل! 5 خطوات برك تبدلك","Carousel","التخطيط لمستقبلك أسهل مما تتخيل! 5 خطوات برك تبدلك حياتك.","Slide 1: 5 خطوات بسيطة باش تخطط لمستقبلك صح!
بلا تعقيدات، وبطريقة تقدر تطبقها من اليوم.

Slide 2: الخطوة 1: وين حاب توصل؟ (الحلم الكبير)
غمض عينيك وتخيل حياتك المثالية بعد 5 سنين. اكتب كلش بالتفصيل. هذا هو المقصد تاعك.

Slide 3: الخطوة 2: واش لازم تدير؟ (المهام الصغيرة)
قسم الحلم الكبير لمهام صغيرة. مثال: باش نولي مطور ويب، لازم (1) نتعلم لغة HTML (2) نطبق بمشاريع صغيرة...

Slide 4: الخطوة 3: أطلب المساعدة! (ورشة العماد)
ماشي لازم دير كلش وحدك. احجز بلاصتك في ورشة ""العماد"" للتخطيط، وخلي الخبراء يعاونوك تحط خطة صحيحة.

Slide 5: الخطوة 4: طبّق وتابع.
كل أسبوع، شوف وين وصلت. احتفل بالنجاحات الصغيرة، وتعلم من الأخطاء. المهم تكمل تمشي.

Slide 6: مستقبلك بين يديك.
ابدأ التخطيط اليوم.","مستقبلك ماشي ورقة يانصيب، هو خطة عمل. 

 إذا كنت حاب توصل لهدف كبير، لازم تعرف الطريق ليه بالتفصيل. التخطيط هو GPS تاعك في رحلة النجاح.

اكتشف في هذا الدليل المبسط 5 خطوات عملية تقدر تبدا بيها اليوم باش ترسم مستقبلك بيدك.

احفظ المنشور باش تعاود ترجع ليه. 

 حاب مساعدة احترافية؟ احصل على دليل التخطيط المجاني من ""العماد""، تلقى فيه نماذج جاهزة تساعدك. الرابط في البايو. 

 #خطة_عمل #دليل #كيف #تخطيط_استراتيجي #النجاح #العماد #الجزائر","[Carousel C8 - عبد الرحمن]
- **النمط العام:** تصميم دليل إرشادي (Step-by-step guide). استخدام أرقام كبيرة وواضحة لكل خطوة.
- **Slide 1:** عنوان كبير وجذاب على صورة لطريق طويل وواضح.
- **Slide 2:** أيقونة ""هدف"" أو ""منظار"". مساحة فارغة للكتابة بشكل رمزي.
- **Slide 3:** تصميم يوضح تفكيك هدف كبير إلى أهداف صغيرة (هرم مقلوب).
- **Slide 4:** صورة لمجموعة أشخاص في ورشة عمل أو اجتماع. شعار ""العماد"" واضح.
- **Slide 5:** أيقونة ""تقويم"" أو ""Checklist"".
- **Slide 6:** صورة لشخص يكتب في دفتر ملاحظات مع ابتسامة ثقة. CTA واضح.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P10-WA","[P10-WA] Image - ماشي كافي تحلم بمستقبل أفضل، لازم تنوض تخدم عليه.","Image","ماشي كافي تحلم بمستقبل أفضل، لازم تنوض تخدم عليه.","""المستقبل لا يُنتظر، المستقبل يُصنع.""","كل صباح عندك فرصة: يا تكمل ترقد وتحلم، يا تنوض وتحقق. 

 الأحلام تبقى في عالم الخيال حتى تقرر نتا تهبطها لأرض الواقع بالعمل والجهد.

كل خطوة ديرها اليوم، هي حجرة تبني بيها مستقبلك غدوة. 

 مستقبل أفضل يبدأ بخطوة اليوم. ابدأها مع ""العماد"". تواصل معنا واعرف كيفاش. 

 #اصنع_مستقبلك #تحفيز #عمل #إلهام #العماد #لا_تستسلم #الجزائر","[Post P9 - عبد الرحمن]
- **الصورة:** صورة رمزية قوية. يد عامل تبني جدارًا، أو يد فنان تشكل الطين. صورة توحي بالبناء والخلق.
- **النص:** الاقتباس مكتوب بخط قوي وواضح (Bold) فوق الصورة. التركيز على كلمة ""يُصنع"".
- **العناصر:** شعار ""العماد"" في الأسفل.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
