Project Name,Opportunity ID,Opportunity Name,Creative Format,Hooks,scripts,Ad Copy,Technical Directions,Opportunity Owner,Pipeline,Contact Id
"Wayso Project","V01-WA","[V01-WA] Video - -","Video","-","تحليل السوق، بناء الاستراتيجية، وهندسة رحلة العميل","-","-","Abdellah Chaaban","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V02-WA","[V02-WA] Video - تكسار الراس تاع الطيارة وحدها ولوطيل وحدو... والدف","Video","تكسار الراس تاع الطيارة وحدها ولوطيل وحدو... والدفع لي يخلع... وقتاش يخلص هاد الكوشمار؟","تخطط لسفرية؟ تبداها بحماس... وتكملها بستراس.
موقع للتذاكر... وموقع للفنادق... وعينك على الأسعار لي تتبدل كل دقيقة.
ومبعد توصل لمرحلة الدفع... الخلعة تاع الصح.
لازمك كارطة بالعملة الصعبة... وتخاف يدولك معلوماتك... وتحس روحك حاصل.
هذا هو الكابوس لي كان يعيشوه بزاف جزائريين.
بصح اليوم، الحكاية تبدلت.
هذي هي Bookingo. المنصة الجزائرية لي جمعتلك كلش في بلاصة وحدة.
تذكرتك... ولوطيل تاعك... مع بعض.
تقارن... تختار... وتحجز في ثواني.
والأهم؟ تخلص بالدينار تاع بلادك.
ولا كاين أحسن... تخلص عند الاستلام.
هكا، تسافر وأنت مهني... وراسك مرتاح.
من الفوضى... للراحة.
من الخوف... للأمان.
من التعقيد... للسهولة.
هذا هو الفرق لي تصنعو Bookingo.","🤯 تعبت من فوضى الحجوزات والخوف من الدفع؟ الحل جزائري 100%! 

 كلنا نعرفو هذاك الإحساس... حماس السفر يتحول لستراس بسبب تكسار الراس بين مواقع الطيران والفنادق، ويزيد يكمل عليك مشكل الدفع بالعملة الصعبة وانعدام الثقة.

مع Bookingo، هاد الشي خلاص! منصة جزائرية تفهمك وتوفرلك:
✈️🏨 تذاكر الطيران والفنادق في مكان واحد.
🇩🇿 دفع آمن بالدينار الجزائري أو عند الاستلام.
😌 راحة بال مضمونة وخدمة عملاء في المستوى.

شوف الفيديو واكتشف كيفاش ترجع متعة السفر لحياتك. 

 شوف كيفاش Bookingo رجّع السفر ساهل وآمن بالدينار. اكتشف خدمتنا درك! 

 #Bookingo #سافر_بأمان #حجوزات_الجزائر #الدفع_بالدينار #صنع_في_الجزائر #سياحة_الجزائر #تذاكر_طيران #حجز_فنادق","[مشهد 1 - المشكلة]: لقطات سريعة ومتقطعة (Fast cuts) لشخص متوتر أمام لابتوب، يفتح العديد من التابوهات (مواقع طيران، فنادق، بوكينغ). إضاءة باردة وموسيقى متوترة.
[مشهد 2 - تصعيد المشكلة]: زوم على شاشة الدفع تطلب فيزا/ماستركارد. تظهر أيقونات قفل مكسور أو علامات تحذير. تعابير وجه الشخص قلقة. نبرة الصوت هنا تكون سريعة وتعكس القلق.
[مشهد 3 - الحل]: انتقال مفاجئ وسلس. تظهر واجهة تطبيق Bookingo الأنيقة والمنظمة على هاتف ذكي. تتغير الإضاءة لتصبح دافئة ومريحة. الموسيقى تصبح هادئة وملهمة. نبرة الصوت هنا تصبح واثقة ومُطمْئِنة.
[مشهد 4 - المزايا]: لقطات شاشة متحركة (Screen recording) لعملية الحجز السهلة داخل التطبيق (اختيار وجهة، مقارنة أسعار الطيران والفنادق). ظهور أيقونات واضحة لـ 'الدفع بالدينار' (CIB/بريدي موب) و 'الدفع عند الاستلام').
[مشهد 5 - النتيجة]: لقطات سينمائية لعائلة أو شخص يستمتع بعطلته (يمشي على الشاطئ، يكتشف مدينة جديدة). الشعور بالراحة والسعادة واضح. نبرة الصوت هنا فخورة وقوية.
[مشهد 6 - الختام]: يظهر لوغو Bookingo بشكل بارز مع الشعار. نبرة الصوت تدعو للفعل بحماس.","Islem Ben","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C03-WA","[C03-WA] Carousel - تخطط لسفرية؟ هكا تبدا... وهكا تولي مع Bookingo!","Carousel","تخطط لسفرية؟ هكا تبدا... وهكا تولي مع Bookingo!","Slide 1: الكابوس تاع التخطيط لرحلة... خلاص!
Slide 2: المشكل: تذاكر الطيران من موقع، والفنادق من موقع آخر... ويزيد يكمل عليك ستراس الدفع بالعملة الصعبة!
Slide 3: الحل الشامل: Bookingo يجمعلك كلش في بلاصة وحدة. رحلتك كاملة في تطبيق واحد!
Slide 4: ادفع بالدينار كيما تحب: حرية مالية حقيقية ليك. لا حاجة للدوفيز.
Slide 5: الأمان هو الصح: مع خيار 'الدفع عند الاستلام'، الثقة تبدا من عندنا.
Slide 6: ابدأ رحلتك بـ 0 ستراس. حمّل تطبيق Bookingo الآن!","✈️🏨 من الفوضى إلى الراحة... في 6 خطوات! 

 كرهت من تعقيدات حجز السفر؟ تفتح 10 مواقع باش تلقى واش تحوس؟ والدفع حكاية وحدها؟

هذا الكاروسال يشرحلك كيفاش Bookingo يقضي على كل هذه المشاكل ويسهّل عليك حياتك.

اكتشف الحل الشامل لي يخليك تحجز رحلتك كاملة في دقائق... وتدفع بالدينار! 

 اكتشف الحل الشامل مع Bookingo. تصفّح الكاروسال! 

 #BookingoDZ #تخطيط_سفر #حلول_ذكية #سافر_بسهولة #الجزائر #راحة_البال #حجوزات","Slide 1: صورة لمسافر مرهق يمسك رأسه أمام لابتوب مليء بالصفحات. تصميم فوضوي.
Slide 2: رسم بياني (إنفوجرافيك) بسيط يوضح أسهم متناثرة تخرج من 'مسافر' إلى أيقونات (طائرة، فندق، بنك أجنبي)، مع علامات استفهام وتعجب.
Slide 3: لقطة شاشة واضحة وجميلة لواجهة تطبيق Bookingo الرئيسية، تظهر خيارات الطيران والفنادق معاً. تصميم نظيف ومنظم.
Slide 4: تصميم يضم أيقونات طرق الدفع المحلية (بطاقة CIB، بريدي موب) بشكل بارز، مع عملة الدينار الجزائري.
Slide 5: صورة رمزية عالية الجودة تظهر يد تسلم نقوداً بلطف لممثل خدمة، مع أيقونة درع حماية.
Slide 6: صورة جذابة لشخص مبتسم يحمل هاتفه مع تطبيق Bookingo، وخلفه وجهة سفر جميلة. مع أزرار التحميل من App Store و Google Play.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P04-WA","[P04-WA] Image - تذكرتك. لوطيل. دينارك. راحتك.","Image","تذكرتك. لوطيل. دينارك. راحتك.","تذكرتك و لوطيل في بلاصة وحدة... و تدفع بالدينار!","كل ما تحتاجه لسفرك... في صورة واحدة. 

 لا داعي لتعقيد الأمور. مع Bookingo، رحلتك أصبحت أبسط من أي وقت مضى.

تذكرتك ولوطيل في مكان واحد، والدفع بعملة بلادك.

هذه هي راحة البال الحقيقية. 

 Bookingo: راحة البال في جيبك. زور موقعنا! 

 #Bookingo #راحة_البال #سفر_الجزائر #AllinOne #سهولة #ثقة #دينار_جزائري","صورة فوتوغرافية إبداعية عالية الجودة (Flat lay). على طاولة أنيقة، يظهر هاتف ذكي مفتوح على تطبيق Bookingo، وبجانبه جواز سفر، تذكرة طائرة رمزية، وأوراق نقدية من الدينار الجزائري. استخدام إضاءة طبيعية وألوان هادئة تعكس الراحة والثقة. النص مكتوب بخط عصري وأنيق فوق الصورة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V05-WA","[V05-WA] Video - الكارطة تاعك تبقى في جيبك، والدوفيز خليه عندهم... ","Video","الكارطة تاعك تبقى في جيبك، والدوفيز خليه عندهم... بصح كيفاش تسافر؟","مازالك تخاف من الدفع فالأنترنت؟
تحس روحك مقيّد كي ما عندكش كارطة بالعملة الصعبة؟
هذا الإحساس تاع 'الحڤرة المالية' نعرفوه مليح.
تشوف الناس تسافر... وأنت حاصل في مشكل بسيط بصح مصيري.
الخوف من سرقة المعلومات... والضغط تاع لازم تدبر الدوفيز.
بصح... ماذا لو كان الحل بين يديك؟
مع Bookingo، حنا نفهموك. ولهذا درنالك حلول على مقاسك.
الحل الأول: ادفع بالدينار الجزائري. استعمل بطاقتك الذهبية ولا CIB. ساهلة، آمنة، وبلا تعقيد.
الحل الثاني... لي راح ينحيلك كل الشك: الدفع عند الاستلام. أحجز أونلاين وادفع كي يلحقك التأكيد.
مع Bookingo، أنت اللي تتحكم.
سافر بكل ثقة... وبكل سيادة.","🚫 خايف تدفع أونلاين؟ ما عندكش دوفيز؟ الحل هنا! 

 الشعور بالعجز أمام مواقع تتطلب الدفع بالعملة الصعبة هو أسوأ إحساس ممكن يواجه أي مسافر جزائري. الخوف من الاحتيال يجعلك تتردد ألف مرة.

في Bookingo، قضينا على هذا الحاجز نهائياً! الفيديو هذا يوريلك كيفاش تقدر تحجز رحلتك للعالم وتخلص بكل أمان:
✅ بالدينار الجزائري (بطاقتك الذهبية أو CIB).
✅ أو عند الاستلام... ثقة ما بعدها ثقة!

ودّع الخوف واسترجع حريتك المالية. 

 مع Bookingo، خلص بالدينار ولا عند الاستلام. حجوزاتك آمنة 100%. جربها درك! 

 #الدفع_الآمن #Bookingo #سيادة_مالية #الجزائر #سافر_بثقة #الدفع_عند_الاستلام #لا_للخوف","[مشهد 1 - المشكلة/التصعيد (PAS)]: رسوم متحركة (Motion Graphics) تظهر شخصية كرتونية جزائرية تحاول الدفع أونلاين. تظهر أيقونة بطاقة فيزا وعليها علامة X حمراء كبيرة. ثم تظهر أيقونة 'دولار' أو 'أورو' تهرب بعيداً. الموسيقى قلقة والنبرة متعاطفة.
[مشهد 2 - التفهم (QUEST)]: تتوقف الحركة للحظة، وتظهر عبارة 'حنا نفهموك' بخط ودي. الموسيقى تهدأ قليلاً.
[مشهد 3 - التعليم/الحل (QUEST/PAS)]: تنقسم الشاشة إلى قسمين. القسم الأول يظهر أيقونة بطاقة ذهبية/CIB مع علامة صح خضراء. القسم الثاني يظهر أيقونة 'الدفع عند الاستلام' مع أيقونة درع قوي. الشرح يكون عبر نصوص متحركة بسيطة وواضحة. النبرة هنا تصبح تعليمية وواثقة.
[مشهد 4 - التحفيز (QUEST)]: تظهر الشخصية الكرتونية وهي تحجز بسهولة على هاتفها ثم تركب طائرة بسعادة. الألوان تصبح زاهية والموسيقى ملهمة.
[مشهد 5 - الانتقال (QUEST)]: يظهر لوغو Bookingo مع دعوة واضحة للفعل. النبرة حماسية.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C06-WA","[C06-WA] Carousel - كيفاش تقدر تسافر للعالم وتخلص بالدينار الجزائري؟ ت","Carousel","كيفاش تقدر تسافر للعالم وتخلص بالدينار الجزائري؟ تبع معانا.","Slide 1: الدفع عبر الإنترنت ما بقاش كابوس! اكتشف حلول Bookingo الآمنة.
Slide 2: 1. ادفع بالدينار: استعمل بطاقتك الذهبية أو CIB بكل سهولة. سيادتك المالية هي أولويتنا.
Slide 3: 2. ادفع عند الاستلام: ما عندكش كارطة؟ خايف؟ احجز الآن وادفع لاحقاً. حنا نثقوا فيك.
Slide 4: أمانك مضمون 100%: بياناتك الشخصية والبنكية محمية بأحدث تقنيات التشفير.
Slide 5: أنت تختار واش يريحك. احجز رحلتك القادمة بلا خوف مع Bookingo.","💳 بالدينار ولا كاش؟ أنت اللي تقرر! 

 الدفع هو آخر خطوة في حجزك، ولازم تكون الأكثر راحة وأمان.

في هذا الكاروسال، نشرح بالتفصيل خيارات الدفع المرنة والآمنة 100% اللي توفرها Bookingo، والمصممة خصيصاً للمسافر الجزائري.

تعلّم كيفاش تقدر تسافر للعالم وتخلص بالطريقة اللي تريحك. 

 تعلّم كلش على خيارات الدفع الآمنة مع Bookingo. إضغط! 

 #BookingoPayments #الدفع_بالدينار #الأمان_أولا #حجوزات_آمنة #الجزائر #تكنولوجيا_مالية","Slide 1: تصميم حديث يظهر أيقونة قفل مغلق ودرع حماية كبيرين، مع خلفية توحي بالثقة والاحترافية. استخدام اللونين الأزرق والأخضر.
Slide 2: إنفوجرافيك يوضح أيقونة بطاقة CIB والذهبية مع سهم يتجه نحو أيقونة 'تأكيد الحجز'. نص واضح ومختصر.
Slide 3: رسم توضيحي بسيط لعملية الدفع عند الاستلام: (1. حجز أونلاين -> 2. تأكيد -> 3. دفع نقدي). استخدام أيقونات معبرة.
Slide 4: تصميم يركز على أيقونات الأمان (SSL, 3D Secure) مع نص قصير يؤكد على حماية البيانات.
Slide 5: صورة ملهمة لمسافر ينظر إلى الأفق بثقة، مع دعوة واضحة للحجز وظهور لوغو Bookingo.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P07-WA","[P07-WA] Image - الدفع عند الاستلام... سافر اليوم وخلّص غدوة!","Image","الدفع عند الاستلام... سافر اليوم وخلّص غدوة!","ادفع بالدينار و لا عند الاستلام... وسافر بأمان!","الثقة قبل كل شيء. 🤝 

 في Bookingo، نؤمن أن راحة بالك تبدأ من الثقة في طريقة الدفع.

لهذا السبب، نوفر لك الخيار للدفع بالطريقة التي تناسبك: بالدينار عبر البطاقة، أو حتى عند الاستلام.

سافر وأنت مطمئن، لأن ثقتك هي أولويتنا القصوى. 

 ثقتك هي أولويتنا في Bookingo. احجز درك! 

 #الثقة #Bookingo #سافر_بأمان #جزائري #خدمة_عملاء #أمان #موثوق","صورة جذابة تظهر يد عميل تضع ثقة عملة الدينار في يد ممثل Bookingo (يرتدي زي عليه لوغو الشركة). التركيز على لقطة اليدين (Handshake gesture) لترسيخ معنى الثقة المتبادلة. النص مكتوب بخط واضح وقوي. الخلفية توحي بالسفر (مطار أو بهو فندق).","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V08-WA","[V08-WA] Video - شكون فينا ما ضيعش نهار كامل وهو يحوس على تذكرة ملي","Video","شكون فينا ما ضيعش نهار كامل وهو يحوس على تذكرة مليحة... ومبعد يزيد يضيع نهار آخر على لوطيل؟","(يبدأ الوجه الإعلامي وهو يمثل التعب)
آآه يا جماعة... شكون فينا ما كرهش من تكسار الراس تاع السفر؟
(يمثل حالة الـ 'قبل' - Before)
تحوس على تذكرة طيارة... تفتح عشرين موقع... تقارن الأسعار... تلقى وحدة مليحة، تروح تحجزها، تلقاها طارت.
تزيد تعاود... ومبعد كي تكمل، تبدا الحكاية من جديد مع لوطيل.
هذا قريب من هنا؟ هذاك بعيد؟ هذا واش قالو عليه الناس؟ نهار كامل وأنت مقابل الشاشة... والنتيجة؟ ستراس وتعب قبل حتى ما تبدا الرحلة.
(يبتسم ويمسك هاتفه - الجسر - Bridge)
بصح تخيل معايا... لو كان نقولك كاينة طريقة تخليك تحجز كلش في 5 دقايق؟
(يُظهر التطبيق - الـ 'بعد' - After)
هذا Bookingo. تفتح التطبيق... تكتب وين حاب تروح... وهو يعطيك أحسن عروض الطيران والفنادق مع بعض.
تقارن بيناتهم في صفحة وحدة... تشوف كل التفاصيل... وتحجزهم بضغطة زر.
بلا صداع... بلا ما تضيع وقتك... وبلا ستراس.
هكا... يرجعلك الوقت باش تخمم في الحاجة الصح: كيفاش راح تستمتع برحلتك.","⏰ نهار كامل وأنت تحجز؟ استرجع وقتك وحياتك! 

 تخطيط السفر المفروض يكون جزء من المتعة، ماشي مصدر للتعب والضغط!

إذا كنت من الناس اللي تضيع ساعات وأيام في المقارنة بين أسعار الطيران والفنادق، هذا الفيديو ليك.

اكتشف كيفاش Bookingo يجمعلك كلش في تطبيق واحد بسيط، ويحول تجربة الحجز من معاناة... إلى متعة. 

 Bookingo يجمعلك كلش! جرب السهولة والراحة في تطبيق واحد. حمّل التطبيق درك! 

 #وفر_وقتك #Bookingo #حجز_ذكي #سفر_مريح #الجزائر #تطبيق_سفر #AllInOne","[مشهد 1 - الانتباه/المشكلة (AIDA/Before)]: الوجه الإعلامي في ديكور منزلي، يظهر عليه التعب والإرهاق وهو ينظر إلى شاشة لابتوب. يتحدث بنبرة متعبة ومتعاطفة مع الجمهور. يمكن استخدام لقطات سريعة للشاشة تظهر كثرة المواقع المفتوحة.
[مشهد 2 - الاهتمام/الرغبة (AIDA/Bridge)]: يتغير تعبير وجهه إلى الحماس. يمسك بهاتفه الذكي الذي يصبح مصدر الضوء في المشهد. نبرة صوته تصبح أكثر تشويقاً.
[مشهد 3 - الحل (AIDA/After)]: لقطات واضحة ومشرقة لشاشة التطبيق وهو يستعرض سهولة الحجز. الوجه الإعلامي يعلق بصوت مريح وواثق، ويشرح المزايا.
[مشهد 4 - الفعل (AIDA)]: ينظر الوجه الإعلامي مباشرة إلى الكاميرا ويدعو المشاهدين لتحميل التطبيق بحماس وثقة. يظهر رابط التحميل على الشاشة.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C09-WA","[C09-WA] Carousel - 5 دقايق... هذا هو الوقت لي تحتاجه باش تحجز رحلتك ا","Carousel","5 دقايق... هذا هو الوقت لي تحتاجه باش تحجز رحلتك الكاملة. كيفاش؟","Slide 1: وداعاً لساعات البحث الطويلة! رحلتك الكاملة في 3 خطوات بسيطة.
Slide 2: الخطوة 1: اختار وجهتك وتاريخ سفرك. كل الخيارات أمامك.
Slide 3: الخطوة 2: قارن بين أفضل عروض الطيران والفنادق في صفحة واحدة.
Slide 4: الخطوة 3: احجز تذكرتك وغرفتك بضغطة زر واحدة. كل شيء مؤكد فوراً.
Slide 5: النتيجة: وقت أقل في التخطيط، وراحة بال أكبر للاستمتاع برحلتك.
Slide 6: ابدأ رحلتك بلا تعب. اكتشف السهولة مع Bookingo الآن!","✈️🏨 رحلتك الكاملة في 3 خطوات فقط! 

 هل تعلم أنك تقدر تحجز تذكرة الطيران والفندق مع بعض في أقل من 5 دقائق؟

مع Bookingo، العملية أصبحت سهلة وبديهية. هذا الكاروسال يوريلك الخطوات بالتفصيل.

توقف عن إضاعة وقتك في البحث، وابدأ في الاستمتاع بالتخطيط لرحلتك القادمة! 

 تعلّم كيفاش Bookingo يسهّلك حياتك. إضغط وشوف! 

 #BookingoSteps #حجز_سريع #سهولة #راحة #تكنولوجيا #سفر_الجزائر #خطوات_بسيطة","Slide 1: تصميم جذاب يظهر ساعة رملية بجانب هاتف عليه تطبيق Bookingo، مع عنوان بارز. استخدام ألوان مريحة.
Slide 2: لقطة شاشة متحركة (GIF) تظهر عملية إدخال الوجهة والتاريخ في التطبيق. واضحة وبسيطة.
Slide 3: تصميم إنفوجرافيك يقارن 'جنباً إلى جنب' بين خيارين للطيران وخيارين للفنادق، لإظهار سهولة المقارنة.
Slide 4: التركيز على زر 'احجز الآن' الكبير والواضح، مع أيقونة 'تأكيد' تظهر بعد الضغط.
Slide 5: رسم بياني بسيط يوضح 'قبل' (الكثير من الوقت، الكثير من الستراس) و 'بعد' (وقت قليل، راحة كبيرة).
Slide 6: دعوة مباشرة للفعل مع صورة لشخص مرتاح في وجهة سفر، يحمل هاتفه بثقة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P10-WA","[P10-WA] Image - علاش تكسّر راسك في 10 بلايص؟ كلش هنا.","Image","علاش تكسّر راسك في 10 بلايص؟ كلش هنا.","رحلتك كاملة... في جيبك!","✈️🏨 كل ما تحتاجه لسفرك... في مكان واحد. 

 وداعاً للتشتت بين عشرات التطبيقات والمواقع.

Bookingo هو الحل الشامل (All-in-One) الذي يضع كل تفاصيل رحلتك بين يديك.

من التذكرة إلى الفندق، كل شيء منظم، سهل، وفي متناول يدك. 

 Bookingo: كل ما تحتاج إليه لتخطيط سفرك. اكتشف الآن! 

 #AllInOne #Bookingo #الراحة_الشاملة #تطبيق_واحد #سفر #الجزائر #تنظيم","صورة إبداعية تظهر جيب سترة أو بنطال، ويخرج منه بشكل رمزي طائرة ورقية، مفتاح فندق، وخريطة صغيرة. الهاتف الذكي يكون بارزاً في اليد التي بجانب الجيب، وعليه شعار Bookingo. يجب أن يكون هناك شعار 'All-in-One' مدمج بأناقة في التصميم.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
