Project Name,Opportunity ID,Opportunity Name,Creative Format,Hooks,scripts,Ad Copy,Technical Directions,Opportunity Owner,Pipeline,Contact Id
"Wayso Project","V01-WA","[V01-WA] Video - -","Video","-","تحليل السوق، بناء الاستراتيجية، وهندسة رحلة العميل","-","-","Abdellah Chaaban","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V02-WA","[V02-WA] Video - خدمت عام كامل وفي التالي كلش يروح فالماء؟ ماشي لاز","Video","خدمت عام كامل وفي التالي كلش يروح فالماء؟ ماشي لازم كل موسم تعاود نفس الغلطة.","راك تشوف في أرضك... وتشوف تعب شهور طويلة.
استثمرت دراهمك، وقتك، و جهدك... قريت وتعبت.
بصح في آخر الموسم، النتائج ماشي كيما كنت تستنى... تحس روحك وحدك.
هذي هي ""الفجوة القاتلة""... بين واش تعرف، وواش لازم تطبق صح في الميدان.
بصح كاينة حاجة جديدة اليوم.
حنا في Agrecoramah ماشي مجرد بائعين تاع منتجات ولا نقدمولك تكوين نظري و نروحو.
حنا هوما الشريك اللي يوقف معاك في أرضك.
نقدمولك تكوين علمي تطبيقي... ونعلموك كيفاش تطبق بيدك.
نوفرولك أفضل المنتجات... ونورولك الطريقة الصحيحة لاستعمالها.
والأهم، نبقاو معاك. نتابعوا النتائج خطوة بخطوة... حتى نشوفو النجاح بعينينا و عينيك.
لأن نجاحك هو نجاحنا.
وداعاً للخسارة، وداعاً للشعور بالوحدة.
مع Agrecoramah، استثمر في راحة بالك و في محصول مضمون.
هذا هو الجسر بين حلمك والواقع.","عام تعب، و في دقيقة كلش يضيع؟ الحل راه هنا! 

 تعرف هذاك الشعور؟ كي تخدم وتجتهد وتستثمر كلش، وفي الأخير النتيجة تخيب أملك. المشكل ماشي فيك، المشكل في الفجوة بين العلم والتطبيق الميداني.
Agrecoramah ماشي مجرد شركة، حنا شريكك في النجاح. نرافقوك من التكوين العلمي، للتطبيق في أرضك، ونتابعوا معاك المحصول حتى يوم الحصاد.
حان الوقت باش تحول تعبك لربح حقيقي وراحة بال. 

 اكتشف كيف نضمن نجاحك. احجز استشارتك المجانية اليوم عبر الرابط في البايو! 

 #Agrecoramah #فلاحة_جزائرية #استثمار_زراعي #الجزائر #شريك_النجاح #زراعة_حديثة #dzpower","[مشهد افتتاحي]: لقطات درون بطيئة لأرض زراعية عند غروب الشمس، جو من الترقب والحزن. مزارع ينظر للأرض بقلق.
[مونتاج سريع]: لقطات سريعة تظهر العمل الشاق: حرث، سقي، شراء منتجات، لكن مع تعابير وجه قلقة.
[نبرة الصوت]: تبدأ هادئة وحزينة، تعكس ألم المزارع.
[مشهد التحول]: شاشة سوداء للحظة، ثم تظهر لقطة مشرقة لخبير Agrecoramah يصافح المزارع بحرارة في الحقل. إضاءة دافئة.
[نبرة الصوت]: تصبح واثقة، داعمة، ومليئة بالأمل.
[لقطات داعمة]: عرض لعمليات التكوين، خبراء يشرحون في الميدان، لقطات مقربة للمنتجات وهي تُطبق بشكل صحيح، رسوم بيانية بسيطة تظهر نمو النتائج.
[المشهد الختامي]: نفس المزارع من المشهد الأول، لكنه الآن يبتسم وهو ينظر لمحصول وفير وناجح. لقطات درون واسعة تظهر الأرض خضراء ومزدهرة. شعار Agrecoramah يظهر بوضوح.
[نبرة الصوت النهائية]: قوية ومحفزة.","Islem Ben","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C03-WA","[C03-WA] Carousel - عندك العلم وعندك المنتوج، بصح ماكانش نتيجة؟ المشكل","Carousel","عندك العلم وعندك المنتوج، بصح ماكانش نتيجة؟ المشكل ماشي فيك.","Slide 1: عندك العلم وعندك المنتوج، بصح المحصول مازال ناقص؟ السر ماشي في واش عندك، السر في 'الفجوة' اللي بيناتهم.
Slide 2: المشكل: تستثمر في تكوينات ومنتجات غالية، لكن تبقى وحدك في الميدان وقت الصح. النتيجة؟ خسارة مال، وقت، وأمل.
Slide 3: الحل المتكامل من Agrecoramah: حنا الجسر اللي يربط بين النظرية والواقع. (تكوين تطبيقي + مرافقة ميدانية + توفير المنتجات + متابعة النتائج).
Slide 4: الفوائد ليك: 1. ربح مالي مضمون. 2. توفير كبير في الجهد والوقت. 3. راحة بال ماعندهاش ثمن، لأنك تعرف بلي كاين خبير في ظهرك.
Slide 5: وعدنا ليك: Agrecoramah: ماشي غير نقرّوك، نوقفوا معاك في أرضك حتى تنجح.
Slide 6: كيفاش تبدأ معنا؟ 1. احجز استشارتك المجانية. 2. نوضعوا خطة خاصة بأرضك. 3. ننطلقوا في رحلة النجاح مع بعض.
Slide 7: راك واجد باش تغلق الفجوة القاتلة؟","كيفاش تحول المعرفة لـ 'دراهم' في جيبك؟ 💰 

 الكثير من المزارعين والمستثمرين عندهم المعرفة اللازمة، ويشريو أفضل المنتجات، لكن يلقاو رواحهم حاصلين في التطبيق الميداني.
في هذا الكاروسال، نكشفلك على 'الفجوة القاتلة' اللي تسبب 90% من الخسائر، وكيفاش Agrecoramah تقدم الحل الكامل باش تضمن نجاح استثمارك. 

 اسحب لليسار واكتشف كيفاش نضمنولك النجاح خطوة بخطوة مع Agrecoramah. 

 #فلاحة #زراعة_الجزائر #حلول_زراعية #Agrecoramah #استثمار_فلاحي #تكوين_فلاحي #dz","تصميم نظيف واحترافي. استخدام أيقونات بسيطة لكل فائدة وخطوة. خلفية كل سلايد يمكن أن تكون صورة عالية الجودة لحقل زراعي ناجح مع Overlay بألوان العلامة التجارية. الخط يكون واضح وسهل القراءة. في السلايد 3، استخدم 4 أيقونات تمثل الخدمات الأربعة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P04-WA","[P04-WA] Image - الكلمة ساهلة، بصح شكون اللي يلبس البوط ويوقف معاك ","Image","الكلمة ساهلة، بصح شكون اللي يلبس البوط ويوقف معاك في الغيس؟","نجاحك في أرضك مسؤوليتنا.
ماشي غير كلام، خدمة ميدانية متواصلة!","الشراكة الحقيقية تبان في الميدان، ماشي في المكاتب. 

 في Agrecoramah، نؤمن بأن النجاح يُصنع في الحقل، ليس فقط في قاعات التكوين. التزامنا يتجاوز الكلام، نحن شريكك الميداني الذي يضمن تطبيق كل معلومة بشكل صحيح لتحقيق أفضل النتائج.
هذا هو وعدنا. هذا هو الفرق الذي نصنعه. 

 هل تبحث عن شريك حقيقي؟ زور موقعنا أو اتصل بنا لتفاصيل أكثر. 

 #شريك_النجاح #Agrecoramah #فلاحة_ميدانية #الجزائر #ثقة #التزام #زراعة_مربحة","صورة احترافية وقوية تُظهر خبير من Agrecoramah (يرتدي سترة عليها اللوغو) بجانب فلاح في وسط حقل زراعي، كلاهما ينظران للتربة أو النباتات. الصورة يجب أن تعكس الثقة والشراكة. النص يُكتب بخط عريض وواضح فوق الصورة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V05-WA","[V05-WA] Video - شريت أغلى برودوي، و النتيجة والو؟ بالاك رميت دراهم","Video","شريت أغلى برودوي، و النتيجة والو؟ بالاك رميت دراهمك من الطاقة!","شحال من مرة شريت منتج زراعي سمعت بيه... قالولك هو الأفضل.
حطيت فيه دراهمك، واستنيت النتائج بفارغ الصبر.
لكن في الأخير... والو. لا زيادة في المحصول، لا حماية من الأمراض.
تحس روحك مخدوع. بصح اسمحلي نقولك... السر ماشي دايماً في المنتوج.
السر في طريقة، توقيت، وكمية التطبيق!
منتج ممتاز بتطبيق خاطئ = صفر نتيجة.
معرفة بسيطة بالتطبيق الصحيح تقدر تضاعفلك الفعالية تاع أي منتج.
وهذا هو دورنا في Agrecoramah، نمدولك العلم اللي يخلي كل دينار تستثمره يجيبلك نتيجة.","علاش المنتج اللي شريتو ما عطاكش نتيجة؟ 🤫 

 قبل ما تلوم المنتوج، لازم تعرف بلي 70% من فعاليته تعتمد على طريقة التطبيق الصحيحة! الكثير من المال يُهدر سنوياً بسبب أخطاء بسيطة في التوقيت أو الكمية.
في هذا الفيديو، نكشف لك لماذا 'السر ليس في المنتوج' وكيف يمكنك تحقيق أقصى استفادة من استثماراتك. 

 تعلم معنا أساسيات التطبيق الصحيح لتحصد أفضل النتائج. راسلنا الآن واحصل على تقييم مجاني! 

 #تطبيق_صحيح #زراعة_ذكية #Agrecoramah #فلاحة_الجزائر #توفير_المال #استثمار_ناجح #dzagri","فيديو Motion Graphics سريع وديناميكي.
[مشهد 1]: رسم كرتوني لمزارع يشتري منتج غالي (عليه علامة $ كبيرة) و يقوم برشه على النباتات بعشوائية.
[مشهد 2]: النباتات تظهر عليها علامات استفهام (؟) ثم تذبل. تظهر أيقونة كيس نقود يتم رميه في سلة مهملات.
[مشهد 3]: شاشة مقسومة. على اليسار 'تطبيق خاطئ' (علامة X حمراء). على اليمين 'تطبيق علمي' (علامة V خضراء) مع ظهور رسوم توضيحية (أيقونة ساعة للتوقيت، قطرة ماء للكمية).
[مشهد 4]: النباتات في الجانب الأيمن تنمو وتزدهر. يظهر شعار Agrecoramah كحل.
[الموسيقى]: سريعة وجذابة. [التعليق الصوتي]: واضح، سريع، وبنبرة الخبير الذي يكشف سراً.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C06-WA","[C06-WA] Carousel - تطبيق خاطئ = خسارة مضمونة. بصح كيفاش تعرف الطريقة ","Carousel","تطبيق خاطئ = خسارة مضمونة. بصح كيفاش تعرف الطريقة الصح؟","Slide 1: تطبيق خاطئ = خسارة مضمونة. اكتشف كيف تطبق صح وتضاعف نتائجك!
Slide 2: الخطأ الشائع: رش الأسمدة الورقية في منتصف النهار. تبخر سريع + حرق الأوراق = ضياع 50% من المنتج!
Slide 3: الطريقة العلمية الصحيحة: قم بالرش في الصباح الباكر أو في المساء. المسامات تكون مفتوحة، الامتصاص يكون أقصى، والفعالية 100%.
Slide 4: الفوائد ليك: توفير نصف كمية المنتج (توفير مال) + زيادة في نمو المحصول بنسبة 30% (زيادة الربح).
Slide 5: هذا مجرد مثال بسيط. Agrecoramah هي دليلك لتطبيق كل خطوة بشكل علمي ومضمون في أرضك.
Slide 6: حاب تعرف الأسرار الأخرى؟","خطأ واحد صغير في التطبيق يكلفك 50% من منتوجك! 

 هل تعلم أن توقيت رش الأسمدة يمكن أن يحدد نجاح أو فشل محصولك؟ تفاصيل صغيرة كهذه هي التي تصنع الفرق بين الربح والخسارة.
في هذا الكاروسال، نوضح لك خطأ شائعاً جداً ونقدم لك الحل العلمي البسيط الذي سيوفر عليك المال ويزيد من إنتاجك. 

 اسحب لليسار لمعرفة الخطوات الصحيحة لتطبيق منتجاتك الزراعية بفعالية. 

 #نصائح_زراعية #فلاحة #Agrecoramah #الجزائر #تسميد #زراعة_علمية #توفير","تصميم تعليمي وواضح. السلايد 2 يستخدم أيقونة شمس حارقة وعلامة X حمراء كبيرة. السلايد 3 يستخدم أيقونة قمر/شمس شروق وعلامة V خضراء. السلايد 4 يستخدم أيقونات بسيطة (كيس نقود، سهم صاعد). استخدام صور مقارنة (Before/After) إن أمكن.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P07-WA","[P07-WA] Image - ما تسقيش بزاف! سر بسيط في الري يرفع إنتاجك 20%!","Image","ما تسقيش بزاف! سر بسيط في الري يرفع إنتاجك 20%!","الري الزائد يقتل الجذور ويضيع الماء.
الري المتقطع والمدروس هو السر لمحصول وفير وصحي.
#نصيحة_Agrecoramah","نصيحة اليوم من Agrecoramah 💡 

 الكثير يعتقد أن كثرة الماء مفيدة للنبات، لكن العكس هو الصحيح! الري الزائد عن الحاجة يخنق الجذور ويمنعها من امتصاص العناصر الغذائية، مما يؤدي إلى ضعف المحصول.
الحل؟ الري الذكي والمدروس.
Agrecoramah تساعدك على تطبيق أحدث التقنيات لضمان حصول نباتاتك على ما تحتاجه بالضبط، لا أكثر ولا أقل. 

 اكتشفوا المزيد من نصائحنا العملية على صفحتنا. تابعنا الآن! 

 #الري_الذكي #نصيحة_زراعية #فلاحة_جزائرية #Agrecoramah #توفير_الماء #زيادة_الانتاج","صورة عالية الجودة لنظام ري بالتنقيط يعمل بكفاءة في حقل منظم. النص يوضع بتصميم جذاب وبسيط. استخدام أيقونة قطرة ماء بجانب النص. شعار Agrecoramah في زاوية الصورة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V08-WA","[V08-WA] Video - كي تشوف الخير في أرض غيرك، قول نتا تاني تقدر! قصة ","Video","كي تشوف الخير في أرض غيرك، قول نتا تاني تقدر! قصة الحاج سعيد.","[الحاج سعيد يتكلم، بلكنة طبيعية وغير مصطنعة]
كنت كيما الناس كامل... نخدم ونتعب، وكي يلحق وقت الحصاد نصيب روحي يا رابح شوية يا خاسر.
كنت قريب نكره ونبيع كلش... تحس روحك وحدك، كل قرار تاخذو وحدك، تخاف.
واحد النهار، حكاولي على جماعة Agrecoramah. قلت والله نجرب، ماعندي ما نخسر.
جاو عندي للأرض... شافو، سقساو، ودارولي خطة من الألف للياء.
ما خلاونيش وحدي... كل أسبوع يجيو يتبعو معايا، يعلموني، ويوقفوا على كل صغيرة وكبيرة.
الحمد لله يا ربي... العام هذا، المحصول تاعي تضاعف ثلاث خطرات على واش كنت نخدم. الربح اللي دخلتو في عام، ما دخلتوش في 5 سنين.
Agrecoramah ماشي شركة... هادو هوما الصحبة تاع الصح في الفلاحة.","من حافة اليأس إلى ربح قياسي... شهادة حقيقية من الميدان! 

 استمع لقصة 'الحاج سعيد' الذي كان على وشك التخلي عن أرضه بسبب الخسائر المتكررة والشعور بالوحدة.
اكتشف كيف استطاع، بفضل شراكته مع Agrecoramah، أن يضاعف محصوله 3 مرات ويحقق أرباحاً لم يكن يحلم بها.
هذه ليست مجرد قصة، هذا هو الدليل على أن الشريك الصحيح يمكن أن يغير كل شيء. 

 قصص النجاح هي دليلنا. تواصل معنا لنكتب قصة نجاحك القادمة معاً. 

 #قصة_نجاح #اثبات_اجتماعي #Agrecoramah #فلاحة_جزائرية #الجزائر #أمل #نتائج_حقيقية","فيديو بأسلوب UGC (User-Generated Content)، تصوير طبيعي وغير احترافي جداً لزيادة المصداقية.
[الموقع]: الحاج سعيد يتكلم من داخل حقله الناجح، والمحصول ظاهر بوضوح خلفه.
[الكاميرا]: محمولة باليد أو على حامل ثلاثي بسيط. لقطات قريبة لوجه الحاج سعيد وهو يتكلم بصدق، ولقطات واسعة تظهره وهو يمشي في حقله بفخر.
[الصوت]: طبيعي مع أصوات الحقل في الخلفية (صوت الريح، الطيور).
[مونتاج]: بسيط جداً، مع إضافة شريط سفلي يحمل اسم 'الحاج سعيد، فلاح - شريك Agrecoramah'. في النهاية، يظهر شعار Agrecoramah مع CTA.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C09-WA","[C09-WA] Carousel - الحاج سعيد كان راح يبيع أرضو... واليوم؟ أرباحو تضا","Carousel","الحاج سعيد كان راح يبيع أرضو... واليوم؟ أرباحو تضاعفت 3 مرات!","Slide 1: قصة نجاح من الميدان: كيف انتقل 'الحاج سعيد' من القلق والديون إلى الربح الوفير مع Agrecoramah.
Slide 2: المشكلة: قبل Agrecoramah، كان الحاج سعيد يعاني من ضعف المحصول، خسائر مالية، وشعور بالوحدة في اتخاذ القرارات الصعبة.
Slide 3: الحل: فريق Agrecoramah تدخل بـ: 1. تحليل دقيق للتربة. 2. وضع برنامج تسميد ومكافحة مخصص. 3. مرافقة ميدانية أسبوعية لضمان التطبيق الصحيح.
Slide 4: النتائج بالأرقام: زيادة الإنتاج بنسبة 300%. انخفاض تكاليف المنتجات المهدرة بنسبة 40%. تحقيق أرباح صافية قياسية.
Slide 5: شهادة الحاج سعيد: ""ما خلاونيش وحدي، هذا هو سر النجاح. Agrecoramah هوما الصحبة تاع الصح في الفلاحة.""
Slide 6: أرضك يمكن أن تكون قصة النجاح التالية. هل أنت مستعد؟
Slide 7: ابدأ رحلتك نحو النجاح المضمون. تواصل معنا اليوم!","بالأرقام والدليل... هكذا صنعنا قصة نجاح الحاج سعيد. 

 النجاح ليس صدفة، بل هو نتيجة لخطة عمل واضحة وشراكة حقيقية. في هذا الكاروسال، نفصل لكم بالخطوات والأرقام كيف ساعدنا 'الحاج سعيد' على تحويل أرضه من مشروع خاسر إلى مصدر ربح قياسي.
قصته يمكن أن تكون قصتك. 

 اسحب لليسار لتتعرف على تفاصيل قصة نجاح الحاج سعيد الملهمة. 

 #دراسة_حالة #قصص_نجاح #Agrecoramah #فلاح_جزائري #تحفيز #نتائج_مضمونة #dz","تصميم قصصي. استخدام صور حقيقية للحاج سعيد وأرضه (قبل وبعد إن أمكن). في سلايد الأرقام، استخدم رسوم بيانية بسيطة وواضحة. في سلايد الشهادة، ضع صورة الحاج سعيد وهو يبتسم مع الاقتباس بخط بارز. الحفاظ على هوية بصرية متناسقة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P10-WA","[P10-WA] Image - ""كي تشوف النجاح في أرض غيرك، اعرف بلي نتا ثاني تقد","Image","""كي تشوف النجاح في أرض غيرك، اعرف بلي نتا ثاني تقدر!""","""ما كنتش نآمن بلي نقدر نوصل لهاد النتيجة، حتى جاو Agrecoramah و وقفوا معايا. كي تشوف النجاح في أرض غيرك، اعرف بلي نتا ثاني تقدر!""
- الحاج سعيد، شريك نجاح Agrecoramah","كلمات من القلب... من شريك نجاح نفخر به! 

 لا شيء يصف تأثير عملنا أفضل من كلمات عملائنا. شهادة الحاج سعيد هي مصدر إلهام لنا ولكل مزارع ومستثمر يطمح للنجاح.
الإيمان بالقدرة على التغيير هو أول خطوة، ونحن هنا لنكون شريكك في كل الخطوات التالية. 

 اقرأ المزيد عن قصص عملائنا الملهمة في الرابط الموجود في البايو. 

 #اقتباس #شهادة_عميل #تحفيز #إلهام #Agrecoramah #فلاحة #نجاح #جزائر","تصميم اقتباس أنيق. صورة عالية الجودة للحاج سعيد في خلفية ضبابية قليلاً، مع التركيز على النص. النص مكتوب بخط جميل وواضح. اسم 'الحاج سعيد' وشعار Agrecoramah في الأسفل.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
