Project Name,Opportunity ID,Opportunity Name,Creative Format,Hooks,scripts,Ad Copy,Technical Directions,Opportunity Owner,Pipeline,Contact Id
"Wayso Project","V01-WA","[V01-WA] Video - -","Video","-","تحليل السوق، بناء الاستراتيجية، وهندسة رحلة العميل","-","-","Abdellah Chaaban","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V02-WA","[V02-WA] Video - الميزان في رمضان كابوس... بصح الكابوس الحقيقي هو ا","Video","الميزان في رمضان كابوس... بصح الكابوس الحقيقي هو السم لي راك قادر تشريه بلا ماعلابالك!","في رمضان، تبدا المعركة مع الميزان... بصح كاينة معركة أخطر منها: المعركة مع الخوف.
الخوف من المكمّلات لي معمرة مواد كيميائية... لي تصيب روحك شريتها وندمت عليها.
تخيل لوكان نقولك كاينة طريقة تجمع بين الأمان المطلق... والفعالية؟
نقدمولك 'نوريڤا'، الحل لي يخليك مرتاح البال.
'نوريڤا' ماشي مجرد قاطع شهية... هو ضمانة.
ضمانة جاية من قلب أوروبا، مصنوع بمعايير عالمية صارمة.
وضمانة أنو 100% طبيعي، ما فيه حتى حاجة تخاف منها على صحتك.
المكونات تاعو تخدم خدمة وحدة: تعطيك إحساس بالشبع لمدة طويلة.
يعني تفطر بالعقل، وتتحكم في شهيتك في السهرة بلا حرمان.
هذا هو السر باش تجوز رمضان خفيف، بصحة، وبراحة بال.
رمضان هذا، خير الأمان... خير الفعالية... خير 'نوريڤا'.
استفاد من عرض رمضان الخاص والكمية محدودة.
ابدأ رحلة التحول تاعك اليوم.","خايف من الميزان في رمضان؟ الخوف الحقيقي من المنتجات لي تضرّك!

كل رمضان نفس الحكاية... تخمام في الوزن، والخوف الأكبر من الحلول لي ماشي مضمونة.
مع 'نوريڤا'، الحكاية تتبدل. جبنالك الحل الآمن والفعّال من قلب أوروبا.
✅ مصنوع بمعايير أوروبية صارمة.
✅ طبيعي 100%، بدون أي خطر على صحتك.
✅ يمنحك شعور بالشبع باش تتحكم في شهيتك بكل سهولة.
رمضان هذا، استثمر في راحة بالك وصحتك. اختار الضمان، اختار 'نوريڤا'.

اكتشف 'نوريڤا' الآن واستفد من عرض رمضان الخاص والمحدود. اضغط هنا للطلب!

#نوريڤا #صحة_رمضان #انقاص_الوزن #منتج_أوروبي #طبيعي100 #الجزائر #رمضان_2024 #صحة","[Hybrid: Motion Graphics, Product Showcase, Expert Voiceover]

[0-5s]: لقطات سريعة ومظلمة تظهر ميزان، أطباق أكل دسمة، ثم صور ضبابية لعلب أدوية مجهولة المصدر. صوت مقلق. إضاءة خافتة.
[5-10s]: انتقال مفاجئ إلى مشهد نقي ومشرق. يظهر شعار 'Nouriva' ببطء. موسيقى هادئة ومطمئنة. استخدام ألوان البراند (أبيض، أزرق، أخضر).
[10-18s]: لقطات موشن جرافيكس أنيقة تُظهر خريطة أوروبا وعلم الاتحاد الأوروبي مع أيقونة 'شهادة جودة'. بعدها تظهر أيقونات لمكونات طبيعية (أوراق شجر، قطرات ماء).
[18-25s]: لقطات Showcase احترافية للمنتج. زاوية تصوير راقية تُظهر تفاصيل العلبة بوضوح. إضاءة استوديو بيضاء ونقية.
[25-33s]: أنيميشن بسيط يشرح آلية العمل: كبسولة تدخل للمعدة ثم تتوسع بلطف (بشكل رمزي) لتملأ جزءاً منها، مع ظهور أيقونة 'الشبع'.
[33-40s]: مشاهد تمثيلية سريعة لسيدة تستمتع بإفطارها بهدوء وكمية معقولة، ثم ترفض الحلويات في السهرة بابتسامة وثقة.
[40-48s]: لقطة مقربة للمنتج مرة أخرى، مع ظهور نص 'عرض رمضان الخاص - كمية محدودة' بشكل بارز. نبرة الصوت تصبح أكثر إلحاحاً وحماساً.
[48-52s]: شاشة النهاية مع CTA واضح: 'اطلب الآن' ورقم الهاتف/رابط الموقع.","Islem Ben","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C03-WA","[C03-WA] Carousel - قبل ما تشري أي مكمّل في رمضان... شوف هاد الحقائق ا","Carousel","قبل ما تشري أي مكمّل في رمضان... شوف هاد الحقائق الخطيرة!","Slide 1: في رمضان، صحتك هي الأولوية. بصح كيفاش تعرف بلي المنتج لي راح تشريه آمن؟ 'نوريڤا' تقدم لك الأمان أولاً.
Slide 2: ضمانة الجودة الأوروبية. 'نوريڤا' مصنّع بالكامل في أوروبا، تحت رقابة صارمة تضمن لك أعلى معايير الجودة والنقاوة. ماشي كيما المنتجات مجهولة المصدر.
Slide 3: طبيعي 100%، راحة بال 100%. تركيبته خالية تماماً من المواد الكيميائية والإضافات الضارة. القوة تاعو جاية من الطبيعة فقط.
Slide 4: معتمد بشهادات دولية. الخبراء والمنظمات الصحية العالمية يوثقون في جودة 'نوريڤا'. صحتك في أيد أمينة.
Slide 5: رمضان هذا، ما تلعبش بصحتك. اختار الحل لي يضمنلك الفعالية والأمان في نفس الوقت. اختار 'نوريڤا' لرمضان آمن ومريح.","علاش 'نوريڤا' هو الخيار الأكثر أماناً ليك في رمضان؟ 🇩🇿🇪🇺

السوق معمر بمنتجات تعدك بالنتائج، بصح شكون يضمنلك الأمان؟
في هذا الكاروسال، نكشفلك على 4 أسباب تخلي 'نوريڤا' هو الحل الوحيد لي يريحلك بالك:
1️⃣ صناعة أوروبية بمعايير عالمية.
2️⃣ تركيبة طبيعية 100% بلا مواد ضارة.
3️⃣ شهادات اعتماد دولية.
4️⃣ راحة بال ماعندهاش ثمن.

اسحب لتعرف أكثر على ضمانات 'نوريڤا' وتفهم علاش هو اختيارك الصحيح!

#Nouriva #الأمان_أولا #صنع_في_أوروبا #منتج_طبيعي #ثقة #رمضان_صحي #الجزائر","تصميم الكاروسال يجب أن يكون نظيفاً وراقياً.
Slide 1: صورة خلفية هادئة لسيدة مبتسمة ومرتاحة، مع عنوان بارز.
Slide 2: صورة للمنتج بجانب أيقونة علم الاتحاد الأوروبي وشعار 'Made in Europe'.
Slide 3: لقطة مقربة للمكونات الطبيعية (أوراق نباتات) بجانب المنتج. استخدام أيقونة '100% Natural'.
Slide 4: تصميم جرافيكي يظهر أختام وشهادات اعتماد دولية (بشكل رمزي) مع نص واضح.
Slide 5: صورة المنتج في المقدمة مع CTA واضح في الأسفل. استخدام خطوط طبية واحترافية في كل السلايدات.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P04-WA","[P04-WA] Image - الجودة الأوروبية ماشي اختيار، هي الضمان الوحيد لصح","Image","الجودة الأوروبية ماشي اختيار، هي الضمان الوحيد لصحتك.","Nouriva
الضمان الأوروبي. الأمان الطبيعي.","نوريڤا: الضمان تاع أوروبا بين يديك.

عندما يتعلق الأمر بصحتك، لا مجال للمساومة. 'نوريڤا' يقدم لك جودة التصنيع الأوروبي الصارمة مع قوة المكونات الطبيعية النقية.
إنه ليس مجرد منتج، بل هو التزام بالأمان والفعالية.
رمضان هذا، اختر التميز.

اضغط هنا باش تبدا رحلتك مع الأمان والفعالية.

#جودة_أوروبية #NourivaAlgerie #صحة #فخامة #ضمان #منتجات_صحية #الجزائر","صورة عالية الجودة للمنتج موضوع على سطح أبيض نقي. بجانبه ختم ذهبي أو فضي بارز مكتوب عليه 'PREMIUM EUROPEAN QUALITY'. إضاءة مشرقة ونظيفة. استخدام خط (Font) أنيق ورفيع للنص. التركيز الكامل على فكرة الفخامة والجودة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V05-WA","[V05-WA] Video - أخصائي تغذية يكشفلكم السر العلمي... كيفاش تفقد الو","Video","أخصائي تغذية يكشفلكم السر العلمي... كيفاش تفقد الوزن في رمضان بلا ما تضر صحتك.","(الخبير يتكلم)
السلام عليكم، معكم الدكتور/ة [اسم]، أخصائي(ة) في التغذية.
الكثير منكم يسقسيني على كيفية التحكم في الوزن خلال شهر رمضان بطريقة صحية.
المشكل ماشي في الصيام، المشكل في الشهية المفتوحة بعد الإفطار.
واليوم حبيت نحكي على حل علمي وآمن: 'نوريڤا'.
'نوريڤا' هو مكمل غذائي طبيعي 100%، مصنوع في أوروبا.
آلية العمل تاعو بسيطة وذكية: الألياف الطبيعية لي فيه، كي تتشرب مع كمية كافية تاع الماء، تتنفخ في المعدة بلطف.
هذا يعطيك إحساس سريع بالشبع ويخلّيك تاكل كميات أقل بلا ما تحس بالجوع أو الحرمان.
هو ماشي دواء كيميائي، هو مساعدة طبيعية للجسم باش يسترجع توازنه.
لهذا السبب ننصح به كخيار آمن وفعّال لكل واحد حاب يجوز رمضان بصحة ورشاقة.","خبير تغذية يوضح الحل الآمن والفعّال لزيادة الوزن في رمضان!

هل تخاف من زيادة الوزن في رمضان وتبحث عن حل موثوق؟
استمع لرأي الخبراء! في هذا الفيديو، يشرح أخصائي التغذية كيف يعمل 'نوريڤا' بطريقة علمية وطبيعية لمساعدتك على التحكم في شهيتك بأمان تام.
اكتشف العلم وراء الفعالية.

تعرف على آلية عمل 'نوريڤا' العلمية. اضغط وشاهد!

#نصيحة_خبير #تغذية_رمضان #Nouriva #صحة #انقاص_الوزن_بأمان #استشارة_طبية #الجزائر","[فيديو خبير]
المكان: عيادة أو مكتب أنيق. الخبير يرتدي مئزر أبيض أو لباس رسمي. يجلس خلف مكتب.
الكاميرا: لقطات متوسطة (Medium shot) تركز على الخبير. يمكن استخدام كاميرا ثانية للقطات المقربة (Close-up) على تعابير الوجه لمزيد من المصداقية.
الرسوم: استخدام موشن جرافيكس بسيطة تظهر بجانب الخبير لتوضيح آلية العمل (رسم للمعدة، دخول الكبسولة، ثم تمدد الألياف).
الصوت: صوت الخبير يجب أن يكون واضحاً، هادئاً، ونبرته مطمئنة وعلمية.
الإضاءة: إضاءة ناعمة ومهنية.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C06-WA","[C06-WA] Carousel - تصوم وتزيد في الميزان؟ مع 'نوريڤا'، المعادلة تتبدل","Carousel","تصوم وتزيد في الميزان؟ مع 'نوريڤا'، المعادلة تتبدل!","Slide 1: كيفاش 'نوريڤا' يخليك تتحكم في الميزان تاعك في رمضان؟ السر في العلم والطبيعة.
Slide 2: المكونات الطبيعية الفعّالة هي سر الشبع. 'نوريڤا' يحتوي على ألياف نباتية نقية معروفة بقدرتها على امتصاص الماء، مما يمنحك شعور بالامتلاء.
Slide 3: يقلل الشهية ويساعد على حرق الدهون. عندما تشعر بالشبع، تستهلك سعرات حرارية أقل بشكل طبيعي، والجسم يبدأ في استخدام مخزون الدهون كمصدر للطاقة. نتائج مثبتة علمياً.
Slide 4: رمضان هذا، أنت المتحكم. مع 'نوريڤا'، تقدر تستمتع بعبادتك وأجوائك العائلية بلا قلق من زيادة الوزن. التحكم بين يديك.","شكون لي قال تصوم وتزيد في الميزان؟ مع نوريڤا، الحكاية تتبدل!

هل سئمت من فقدان السيطرة على شهيتك في رمضان؟
اكتشف كيف يعمل 'نوريڤا' بذكاء داخل جسمك ليمنحك التحكم الذي تحتاجه:
🔹 مكونات طبيعية تمنحك الشبع.
🔹 آلية عمل علمية لتقليل الشهية.
🔹 نتائج فعّالة لرمضان رشيق وصحي.

اسحب لفهم آلية عمل 'نوريڤا' السحرية والفعّالة!

#تحكم_في_وزنك #فعالية #Nouriva #رمضان_رشاقة #صحة #حرق_دهون #الجزائر","تصميم ديناميكي وعلمي.
Slide 1: سؤال كبير وجذاب على خلفية ذات ألوان البراند.
Slide 2: تصميم انفوجرافيك يُظهر المكونات الطبيعية الرئيسية مع شرح موجز لدور كل منها.
Slide 3: رسم بياني بسيط يوضح انخفاض السعرات الحرارية وزيادة حرق الدهون. استخدام أرقام أو نسب مئوية (إذا كانت متوفرة وموثقة) لزيادة المصداقية.
Slide 4: صورة ملهمة لشخص يبدو بصحة جيدة وسعيد، مع المنتج و CTA في الأسفل.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P07-WA","[P07-WA] Image - هذاك الجوع لي يحكمك مور الفطور؟ 'نوريڤا' هو الحل.","Image","هذاك الجوع لي يحكمك مور الفطور؟ 'نوريڤا' هو الحل.","وداعاً لجوع السهرة في رمضان.
تحكم في شهيتك طبيعياً مع Nouriva.","وداعاً لجوع ما بعد الإفطار مع نوريڤا!

أصعب تحدي في رمضان هو التحكم في الشهية خلال السهرة.
'نوريڤا' بمكوناته الطبيعية يساعدك على الشعور بالشبع لفترة أطول، ويقضي على الرغبة في الأكل المستمر بعد الإفطار.
استمتع بلياليك الرمضانية بخفة وراحة.

اكتشف الفرق الآن واطلب 'نوريڤا'!

#جوع_رمضان #تحكم_في_الشهية #Nouriva #ليالي_رمضان #صحة #الجزائر","صورة فنية تُظهر ساعة تشير إلى وقت متأخر من الليل (مثلاً 10 مساءً) بجانبها طبق حلويات لم يُمَس، وفي المقدمة علبة 'نوريڤا'. الرسالة البصرية هي أن 'نوريڤا' يساعد على التحكم في الرغبة الشديدة في الأكل ليلاً. الإضاءة تكون هادئة ودافئة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V08-WA","[V08-WA] Video - تحس روحك فطرت... و بعد ساعة كرشك تزيد تعيط؟ كاين ح","Video","تحس روحك فطرت... و بعد ساعة كرشك تزيد تعيط؟ كاين حل.","(شخصية تمثل العميل، تتحدث للكاميرا بأسلوب UGC)
رمضان لي فات، كانت عندي مشكلة كبيرة...
نفطر، والحمد لله، بصح يا خويا ساعة ولا زوج مور الفطور، يجيني واحد الجوع! شغل ما كليت والو.
نبقى رايح جاي للكوزينة، ناكل أي حاجة نلقاها... غدوة من داك، نندم.
هاد العام، قررت نوجد روحي. صحبتي نصحتني بـ 'نوريڤا'.
قالتلي طبيعي ومصنوع في أوروبا، يعني مضمون.
راني نستعمل فيه من أول يوم رمضان... والله غير حكاية وحدوخرا.
نفطر عادي، ونشرب الكبسولة تاعي... خلاص! نبقى شبعان للسحور.
لا تخمام في الماكلة، لا جوع تاع نص الليل.
أخيراً راني عايش رمضان صح، مركز في العبادة ومرتاح.","دائماً تحس بالجوع بعد الإفطار؟ هذا هو الحل لي راك تحوس عليه!

هل تعاني من مشكلة الجوع المستمر في سهرات رمضان؟ أنت لست وحدك!
شاهد هذه القصة الحقيقية لشخص وجد الحل النهائي في 'نوريڤا'.
استرجع السيطرة على شهيتك وعش رمضان براحة بال تامة.

قول وداعاً لجوع رمضان! اطلب 'نوريڤا' اليوم.

#قصتي_مع_نوريڤا #تجربة_حقيقية #UGC #رمضان #مشكلة_الجوع #حلول_صحية #الجزائر","[فيديو سرد قصصي / UGC]
التصوير: بأسلوب بسيط وعفوي، كأن الشخص يصور نفسه بكاميرا الهاتف (Selfie Style). يمكن التصوير في غرفة جلوس أو مطبخ لإعطاء طابع واقعي.
الممثل: يجب أن يكون طبيعياً في أدائه، يتحدث بدارجة جزائرية عفوية وصادقة.
القصة (PAS Framework):
- Problem: وصف مشكلة الجوع الليلي والندم.
- Agitate: تضخيم المشكلة (رايح جاي للكوزينة، ندمت).
- Solution: تقديم 'نوريڤا' كحل من صديق موثوق، والتأكيد على ميزاته (طبيعي، أوروبي)، ثم وصف النتيجة (راحة البال، تركيز في العبادة).","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C09-WA","[C09-WA] Carousel - راك تستعمل في 'نوريڤا'؟ تأكد بلي راك تديرها بالطري","Carousel","راك تستعمل في 'نوريڤا'؟ تأكد بلي راك تديرها بالطريقة الصحيحة!","Slide 1: باش تستفاد أقصى استفادة من 'نوريڤا' في رمضان، تبع هذا الدليل البسيط والفعّال.
Slide 2: أفضل وقت: تناول كبسولة واحدة قبل وجبة الإفطار بـ 30 دقيقة. هذا يسمح للمكونات الطبيعية بالبدء في العمل ويجهز معدتك لاستقبال الطعام.
Slide 3: السر في الماء: اشرب كأساً كبيراً من الماء مع الكبسولة. الماء ضروري لتفعيل الألياف الطبيعية ومساعدتها على منحك شعور الامتلاء.
Slide 4: خطوة بخطوة لرمضان ساهل: (1) خذ كبسولة 'نوريڤا' مع الماء قبل الفطور. (2) استمتع بوجبتك باعتدال. (3) عش سهرتك الرمضانية بخفة ونشاط. الأمر بهذه البساطة!","حبيت تعرف كيفاش تستعمل نوريڤا صح في رمضان؟

الاستخدام الصحيح هو مفتاح النتائج الرائعة!
'نوريڤا' ساهل وفعّال، لكن بعض التفاصيل الصغيرة يمكن أن تصنع فرقاً كبيراً.
في هذا الدليل، نوضح لك خطوة بخطوة كيفية الاستفادة القصوى من 'نوريڤا' خلال الشهر الفضيل.

اسحب لتعرف السر وتضمن أفضل النتائج!

#كيفية_الاستخدام #دليل_نوريڤا #نصائح_رمضانية #صحة #فعالية_مضمونة #الجزائر","تصميم تعليمي وواضح (How-To style).
Slide 1: عنوان جذاب مع صورة للمنتج.
Slide 2: أيقونة ساعة تشير إلى '-30 دقيقة' قبل أيقونة طبق إفطار.
Slide 3: رسم جرافيكي يوضح كبسولة مع كأس ماء كبير. استخدام سهم يوضح أهمية الماء.
Slide 4: تصميم انفوجرافيك يلخص الخطوات الثلاثة باستخدام أرقام وأيقونات بسيطة وواضحة (كبسولة -> طبق -> هلال رمضان).","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P10-WA","[P10-WA] Image - نصيحة رمضانية ذهبية: التحكم في الجوع يبدأ قبل الأذ","Image","نصيحة رمضانية ذهبية: التحكم في الجوع يبدأ قبل الأذان.","نصيحة اليوم من Nouriva:
كبسولة واحدة قبل الإفطار بنصف ساعة مع كأس ماء كبير، هي سرك لسهرة رمضانية خفيفة وبدون جوع.","رمضان هذا، تحكم في جوعك بلا تعب. نصيحة ذهبية من نوريڤا!

أفضل طريقة للتحكم في شهيتك ليست بمقاومة الجوع، بل بمنعه من الحدوث أصلاً.
'نوريڤا' يقدم لك هذه النصيحة البسيطة والفعّالة لتجعل لياليك الرمضانية أكثر راحة.
#نصيحة_نوريڤا

احصل على نصائح أكثر وادخل على صفحتنا!

#نصيحة_رمضانية #رمضان_كريم #NourivaTips #صحة #تحكم #الجزائر","تصميم يشبه بطاقة نصيحة (Tip Card). خلفية بسيطة بألوان البراند. أيقونة لمبة أو نجمة بجانب كلمة 'نصيحة'. النص يكون مكتوباً بخط واضح وسهل القراءة. شعار 'Nouriva' في الأسفل.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
