Project Name,Opportunity ID,Opportunity Name,Creative Format,Hooks,scripts,Ad Copy,Technical Directions,Opportunity Owner,Pipeline,Contact Id
"Wayso Project","V01-WA","[V01-WA] Video - -","Video","-","تحليل السوق، بناء الاستراتيجية، وهندسة رحلة العميل.","-","-","Abdellah Chaaban","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V02-WA","[V02-WA] Video - شريت أونلاين و وصلك حجرة في بلاصة تيليفون؟ في أدرا","Video","شريت أونلاين و وصلك حجرة في بلاصة تيليفون؟ في أدرار، هاد الحكاية خلاصت.","(صوت المتحدث - بنبرة هادئة وواثقة)
راك في أدرار، وتحب تشري أونلاين... بصح القلب ياكلك.
نسمعوها كل يوم: ""شكون نضمن؟""... ""وإذا تغدرت؟""... ""دراهمي يروحو هكذاك؟"".
هذا الخوف... نعرفوه مليح. وهذا هو علاش حنا جينا.
حنا ماشي مجرد موقع في الإنترنت. حنا Mosta9bali. جيرانك هنا في أدرار.
هذا هو مكتبنا. وهذا هو وجهنا. ضمانك الحقيقي والملموس.
معانا، كل خطوة مدروسة باش نتا تكون مهني.
تتصفح منتجات مضمونة، تطلب بكل سهولة، ويوصلك واش شفت بالضبط.
وإذا احتجت أي حاجة؟ ألو... نجاوبوك حنا بنفسنا.
زيد على هذا، كل عملية شراء ترجعلك فايدة. نقاط وهدايا ليك نتا.
لأنك ماشي مجرد زبون. نتا واحد منا.
التسوق أونلاين في أدرار لازم يكون ثقة، أمان، وربح.
وهذا هو وعدنا ليك.","خايف من الشراء أونلاين؟ في أدرار، ضمانك راهو عندنا! 

 مليت من الخوف كل ما تجي تشري حاجة من الإنترنت؟ تخاف يلحقك منتج ماشي هو ولا ما تلقى مع من تهدر؟

مع Mosta9bali، هاد التخمام نحيناه عليك خلاص. حنا ماشي مجرد صفحة، حنا جيرانك في أدرار وعندنا مكتبنا اللي تقدر تزورنا فيه في أي وقت. وجهنا هو ضمانك، وخدمتنا هي راحتك.

اكتشف تجربة تسوق آمنة، منتجات مضمونة، ونظام نقاط يرجعلك فايدة على كل دينار. 

 زرنا في مكتبنا بأدرار ولا اكتشف منتجاتنا الآمنة على الموقع! 

 #أدرار #تسوق_آمن #جزائر #Mosta9bali #شراء_اونلاين #ثقة #خدمة_زبائن #أدرار_تيك","المشهد 1 (0-5 ثواني): لقطات سريعة B-roll تُظهر طروداً مشبوهة، أيادي مترددة فوق زر 'شراء'، تعابير وجه قلقة. إضاءة خافتة قليلاً. مونتاج سريع وموتر.
المشهد 2 (6-10 ثواني): لقطة واسعة لرائد الأعمال (الوجه الإعلامي) يقف بثقة أمام مكتب Mosta9bali في أدرار. ينتقل من الظل إلى النور. نبرة الصوت تتغير من التساؤل إلى الطمأنة.
المشهد 3 (11-18 ثواني): لقطات داخلية للمكتب. فريق عمل، أجهزة كمبيوتر، لافتة Mosta9bali واضحة. يظهر رائد الأعمال وهو يتحدث مباشرة إلى الكاميرا، بلغة جسد منفتحة.
المشهد 4 (19-25 ثواني): لقطات ديناميكية (Screen recording) لواجهة الموقع، تُظهر سهولة التصفح وإضافة المنتجات للسلة. تراكب رسوم بيانية بسيطة تُظهر 'منتج أصلي 100%'.
المشهد 5 (26-30 ثواني): لقطة مقربة لهاتف يرن، ويجيب عليه رائد الأعمال بابتسامة. يركز المشهد على خدمة العملاء الشخصية والمباشرة.
المشهد 6 (31-35 ثواني): موشن جرافيك بسيط يشرح نظام النقاط: أيقونة سلة مشتريات تتحول إلى أيقونة نقاط، ثم إلى أيقونة هدية.
المشهد 7 (36-40 ثواني): لقطات لعملاء سعداء في أدرار يستلمون طرودهم. لقطة أخيرة لرائد الأعمال يصافح أحد العملاء أمام المكتب.
الختام (41-45 ثانية): تظهر على الشاشة معلومات واضحة: شعار Mosta9bali، عنوان الموقع، وعنوان المكتب الفعلي في أدرار مع دعوة للعمل.","Islem Ben","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C03-WA","[C03-WA] Carousel - شريت أونلاين و حسيت روحك تغدرت؟ هاد الشي جامي يزيد","Carousel","شريت أونلاين و حسيت روحك تغدرت؟ هاد الشي جامي يزيد يصرالك في أدرار!","Slide 1: Mosta9bali: علاش حنا هوما ضمانك الحقيقي في أدرار؟
Slide 2: المشكل: تشري أونلاين وقلبك مقبوض. تخاف من الاحتيال، تخاف يوصلك منتج ماشي هو، وتخاف ما تلقاش مع من تهدر.
Slide 3: الحل: حنا ماشي بعاد عليك! عندنا مكتب حقيقي في قلب أدرار، ووجه محلي تعرفو وتثيق فيه هو اللي يستقبلك.
Slide 4: كيفاش نخدمو: من لحظة اختيارك للمنتج، حتى يوصلك لباب الدار، وبعدها... حنا معاك خطوة بخطوة. دعم فني مباشر ومتابعة شخصية.
Slide 5: الفايدة ليك: أمان تام + جودة مضمونة + عروض حصرية مصممة خصيصا لينا حنا، ناس أدرار.
Slide 6: الخطوة التالية؟ الأمان على بعد كليك. تواصل معانا دروك ولا مرحبا بيك في مكتبنا.","القصة الكاملة وراء التسوق الآمن في أدرار. 

 كل مرة تجي تشري أونلاين، تبدا نفس الأسئلة: هل الموقع ثقة؟ وإذا صرات مشكلة؟

في هذا الكاروسال، شرحنالك بالتفصيل علاش مع Mosta9bali، هذه الأسئلة ماعندهاش مكان. اكتشف كيفاش حوّلنا تجربة الشراء من مغامرة محفوفة بالمخاطر إلى عملية مضمونة 100% بفضل وجودنا المحلي في أدرار. 

 أجبد التلفون دروك واكتشف الأمان الحقيقي! 

 #أدرار #ضمان #تسوق_الكتروني #Mosta9bali_يشرح #ثقة_وأمان #جزائري #تجارة_الكترونية","تصميم نظيف واحترافي باستخدام هوية Mosta9bali البصرية.
Slide 1: خلفية بصورة مموهة لأحد معالم أدرار مع الشعار والعنوان بخط عريض وواضح.
Slide 2: استخدام أيقونات تعبر عن الخوف والقلق (قفل مكسور، علامة استفهام) مع نص قصير ومباشر.
Slide 3: صورة حقيقية عالية الجودة للمكتب أو لرائد الأعمال. التركيز على الطابع الحقيقي والواقعي.
Slide 4: انفوجرافيك بسيط يوضح الخطوات الثلاث (اختيار، توصيل، دعم) بأسهم وأيقونات واضحة.
Slide 5: استخدام أيقونات تمثل الفوائد (درع للأمان، نجمة للجودة، علامة نسبة مئوية للعروض).
Slide 6: خريطة بسيطة لموقع المكتب في أدرار بجانب أرقام الاتصال و CTA واضح بخط بارز.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P04-WA","[P04-WA] Image - ضمانك ماشي كلمة. ضمانك هو مكتب تشوفو بعينك هنا في ","Image","ضمانك ماشي كلمة. ضمانك هو مكتب تشوفو بعينك هنا في أدرار!","تسوق أونلاين وأنت مهني.
Mosta9bali
مكتبنا في [أدخل العنوان هنا]، أدرار.
وجهنا هو ضمانك.","هنا في أدرار... الثقة عندها عنوان. 

 في عالم التسوق الرقمي، أكبر ضمان نقدمه لك هو وجودنا الحقيقي. مكتبنا مفتوح، وفريقنا حاضر، ووجهنا معروف.

هذا هو برهاننا على التزامنا تجاهك. لا مزيد من التعامل مع جهات مجهولة.

Mosta9bali - شريكك الموثوق في أدرار. 

 شوف العنوان وجينا نهار اليوم! 

 #أدرار #مكتب_محلي #ثقة #Mosta9bali #التزام #تسوق_بأمان #الجزائر","صورة فوتوغرافية احترافية لواجهة مكتب Mosta9bali. يجب أن تكون اللافتة واضحة جداً. يمكن لرائد الأعمال أن يقف بجانب الباب بابتسامة واثقة. النص يكون مدمجاً في التصميم بشكل أنيق وواضح (Overlay). استخدام خط قوي وسهل القراءة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V05-WA","[V05-WA] Video - الدراهم اللي راك تخسرهم في الشراء أونلاين... تقدر ","Video","الدراهم اللي راك تخسرهم في الشراء أونلاين... تقدر تربحهم. أرواح نوريلك كيفاش.","(صوت واضح وحماسي)
الشراء أونلاين ماشي لازم يكون غير مصاريف.
مع Mosta9bali، كل دينار تصرفو يقدر يرجعلك فايدة.
أرواح تشوف شحال ساهلة.
أولاً، سجل حسابك في موقعنا في أقل من دقيقة.
ثانياً، كل ما تشري أي منتج، نقاط المكافآت تتزاد عندك أوتوماتيكيا.
شوف هنا... كل منتج عندو عدد معين من النقاط.
هاد النقاط ماشي ديكور. تقدر تستعملهم كقسيمة تخفيض في مشترياتك الجاية!
يعني كل ما شريت كثر، كل ما اقتصدت كثر.
هكذا تحول مصاريفك لاستثمار.
ما تزيدش ترمي دراهمك. تعلم تشري بذكاء.","ما تخليش دراهمك تروح هباءً! تعلم فن التسوق الذكي. 

 هل تعلم أن كل عملية شراء عبر الإنترنت يمكن أن تكون فرصة للتوفير والربح؟

في هذا الفيديو القصير، نوضح لك خطوة بخطوة كيف يعمل نظام النقاط والمكافآت في منصة Mosta9bali. اكتشف كيف تحول مشترياتك العادية إلى تخفيضات وهدايا قيمة. الشراء بذكاء يبدأ من هنا. 

 ادخل لسيتنا دروك وتعلم كيفاش تستغل كل دينار! 

 #تسوق_ذكي #نقاط_مكافآت #اقتصاد #توفير #Mosta9bali #أدرار #شروحات #الجزائر","فيديو موشن جرافيك سريع وديناميكي مع تسجيل شاشة (Screen Recording).
المشهد 1 (0-5 ثواني): رسوم متحركة بسيطة تظهر نقوداً تخرج من محفظة وتختفي (تعبير عن الخسارة).
المشهد 2 (6-15 ثواني): تسجيل شاشة واضح لعملية التسجيل في الموقع، مع تسليط الضوء على الخانات المهمة.
المشهد 3 (16-25 ثواني): تصفح صفحة منتج، وعمل زوم على قسم 'النقاط المكتسبة' لإبرازها.
المشهد 4 (26-35 ثواني): موشن جرافيك يوضح تحول أيقونات النقاط إلى أيقونة 'قسيمة تخفيض' أو '€'.
المشهد 5 (36-40 ثواني): مثال عملي في صفحة الدفع يوضح كيفية تطبيق النقاط للحصول على تخفيض فوري.
استخدام موسيقى خلفية عصرية ومحفزة. التعليق الصوتي يجب أن يكون بسيطاً ومباشراً.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C06-WA","[C06-WA] Carousel - كل دينار تصرفو يقدر يرجعلك. مازالك تشري بالطريقة ا","Carousel","كل دينار تصرفو يقدر يرجعلك. مازالك تشري بالطريقة القديمة؟","Slide 1: ولي شاطر في الشراء أونلاين مع Mosta9bali!
Slide 2: قبل: كنت تشري وتخلص، والحكاية تخلاص تم. مجرد عملية تجارية بلا أي فائدة إضافية.
Slide 3: الحل: مع Mosta9bali، كل عملية شراء هي بداية لربح جديد! نقدم لك منصة سهلة ونظام نقاط يرجعلك فايدتك.
Slide 4: كيفاش؟ العملية فيها 3 خطوات ساهلين: 1. سجل في الموقع. 2. تسوق المنتجات اللي تعجبك. 3. اجمع النقاط مع كل عملية شراء.
Slide 5: بعد: تولي تقتصد في دراهمك، تستمتع بعروض حصرية، وتستعمل نقاطك كهدايا أو تخفيضات. مشترياتك تولي عندها قيمة مضاعفة!
Slide 6: ابدا من اليوم! اكتشف منصتنا الساهلة واجمع أولى نقاطك مع أول عملية شراء.","من الشراء العادي إلى الشراء الذكي في 6 خطوات بسيطة. 

 إذا كنت تظن أن التسوق أونلاين هو مجرد دفع المال مقابل سلعة، فقد حان الوقت لتغيير رأيك.

اكتشف في هذا الكاروسال كيف يمكنك تحويل كل عملية شراء إلى استثمار صغير بفضل نظام المكافآت من Mosta9bali. الطريقة بسيطة والنتيجة مضمونة. مرر لتعرف أكثر! 

 شوف كيفاش تحول مشترياتك لأرباح حقيقية! 

 #تسوق_بذكاء #مكافآت #ولاء #Mosta9bali #أدرار #كيف #تعليم","تصميم إنفوجرافيك جذاب وملون.
Slide 1: عنوان بارز مع أيقونة 'عقل ذكي' أو 'لمبة مضيئة'.
Slide 2: استخدام ألوان باهتة أو تدرج رمادي للتعبير عن الحالة 'قبل'. أيقونة محفظة فارغة.
Slide 3: الانتقال إلى ألوان زاهية ومشرقة. إظهار شعار Mosta9bali بوضوح.
Slide 4: تصميم أيقونات بسيطة ومرقمة (1, 2, 3) لكل خطوة لتسهيل الفهم.
Slide 5: إظهار نتيجة 'بعد' بصور مشرقة. أيقونة حصالة نقود ممتلئة، أيقونة هدية.
Slide 6: زر دعوة للعمل (CTA) كبير وواضح في وسط السلايد مع رابط الموقع.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P07-WA","[P07-WA] Image - مشترياتك = نقاط = دراهم. المعادلة ساهلة مع Mosta9b","Image","مشترياتك = نقاط = دراهم. المعادلة ساهلة مع Mosta9bali.","لا تترك مكافآتك تضيع!
مع كل عملية شراء، نقاطك تزيد.
حوّلها إلى تخفيضات حقيقية.","المعادلة بسيطة: اشري، اجمع، اقتصد! 

 علاش تكتفي بالمنتج فقط؟ مع نظام نقاط Mosta9bali، كل عملية شراء تزيد من رصيدك وتفتح لك باب التوفير في المستقبل.

إنها طريقتنا لنقول لك 'شكراً' على ثقتك. 

 اكتشف شحال تقدر تربح مع كل عملية شراء! 

 #نقاط #مكافآت #وفاء #اقتصاد #Mosta9bali #أدرار #عروض_خاصة","تصميم جرافيكي بسيط وفعال. في الوسط، معادلة بصرية واضحة: [أيقونة عربة تسوق] + [سهم] -> [أيقونة نقاط/نجوم] + [سهم] -> [أيقونة عملة الدينار أو قسيمة تخفيض]. استخدام ألوان الهوية البصرية للعلامة التجارية. النص يكون قصيراً ومباشراً.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V08-WA","[V08-WA] Video - هاد العروض ما تلقاها حتى فبلاصة... علاجال نتا من أ","Video","هاد العروض ما تلقاها حتى فبلاصة... علاجال نتا من أدرار.","(صوت حماسي وموسيقى عصرية)
(لقطة سريعة للمنتج الأول)
حصريا في أدرار! جبنالكم [اسم المنتج 1] بسعر استثنائي!
(لقطة جذابة للمنتج الثاني)
وماشي غير هذا! شوفو معانا [اسم المنتج 2]، الجودة اللي تحوسو عليها وبالسومة اللي تساعدكم.
(لقطة ديناميكية للمنتج الثالث)
تحب التميز؟ [اسم المنتج 3] راهو متوفر الآن بكمية محدودة جداً.
هذه مجرد البداية. موقعنا معمر بالعروض الخاصة بناس أدرار.
الفرصة ما تستناش!","🚨 عروض حصرية لأهل أدرار... ممنوع لأي واحد آخر! 

 مليت من العروض العامة اللي تشوفها في كل مكان؟

حنا في Mosta9bali نقدّر ولاء أهل منطقتنا، ولهذا خصصنا لكم باقة من المنتجات بعروض وأسعار ما تلقاوها في حتى بلاصة أخرى. شوف الفيديو واكتشف جزء صغير من اللي راهو يستنى فيك. 

 لا تفوت الفرصة! زور قسم العروض الخاصة الآن واقتني صفقتك! 

 #عروض_أدرار #حصري #تخفيضات #Mosta9bali #أدرار_فقط #صفقة_اليوم #كمية_محدودة","فيديو قصير وسريع الإيقاع (Reel/Shorts Style).
المدة: 15-20 ثانية.
المونتاج: انتقالات سريعة (quick cuts)، زوم إن/أوت ديناميكي، وتأثيرات بصرية خفيفة.
التصوير: لقطات مقربة وعالية الجودة للمنتجات وهي قيد الاستخدام إن أمكن.
النص على الشاشة: يظهر اسم المنتج وسعره بشكل جذاب وواضح على كل لقطة.
الموسيقى: أغنية تريندينغ أو موسيقى حماسية تجذب الانتباه.
الصوت: تعليق صوتي سريع ومباشر يركز على الحصرية والسعر.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C09-WA","[C09-WA] Carousel - صحابك راهم يستفادو من هاد العروض في أدرار... و نتا","Carousel","صحابك راهم يستفادو من هاد العروض في أدرار... و نتا مازالك تخمم؟","Slide 1: عروض Mosta9bali لأهل أدرار: جبنالك الزبدة! ماتفوتهاش!
Slide 2: [صورة المنتج 1]
العنوان: [اسم المنتج 1]
الوصف: [وصف قصير وجذاب في سطر واحد]
السعر: [السعر القديم مشطوب] [السعر الجديد]
Slide 3: [صورة المنتج 2]
العنوان: [اسم المنتج 2]
الوصف: [وصف قصير وجذاب في سطر واحد]
السعر: [السعر القديم مشطوب] [السعر الجديد]
Slide 4: [صورة المنتج 3]
العنوان: [اسم المنتج 3]
الوصف: [وصف قصير وجذاب في سطر واحد]
السعر: [السعر القديم مشطوب] [السعر الجديد]
Slide 5: [صورة المنتج 4]
العنوان: [اسم المنتج 4]
الوصف: [وصف قصير وجذاب في سطر واحد]
السعر: [السعر القديم مشطوب] [السعر الجديد]
Slide 6: كل هذا وأكثر ينتظرك في متجرنا الإلكتروني. صفقات حقيقية لناسنا في أدرار!
Slide 7: أدرار أولاً! شوف كامل عروضك الخاصة الآن عبر الرابط في البايو.","🔥 كتالوج عروض أدرار وصل! الأسعار راح تصدمك. 

 مجموعة من أفضل الصفقات والمنتجات جمعناها لكم في مكان واحد. سواء كنت تبحث عن [فئة منتج 1] أو [فئة منتج 2]، عندنا الشي اللي تحوس عليه وبسعر خاص بسكان أدرار.

مرر الصور واكتشف بعض العروض. الرابط في البايو فيه الكنز كامل! 

 اكتشف العروض الخاصة بيك قبل ما تروح! 

 #كتالوج_أدرار #صفقات #تخفيضات_الجزائر #Mosta9bali_عروض #حصريا #أدرار","تصميم الكاروسال يجب أن يكون مثل كتالوج مصغر وأنيق.
استخدام صور منتجات عالية الجودة ومعزولة (خلفية بيضاء أو بلون موحد من ألوان الهوية البصرية).
قالب تصميم موحد لكل سلايدات المنتجات (مكان الصورة، العنوان، السعر).
الخطوط يجب أن تكون واضحة جداً، خاصة السعر.
في السلايد الأخير، يجب أن يكون زر الـCTA هو العنصر الأبرز.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P10-WA","[P10-WA] Image - عرض ما يتعاودش في أدرار: [اسم المنتج] اليوم برك به","Image","عرض ما يتعاودش في أدرار: [اسم المنتج] اليوم برك بهاد السومة!","عرض اليوم الواحد!
[اسم المنتج]
فقط بـ [السعر]!
الكمية محدودة جداً.","⏳ فرصة ديال اليوم! السعر هذا ما راحش تشوفو غدوة. 

 عرض خاص ومستعجل لسكان أدرار فقط!

المنتج [اسم المنتج] متوفر الآن بسعر لا يصدق لفترة محدودة جداً أو حتى نفاذ الكمية.

إذا كنت مهتماً، الآن هو الوقت المناسب. غداً سيكون قد فات الأوان. 

 اطلب دروك قبل نفاذ الكمية! 

 #عرض_اليوم #فرصة #تخفيض_خرافي #Mosta9bali #أدرار #الكمية_محدودة #عاجل","صورة عالية الجودة للمنتج وهو العنصر الرئيسي في التصميم. استخدام ألوان قوية ومتباينة (مثل الأحمر والأصفر) لجذب الانتباه. النص يجب أن يكون كبيراً جداً وواضحاً، مع التركيز على كلمة 'عرض' والسعر. يمكن إضافة شريط 'مؤقت' أو 'عداد تنازلي' وهمي لزيادة الإحساس بالاستعجال.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
