Project Name,Opportunity ID,Opportunity Name,Creative Format,Hooks,scripts,Ad Copy,Technical Directions,Opportunity Owner,Pipeline,Contact Id
"Wayso Project","V01-WA","[V01-WA] Video - -","Video","-","تحليل السوق، بناء الاستراتيجية، وهندسة رحلة العميل.","-","-","Abdellah Chaaban","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V02-WA","[V02-WA] Video - Votre marketing ressemble à un champ de bataille ?","Video","Votre marketing ressemble à un champ de bataille ? 5 freelances, 3 agences, et 0 résultat ? Voici la solution.","Vous avez l'impression que votre tête va exploser ?
Chaque jour, c'est le même chaos : des appels avec le développeur, des e-mails pour le community manager, des réunions avec l'agence de publicité...
Votre budget s'évapore, votre temps est perdu, et les ventes... n'arrivent jamais.
Et si tout ça s'arrêtait ?
Imaginez un seul partenaire. Un seul système. Une seule stratégie où tout est connecté.
Chez Red Agency, nous ne gérons pas des tâches. Nous construisons votre machine à vendre.
Votre site web communique avec vos publicités. Vos publicités ciblent les bons clients sur les réseaux sociaux. Chaque euro dépensé est un investissement, pas une perte.
Le résultat ? Vous n'avez plus à vous soucier du marketing.
Vous vous concentrez sur votre métier, et vous regardez vos ventes doubler.
C'est ça, la tranquillité d'esprit.
C'est ça, la promesse de Red Agency.","🤯 Votre marketing vous épuise plus qu'il ne vous rapporte ? 

 Arrêtez de jongler entre plusieurs agences et freelances sans voir de résultats concrets.

Red Agency centralise tout votre marketing en un système unique et puissant, conçu pour une seule chose : augmenter vos ventes et vous offrir la tranquillité d'esprit.

Découvrez comment notre stratégie intégrée transforme le chaos en profits. 

 Cliquez ici maintenant et découvrez comment 'Red Agency' transforme le chaos marketing en ventes garanties ! 

 #MarketingDigital #AgenceMarketing #BusinessAlgerie #StratégieDigitale #EntrepreneuriatDZ #RedAgency","[Cadre Hybride: StoryBrand + PAS + BAB].
SCÈNE 1 (Problème): Démarrage rapide et chaotique. Icônes de mails, de téléphones, de graphiques qui chutent, qui apparaissent et disparaissent vite. Voix-off sur un ton stressé mais clair.
SCÈNE 2 (Agitation): Zoom sur un calendrier surchargé. Un visage d'entrepreneur fatigué se frottant les tempes. Superposition de chiffres négatifs (-15% ROI).
SCÈNE 3 (Solution): Transition nette vers un écran blanc épuré. Le logo de 'Red Agency' apparaît. La musique passe de chaotique à calme et confiante. La voix-off devient rassurante et autoritaire.
SCÈNE 4 (Démonstration): Motion graphics élégants (style Ben Saibi) montrant 3 icônes (Site Web, Publicités, Réseaux Sociaux) qui se connectent pour former une seule flèche pointant vers un graphique de ventes en pleine croissance.
SCÈNE 5 (Après): L'entrepreneur est maintenant détendu, souriant, regardant son ordinateur portable qui affiche un tableau de bord clair et positif. Le focus est sur sa tranquillité d'esprit.
SCÈNE 6 (CTA): Le logo et le Call To Action final apparaissent en grand sur l'écran.","Islem Ben","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C03-WA","[C03-WA] Carousel - Votre marketing part dans tous les sens ? Reprenez","Carousel","Votre marketing part dans tous les sens ? Reprenez le contrôle en 7 slides.","Slide 1: Imaginez... tout votre marketing piloté depuis un seul endroit.
Slide 2: LE PROBLÈME : Vous gérez une armée de freelances et d'agences. Résultat ? Des messages incohérents, un budget gaspillé et un stress permanent.
Slide 3: LA SOLUTION : Red Agency. Un système marketing unique et intégré qui aligne tous vos efforts vers un seul but : la vente.
Slide 4: COMMENT ÇA MARCHE ? Votre site web, vos publicités et vos réseaux sociaux ne font plus qu'un. Ils communiquent entre eux pour créer un parcours client fluide et efficace.
Slide 5: LE RÉSULTAT : Vous économisez du temps et de l'argent. Votre marque devient plus forte. Vos ventes augmentent de manière prévisible.
Slide 6: QU'ATTENDEZ-VOUS ? Libérez-vous de la complexité. Concentrez-vous sur votre cœur de métier, et laissez-nous piloter votre croissance.
Slide 7: Prêt à transformer votre marketing ? Réservez votre consultation stratégique gratuite dès aujourd'hui !","❌ Fatigué de la dispersion de vos efforts marketing ? 

 Chaque action que vous menez est une pièce du puzzle. Mais sans une vision d'ensemble, ces pièces ne formeront jamais l'image de votre succès.

Découvrez en 7 étapes simples comment notre système intégré met fin au chaos et construit une machine à vendre pour votre entreprise. 

 Faites glisser pour découvrir comment nous construisons un système marketing qui travaille pour votre portefeuille. 

 #MarketingIntégré #SystèmeMarketing #CroissanceEntreprise #Efficacité #StratégieMarketing #Alger","Design sobre et professionnel par Abdelrahman. Utiliser une charte graphique cohérente (couleurs de Red Agency). Chaque slide doit contenir un titre fort, un texte court et une icône ou un visuel simple qui illustre le point. Police de caractères claire et lisible. Le logo doit être présent sur chaque slide.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P04-WA","[P04-WA] Image - La tranquillité d'esprit en marketing n'est pas un","Image","La tranquillité d'esprit en marketing n'est pas un rêve. C'est une stratégie.","LA TRANQUILLITÉ D'ESPRIT N'A PAS DE PRIX.
(Sauf celui d'une bonne stratégie.)

Red Agency : Mettez fin au chaos. Laissez-nous piloter vos ventes.","Et si votre marketing devenait enfin une source de sérénité ? 

 Le succès de votre entreprise ne devrait pas dépendre du stress et du chaos. Avec une stratégie intégrée, vous gagnez sur deux tableaux : des ventes en hausse et une tranquillité d'esprit retrouvée.

Red Agency est la clé pour y parvenir. 

 Détendez-vous, et laissez les ventes à nous. Contactez-nous ! 

 #Tranquillité #PaixdEsprit #MarketingEfficace #StratégieGagnante #BusinessSuccess #RedAgency","Infographie simple et percutante par Abdelrahman. Visuel central : une balance en équilibre. D'un côté, une pile de tâches chaotiques (icônes : e-mail, téléphone, pub, etc.). De l'autre, l'icône '€' ou un graphique de ventes en hausse. Le texte doit être grand, lisible et au centre de l'attention. Utiliser les couleurs de la marque.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V05-WA","[V05-WA] Video - Cette semaine, combien d'heures avez-vous perdues ","Video","Cette semaine, combien d'heures avez-vous perdues en réunions marketing... pour ZÉRO résultat ?","(L'animateur regarde la caméra, l'air sérieux)
1 heure, 5 heures, peut-être 10 heures ?
Ce temps, c'est de l'argent. C'est de l'énergie que vous n'investissez pas dans le développement de votre produit ou la satisfaction de vos clients.
Le problème n'est pas le marketing en soi. Le problème, c'est le chaos.
C'est le temps perdu à répéter la même chose à 5 personnes différentes.
C'est l'effort gaspillé sur des actions qui ne sont pas connectées entre elles.
Chez Red Agency, nous vous rendons ce temps. Notre système intégré travaille pour vous, même quand vous dormez.
Une seule stratégie, un seul interlocuteur, des résultats mesurables.
Alors, la vraie question est : êtes-vous prêt à arrêter de perdre votre temps ?","Votre ressource la plus précieuse s'évapore : votre temps. 

 Chaque minute passée à gérer un marketing désorganisé est une minute de moins pour faire grandir votre entreprise.

Il est temps de changer. Découvrez comment un système marketing unifié peut vous libérer du temps et décupler vos résultats. 

 Arrêtez de gaspiller votre temps et vos efforts. Réservez un appel gratuit pour évaluer votre stratégie. 

 #GestionDuTemps #Productivité #MarketingAutomation #Optimisation #Entrepreneur #Algerie","[Cadre QUEST]. Animateur (Ahmed) en plan moyen, charismatique et direct. Fond de studio sobre. Motion graphics apparaissent à côté de lui pour illustrer les points clés : un chronomètre qui tourne vite, des icônes déconnectées qui se lient ensuite, un graphique de productivité qui monte. Le ton doit être direct et empathique. Pas de vente agressive, mais une prise de conscience.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C06-WA","[C06-WA] Carousel - L'histoire d'un entrepreneur comme vous, noyé sous","Carousel","L'histoire d'un entrepreneur comme vous, noyé sous le chaos marketing.","Slide 1: L'histoire de Karim, entrepreneur passionné... mais épuisé par son marketing.
Slide 2: AVANT : Karim passait ses journées à jongler entre un freelance pour le site, une agence pour les pubs et sa nièce pour Instagram. Les résultats ? Médiocres.
Slide 3: LE PROBLÈME : Aucune cohérence. Des messages contradictoires. Un budget qui part en fumée sans aucun retour sur investissement. L'épuisement était total.
Slide 4: LE PONT : Karim a découvert Red Agency. Nous avons rassemblé toutes les pièces du puzzle en un seul système intelligent et centralisé.
Slide 5: APRÈS : Aujourd'hui, Karim a l'esprit tranquille. Il se concentre sur son business pendant que notre système lui génère des prospects qualifiés. Ses ventes ont doublé en 6 mois.
Slide 6: L'histoire de Karim pourrait être la vôtre. Êtes-vous prêt à changer de chapitre ? Contactez-nous !","Cette histoire vous semble familière ? Vous n'êtes pas seul. 

 Beaucoup d'entrepreneurs vivent le même cauchemar marketing : des efforts dispersés, du temps perdu et des résultats décevants.

Voyez comment nous avons transformé cette situation pour l'un de nos clients, et comment nous pouvons le faire pour vous. 

 Découvrez l'histoire de succès complète. Faites glisser maintenant ! 

 #SuccessStory #TémoignageClient #Transformation #AvantAprès #MarketingRésultats #Entreprendre","Style narratif par Abdelrahman. Utiliser des illustrations ou des photos stock pour représenter 'Karim'. Slide 'Avant' : couleurs sombres, désaturées, icônes chaotiques. Slide 'Après' : couleurs vives, visuels clairs et positifs. La transition (Le Pont) doit être marquée visuellement.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P07-WA","[P07-WA] Image - Votre temps est trop précieux pour le gaspiller da","Image","Votre temps est trop précieux pour le gaspiller dans un marketing qui ne fonctionne pas.","""Votre énergie devrait être consacrée à votre génie, pas à la gestion du chaos marketing.""

- Red Agency","Une piqûre de rappel pour tous les entrepreneurs. 

 Ne laissez pas la complexité du marketing vous détourner de votre véritable mission. Déléguez le chaos, gardez le contrôle de votre croissance.

Nous sommes là pour ça. 

 Laissez-nous travailler pour vous. Contactez 'Red Agency' et ayez l'esprit tranquille. 

 #Citation #InspirationBusiness #Focus #EntrepreneurLife #Stratégie #Priorités","Quote Card (Carte de citation) par Abdelrahman. Design très épuré et élégant. Le texte de la citation en grand, avec une police serif pour un effet premium. Le nom 'Red Agency' en dessous, plus petit, avec le logo. Fond neutre, peut-être avec une texture subtile.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V08-WA","[V08-WA] Video - L'année dernière, combien avez-vous dépensé en mar","Video","L'année dernière, combien avez-vous dépensé en marketing ? Et... combien avez-vous réellement gagné ?","(Texte animé à l'écran : DÉPENSES MARKETING 2023)
(Un chiffre élevé apparaît, puis se transforme en point d'interrogation)
Cette question vous angoisse ? C'est normal.
Quand vos publicités ne sont pas liées à votre stratégie de contenu, et que votre site n'est pas optimisé pour convertir... vous ne faites pas du marketing. Vous jetez de l'argent par les fenêtres.
(Animation d'argent qui s'envole)
Chez Red Agency, chaque action est pensée pour le ROI.
Nous ne créons pas de jolis sites. Nous créons des sites qui vendent.
Nous ne faisons pas de belles publicités. Nous faisons des publicités qui rapportent.
Arrêtez de dépenser. Commencez à investir.
(Animation d'une pièce de 1€ qui se transforme en plusieurs pièces)","Votre budget marketing est-il un investissement ou une dépense ? 

 Si vous ne pouvez pas répondre à cette question avec certitude, il y a un problème.

Un marketing efficace n'est pas un centre de coût, c'est un centre de profit. Découvrez notre approche axée sur le retour sur investissement (ROI) et transformez vos dépenses en gains. 

 Découvrez comment 'Red Agency' vous assure un réel retour sur investissement. Réservez votre consultation gratuite ! 

 #ROI #RetourSurInvestissement #MarketingRentable #BudgetMarketing #PerformanceMarketing #Alger","[Cadre PAS]. Vidéo 100% Motion Graphics par Islam. Style dynamique et basé sur la typographie et les chiffres. Utiliser des couleurs contrastées (rouge, noir, blanc). Le rythme doit être rapide. Mettre l'accent sur la transformation des chiffres : des dépenses qui deviennent des profits. Son design moderne et engageant.","islam Lak","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C09-WA","[C09-WA] Carousel - Vos publicités attirent des clics, mais pas de cli","Carousel","Vos publicités attirent des clics, mais pas de clients ? Voici pourquoi.","Slide 1: Votre investissement marketing : est-ce qu'il vous rapporte vraiment de l'argent ?
Slide 2: LE PROBLÈME : Lancer des publicités sans stratégie globale, c'est comme construire une maison sans fondations. Vous attirez des visiteurs sur un site qui ne convertit pas. Résultat : 100% de perte.
Slide 3: LA SOLUTION RED AGENCY : Nous construisons l'équation du ROI. Trafic qualifié (Pubs) + Expérience optimisée (Site Web) + Engagement (Contenu) = Ventes.
Slide 4: LES CHIFFRES NE MENTENT PAS : Découvrez le cas de notre client 'XYZ'. Nous avons restructuré leur approche et transformé 1€ investi en 7€ de chiffre d'affaires.
Slide 5: Calculez le potentiel de VOTRE retour sur investissement. Contactez-nous pour une analyse gratuite !","Où va l'argent de vos publicités ? Assurez-vous qu'il revienne, avec des bénéfices. 

 Ne vous contentez pas de 'visibilité'. Exigez de la rentabilité.

Notre approche intégrée garantit que chaque euro investi dans la publicité est soutenu par une stratégie conçue pour convertir. Découvrez comment. 

 Apprenez à multiplier votre retour sur investissement. Faites glisser vers la gauche ! 

 #PublicitéEnLigne #GoogleAds #FacebookAds #Rentabilité #MarketingDePerformance #BusinessDZ","Carrousel éducatif par Abdelrahman, très orienté 'chiffres'. Utiliser des graphiques simples, des équations visuelles (icône + icône = icône €) et mettre en avant les chiffres clés en grand et en gras. La slide 4 doit ressembler à une mini étude de cas avec des chiffres percutants.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P10-WA","[P10-WA] Image - STATISTIQUE CHOC : Les entreprises avec une straté","Image","STATISTIQUE CHOC : Les entreprises avec une stratégie intégrée surperforment leurs concurrents de 300%.","3X

C'est le gain de performance moyen des entreprises qui utilisent une stratégie marketing intégrée par rapport à celles qui travaillent en silos.

(Source: Gartner Research)

La question n'est pas de savoir SI vous devez intégrer, mais QUAND.","Vous voulez prendre une longueur d'avance sur la concurrence ? La data a parlé. 

 Ce n'est pas une opinion, c'est un fait. L'intégration de vos actions marketing n'est pas une option, c'est un avantage compétitif majeur.

Pendant que vos concurrents s'éparpillent, vous pouvez construire un système puissant et cohérent. 

 Faites partie des gagnants. Investissez judicieusement avec 'Red Agency'. 

 #Statistique #MarketingData #AvantageConcurrentiel #Performance #StratégieDigitale #Business","Post 'Statistique' par Abdelrahman. Le chiffre '3X' doit être énorme et au centre de l'image. Le texte explicatif en dessous, plus petit mais lisible. Mentionner la source ('Gartner Research' ou autre) en bas pour la crédibilité. Design très direct et informatif.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
