Project Name,Opportunity ID,Opportunity Name,Creative Format,Hooks,scripts,Ad Copy,Technical Directions,Opportunity Owner,Pipeline,Contact Id
"Wayso Project","V01-WA","[V01-WA] Video - -","Video","-","تحليل السوق، بناء الاستراتيجية، وهندسة رحلة العميل.","-","-","Abdellah Chaaban","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V02-WA","[V02-WA] Video - راح تخلّص ملاين زيادة على دار أحلامك؟ حبّس! هاد ال","Video","راح تخلّص ملاين زيادة على دار أحلامك؟ حبّس! هاد الدراهم تاع العمولة تقدر تدير بيهم شحال من حاجة.","حاب تشري دار و راسك معمر بالأسئلة؟
شحال نزيد فوق السومة؟ الإجراءات واش حال معقدة؟ و منين نجيب وكيل عقاري ثقة؟
علابالنا بلي هاد التخمام قادر يحبّسلك حلمك... ويخليك تدفع دراهم كنت قادر توفرها.
بصح اليوم، الحكاية تبدلت.
في وكالة ايمو العقارية، ماشي برك نلقاولك الدار اللي تحلم بيها... نضمنولك تشريها بـ 0% عمولة.
وي، صفر عمولة على المشتري.
عندنا أكثر من 10 سنين خبرة في السوق العقاري تاع قسنطينة. نعرفو كل حومة وكل فرصة.
مهمتنا ماشي برك نبيعولك... مهمتنا نوقفو معاك، نوجهوك، ونحميوك من كل المشاكل.
نتكفلو بكل شي: من البحث على العقار المناسب، للتفاوض على أفضل سعر، حتى نكملو كل الإجراءات القانونية.
باش نت، تكون مرتاح البال، وموفر دراهمك.
هادي ماشي مجرد خدمة، هذا هو العهد تاعنا معاك.
دار أحلامك راهي تسنى فيك، بلا حتى سنتيم زيادة.","🚨 قبل ما تشري دار في قسنطينة، لازم تشوف هذا الفيديو! 

 علاش تزيد على روحك مصاريف العمولة اللي تقدر توفرها و تستفاد منها في دارك الجديدة؟ 🤔
في وكالة ايمو العقارية، قلبنا المعادلة. معانا، المشتري ما يخلص حتى فرنك عمولة! خبرتنا تاع 10 سنين في السوق القسنطيني هي ضمانك باش دير أفضل صفقة بأمان تام وراحة بال.
نتكفلو بكلش من الألف إلى الياء. مهمتك الوحيدة؟ تستلم مفاتيح دار أحلامك. 

 ✅ أحجز استشارتك المجانية اليوم واعرف كيف تولي مولا دارك بلا ما تخلّص زيادة! 

 #عقارات_قسنطينة #شراء_عقار_الجزائر #عمولة_صفر #وكالة_ايمو_العقارية #شقق_للبيع_قسنطينة #استثمار_عقاري_الجزائر","[Master Video - Hybrid Style]
- **Opening (0-3s):** Fast cuts. A calculator showing a large number (e.g., 500,000 DA), then a hand swiping it away with a 'X'. Text overlay: 'عمولة؟'. Voiceover starts with the hook, tone is slightly shocking/urgent.
- **Problem (3-10s):** Show a person looking stressed, scrolling through property listings on a phone, looking confused at paperwork. Use motion graphics to show question marks popping up around their head. Visuals are slightly desaturated.
- **Agitation (10-15s):10-15s):** Quick shot of money being passed under a table (metaphor for hidden costs), followed by a shot of a calendar with days flying by (wasted time). Nبرة الصوت تكون متعاطفة.
- **Solution Intro (15-25s):** Screen goes clean. The 'ايمو' logo animates in smoothly. A friendly, professional host (الوجه الإعلامي) appears on screen. Lighting is bright and warm. He delivers the '0% commission' line with confidence and a smile.
- **Building Trust (25-35s):** Motion graphics showing '10+ سنوات خبرة' with a map of Constantine in the background highlighting different neighborhoods. Show quick B-roll shots of keys being handed over to happy clients. Host's voice is now expert and reassuring.
- **The Process (35-45s):** Simplified animated flowchart shows the process: 1. Consultation, 2. Property Search, 3. Negotiation, 4. Paperwork. All handled by the agency. Emphasize ease and simplicity.
- **The Promise/CTA (45-55s):** Return to the host. He speaks directly to the camera with a calm, trustworthy demeanor. The final call to action appears on screen as a clear, clickable-looking button. End with the logo and contact info.","Islem Ben","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C03-WA","[C03-WA] Carousel - السر اللي يخلّيك تشري دارك بلا ما تزيد حتى دورو عم","Carousel","السر اللي يخلّيك تشري دارك بلا ما تزيد حتى دورو عمولة... موجود هنا.","Slide 1: السر اللي يخلّيك تشري دارك في قسنطينة بلا ما تزيد حتى دورو عمولة... موجود في هذا الكاروسال! (مع سهم للإشارة للتمرير)
Slide 2: الطريقة التقليدية: المشتري يدفع عمولة للوكالة العقارية. هاد الشي يزيد في تكلفة العقار عليك.
Slide 3: طريقتنا في ايمو: المشتري يدفع 0% عمولة. السعر اللي تشوفو هو السعر اللي تخلصو. شفافية تامة.
Slide 4: كيفاش ممكن؟ بكل بساطة، حنا نتفاهمو على العمولة تاعنا مع البائع فقط. مهمتنا نسهلولو البيع، ومهمتنا ليك هي نسهلولك الشراء.
Slide 5: واش معنتها ليك؟ دراهم العمولة اللي كنت راح تخلصها، تقدر دير بيها:
- أثاث جديد لدارك
- تكمل بيها مبلغ الشراء
- تخبيها لمشروع آخر
Slide 6: الفوائد واضحة: توفير مالي كبير، ثقة أكبر في العملية، وتركيز كامل على إيجاد المنزل المثالي ليك.
Slide 7: مستعد تبدا رحلتك نحو دار أحلامك بلا تكاليف مخفية؟ وكالة ايمو العقارية هي شريكك.","🤫 كشف سر شراء عقار في قسنطينة بأقل تكلفة ممكنة! 

 ما تخليش العمولات تكون هي الحاجز بينك وبين دار أحلامك. اكتشف في هذا الكاروسال كيف نظامنا تاع 'عمولة صفر للمشتري' يخدم لصالحك ويوفّرلك آلاف الدينارات.
الشفافية والثقة هما أساس خدمتنا. مرر الصور واعرف علاش حنا الخيار الأفضل. 

 حاب تعرف تفاصيل أكثر؟ ادخل لموقعنا الرسمي أو ابعث لينا رسالة ونجاوبوك في الحين! 

 #عمولة_صفر_ايمو #شراء_منزل #نصائح_عقارية #الجزائر #قسنطينة #توفير_المال #وكالة_عقارية_موثوقة","[Infographic Carousel]
- **Overall Style:** Clean, modern, using brand colors (e.g., blue, white, grey). Use clear icons and simple graphics to illustrate points.
- **Slide 1:** Bold hook text over a high-quality, slightly blurred image of house keys. A 'swipe' graphic is essential.
- **Slide 2:** A simple diagram showing: [Buyer] -> [Money Icon + %] -> [Agency]. Use a 'sad' or 'thinking' emoji.
- **Slide 3:** A similar diagram showing: [Buyer] -> [0% Icon] -> [Agency 'Imo']. Use a 'happy' or 'check mark' emoji.
- **Slide 4:** A graphic showing [Seller] -> [Money Icon] -> [Agency 'Imo'] on one side, and [Agency 'Imo'] -> [Service/Handshake Icon] -> [Buyer] on the other.
- **Slide 5:** Use bullet points with clear icons for each item (a sofa for furniture, a piggy bank for savings, etc.).
- **Slide 6:** Use checkmark icons next to each benefit (توفير، ثقة، تركيز).
- **Slide 7:** Clear Call To Action text with the agency logo and a button-like graphic saying 'تواصل معنا'.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P04-WA","[P04-WA] Image - العمولة على الشاري؟ هادي حكاية قديمة. معانا، تشري ","Image","العمولة على الشاري؟ هادي حكاية قديمة. معانا، تشري و تتهنّى.","عمولة 0% للمشتري.
نقطة إلى السطر.","واش تسنى باش تملك دارك؟ العمولة ولات تاريخ! 

 المعادلة بسيطة وواضحة: في وكالة ايمو العقارية، المشتري ما يخلصش عمولة. تركيزنا الكامل هو باش تلقى الدار المناسبة ليك، بأفضل سعر، وبلا أي تكاليف إضافية مفاجئة.
مرحلة جديدة في السوق العقاري بدأت. 

 ابدأ رحلتك نحو تملك العقار اليوم - اضغط على الرابط في البايو! 

 #بدون_عمولة #عقارات_الجزائر #قسنطينة_سيتي #فرصة_عقارية #ايمو_العقارية #دار_للبيع","[Awareness Graphic]
- **Background:** A professional and clean background, maybe a subtle architectural design or a solid brand color.
- **Typography:** The text 'عمولة 0% للمشتري' should be very large, bold, and the central focus. The line 'نقطة إلى السطر.' should be smaller but still impactful.
- **Branding:** The 'ايمو' logo should be clearly visible but not overpowering, likely in a corner.
- **Overall Feel:** Confident, direct, and unambiguous.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V05-WA","[V05-WA] Video - حسبت شحال من مليون كنت راح ترميه في العمولة؟ أرواح","Video","حسبت شحال من مليون كنت راح ترميه في العمولة؟ أرواح نحسبوها كيف كيف.","راك تخمم تشري دار؟ ممتاز.
بصح علابالك بلي في السوق التقليدي، جزء كبير من ميزانيتك يقدر يروح في العمولة؟
خلونا نحسبوها... إذا شريت عقار بمليار سنتيم، وعمولة الوكالة 3%، راك راح تزيد 30 مليون سنتيم من جيبك!
تخيل واش تقدر دير بـ 30 مليون... تجهز بيها كوزينتك، تشري أثاث جديد، ولا حتى تخلص بيها مصاريف أخرى.
مع وكالة ايمو العقارية، هاد الحسابات ماكانش.
لأنو عمولتنا عليك هي صفر بالمئة.
نخدمو باش نوفرو عليك، ماشي باش نزيدو عليك.
حاب تعرف شحال تقدر توفر بالضبط على العقار اللي راك تحوس عليه؟","💰 30 مليون سنتيم (أو أكثر) تقدر توفرها في صفقتك العقارية الجاية! 

 قبل ما توقع أي عقد، لازم تعرف الأرقام الحقيقية. العمولات التقليدية قادرة تكلفك مبالغ طائلة كنت قادر تستثمرها في مستقبلك.
في هذا الفيديو، نورولك بالحساب شحال تقدر تخبي في جيبك كي تختار الشريك العقاري الصحيح.
المبلغ راح يصدمك! 

 احسب مدخراتك المحتملة! أرسل لنا رسالة واحجز استشارتك المجانية الآن! 

 #توفير #اقتصاد #عقارات_قسنطينة #استثمار_ذكي #ايمو_العقارية #شراء_شقة #نصيحة_مالية","[Motion Graphics Video - QUEST Framework]
- **(Qualify) 0-3s:** Animated text: 'تخمّم تشري دار؟'. Fast, upbeat music starts.
- **(Understand) 3-8s:** A piggy bank graphic appears. Coins start flying out of it into a bin labeled 'عمولة'. Show a sad face emoji.
- **(Educate) 8-18s:** A calculator interface animates on screen. Show the calculation: '1,000,000,000 x 3% = 30,000,000'. The number '30,000,000' flashes in red. Then, show icons of a kitchen, a sofa, and a car appearing next to this number.
- **(Stimulate) 18-23s:** The '30,000,000' in red gets crossed out with a big green 'X'. The 'Imo' logo appears with text '0% عمولة للمشتري'. The sad emoji flips to a happy, smiling one.
- **(Transition) 23-30s:** The screen transitions to a clear call to action. An animated button 'احسب توفيرك الآن' appears. The music ends on a positive, encouraging note.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C06-WA","[C06-WA] Carousel - بالأرقام: شوف الفرق بين تشري دار وحدك، مع وكالة عا","Carousel","بالأرقام: شوف الفرق بين تشري دار وحدك، مع وكالة عادية، ومعانا.","Slide 1: قبل ما تشري دارك، شوف بالأرقام شحال كنت راح تخلّص عمولة وكيفاش تقدر تحافظ على دراهمك! (مع صورة مفتاح وآلة حاسبة)
Slide 2: الحالة: شراء عقار بقيمة 1.5 مليار سنتيم (15,000,000 دج).
Slide 3: الخيار 1: وكالة تقليدية.
عمولة المشتري (مثلاً 2%): 30 مليون سنتيم.
التكلفة الإجمالية: 1.53 مليار سنتيم.
Slide 4: الخيار 2: وكالة ايمو العقارية.
عمولة المشتري: 0 دج.
التكلفة الإجمالية: 1.5 مليار سنتيم.
Slide 5: النتيجة: توفير مباشر بقيمة 30,000,000 دج.
هذا المبلغ يبقى في جيبك. أنت حر كيفاش تستعملو.
Slide 6: الخيار واضح. كي يتعلق الأمر بأكبر استثمار في حياتك، كل دينار يهم. اختار الشفافية والتوفير. اختار ايمو.","الحسابات ما تكذبش! 🧐 شوف شحال تقدر توفر على دارك الجديدة. 

 الكلام ساهل، بصح الأرقام هي اللي تورّي الحقيقة. في هذا الكاروسال، درنالك مقارنة بسيطة وواضحة توريلك الأثر المالي الحقيقي لاختيارك للوكالة العقارية.
الفرق قادر يوصل لعشرات الملايين! مرر واكتشف بنفسك. 

 قارن واكتشف الفارق بنفسك! زور صفحتنا للمزيد من المعلومات. 

 #مقارنة_عقارية #الجزائر #قسنطينة #توفير_عقاري #ايمو_العقارية #حاسبة_العمولة #استثمار_ناجح","[Data/Comparison Carousel]
- **Style:** Data-driven, clean, and professional. Use graphs or comparison tables.
- **Slide 1:** Hook in bold text. Visuals: a calculator, house keys, and maybe a graph icon.
- **Slide 2:** Set the stage. Use a large, clear font for the property value.
- **Slide 3:** Use a column or box for 'الخيار 1'. Highlight the commission amount in red or a contrasting color to show it's a cost.
- **Slide 4:** Use a parallel column for 'الخيار 2'. Highlight the '0 دج' commission in green to show it's a saving.
- **Slide 5:** A large, impactful graphic showing '= 30,000,000 دج توفير'. You can add icons of things that can be bought with this money.
- **Slide 6:** A concluding statement with the brand logo and a clear CTA button graphic.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P07-WA","[P07-WA] Image - عمولتك ولات جيبك! اشري دارك اليوم ووفر الآلاف.","Image","عمولتك ولات جيبك! اشري دارك اليوم ووفر الآلاف.","دراهم العمولة... خليها في جيبك.","💰 عمولتك ولات جيبك! اشري دارك اليوم ووفر الآلاف. 

 هذا هو وعدنا ليك. كل دينار كنت راح تدفعو كعمولة، الآن تقدر تستثمرو في أثاث أحلامك، أو ببساطة، تخليه في حسابك البنكي. مع وكالة ايمو، التوفير حقيقي وملموس.
عقارك الجديد ينتظرك، وميزانيتك في أمان. 

 ابدأ التوفير - اضغط هنا لتعرف أكثر! 

 #التوفير_أولا #عقارات_قسنطينة #جيبك_أولى #ايمو_العقارية #منزل_جديد #استثمار_مربح","[Benefit-Driven Graphic]
- **Visual:** A high-quality, expressive photo. Either a close-up of a wallet full of money, or a person smiling with relief while holding house keys. The feeling should be one of financial gain and happiness.
- **Text Overlay:** The text 'دراهم العمولة... خليها في جيبك.' should be elegantly placed on the image. Not too large, but clear and readable.
- **Branding:** The 'ايمو' logo in a corner.
- **Color Grading:** Warm and positive color tones.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V08-WA","[V08-WA] Video - كي تحط تحويشة حياتك في دار، آخر حاجة تحتاجها هي ال","Video","كي تحط تحويشة حياتك في دار، آخر حاجة تحتاجها هي القلق من النصب. أرواح تشوف كيفاش نضمنولك كل خطوة.","شراء عقار هو أكبر قرار مالي في حياة أغلبنا.
وعلابالنا بلي أكبر تخوف هو الثقة... هل هذا هو السعر الحقيقي؟ هل الأوراق سليمة؟ هل راني نتعامل مع ناس محترفين؟
هاد المخاوف مشروعة.
هذا علاش في وكالة ايمو، بنينا خدمتنا على أساس واحد: الثقة.
عندنا أكثر من 10 سنين وحنا نخدمو في السوق العقاري تاع قسنطينة. نعرفو كل حومة، ونعرفو قيمة كل عقار.
الخبرة تاعنا هي ضمانك.
نراجعو كل وثيقة، ونتأكدو من كل تفصيل قانوني... باش نتا تكون مهني.
نوقفو معاك في كل خطوة، من الزيارة الأولى حتى نهار الإمضاء عند الموثق.
معانا، ماكاش مفاجآت. كاين غير الشفافية، الاحترافية، وراحة البال.
لأنو ثقتك هي رأس مالنا الحقيقي.","🔒 القلق من النصب والاحتيال في شراء العقار؟ مع 10 سنين خبرة، نضمنلك كل خطوة! 

 استثمارك العقاري لازم يكون مصدر سعادة، ماشي مصدر قلق. خبرتنا الطويلة في سوق قسنطينة تسمح لنا نكونو الدليل الموثوق اللي تحتاجه بجنبك.
من التحقق من الأوراق إلى التفاوض على السعر، حنا هنا باش نحميو مصالحك ونضمنلك تجربة شراء آمنة 100%.
شاهد الفيديو واعرف كيفاش نحولو القلق إلى راحة بال. 

 ثقتك أمانة عندنا. تواصل معنا اليوم لتحظى بتجربة شراء عقاري مضمونة. 

 #ثقة_في_العقارات #خبرة_عقارية #قسنطينة #وكالة_ايمو_الموثوقة #أمان_عقاري #الجزائر","[Storytelling Video - Trust Focused]
- **Style:** Cinematic, calm, and reassuring. Led by the host (الوجه الإعلامي) in a professional setting, like an office or a quiet, well-lit living room.
- **Opening (0-5s):** Host looks directly at the camera, speaks calmly and empathetically about the fear of buying a property.
- **The Problem (5-15s):** B-roll footage showing someone looking worriedly at complex legal documents, or shaking hands hesitantly.
- **The Guide (15-30s):** Host explains the agency's philosophy. On-screen text appears: '10+ سنوات خبرة في قسنطينة'. Show quick, professional shots of the team working, reviewing plans, talking to clients.
- **The Plan (30-45s):** Use B-roll to show the process: inspecting a property with a client, a close-up of a legal document getting a stamp of approval, a firm and friendly handshake with a notary.
- **Success (45-55s):** Show a family happily entering their new home. The host concludes the message about trust and peace of mind.
- **CTA (55-60s):** Final shot of the host smiling, with the agency's logo and contact info displayed clearly.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C09-WA","[C09-WA] Carousel - ما تسمعش لينا... أسمع للناس اللي شراو ديارهم معانا","Carousel","ما تسمعش لينا... أسمع للناس اللي شراو ديارهم معانا.","Slide 1: ماشي أي واحد يخدم في العقار. شوف علاش آلاف العائلات في قسنطينة وثقت فينا باش تشري دارها.
Slide 2: 'كنت خايف من التعقيدات تاع الأوراق، بصح فريق ايمو سهّل عليا كلش. لقيت داري في وقت قصير وبلا صداع راس.' - سليم. ب، زبون سعيد.
Slide 3: 'أكثر حاجة عجبتني هي الشفافية، وخصوصا ميزة 0% عمولة. حسيت بلي صح يخدمو لمصلحتي.' - فاطمة. ز، اشترت شقتها الأولى معنا.
Slide 4: خبرتنا تاع 10 سنين ماشي مجرد رقم. هي مئات الصفقات الناجحة، مئات العائلات اللي ساعدناها تبدا حياتها الجديدة.
Slide 5: الثقة تُبنى بالأفعال، ماشي بالأقوال. مستعد تكون قصة نجاحنا الجاية؟","💬 كلام زبائننا هو أكبر دليل على نجاحنا! 

 أفضل طريقة باش تعرف جودة خدمتنا هي من خلال تجارب الناس اللي تعاملوا معانا. في هذا الكاروسال، نشاركوكم بعض من قصص النجاح لزبائن وضعوا ثقتهم فينا لتحقيق حلمهم.
شهاداتهم هي مصدر فخرنا والدافع تاعنا باش نقدّمو الأفضل دايماً. 

 اقرأ قصص نجاحنا وتأكد بنفسك. رابط شهادات العملاء في البايو! 

 #شهادات_عملاء #زبائن_سعداء #ايمو_العقارية #ثقة #عقارات_قسنطينة #دليل_اجتماعي","[Social Proof Carousel]
- **Style:** Personal and authentic. Use high-quality photos of the clients (if available) or professional stock photos that look genuine. Use quote marks for testimonials.
- **Slide 1:** A strong opening statement with a collage of happy families/people in their homes in the background.
- **Slide 2 & 3:** Each testimonial on a separate slide. The client's quote should be the main focus. Include their first name and initial for authenticity. A 5-star rating graphic can be added.
- **Slide 4:** A bold statement about the '10 years experience' with numbers like '100+ صفقات ناجحة' animated or highlighted.
- **Slide 5:** A direct and inviting question as a CTA, with the agency logo and contact details.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P10-WA","[P10-WA] Image - 10 سنين خبرة في قسنطينة: شريكك الموثوق لتملك عقارك","Image","10 سنين خبرة في قسنطينة: شريكك الموثوق لتملك عقارك.","""الثقة هي أساس كل صفقة ناجحة.""
- فريق وكالة ايمو العقارية","🤝 خبرتنا بين يديك. 

 أكثر من 10 سنوات في قلب السوق العقاري القسنطيني علمتنا حاجة وحدة: بناء الثقة مع العميل هو أهم من أي صفقة.
حنا ماشي مجرد وكلاء، حنا مستشارين وشركاء في رحلتك لتحقيق حلمك. 

 استشر خبيرنا مجاناً الآن واحصل على تقييم ونصيحة احترافية. 

 #خبراء_العقار #ثقة_واحترافية #قسنطينة #وكالة_ايمو #استشارة_عقارية #10_سنوات_خبرة","[Credibility Graphic]
- **Visual:** A professional, high-quality photograph of the agency's founder or the team. They should look approachable, confident, and trustworthy.
- **Text:** The hook '10 سنين خبرة في قسنطينة...' can be at the top. The quote should be placed elegantly below or next to the image, attributed to the team.
- **Overall Feel:** Professional, stable, and reassuring. Use a classic, clean font.
- **Branding:** Logo placed subtly.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
