Project Name,Opportunity ID,Opportunity Name,Creative Format,Hooks,scripts,Ad Copy,Technical Directions,Opportunity Owner,Pipeline,Contact Id
"Wayso Project","V01-WA","[V01-WA] Video - -","Video","-","تحليل السوق، بناء الاستراتيجية، وهندسة رحلة العميل.","-","-","Abdellah Chaaban","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V02-WA","[V02-WA] Video - الدراهم لي خدمت عليهم بعرقك... قادرين يروحو في دقي","Video","الدراهم لي خدمت عليهم بعرقك... قادرين يروحو في دقيقة على جال غلطة صغيرة في حجز السفرة تاعك!","شحال من مرة كنت تخطط لسفرة أحلامك، وفي قلبك هذاك الخوف؟
خوف من المواقع لي ماشي موثوقة... وين دراهمك قادر يضيعو في لحظة.
خوف من غلطة صغيرة في الحجز... تفسدلك كلشي.
ولا الإحساس هذاك تاع الضياع... كي متلقاش شكون يعاونك كي تصرالك مشكلة.
حنا في بوكينڨو، نعرفو هذا الشعور مليح.
على بيها بنينا ماشي مجرد تطبيق... بنينا صاحبك لي يوقف معاك.
صاحب مدعوم من أكبر المؤسسات... باش يضمنلك كل دينار تصرفو.
صاحب يمدلك منصة ساهلة بزاف... وين تحجز رحلتك في دقائق بلا ما تخاف تغلط.
صاحب يجيبلك عروض حصرية... متلقاها في حتى بلاصة أخرى.
هذا هو الوعد تاعنا: سفرة هانية، مضمونة، وبأحسن سعر.
بوكينڨو راهو جاي... باش تولي تسافر وأنت مرتاح البال.
تابعنا... باش تكون أول واحد يتعرف على صاحبك الجديد في السفر.","خايف دراهمك يضيعو في حجز سفرتك؟ 😟 الحل راهو هنا! 

 كل واحد فينا يحلم يسافر، بصح الخوف من الاحتيال، الأخطاء التقنية، وضياع الوقت يخلينا نترددو بزاف.

واش لوكان نقولك بلي كاين صاحب جديد تقدر تثق فيه؟ صديق يضمنلك دراهمك، يسهل عليك الحجز، ويجيبلك عروض متتصورهاش.

بوكينڨو ماشي مجرد تطبيق، هو شريكك الموثوق لسفرة هانية ومضمونة من كل النواحي. 

 تابع الصفحة باش تكون أول واحد يكتشف بوكينڨو، صاحبك لي يضمنلك السفرة! 

 #بوكينڨو #سافر_بأمان #السفر_في_الجزائر #حجوزات #الجزائر #BookingoDZ #الثقة_أولا","[Master Video - إطار هجين StoryBrand/PAS/BAB]

[0-5s] (Pain/Agitation): لقطات سريعة ومقلقة. يد ترتجف فوق زر 'تأكيد الدفع'. وجه شخص قلق ينظر لشاشة كمبيوتر. رسالة خطأ 'Error'. مونتاج سريع يوحي بالتوتر. موسيقى تصويرية متوترة.

[6-15s] (Voiceover - نبرة متعاطفة): الوجه الإعلامي يظهر، ينظر مباشرة للكاميرا بنظرة تفهم. الخلفية دافئة ومريحة (مكتبة أو ديكور منزلي أنيق). يتحدث بهدوء وثقة.

[16-25s] (Authority/StoryBrand): لقطات B-roll تظهر شعار Bookingo بجانب شعارات شركاء مؤسساتيين (يتم إخفاؤها جزئياً لإثارة الفضول). لقطات مصافحة بين رجال أعمال. لقطات لفريق يعمل في مكتب عصري. هذا يبني الثقة.

[26-35s] (Solution/Simplicity): لقطات مقربة جداً وواضحة لشخص يستخدم تطبيق Bookingo على الهاتف. واجهة التطبيق تبدو سهلة وبديهية. حركات سلسة وسريعة. إظهار 3 خطوات بسيطة على الشاشة (اختر، قارن، أكّد).

[36-42s] (Value/BAB - Before/After/Bridge): لقطات B-roll لناس سعداء في وجهات سفر مختلفة (شاطئ، جبال، مدن عالمية). الشعور بالراحة والبهجة. موسيقى ملهمة ومحفزة تبدأ في التصاعد.

[43-50s] (CTA/Tease): الوجه الإعلامي يعود للظهور. يبتسم بثقة. يظهر شعار Bookingo بوضوح في نهاية الفيديو مع الشعار النصي. دعوة للمتابعة تظهر مكتوبة على الشاشة.","Islem Ben","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C03-WA","[C03-WA] Carousel - 3 مخاوف قادرة تفسدلك أي سفرة... بصح كاين الحل!","Carousel","3 مخاوف قادرة تفسدلك أي سفرة... بصح كاين الحل!","Slide 1: 3 حوايج تخلّيك تخاف تسافر... وتضيّع عليك متعة الرحلة!
Slide 2: 1. الحيلة والسرقة الإلكترونية:
الخوف الأكبر هو تمد دراهمك في موقع ماشي آمن. كيفاش تتأكد بلي حجزك حقيقي ودراهمك في أمان؟
Slide 3: 2. غلطة صغيرة تكلّفك غالي:
غلطة في تاريخ، ولا حرف في اسم... مشاكل صغيرة قادرة تلغيلك الرحلة كاملة. شكون يضمنلك بلي كلشي صحيح؟
Slide 4: 3. المشاكل التقنية المفاجئة:
تخيل التطبيق يتبلوكا في وسط عملية الدفع، ولا متقدرش تفتح التذكرة تاعك! واش دير في هاد اللحظة؟
Slide 5: الحل بسيط واسمه بوكينڨو!
صمّمنا منصة تجمعلك: الأمان المطلق، السهولة المتناهية، والدعم الحقيقي. 
مع بوكينڨو، سافر وأنت هاني.","واش هي أكبر حاجة تخوفك كي تجي تسافر؟ 🤔 

 الخوف من السرقة؟ القلق من الأخطاء؟ ولا المشاكل التقنية؟

كلنا مرينا على هذا التفكير لي يفسد علينا حماس السفر. في هذا الكاروسال، حلّلنا أكبر 3 مخاوف تواجه المسافر الجزائري... وقدّمنا الحل النهائي لكل مشكلة.

مع بوكينڨو، القلق يولي من الماضي. 

 اقلب الصفحات واكتشف كيفاش تسافر براحة بال تامة! 

 #مخاوف_السفر #نصائح_سفر #الأمان_أولا #بوكينڨو #حلول_السفر #الجزائر #BookingoTips","تصميم تعليمي وقصصي (عبد الرحمن):
- Slide 1: خلفية جذابة لصورة سفر (طائرة، حقيبة سفر). عنوان كبير وواضح. استخدام أيقونة 'تحذير' ⚠️.
- Slide 2-4: كل سلايد يستخدم أيقونة بسيطة تمثل المشكلة (قفل مكسور، علامة X، شاشة هاتف مكسورة). النص يكون مقروء وسهل الهضم. الخلفية تكون صورة معتمة قليلاً لتركيز الانتباه على النص.
- Slide 5: ظهور شعار Bookingo بوضوح على خلفية مشرقة وإيجابية (شخص مبتسم، منظر طبيعي جميل). استخدام خط عريض وواثق لكلمة 'الحل'.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P04-WA","[P04-WA] Image - مع بوكينڨو، كل دينار تصرفو راه مضمون. سافر وأنت ها","Image","مع بوكينڨو، كل دينار تصرفو راه مضمون. سافر وأنت هاني!","دراهمك في أمان تام.
رحلتك مضمونة معانا.
#بوكينڨو_ثقة","الثقة المالية هي أساس كل رحلة ناجحة. ✅ 

 أكبر هم عند التخطيط للسفر هو مصير أموالك. هل هي في مكان آمن؟ هل الحجز حقيقي؟

مع بوكينڨو، هذا السؤال مايطرحش أصلا. الأمان المالي لمستخدمينا هو أولويتنا المطلقة.

استثمر في راحة بالك، ماشي غير في تذكرتك. 

 ترقبوا إطلاق التطبيق لي راح يغير مفهوم الثقة في عالم السفر. #بوكينڨو 

 #الأمان_المالي #الثقة #سفر_آمن #بوكينڨو #الجزائر #BookingoTrust #اطمئن","تصميم مركز (عبد الرحمن):
- صورة عالية الجودة ترمز للأمان المالي (يد تضع قطعة نقدية في حصالة على شكل طائرة، أو قفل قوي على حقيبة سفر).
- النص مكتوب بخط واضح وقوي في منتصف الصورة.
- شعار Bookingo في زاوية التصميم بشكل أنيق.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V05-WA","[V05-WA] Video - ماشي أي واحد تقدر دير فيه الثقة كي يتعلق الأمر بسف","Video","ماشي أي واحد تقدر دير فيه الثقة كي يتعلق الأمر بسفرتك... بصح حنا نورولك علاش حنا مختلفين.","(نص يظهر على الشاشة مع تعليق صوتي واثق)
وراء كل حجز ناجح... كاين أساس متين.
وراء كل رحلة هانية... كاين ضمان حقيقي.
وراء اسم 'بوكينڨو'... كاين دعم مؤسسات كبرى تثقون فيها.
حنا ماشي مجرد تطبيق.
حنا شريك مبني على الثقة.
بوكينڨو. الأمان لي كنت تحوس عليه.","الثقة لا تُشترى، بل تُبنى. 🏛️ 

 في عالم الحجوزات عبر الإنترنت، كيف تعرف فيمن تضع ثقتك؟

الجواب يكمن في الأساس: الشركاء، الدعم، والضمانات الحقيقية.

بوكينڨو مبني على شراكات قوية مع مؤسسات رائدة لنوفر لك راحة بال مطلقة. لأن سفرتك أغلى من أن تضعها في أيادي غير أمينة. 

 اكتشف المزيد عن شركائنا قريباً! تابعنا للمزيد من التفاصيل. 

 #الثقة #شراكة #بوكينڨو #سفر_مضمون #الجزائر #BookingoPartners #الجودة","Motion Graphics (أحمد/إسلام) - إطار StoryBrand:
- فيديو قصير وسريع (15-20 ثانية).
- خلفية احترافية بألوان العلامة التجارية (أزرق، أبيض).
- تبدأ الرسوم المتحركة ببناء هرم أو أساس قوي، كلمة 'الثقة' تظهر في القاعدة.
- تظهر أيقونات ترمز للمؤسسات الكبرى (مبنى بنك، شعار حكومي مبسط) تتصل بشعار Bookingo في المنتصف.
- النص يظهر ويتلاشى بشكل متزامن مع التعليق الصوتي.
- موسيقى تصويرية توحي بالقوة والاستقرار (Corporate and inspiring).","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C06-WA","[C06-WA] Carousel - ما بني على أساس متين، لا ينهار. هكذا بنينا ثقة بوك","Carousel","ما بني على أساس متين، لا ينهار. هكذا بنينا ثقة بوكينڨو.","Slide 1: قصة الثقة: علاش بوكينڨو هو الأمان الجديد لسفرك؟
Slide 2: البداية: كل مسافر في الجزائر كان يعاني من نفس المشكلة... الخوف من المجهول وانعدام الثقة في المنصات الرقمية.
Slide 3: الحل المؤسسي: قبل ما نطلقو التطبيق، بنينا شراكات استراتيجية مع كبرى المؤسسات المالية والخدماتية لضمان كل خطوة في رحلتك.
Slide 4: النتيجة: مع بوكينڨو، أنت لا تحجز فقط، بل تستثمر في راحة البال. سافر وأنت مطمئن... ثقتك هي أساس وجودنا.","قصة كل رحلة ناجحة تبدأ بكلمة واحدة: الثقة. ✨ 

 قبل أن نكون تطبيقاً، كنا فكرة مبنية على حل مشكلة حقيقية: كيف نسافر بأمان وثقة تامة من الجزائر؟

هذا الكاروسال يحكي قصة بناء بوكينڨو، من تحديد المشكلة إلى إيجاد الحلول المؤسسية التي تجعلنا اليوم شريكك الأكثر أماناً في السفر. 

 اقلب الصفحات واكتشف أساس الثقة الذي بنينا عليه علامتنا! 

 #قصة_نجاح #بناء_الثقة #بوكينڨو #ريادة_الأعمال #الجزائر #BookingoStory #الأمان","Carousel قصصي (عبد الرحمن):
- Slide 1: صورة رمزية لبناء جسر أو أساسات مبنى. عنوان واضح وجذاب.
- Slide 2: صورة بالأبيض والأسود لشخص قلق أمام شاشة كمبيوتر، لتعكس 'الألم'.
- Slide 3: صورة ملونة ومشرقة لمصافحة أيادي أو اجتماع عمل احترافي. استخدام أيقونات 'الدرع' و'الضمان'.
- Slide 4: صورة بانورامية رائعة لوجهة سفر، مع ظهور شعار Bookingo وعبارة 'ثقة بلا حدود' بخط أنيق.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P07-WA","[P07-WA] Image - وراء بوكينڨو، كاين فريق وخبرة سنين باش يضمنولك كلش","Image","وراء بوكينڨو، كاين فريق وخبرة سنين باش يضمنولك كلشي. سافر بلا هموم!","مدعوم من الأفضل،
لخدمة الأفضل.
بوكينڨو. ثقة، خبرة، وأمان.","الخبرة تصنع الفارق. 🤝 

 في بوكينڨو، كل تفصيل مدروس بعناية من طرف فريق من الخبراء في مجال السفر والتكنولوجيا والأمان المالي.

دعم شركائنا الكبار وخبرة فريقنا هي ضمانك لرحلة خالية من الهموم والمفاجآت غير السارة. 

 بوكينڨو: صاحبك لي يضمنلك السفرة. استعدوا للإطلاق! 

 #خبرة #احترافية #بوكينڨو #الجودة_أولا #سفر #الجزائر #BookingoExpertise","Single Post مركز (عبد الرحمن):
- تصميم بسيط وراقٍ جداً.
- خلفية بلون موحد من ألوان العلامة التجارية.
- النص مكتوب في المنتصف بخط 'Serif' أنيق يوحي بالجدية والاحترافية.
- في الأسفل، شعار Bookingo مع أيقونات صغيرة ترمز للثقة (درع)، الخبرة (شهادة)، والأمان (قفل).","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V08-WA","[V08-WA] Video - كرهت التطبيقات المعقدة لي تضيّعلك وقتك وتزيد عليك ","Video","كرهت التطبيقات المعقدة لي تضيّعلك وقتك وتزيد عليك ستراس؟ شوف هذا!","(شخص يصور شاشة هاتفه ويتحدث بحماس)
يا جماعة، شوفو شحال ساهل تحجز مع بوكينڨو!
تدخل، تختار وين حاب تروح... هكذا.
تخير التواريخ لي تساعدك... فوالا.
تشوف العروض، تقارن، وتخير لي عجبتك... بوم!
تكليكي على تأكيد... وصايي! حجزك راهو مضمون.
والله غير في أقل من دقيقة! خلاص وقت التعقيدات.","الحجز في أقل من دقيقة... حقيقة ماشي خيال! ⏱️ 

 وداعاً للصفحات التي لا تنتهي، والأزرار غير المفهومة، والقلق من ارتكاب خطأ!

صممنا بوكينڨو ليكون أسهل وأسرع تطبيق حجز على الإطلاق. لأن وقتك ثمين، وراحة بالك هي أولويتنا.

شاهد الفيديو لترى بنفسك كيف يمكنك حجز رحلة أحلامك في 3 خطوات بسيطة. 

 جرب السهولة بنفسك! كن مستعداً لتحميل تطبيق بوكينڨو فور إطلاقه! 

 #سهل_وسريع #تجربة_المستخدم #بوكينڨو #تكنولوجيا #الجزائر #BookingoEasy #حجز_سريع","UGC (أحمد/إسلام) - إطار AIDA:
- تصوير عمودي (Reels/Shorts/TikTok style).
- جودة الفيديو تكون جيدة لكن ليست احترافية 100%، لتبدو حقيقية (Authentic).
- الشخص يتحدث بدارجة عفوية وسريعة، كأنه يشارك اكتشافاً مع أصدقائه.
- استخدام 'Screen Recording' لواجهة التطبيق ليكون الشرح عملي وواضح.
- إضافة نصوص متحركة بسيطة (Captions) على الشاشة لتسهيل المتابعة.
- في النهاية، الشخص يرفع رأسه من الهاتف ويبتسم للكاميرا.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C09-WA","[C09-WA] Carousel - تحجز رحلتك كاملة في الوقت لي تشرب فيه قهوتك؟ نعم، ","Carousel","تحجز رحلتك كاملة في الوقت لي تشرب فيه قهوتك؟ نعم، ممكن!","Slide 1: 3 خطوات ساهلة ماهلة باش تحجز سفرتك مع بوكينڨو!
Slide 2: الخطوة 1: اختر وجهتك والتواريخ.
واجهة بسيطة وذكية تساعدك تحدد وين ومتى حاب تسافر في ثواني.
Slide 3: الخطوة 2: قارن العروض وخيّر.
نعرضولك كل الخيارات بوضوح باش تختار الأنسب لميزانيتك وراحتك.
Slide 4: الخطوة 3: أكّد حجزك بضغطة زر.
معلوماتك محفوظة بأمان، وبضغطة واحدة، رحلتك تكون مؤكدة ومضمونة. مبروك عليك!","دليلك المصور للحجز مع بوكينڨو في 3 خطوات فقط! 📸 

 السهولة هي وعدنا الأساسي.

في هذا الدليل البسيط، نوضح لك خطوة بخطوة كيف أن عملية الحجز التي كانت تبدو معقدة، أصبحت الآن أسهل من شرب الماء.

مع بوكينڨو، لا تحتاج إلى دليل استخدام أصلاً! 

 اقلب الصفحات واحفظ هذا المنشور! ستحتاجه قريباً جداً. 

 #دليل_المستخدم #كيفية #سهولة #بوكينڨو #تطبيق #الجزائر #BookingoHowTo","Carousel تعليمي (عبد الرحمن):
- تصميم نظيف ومينيماليست.
- كل سلايد يحمل رقم الخطوة (1, 2, 3) بحجم كبير.
- استخدام لقطات شاشة (Screenshots) حقيقية من التطبيق لتوضيح كل خطوة.
- استخدام أيقونات بسيطة (تقويم، عدسة مكبرة، علامة صح) لتعزيز المعنى بصرياً.
- الألوان هادئة ومريحة للعين.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P10-WA","[P10-WA] Image - مع بوكينڨو، حجزك مضمون ومستحيل تغلط. تطبيق مصمم لر","Image","مع بوكينڨو، حجزك مضمون ومستحيل تغلط. تطبيق مصمم لراحتك!","وداعاً لرسائل الخطأ!
تطبيقنا الذكي يمنع الأخطاء قبل حدوثها.
#سافر_بلا_قلق","أكثر شيء مقلق في الحجز؟ الخوف من 'الزر الخطأ'. 😟 

 كلنا نعرف هذا الشعور... الخوف من تأكيد الحجز بتاريخ خاطئ أو اسم غير صحيح.

في بوكينڨو، قضينا على هذا القلق. صممنا تطبيقاً ذكياً يتحقق من كل شيء ويساعدك على تجنب الأخطاء الشائعة، ليكون حجزك صحيحاً 100% من المرة الأولى. 

 انسى القلق التقني واستعد لتحميل تطبيق بوكينڨو! 

 #راحة_البال #بدون_أخطاء #تصميم_ذكي #بوكينڨو #تكنولوجيا #الجزائر #BookingoSmart","Single Post مركز (عبد الرحمن):
- تصميم ذكي يظهر رسالة خطأ حمراء مشطوب عليها بعلامة X كبيرة وخضراء.
- أو صورة لعقل مرتاح (شخص يبتسم وعيناه مغمضتان) مع أيقونة 'تحميل' بجانبه.
- النص يكون واضحاً ومباشراً، يركز على 'منع الأخطاء' و 'راحة البال'.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
