Project Name,Opportunity ID,Opportunity Name,Creative Format,Hooks,scripts,Ad Copy,Technical Directions,Opportunity Owner,Pipeline,Contact Id
"Wayso Project","V01-WA","[V01-WA] Video - -","Video","-","تحليل السوق، بناء الاستراتيجية، وهندسة رحلة العميل.","-","-","Abdellah Chaaban","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V02-WA","[V02-WA] Video - راك قريب تستسلم من حلم التجارة الإلكترونية في دزاي","Video","راك قريب تستسلم من حلم التجارة الإلكترونية في دزاير؟ اسمع هادي قبل ما تحبس كلش.","عندك فكرة مشروع... حلم كبير باش تبيع منتجك في كامل الجزائر.
تبدا تبني في متجرك وحدك... و هنا يبدا الكابوس.
سيرفرات... ديزاين... تطبيقات... سبونسورينغ... الدفع عند الاستلام... التوصيل.
كل يوم مشكل جديد يخرجلك، و دراهمك يروحو في الريح.
تحس روحك غارق في التفاصيل التقنية، و نسيت علاش بديت أصلا.
هذا هو حال 90% من لي حاولوا يبداو وحدهم.
بصح كاينة طريقة أخرى.
طريقة وين تركز غير على منتجك... و البيع.
نقدمولك xstore: الحل المتكامل لي يمدلك متجر احترافي واجد في وقت قياسي.
متجر مخدوم خصيصا للسوق الجزائري، بالدفع عند الاستلام والتوصيل لكل الولايات.
فريق تاع خبراء يتكفل بكلش... من التصميم حتى للتسويق.
تخيل تبيع من أول يوم، بلا ما تضيّع دقيقة في المشاكل التقنية.
هذا هو الفرق لي يديرو xstore.
هادي ماشي مجرد منصة، هذا هو شريكك في النجاح.
مئات التجار الجزائريين راهم يحققو في أحلامهم معانا.
و دوكا جا دورك.
اطلب متجرك اليوم، و استفيد من عرض خاص: استشارة تسويقية مجانية باش تضمن أول مبيعاتك.
مستعد تبدا صح؟","🚨 حلمك التجاري في الجزائر... على وشك أن يموت؟ 

 كل يوم تفوتو وحدك في محاولة بناء متجر إلكتروني هو يوم تزيد فيه الخسارة تاع الوقت والدراهم.
التعقيدات التقنية، مشاكل التوصيل والدفع، والتسويق لي ما يجيبش نتيجة... هادو هوما أسباب فشل أغلب المشاريع.

xstore جا باش ينهي هذا الكابوس.
نوفرولك متجر احترافي متكامل، مخصص 100% للسوق الجزائري، ونتكفلو بكل الجانب التقني والتسويقي باش نتا تركز على واش يهم صح: منتجك ومبيعاتك.

✅ متجر جاهز للبيع من أول يوم.
✅ دعم الدفع عند الاستلام والتوصيل لكل الولايات.
✅ فريق خبراء في خدمتك. 

 اكتشف كيفاش تبني مشروعك صح! اضغط على الرابط لتحصل على متجرك واستشارة تسويقية مجانية. 

 #xstore #تجارة_الكترونية_الجزائر #ecommerce_dz #متجر_اونلاين #مشروع_ناجح #صنع_في_الجزائر #ديزاد","[Master Video - Hybrid Style]
- **Opening (0-3s):** وجه إعلامي (شاب/شابة) ينظر مباشرة للكاميرا بجدية وتعاطف. إضاءة درامية. زاوية قريبة (Close-up).
- **The Dream (3-7s):** لقطات سريعة ومونتاج ديناميكي لمنتجات جزائرية ناجحة، صناديق شحن، زبائن سعداء. موسيقى ملهمة تبدأ في الخلفية.
- **The Nightmare (7-15s):** يتغير الجو فجأة. موسيقى متوترة. رسوم Motion Graphics تظهر أيقونات معقدة (code, server errors, credit card denied). لقطات للوجه الإعلامي وهو يظهر عليه الإرهاق والتعب أمام شاشة حاسوب.
- **The Pain (15-20s):** لقطات Motion Graphics تظهر أموال تحترق أو تتطاير. نبرة الصوت تصبح أكثر جدية وحزماً.
- **The Guide (20-25s):** انتقال سلس. يظهر لوغو xstore بشكل أنيق وقوي. تعود الموسيقى الملهمة. الوجه الإعلامي يبتسم بثقة.
- **The Solution (25-35s):** لقطات Screen-recording لواجهة متجر xstore احترافية وسهلة الاستعمال. أيقونات Motion Graphics تظهر (COD, Delivery Truck to 58 Wilayas, Support Chat).
- **The Transformation (35-45s):** عرض شهادات سريعة لعملاء (نصوص متحركة أو صور مع اقتباسات). لقطات لتاجر يستلم إشعار بطلب جديد على هاتفه ويبتسم (Before/After). 
- **The CTA (45-55s):** يعود الوجه الإعلامي للكاميرا. يتكلم بحماس وثقة. يظهر على الشاشة نص العرض ""استشارة تسويقية مجانية"" وزر ""اطلب متجرك الآن"" مع رابط الموقع.","Islem Ben","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C03-WA","[C03-WA] Carousel - تخيل تفتح متجر في دزاير وتبيع من أول يوم... بلا ما","Carousel","تخيل تفتح متجر في دزاير وتبيع من أول يوم... بلا ما تفهم حرف في الكود. ممكن؟","Slide 1: xstore: مفتاحك للتجارة في دزاير. كلش واجد.
Slide 2: تعبت من التخمام في التعقيدات التقنية؟ خايف تبدا وتفشل؟ ماشي وحدك.
Slide 3: الحل بين يديك! xstore يمدلك كل الأدوات لي تحتاجها باش تنجح، في باقة وحدة.
Slide 4: وقتك غالي! معانا، تقدر تحقق أول عملية بيع في وقت قياسي. بلا تضييع شهور في البناء.
Slide 5: دراهمك في أمان. تسعيرة واضحة من الأول، بلا أي مصاريف مخفية تفاجئك في الطريق.
Slide 6: ارتاح وركز على البيع. حنا نتكفلو بالجانب التقني، الدعم، والتسويق الأولي.
Slide 7: مستعد تبدا قصة نجاحك؟ اضغط على الرابط واكتشف باقات xstore.","متجرك الجزائري... واجد في 3 خطوات بسيطة! 

 علاش تضيّع وقتك وطاقتك في مشاكل تقنية تقدر تتفاداها؟
مع xstore، التجارة الإلكترونية في الجزائر ولات أسهل من أي وقت مضى. من الفكرة إلى أول عملية بيع، حنا معاك خطوة بخطوة.

اسحب لليمين ⬅️ واكتشف كيفاش xstore يخليك تبدا مشروعك بلا صداع الراس. 

 شاهد عرضنا المتكامل وابدأ رحلتك نحو النجاح اليوم! 

 #متجر_جزائري #حلول_تقنية #تجارة_سهلة #xstore_dz #ريادة_الأعمال #مشاريع_صغيرة #الجزائر","- **General Style:** تصميم عصري، نظيف، وهوية بصرية موحدة.
- **Slide 1:** لوغو xstore كبير وواضح فوق صورة خلفية ملهمة لتاجر جزائري ناجح.
- **Slide 2:** استخدام أيقونات تعبر عن الألم (علامة استفهام كبيرة، رمز تحميل يدور ببطء، كود معقد).
- **Slide 3:** رسم بياني بسيط يوضح كيف أن xstore يجمع (تصميم + تسويق + توصيل + دعم) في حل واحد.
- **Slide 4:** أيقونة ساعة سريعة أو صاروخ ينطلق. استخدام خط عريض وواضح.
- **Slide 5:** أيقونة درع أو حصالة نقود. التركيز على كلمة ""شفافية"".
- **Slide 6:** صورة شخص مرتاح يشرب قهوة بينما تظهر أيقونات (ترس، كود، إحصائيات) في الخلفية تعمل وحدها.
- **Slide 7:** دعوة للعمل واضحة مع زر بارز وسهم يشير إلى رابط في البايو.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P04-WA","[P04-WA] Image - xstore: التجارة الإلكترونية في دزاير ولات أسهل!","Image","xstore: التجارة الإلكترونية في دزاير ولات أسهل!","xstore
مفتاحك للتجارة في دزاير. كلش واجد.","الحل لي كنت تستنى فيه وصل. 

 بلا تعقيدات. بلا مصاريف مخفية. بلا تضييع وقت.
xstore هو الحل الشامل والموثوق باش تطلق متجرك الإلكتروني في الجزائر وتوصل لأكبر عدد من الزبائن.

كلش واجد، باش نتا تركز على البيع والربح. 

 اكتشف الحل الشامل وتعرف على باقاتنا. 

 #xstore #كلش_واجد #تجارة_الكترونية #dzpower #made_in_algeria #تسويق_رقمي","تصميم بسيط ومركز. لوغو xstore في الأعلى. الشعار مكتوب بخط عريض وأنيق في المنتصف. خلفية ذات لون موحد أو صورة عالية الجودة تعبر عن الاحترافية والثقة (مثلاً: لقطة مقربة لحاسوب محمول يعرض واجهة متجر أنيقة).","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V05-WA","[V05-WA] Video - حاسب شحال من مليون راح في الريح على سبونسورينغ فاش","Video","حاسب شحال من مليون راح في الريح على سبونسورينغ فاشل ومصاريف ما كنتش قاع تستنى فيهم؟","راك تصرف دراهم على السبونسورينغ... بصح النتائج والو.
وكل شهر تخرجلك فاتورة جديدة ما كنتش داير حسابها: استضافة، تطبيق، تحديث...
تحس روحك راك تعمر في قربة مقطوعة.
دراهمك يروحو، والأرباح ماكانش.
هذا الإحساس يقتل أي مشروع قبل ما يبدا.
بصح تخيل لوكان كل مصاريفك تكون واضحة من اليوم الأول؟
تخيل لوكان تستثمر في حملات إعلانية مدروسة وتجيب نتائج؟
مع xstore، هذا هو الواقع.
نقدمولك باقات شفافة، بلا أي مفاجآت.
و نساعدوك بخبرتنا باش كل دينار تصرفو في التسويق يرجعلك بأرباح.
قبل xstore: قلق، ضغط، ومصاريف بلا نهاية.
بعد xstore: راحة بال، تحكم كامل في ميزانيتك، وأرباح متزايدة.
الجسر بيناتهم؟ هو قرارك اليوم.
ماتزيدش تحرق دراهمك.","مصاريف متجرك الخفية راهي تسرقلك في أرباحك! 

 أكبر خطأ يرتكبه أصحاب المتاجر هو تجاهل التكاليف المخفية لي تظهر مع الوقت، من الاستضافة للتطبيقات المدفوعة، لي تقدر تقضي على كل هامش الربح.

xstore يقدم لك الوضوح التام. باقاتنا شاملة وكل شي محسوب من الأول. استثمر دراهمك بذكاء في منصة تضمنلك نتائج، ماشي فواتير. 

 توقف عن إهدار المال! 'xstore' يوفرلك باقة واضحة بلا مفاجآت. شوف العرض الآن! 

 #أمان_مالي #تجارة_ذكية #xstore #dzbusiness #مشروعي #استثمار #توفير_المال #الجزائر","[Motion Graphics Video]
- **Style:** رسوم متحركة 2D بسيطة وأنيقة، تركز على الأرقام والبيانات.
- **Problem (0-7s):** مشاهد تظهر نقود ورقية تطير من محفظة وتختفي. رسم بياني للإعلانات يهبط للأسفل. أيقونات فواتير تظهر فجأة على الشاشة.
- **Agitate (7-12s):** شخصية كرتونية تبدو قلقة ومحبطة وهي تنظر إلى حاسوبها. نبرة الصوت تعبر عن الإحباط.
- **Bridge/Solution (12-20s):** يظهر لوغو xstore كدرع يحمي الشخصية من الفواتير الطائرة. تظهر كلمة ""شفافية"" بخط كبير. رسم بياني للأسعار واضح وبسيط.
- **After (20-28s):** الشخصية الكرتونية تصبح سعيدة ومرتاحة. رسم بياني للأرباح يصعد للأعلى. تظهر إشعارات طلبات جديدة.
- **CTA (28-35s):** تظهر على الشاشة تفاصيل الباقة بوضوح مع السعر. عبارة ""توقف عن إهدار المال"" تظهر مع زر ""اكتشف الباقات الآن"".","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C06-WA","[C06-WA] Carousel - 3 أخطاء تكلفك الملايين في تجارتك الإلكترونية... وك","Carousel","3 أخطاء تكلفك الملايين في تجارتك الإلكترونية... وكيفاش xstore يحميك منها.","Slide 1: التكاليف المخفية: العدو الأول لأرباحك في التجارة الإلكترونية.
Slide 2: مع xstore، ماكانش مفاجآت! تسعيرة واضحة وشاملة من اليوم الأول. شوف بعينك.
Slide 3: الخطأ المكلف الثاني: حرق المال في إعلانات عشوائية. فريقنا يوجهك لبناء حملات ناجحة ومربحة.
Slide 4: استثمر بذكاء. تجنب أخطاء المبتدئين التقنية لي تكلفك وقت ومال. منصتنا جاهزة ومضمونة.
Slide 5: الهدف تاعنا؟ نوفرولك دراهمك، باش تركز على زيادة أرباحك.
Slide 6: ابدأ متجرك بأمان مالي وثقة تامة. اختر xstore اليوم.","كيفاش توفر دراهمك وتزيد أرباحك في نفس الوقت؟ السر هنا. 

 التجارة الإلكترونية الناجحة ماشي مجرد بيع، هي إدارة ذكية للمصاريف.
كل دينار توفرو هو دينار ربح صافي.

في هذا الكاروسال، نكشفلك كيفاش xstore يساعدك تتجنب الأخطاء المالية القاتلة وتبني مشروع مربح على أساس صحيح.
اسحب لليمين ⬅️ 

 تعرف على باقاتنا الشفافة وابدأ الاستثمار الصحيح في مشروعك. 

 #ادارة_مالية #مشروع_مربح #xstore_tips #تجارة_الكترونية #dz #نصائح_تسويقية #ريادة_الأعمال","- **Slide 1:** صورة آلة حاسبة مع فواتير كثيرة. استخدام اللون الأحمر للتحذير.
- **Slide 2:** جدول مقارنة بسيط: ""مع الآخرين"" (فواتير متفرقة) مقابل ""مع xstore"" (فاتورة واحدة واضحة).
- **Slide 3:** رسم بياني يوضح الفرق بين حملة إعلانية عشوائية (ROI سلبي) وحملة موجهة (ROI إيجابي).
- **Slide 4:** أيقونات درع حماية فوق رموز (كود، سيرفر، تصميم). 
- **Slide 5:** رسم بياني يوضح كيف أن تقليل التكاليف يزيد من هامش الربح بشكل مباشر.
- **Slide 6:** دعوة للعمل مع زر ""اكتشف باقاتنا"" ولوغو xstore.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P07-WA","[P07-WA] Image - وفّر دراهمك وركز على الربح مع xstore. بلا مصاريف م","Image","وفّر دراهمك وركز على الربح مع xstore. بلا مصاريف مخفية!","بلا مصاريف مخفية.
ركّز على الربح.","ميزانيتك تحت السيطرة. أرباحك في نمو. 

 مع xstore، أنت تعرف بالضبط شحال تستثمر كل شهر.
هذا الأمان المالي يخليك تخطط بثقة وتوجه كل تركيزك نحو تطوير منتجاتك وزيادة مبيعاتك. 

 بدا اليوم ووفر. اكتشف باقاتنا الاقتصادية! 

 #ميزانية #تخطيط_مالي #xstore #الجزائر #ecommerce #business_dz #أرباح","تصميم بصري قوي يعتمد على التباين. نصف الصورة يظهر فواتير متراكمة في الظلام (مكتوب عليها: استضافة، تصميم، تطبيقات...) والنصف الآخر يظهر واجهة متجر xstore مشرقة مع أيقونة أرباح متزايدة. شعار xstore يفصل بينهما.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V08-WA","[V08-WA] Video - شريت منصة عالمية وكي جيت تبيع في دزاير لقيتها ما ت","Video","شريت منصة عالمية وكي جيت تبيع في دزاير لقيتها ما تسواش؟ ماشي نتا لي غالط.","(وجه إعلامي يتحدث بلهجة صديقة ومباشرة)
راك تسمع بيهم يقولولك افتح متجر على منصة عالمية... ساهلة.
بصح كي تبدا تخدم، تكتشف المشاكل.
الزبون الجزائري يحب يخلص عند الاستلام... والمنصة ما تدعمهاش مليح.
تحب توصل لـ 58 ولاية... تلقى روحك حاصل مع شركات التوصيل.
وكي يصرالك مشكل تقني، شكون يعاونك؟ الدعم الفني ما يفهمش عليك.
هذا هو الواقع. السوق الجزائري عندو خصوصياتو.
و xstore تفهم هذا الشي 100%.
منصتنا مخدومة على قيس التاجر والزبون الجزائري.
الدفع عند الاستلام؟ واجد.
التوصيل لكل الولايات؟ منظم.
الدعم التقني؟ بالدارجة، وفي أي وقت.
ماتزيدش تضيّع وقتك مع حلول ما تمشيش في بلادك.
اخدم مع لي يفهمك ويفهم السوق تاعك.","علاش 99% من المتاجر المبنية على منصات عالمية تفشل في الجزائر؟ 

 السر ماشي فيك... السر في السوق!
السوق الجزائري عندو قواعدو الخاصة: الدفع عند الاستلام هو الملك، التوصيل لكل ولاية تحدي، والدعم بالدارجة ضرورة.

xstore هو الحل الوحيد المبني من الألف إلى الياء لخدمة التاجر الجزائري. حنا نفهمو تحدياتك ونقدمولك الأدوات لي تحتاجها باش تنجح، ماشي باش تحارب مع المنصة. 

 اكتشف كيف 'xstore' يخليك تربح في السوق الجزائري. حمل دليلنا المجاني الآن! 

 #سوق_جزائري #دفع_عند_الاستلام #توصيل_58_ولاية #xstore_dz #صنع_في_الجزائر #ecommerce_algerie #حلول_محلية","[UGC Style Video]
- **Setting:** مكتب منزلي بسيط أو ورشة عمل. المتحدث يصور نفسه بكاميرا هاتف عالية الجودة (أو كاميرا ويب) بأسلوب عفوي وحقيقي.
- **Performance:** يتحدث مباشرة للكاميرا كأنه ينصح صديق. يستخدم لغة جسد طبيعية. يمكن أن يظهر على شاشة حاسوبه بجانبه أمثلة لواجهات معقدة لمنصات أخرى.
- **Visuals:** يمكن إدراج لقطات B-roll بسيطة لـ (خريطة الجزائر مع أيقونات توصيل، أيقونة الدفع عند الاستلام، واجهة محادثة دعم فني بالدارجة).
- **Ending:** يبتسم ويشير بيده نحو رابط يظهر على الشاشة.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C09-WA","[C09-WA] Carousel - السر الوحيد للنجاح في التجارة الإلكترونية بالجزائر","Carousel","السر الوحيد للنجاح في التجارة الإلكترونية بالجزائر... ماشي هو المنتج.","Slide 1: باش تنجح في دزاير، لازم تفهم السوق تاعها. ماشي كيما أي بلاصة!
Slide 2: أول قاعدة: الثقة. الزبون الجزائري يحب 'الدفع عند الاستلام'. xstore يوفرهالك بسهولة تامة.
Slide 3: ثاني قاعدة: الوصول. لازم تلحق لكل الولايات. xstore يسهلك عملية التوصيل من العاصمة للصحراء.
Slide 4: ثالث قاعدة: التواصل. كي يواجه الزبون مشكل، يحتاج لي يفهمو. فريق الدعم تاعنا يتكلم بالدارجة ومستعد يعاونك في أي وقت.
Slide 5: شوف بعينك: قصص نجاح تجار جزائريين كيما نتا، نجحو معانا لأننا نفهمو السوق.
Slide 6: النتيجة؟ متجر احترافي، موثوق، ويزيد من مبيعاتك لأن الزبون الجزائري يلقى فيه راحتو.
Slide 7: مستعد تخدم بالحل المخصص للجزائر؟ اكتشف xstore اليوم.","متجرك لازم يتكلم 'دزيري' باش يبيع! 

 تقدر تجيب أحسن منتج في العالم، بصح إذا ما وفرتش للزبون الجزائري واش يحتاج (الدفع عند الاستلام، توصيل مضمون، ودعم يفهمو)، ماراحش تشري ثقتو.

xstore مبني على هذا الأساس. اسحب لليمين ⬅️ واكتشف المزايا الحصرية لي تخلينا الخيار رقم 1 في الجزائر. 

 حمل دليلنا المجاني 'أسرار البيع في السوق الجزائري' الآن! 

 #ثقة_العميل #تجربة_جزائرية #xstore #ecommerce_dz #بيع_اونلاين #الجزائر #سوق_dz","- **Visual Theme:** استخدام عناصر بصرية جزائرية (خريطة الجزائر، نقوش أمازيغية أو أندلسية بلمسة عصرية، ألوان العلم الوطني بشكل أنيق).
- **Slide 2:** أيقونة يد تسلم نقود ليد أخرى.
- **Slide 3:** خريطة الجزائر مع مسارات توصيل متحركة تغطي كل الولايات.
- **Slide 4:** أيقونة سماعة هاتف أو فقاعة محادثة مع علم الجزائر.
- **Slide 5:** صور حقيقية لعملاء (بعد أخذ الإذن) مع اقتباسات قوية.
- **Slide 6:** تصميم يجمع الأيقونات الثلاثة (الدفع، التوصيل، الدعم) تحت شعار ""الثقة"".
- **Slide 7:** دعوة للعمل واضحة مع رابط.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P10-WA","[P10-WA] Image - 'xstore': متجر مخدوم خصيصاً ليك في دزاير! فهمنا ال","Image","'xstore': متجر مخدوم خصيصاً ليك في دزاير! فهمنا السوق، جبنالك الحل.","مخدوم على قيس السوق الجزائري.","ماشي مجرد متجر. هو حل يفهمك. 

 لأننا من الجزائر وإلى الجزائر، بنينا xstore باش يلبي احتياجات التاجر والزبون الجزائري بالتحديد. خبرتنا في السوق هي ضمان نجاحك. 

 جرب الخبرة الجزائرية. ابدأ مع xstore! 

 #خبرة_محلية #صنع_في_الجزائر #xstore #dz_power #ecommerce #algeria","صورة لخريطة الجزائر، ويظهر عليها دبوس تحديد الموقع (Pin) يحمل لوغو xstore. في الخلفية، تظهر صور مصغرة لمنتجات جزائرية متنوعة. النص يكتب بخط واضح وقوي.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
