Project Name,Opportunity ID,Opportunity Name,Creative Format,Hooks,scripts,Ad Copy,Technical Directions,Opportunity Owner,Pipeline,Contact Id
"Wayso Project","V01-WA","[V01-WA] Video - -","Video","-","تحليل السوق، بناء الاستراتيجية، وهندسة رحلة العميل","-","-","Abdellah Chaaban","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V02-WA","[V02-WA] Video - ما لقيتيش الهدية لي تعمّر العين؟ و ظهرك يوجعك في ا","Video","ما لقيتيش الهدية لي تعمّر العين؟ و ظهرك يوجعك في الصلاة؟ حبسي هنا، الحل وصل.","شحال من خطرة تحوسي على كادو 'همّة' و في التالي تلقاي روحك حايرة؟
و لاّ تبداي صلاتك... و مع السجدة لولة ظهرك و ركابيك يبداو يوجعوك، و يروحلك كامل الخشوع.
علابالنا بلي هاد الحيرة و الوجع يخيّبو الأمل.
بصح تخايلي تهديلهم هدية، من أول نظرة في العلبة، عينيهم يلمعو بالفرحة.
تخايلي تصلي التراويح و نتي مرتاحة، في كل سجدة تحسي بالسكينة ماشي بالوجع.
هذا هو الإحساس لي يمدولك طقم 'نسائم الإيمان' الملكي.
كلش مخدوم باتقان... خمار من الحرير، مصحف مغلف بنفس القماش، و سجادة مبطنة تنسيك في وجع المفاصل.
الهدية لي تحمّر الوجه، والراحة لي تخليك تذوقي حلاوة العبادة.
طقم 'نسائم الإيمان': هديتك همّة... وصلاتك قمّة.
و المفاجأة ماشي هنا... كي تطلبي زوج أطقم، عندك تخفيض 15%، و العلبة الفاخرة باطل، مع توصيل لـ 58 ولاية.","🎁✨ الهدية لي تحمّر الوجه... والراحة لي تكمّل الخشوع! 

 راكِي تحوسي على هدية 'همّة وشأن' تفرحي بيها لي عزاز عليك؟ ولاّ حابة ترجعي لصلاتك حلاوتها بلا وجع ظهر ولا ركبتين؟

مع طقم 'نسائم الإيمان' الملكي، جبنالك الحل في علبة واحدة فاخرة:

💎 **فخامة تليق بيك:** خمار حريري ناعم، مصحف بتغليف راقٍ، وسجادة بتصميم يجمع بين الأصالة والعصرية.
☁️ **راحة تنسيك في التعب:** سجادة مبطنة خصيصاً باش توفرلك راحة استثنائية في كل سجدة، خاصة في صلاة التراويح.
🎁 **هدية جاهزة:** كل هذا يجيك في علبة هدايا فخمة، ماعليك غير تقدميها!

طقم 'نسائم الإيمان'... هديتك همّة، وصلاتك قمّة.

🔥 **عرض خاص ومحدود:** اطلبي طقمين واستفيدي من تخفيض 15% + علبة فاخرة مجانية! 

 اطلبي طقمك الملكي الآن من موقعنا قبل نفاذ الكمية. التوصيل متوفر لـ 58 ولاية والدفع عند الاستلام. 

 #نسائم_الإيمان #هدايا_راقية #طقم_صلاة #صنع_في_الجزائر #الجزائر #هدية_عروس #راحة_العبادة #فخامة_جزائرية #رمضان_كريم","[Master Video - إخراج بن صايبي]
- **افتتاحية (0-3 ثواني):** لقطات سريعة ومتقطعة. يد امرأة تمررها على هدايا عادية في محل (لقطة). امرأة أخرى تتململ بألم خفيف وهي تنهض من الصلاة (لقطة). إيقاع سريع وموسيقى استفهامية.
- **مرحلة الألم (4-10 ثواني):** لقطة مقربة على وجه امرأة تبدو حائرة ومحبطة وهي تبحث في هاتفها. ثم لقطة مقربة على ركبتيها وهي على سجادة عادية ورقيقة. النبرة في التعليق الصوتي تكون متعاطفة وتصف المشكلة بدقة.
- **الكشف عن الحل (11-20 ثواني):** لقطة Unboxing بطيئة وفاخرة لعلبة 'نسائم الإيمان'. تفتح العلبة ليكشف عن الطقم المتناسق. إضاءة دافئة وناعمة. الموسيقى تصبح هادئة وراقية. (نبرة الصوت: مطمئنة وكأنها تكشف سراً).
- **عرض التفاصيل (21-35 ثواني):** لقطات Macro (مقربة جداً) على تفاصيل الجودة: ملمس قماش الخمار الحريري وهو ينساب. لمعان تغليف المصحف. لقطة تظهر سمك البطانة في السجادة بالضغط عليها باليد لتبيان راحتها. (نبرة الصوت: فخورة وواثقة).
- **مشهد الاستخدام (36-45 ثواني):** امرأة تصلي بخشوع وسكينة تامة على السجادة المبطنة في غرفة ذات ديكور راقٍ. التركيز على ملامح وجهها المرتاحة. امرأة أخرى تقدم العلبة كهدية والأخرى تستلمها بفرحة عارمة. (نبرة الصوت: دافئة وملهمة).
- **الختام والعرض (46-60 ثواني):** ظهور الطقم الكامل مع العلبة بشكل احترافي. عرض التخفيض (-15% على طقمين)، والعلبة المجانية، وعبارة 'توصيل 58 ولاية' تظهر على الشاشة بخط أنيق. نبرة الصوت تصبح مقنعة ومباشرة.","Islem Ben","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C03-WA","[C03-WA] Carousel - فتحنا علبة 'نسائم الإيمان'... شوفو الكنز لي لقيناه","Carousel","فتحنا علبة 'نسائم الإيمان'... شوفو الكنز لي لقيناه لداخل!","Slide 1: كل قطعة في طقم 'نسائم الإيمان' تحكي قصة من الفخامة والاتقان. اسحبي الشاشة واكتشفيها معنا.
Slide 2: **الخمار الحريري:** لمسة نعومة تكمّل أناقتك. قماش حريري خفيف وبارد، يضمنلك الراحة والثبات طوال صلاتك.
Slide 3: **المصحف الشريف:** كلام ربي في حلة تليق به. مغلف بنفس قماش الخمار الفاخر، بتصميم يجمع بين الوقار والجمال.
Slide 4: **السجادة المبطنة:** سر الخشوع الكامل. بطانة سميكة وعالية الجودة صُممت خصيصاً لراحة مفاصلك في كل سجدة وركعة.
Slide 5: **العلبة الملكية:** القصة تبدأ من أول لمسة. كل هذا الجمال يجيك في علبة فاخرة، جاهزة باش تكون أروع هدية تقدميها.","👑✨ وش مخبي في علبة 'نسائم الإيمان'؟ اكتشفي سر الفخامة قطعة بقطعة! 

 ماشي مجرد طقم صلاة، بل هي تحفة فنية متكاملة صُممت باش تهديك تجربة روحانية فريدة.

اسحبي الشاشة لليمين واكتشفي تفاصيل الجمال:

1️⃣ **الخمار الحريري:** نعومة لا تضاهى لأناقة لا مثيل لها.
2️⃣ **المصحف الشريف:** تصميم راقٍ يجمع كلام الله بأجمل حلة.
3️⃣ **السجادة المبطنة:** وداعاً لآلام المفاصل، مرحباً بالخشوع التام.
4️⃣ **العلبة الملكية:** فخامة تبدأ من التغليف وتكتمل مع المحتوى.

كل تفصيلة مدروسة بعناية لتوفر لكِ 'الهمّة' في هديتك و'القمّة' في صلاتك. 

 اضغطي على الصور باش تشوفي كل التفاصيل، واطلبي طقمك من موقعنا الآن! 

 #تفاصيل_الجودة #طقم_صلاة_فاخر #نسائم_الإيمان #خمار_حرير #سجادة_مبطنة #مصحف_مغلف #هدايا_الجزائر #منتج_جزائري","[كاروسال - إخراج عبد الرحمن]
- **التصميم العام:** خلفية موحدة بألوان البراند الهادئة والراقية (بيج، ذهبي خفيف). استخدام خط عربي أنيق وواضح.
- **Slide 1:** صورة للعلبة وهي شبه مفتوحة، يظهر منها جزء من الطقم. النص يكون في الأعلى بشكل جذاب.
- **Slide 2:** صورة مقربة جداً للخمار وهو موضوع بشكل فني، مع التركيز على ملمس القماش. النص بجانبه مع أيقونة صغيرة تدل على النعومة (ريشة مثلاً).
- **Slide 3:** صورة للمصحف المغلف وهو مفتوح على سورة قرآنية، بزاوية تصوير فنية. النص بجانبه مع أيقونة زخرفة إسلامية.
- **Slide 4:** صورة تُظهر مقطعاً عرضياً للسجادة لإبراز سمك البطانة، أو صورة لقدمين على السجادة لإظهار الراحة. النص بجانبه مع أيقونة تدل على الراحة (سحابة مثلاً).
- **Slide 5:** صورة للطقم كاملاً داخل العلبة المفتوحة، مع الـ CTA في الأسفل. تصميم موحد يجمع كل العناصر.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P04-WA","[P04-WA] Image - ركابيك وظهرك يوجعوك في كل سجدة؟ ماشي وحدك. الحل را","Image","ركابيك وظهرك يوجعوك في كل سجدة؟ ماشي وحدك. الحل راهو هنا.","صلاتك خشوع... ماشي وجع.","💔 هل وجع المفاصل يسرق منك حلاوة الصلاة؟ 

 نعرفو مليح الإحساس هذاك... تبداي الصلاة بكل خشوع، لكن مع كل سجدة، وجع الركبتين والظهر يبدا يشتت تركيزك. هذا هو الوجع المسكوت عنه لي يعانيو منو بزاف، خاصة كبار السن وأصحاب الصلوات الطويلة.

لهذا السبب صممنا سجادة 'نسائم الإيمان' المبطنة. ماهيش مجرد سجادة، هي الحل باش ترجعي لصلاتك راحتها وسكينتها.

بطانتها السميكة والمريحة تخفف الضغط على مفاصلك وتخليك تركزي في عبادتك وبس.

لأن صلاتك هي لحظة لقاء مع ربي، لازم تكون قمة في الراحة والخشوع. 

 ما تخليش الوجع يحرمك من لذة السجود. اطلبي سجادتك المبطنة اليوم عبر موقعنا. 

 #راحة_المفاصل #صلاة_بخشوع #سجادة_طبية #كبار_السن #نسائم_الإيمان #وداعا_للألم #خشوع #صلاة_التراويح #الجزائر","[منشور مفرد - إخراج عبد الرحمن]
- **الصورة:** صورة عالية الجودة، بتركيز شديد (Focus) على امرأة كبيرة في السن وهي تسجد براحة وسكينة على السجادة المبطنة. يجب أن تكون زاوية التصوير منخفضة لإظهار سمك السجادة بوضوح. الإضاءة دافئة وخافتة لتعزيز الشعور بالهدوء والروحانية.
- **النص على التصميم:** جملة ""صلاتك خشوع... ماشي وجع."" تُكتب بخط أنيق وواضح في زاوية من الصورة لا تطغى على المشهد الرئيسي.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V05-WA","[V05-WA] Video - أجمل هدية تبدا بيها العروسة حياتها؟ ماشي ذهب، ماشي","Video","أجمل هدية تبدا بيها العروسة حياتها؟ ماشي ذهب، ماشي مال... شوفو واش!","(صوت امرأة يحكي بدفء وعاطفة)
كي تكون أعز صحبتك راح تتزوج، تحوسي تهديلها حاجة تبقى معاها العمر كامل.
حاجة ماشي مادية برك... حاجة تجبلها البركة لحياتها الجديدة.
خممت بزاف... وفي التالي لقيت الهدية المثالية.
طقم 'نسائم الإيمان'.
كي مدتولها، وشفت الفرحة في عينيها... عرفت بلي خياري كان صواب.
قالتلي: ""هذي أحلى هدية جاتني، راح نبدا بيها حياتي الزوجية بالصلاة والدعاء"".
ماشي مجرد طقم صلاة... هو دعوة بالخير، هو فال خير يبداو بيه زوج حياتهم.
هديتك للعروس لازم تكون عندها معنى... وهذا هو المعنى الحقيقي.","👰‍♀️💍 خير من الذهب... الهدية لي تبدا بيها العروسة حياتها بالبركة! 

 كل عروس تستاهل هدية تبقى معاها العمر كامل، هدية تذكرها بأجمل بداية... بداية كلها خير وبركة.

طقم 'نسائم الإيمان' ليس مجرد هدية، بل هو رسالة حب ودعاء.

✨ **فخامة تليق بليلتها:** تصميم راقٍ يجمع بين الأناقة والروحانية.
💖 **معنى عميق:** هدية تعينها على العبادة وتكون فال خير على دارها الجديدة.
🎁 **ذكرى لا تُنسى:** في كل مرة تستعمله، راح تتفكر محبتك ودعواتك ليها.

إذا عندك عروسة عزيزة عليك، هذا هو خيارك الأمثل. 

 اجعلي هديتك للعروس ذكرى لا تُنسى! اكتشفي طقم 'نسائم الإيمان' الملكي عبر موقعنا. 

 #هدية_عروس #جهاز_العروس #عروس_جزائرية #أفكار_هدايا #نسائم_الإيمان #بركة_الزواج #زواج #الجزائر #هدايا_فخمة","[فيديو UGC/Storytelling - إخراج أحمد وإسلام]
- **الأسلوب:** تصوير بأسلوب سينمائي دافئ، يشبه الذكريات. استخدام إضاءة ناعمة وألوان فاتحة (بيضاء، ذهبية).
- **المشاهد:
  - (0-5 ثواني):** لقطة ليدين تكتبان بطاقة تهنئة للعروس.
  - (6-15 ثواني):** لقطة للراوية وهي تفتح علبة 'نسائم الإيمان' وتتأملها بحب.
  - (16-25 ثواني):** مشهد فلاش باك (Flashback) لعروس بفستان أبيض (لا يظهر وجهها بالكامل) وهي تبتسم وتستلم الهدية من صديقتها.
  - (26-35 ثواني):** لقطات مقربة للطقم في ديكور غرفة عروس (على السرير، قرب باقة ورد...).
  - (36-45 ثواني):** لقطة ختامية للعلبة المغلقة مع بطاقة التهنئة فوقها.
- **الصوت:** تعليق صوتي نسائي هادئ وعاطفي. موسيقى تصويرية مؤثرة وناعمة جداً.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C06-WA","[C06-WA] Carousel - حايرة واش تهدي لعروسة عزيزة عليك؟ اسحبي الشاشة وشو","Carousel","حايرة واش تهدي لعروسة عزيزة عليك؟ اسحبي الشاشة وشوفي الحكاية.","Slide 1: لكل عروس... هدية تبدأ بها حياتها ببركة وسكينة.
Slide 2: حكاية تبدا بطقم صلاة يجمع الفخامة بالبركة، باش يرافقها في أول خطواتها.
Slide 3: بتفاصيله الأنيقة... من حرير الخمار إلى تصميم المصحف، هو لمسة 'كلاس' تليق بيومها المميز.
Slide 4: ومع سجادته المبطنة... هي هدية لراحة جسدها وسكينة قلبها. كوني أنتِ صاحبة الهدية التي لا تُنسى.","💖✨ احكي قصة حبك لصديقتك العروس... بأجمل هدية! 

 الهدية المثالية للعروس هي التي تحمل معنى عميقاً وتجمع بين الجمال والبركة.

في هذا الكاروسال، نروي لك قصة الهدية التي ستفرح قلبها وتكون بداية خير لحياتها الجديدة.

اسحبي الشاشة واكتشفي لماذا طقم 'نسائم الإيمان' هو الخيار الأمثل لكل عروس عصرية وأصيلة. 

 اهديها طقم 'نسائم الإيمان' باش تكوني الأفضل في عينها. اكتشفيه الآن على موقعنا! 

 #قصة_هدية #عروسة_2024 #هدايا_معنى #جهاز_عروسة #نسائم_الإيمان #أفكار_هدايا_زواج #الجزائر #صديقتي_العروس","[كاروسال قصصي - إخراج عبد الرحمن]
- **التصميم العام:** طابع عرائسي، استخدام اللون الأبيض والوردي الفاتح والذهبي. خطوط أنيقة ورومانسية.
- **Slide 1:** صورة ليد عروس مزينة بالحناء تمسك بيدها وردة بيضاء، مع النص بشكل شاعري.
- **Slide 2:** صورة للعلبة المفتوحة موضوعة على قماش ساتان أبيض، مع بعض بتلات الورد حولها.
- **Slide 3:** صورة مقربة تجمع بين المصحف والخمار، مع التركيز على تناسقهما.
- **Slide 4:** صورة للسجادة مفروشة في زاوية أنيقة من غرفة نوم، مع النص والـ CTA في الأسفل.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P07-WA","[P07-WA] Image - شريتي كادو شباب... بصح حاصلة في التغليف؟ الحل في ص","Image","شريتي كادو شباب... بصح حاصلة في التغليف؟ الحل في صورة واحدة!","هديتك 'همّة'... تبدا من العلبة.","🎁 وقتك ثمين... وهديتك تستاهل تكون فخمة بلا تعب! 

 نعرفو مليح هذاك السيناريو: تلقاي الهدية المثالية، ومن بعد تبدا رحلة البحث عن تغليف يليق بيها... تضيعي وقتك وجهدك وفي الأخير النتيجة ماشي كيما حبيتي.

هذا هو الوجع المسكوت عنه لي حليناهولك!

مع كل طقم 'نسائم الإيمان'، تجيك علبة هدايا ملكية مجاناً! مصممة بنفس روح الفخامة والجودة.

مهمتك الوحيدة هي تقديم الهدية، ومهمتنا هي نضمنولك أنها تبان 'همّة وشأن' من أول نظرة. 

 وفّري وقتك وجهدك! علبة 'نسائم الإيمان' توصلك جاهزة للإهداء. اطلبيها اليوم من موقعنا. 

 #تغليف_هدايا #علبة_فاخرة #هدية_جاهزة #راحة_البال #نسائم_الإيمان #توفير_الوقت #هدايا_انيقة #الجزائر","[منشور مفرد - إخراج عبد الرحمن]
- **الصورة:** لقطة احترافية جداً للعلبة الفاخرة وهي مغلقة، موضوعة على خلفية بسيطة وراقية. يتم التركيز على جودة العلبة وشعار 'نسائم الإيمان' المطبوع بأناقة. يمكن وضع شريط ساتان بجانب العلبة لإضافة لمسة جمالية.
- **النص على التصميم:** جملة ""هديتك 'همّة'... تبدا من العلبة."" بخط ذهبي أنيق.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V08-WA","[V08-WA] Video - رمضان على الأبواب... والتراويح طويلة. هل ظهرك مستع","Video","رمضان على الأبواب... والتراويح طويلة. هل ظهرك مستعد؟","(صوت هادئ وروحاني، مع صوت خفيف للقرآن في الخلفية)
رمضان يقترب... شهر السكينة والخشوع.
تطول فيه السجدات، وتكثر فيه الركعات... خاصة في صلاة التراويح.
لكن ساعات، وجع الظهر والمفاصل يسرق منا لذة العبادة هذي.
تولي تخمم في الوجع كثر من الخشوع.
بصح... كاين حل.
حل يخليك تعيشي كل لحظة من رمضان براحة وطمأنينة.
سجادة 'نسائم الإيمان' المبطنة... رفيقتك في هذا الشهر الفضيل.
باش تكون صلاتك... قمة في الخشوع... وقمة في الراحة.","🌙✨ استعدي لرمضان بقلب خاشع... وجسد مرتاح! 

 أيام قليلة تفصلنا عن أعظم الشهور، شهر رمضان الذي ننتظره بشوق لنعيش أجوائه الروحانية وصلواته الطويلة.

لكن هل فكرتِ في راحتك الجسدية خلال صلاة التراويح؟ الإرهاق وألم المفاصل قد يقلل من خشوعك.

طقم 'نسائم الإيمان' بسجادته المبطنة خصيصاً هو الحل المثالي لتعبدي ربك براحة تامة، وتركزي في صلاتك ودعائك فقط.

استثمري في راحتك... لتكون عبادتك أكمل. 

 استعدي لرمضان بقلب مرتاح وجسد هادئ! اطلبي طقم 'نسائم الإيمان' قبل فوات الأوان. 

 #رمضان_2024 #استعدادات_رمضان #صلاة_التراويح #خشوع_وراحة #نسائم_الإيمان #شهر_الخير #راحة_جسدية #الجزائر","[فيديو Motion Graphics/Storytelling - إخراج أحمد وإسلام]
- **الأسلوب:** فيديو برسوم متحركة (Motion Graphics) أنيقة وبسيطة، مع دمج لقطات حقيقية.
- **المشاهد:
  - (0-5 ثواني):** رسم هلال رمضان يظهر في سماء ليلية هادئة، مع عبارة 'رمضان يقترب'.
  - (6-15 ثواني):** رسم متحرك لشخصية كرتونية (ظل امرأة) تصلي وتشعر بعدم الراحة، مع ظهور أيقونات ألم خفيفة عند الظهر والركب.
  - (16-25 ثواني):** انتقال سلس لمشهد حقيقي Slow-motion للسجادة وهي تُفرش على الأرض، مع إظهار بطانتها المريحة.
  - (26-35 ثواني):** تعود الشخصية الكرتونية لتصلي على السجادة الجديدة، ويظهر حولها نور وهالة من الراحة والسكينة.
  - (36-45 ثواني):** ظهور الطقم الكامل مع العلبة في مشهد رمضاني (فانوس، تمر...).
- **الصوت:** تعليق صوتي بطيء وهادئ جداً. موسيقى روحانية بدون إيقاع صاخب.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C09-WA","[C09-WA] Carousel - التراويح طويلة و وجع الركب يقطعلك خشوعك؟ الحل في 5","Carousel","التراويح طويلة و وجع الركب يقطعلك خشوعك؟ الحل في 5 صور.","Slide 1: هل تعانين من آلام الركب والظهر في صلاة التراويح؟ لستِ وحدكِ.
Slide 2: الحل بسيط! قولي وداعاً للألم مع سجادة 'نسائم الإيمان' المبطنة.
Slide 3: السر؟ بطانة عالية الكثافة مصممة لامتصاص الضغط على المفاصل وتوفير دعم لا مثيل له.
Slide 4: النتيجة؟ خشوع تام وتركيز كامل في صلاتك، من التكبيرة الأولى حتى التسليم.
Slide 5: استمتعي بكل لحظة من رمضان. صلاتك تستحق هذه الراحة. اطلبيها الآن!","🌙 5 أسباب تخلي سجادة 'نسائم الإيمان' رفيقتك المثالية في رمضان! 

 صلاة التراويح من أعظم متع رمضان، لكن الألم الجسدي قد يفسدها.

اكتشفي في هذا الكاروسال كيف يمكن لسجادتنا المبطنة أن تغير تجربتك في الصلاة هذا العام.

اسحبي الشاشة وتعرفي على الحل الذي سيعيد لك الراحة والخشوع. 

 رمضان هذا صلّي براحة تامة! اكتشفي السجادة المبطنة واطلبيها اليوم عبر موقعنا. 

 #صلاة_التراويح_2024 #رمضان_كريم #راحة_المفاصل #سجادة_مريحة #نسائم_الإيمان #حلول_عملية #عبادة_براحة #الجزائر","[كاروسال تعليمي - إخراج عبد الرحمن]
- **التصميم العام:** تصميم واضح ومباشر. استخدام أيقونات ورسوم توضيحية بسيطة. كل سلايد يعالج نقطة واحدة.
- **Slide 1:** صورة لامرأة تضع يدها على ركبتها بألم خفيف، مع خلفية رمضانية. السؤال مكتوب بخط كبير وواضح.
- **Slide 2:** صورة للسجادة بشكل جذاب، مع علامة 'صح' كبيرة بجانبها.
- **Slide 3:** رسم توضيحي (Infographic) يظهر طبقات السجادة والبطانة الداخلية، مع أسهم تشرح كيفية عملها.
- **Slide 4:** صورة لامرأة تصلي بسكينة وراحة، مع هالة نور حولها لترمز للخشوع.
- **Slide 5:** صورة للطقم الكامل مع دعوة صريحة للشراء.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P10-WA","[P10-WA] Image - بقالك وقت قليل على رمضان... هل حضرتي روحك ودارك لأ","Image","بقالك وقت قليل على رمضان... هل حضرتي روحك ودارك لأعظم ضيف؟","رمضانك يبدأ من هنا... بالراحة والجمال.","⏳ الوقت يمضي... وضيفنا العزيز على الأبواب! هل أنتِ مستعدة؟ 

 الاستعداد لرمضان ليس فقط بالقلب والنية، بل بتهيئة كل ما يعيننا على العبادة بأفضل حال.

تجهيز ركن الصلاة الخاص بك، واقتناء ما يريحك ويجملك في وقوفك بين يدي الله هو جزء من هذا الاستعداد.

طقم 'نسائم الإيمان' صُمم ليكون رفيقك في هذا الشهر، ليضيف لمسة من الجمال لصلاتك، وقمة من الراحة لعبادتك.

لا تنتظري اللحظة الأخيرة. 

 اجعلي رمضانك هذا استثنائياً. اطلبي طقم 'نسائم الإيمان' وتهنّاي من اليوم! 

 #تحضيرات_رمضان #رمضان_يقترب #ركن_الصلاة #نسائم_الإيمان #عبادة #روحانيات #الجزائر #شهر_العبادة","[منشور مفرد - إخراج عبد الرحمن]
- **الصورة:** صورة ذات طابع فني وروحاني. جزء من طقم الصلاة (مثلاً المصحف المغلف) موضوع بجانب فانوس مضاء وتمرات في صحن أنيق. الأجواء هادئة ودافئة، والألوان توحي بقدوم رمضان.
- **النص على التصميم:** جملة ""رمضانك يبدأ من هنا... بالراحة والجمال"" تُكتب بخط عربي جميل ومميز.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
