Project Name,Opportunity ID,Opportunity Name,Creative Format,Hooks,scripts,Ad Copy,Technical Directions,Opportunity Owner,Pipeline,Contact Id
"Wayso Project","V01-WA","[V01-WA] Video - -","Video","-","تحليل السوق، بناء الاستراتيجية، وهندسة رحلة العميل","-","-","Abdellah Chaaban","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V02-WA","[V02-WA] Video - شحال من مرة بغيت تسافر... و في التالي حبّست كلش من","Video","شحال من مرة بغيت تسافر... و في التالي حبّست كلش من كثرة الحوسان؟","(صوت عميق و هادئ)
كل واحد فينا يحلم بالسفر... يشوف بلدان جديدة، ناس جدد... يرتاح.
بصح الحلم هذا يبدا يتحول لكابوس... (تتسارع الموسيقى)
كي تفتح 10 مواقع في نفس الوقت.
الأسعار تتغير كل دقيقة.
تخاف تغلط في الحجز... و يروح كلش في الماء.
تحس روحك ضايع و متغشش. (وقفة قصيرة)
و إذا قتلك كاينة طريقة أخرى؟
طريقة جزائرية... ساهلة... و مضمونة.
(تظهر واجهة تطبيق Bookingo.app بسلاسة)
نقدمولك Bookingo.app.
المنصة لي تجمعلك أفضل عروض الطيران و الفنادق في بلاصة وحدة.
بـ 3 خطوات برك: اختار، قارن، و احجز.
شوف بعينيك كيفاش تقارن الأسعار في لحظة... و تضمن أحسن سومة.
بلا تكسار راس... بلا خوف.
لأن Bookingo.app منصة منّك و إليك. دعم فني بالدارجة، و دفع آمن و ساهل.
هكذا كانت حياتك قبل: ضغط، وقت ضايع، و قلق.
و هكذا تولي مع Bookingo.app: راحة البال، توفير، و ثقة.
خلينا نكونوا الجسر بين حلمك بالسفر... و حقيقة أجمل رحلة في حياتك.
ابدا رحلتك اليوم مع Bookingo.app، وحجز سفرتك بكل ثقة وسهولة.","🚨 حبّس تكسار الراس! سفرك يبدا من هنا. 

 عييت من البحث في عشرات المواقع باش تلقى أحسن سعر لسفرتك؟ 😩
الوقت اللي ضيعتو في الحوسان كان قادر يكون جزء من عطلتك! 🌴

اكتشف Bookingo.app، المنصة الجزائرية 🇩🇿 اللي تجمعلك كل عروض الطيران والفنادق في مكان واحد، وتخليك تقارن وتحجز في 3 خطوات بسيطة.

✅ قارن الأسعار بسهولة.
✅ احجز بكل ثقة وأمان.
✅ وفر وقتك ودراهمك. 

 تيليشارجي التطبيق درك، وابدا رحلتك اليوم مع Bookingo.app! 

 #BookingoDZ #سفر_الجزائر #حجز_فنادق #تذاكر_طيران #الجزائر #dzpower #سياحة_جزائرية","[0-5s] مشهد سينمائي لشخص يحلم بالسفر (ينظر من نافذة طائرة، يتخيل نفسه في مكان جميل). موسيقى هادئة وملهمة.
[5-12s] تسارع الإيقاع. لقطات سريعة لشخص محبط أمام لابتوب، يفتح العديد من التابوات (Tabs)، تظهر أسعار متضاربة ورسائل خطأ. إضاءة خافتة تعكس الإحباط.
[12-15s] لقطة مقربة على وجه الشخص وهو يغلق اللابتوب بيأس. صمت قصير.
[15-25s] انتقال سلس. ظهور شعار وواجهة Bookingo.app بشكل أنيق (Motion Graphics). موسيقى تعود متفائلة وإيجابية. عرض لقطات UI Demo تبرز سهولة البحث والمقارنة.
[25-30s] لقطة Screen Recording تبرز ميزة مقارنة الأسعار بشكل واضح و فوري. تكبير على السعر الأقل.
[30-35s] لقطات تظهر أيقونات الثقة (دعم فني، علم الجزائر، دفع آمن). نبرة الصوت هنا تكون موثوقة جداً.
[35-45s] تقنية الشاشة المقسومة (Split Screen): على اليسار مشاهد الإحباط (Before)، وعلى اليمين مشاهد الراحة والثقة باستخدام التطبيق (After).
[45-50s] مشهد سينمائي للشخص وهو يحجز بسهولة من هاتفه وهو مبتسم.
[50-55s] دعوة للعمل واضحة مع ظهور أزرار التحميل لـ App Store و Google Play. نبرة الصوت حماسية ومباشرة.","Islem Ben","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C03-WA","[C03-WA] Carousel - 3 كليكات... وراك في المطار! حلم ولا حقيقة؟","Carousel","3 كليكات... وراك في المطار! حلم ولا حقيقة؟","Slide 1: بوكينڨو.آب: سفرك يبدأ من هنا! 
Slide 2: وداعاً لتعقيد الحجز. منصة وحدة تجمعلك كلش: طيران، فنادق، وأكثر...
Slide 3: قارن الأسعار بلمسة زر. اضمن أفضل صفقة بلا تعب.
Slide 4: الدفع بلهجتك، الدعم بلادك. منصة جزائرية 100%، بالضمان والثقة.
Slide 5: مستعد للسفر؟ حمل تطبيق Bookingo.app الآن!","سفرتك الجاية؟ ساهلة، مضمونة، وموفرة! 

 علاش تعقّدها على روحك؟ مع Bookingo.app، كل ما تحتاجه لسفرتك راه في جيبك.

مرر الشاشات واكتشف كيفاش تقدر:
1️⃣ تجمع كل حجوزاتك في بلاصة وحدة.
2️⃣ تضمن أفضل سعر في السوق.
3️⃣ تسافر براحة بال مع منصة جزائرية تفهمك. 

 اكتشف كيف يغير Bookingo تجربتك. مرر الشاشات و حمل التطبيق. 

 #BookingoApp #سهولة_الحجز #توفير_المال #ثقة #صنع_في_الجزائر #الجزائر #وهران #قسنطينة","Slide 1: تصميم جذاب بخلفية صورة لوجهة سفر معروفة مع وضع شعار Bookingo.app والعنوان بخط كبير وواضح.
Slide 2: استخدام أيقونات بسيطة (طائرة، فندق) بجانب النص. خلفية بلون هادئ من ألوان العلامة التجارية.
Slide 3: انفوجرافيك بسيط يوضح مقارنة 3 أسعار مختلفة مع علامة صح (✓) على السعر الأقل. استخدام اللون الأخضر للتأكيد على التوفير.
Slide 4: استخدام أيقونات الثقة (علم الجزائر، درع الأمان). التركيز على الطابع الوطني.
Slide 5: صورة جذابة لهاتف يعرض واجهة التطبيق مع أزرار التحميل (App Store, Google Play) بشكل بارز وواضح.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P04-WA","[P04-WA] Image - خوك الجزيري عمرو لا يخدعك. سافر بالضمان مع Booking","Image","خوك الجزيري عمرو لا يخدعك. سافر بالضمان مع Bookingo.app.","منصة جزائرية 100%
منّك و إليك
سفرك مضمون، وراحة بالك أولويتنا.","الثقة هي الأساس! 🇩🇿 

 كي تكون المنصة من بلادك، تفهم احتياجاتك وتخاف عليك. Bookingo.app ماشي مجرد تطبيق، هو شريك سفرك الموثوق اللي يضمنلك أفضل تجربة حجز ممكنة. 

 منصة جزائرية منّك وإليك. حجز سهل، آمن، وموفر. اكتشف المزيد عبر تحميل التطبيق! 

 #الثقة #جزائري #صنع_في_بلادي #BookingoDZ #سفر_آمن #الجزائر","تصميم أنيق وبسيط. الخلفية تحمل تدرجاً لونياً من ألوان العلامة التجارية. النص مكتوب بخط عصري وواضح. في الأسفل، شعار Bookingo.app مع أيقونات صغيرة ترمز للثقة (درع، علامة صح، علم الجزائر).","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V05-WA","[V05-WA] Video - السوايع لي ضيعتهم تحوس على بيّي رخيص... كون قريت ب","Video","السوايع لي ضيعتهم تحوس على بيّي رخيص... كون قريت بيهم كتاب راك وليت فيلسوف!","(أحمد يتحدث للكاميرا بابتسامة)
علابالي بيك... كي تقرر تسافر، تفتح اللابتوب و تبدا الرحلة.
ماشي رحلة السفر... رحلة الحوسان على التيكي الرخيص!
تفتح 20 موقع، تقارن بيناتهم، وكي تلقى سومة مليحة، تعاود ترجع للموقع الأول تلقاها تبدلت! (يقلد الإحباط)
نهار كامل و أنت مقابل الشاشة، و في الأخير يا ربي تلقى يا ما تلقاش. هذا كان حالك البارح.

(يخرج هاتفه ويبتسم)
بصح اليوم... كلش تبدل.
شوف معايا... (يفتح تطبيق Bookingo.app)
ندير الوجهة لي حاب نروح ليها... نختار التواريخ...
و بوم! في ثواني، Bookingo.app يجبدلي كامل العروض من كل الشركات.
نرتبهم من الأرخص للأغلى... نختار لي تساعدني... و نحجز.
شفت شحال ساهلة؟ الوقت لي كنت تضيعو في نهار... درك تكمل شغلك في 5 دقايق.

هذا هو الجسر لي ينقلك من تكسار الراس... لراحة البال.
هذا هو Bookingo.app.
ماتزيدش تضيع وقتك.","وقتك أغلى من أنك تضيعه في البحث! ⏳ 

 نعرفو هذاك الشعور... ساعات وساعات وأنت تحوس على أفضل عرض سفر، وفي الأخير تخرج بلا نتيجة! 🤯

مع Bookingo.app، استرجع وقتك! منصتنا الذكية تبحث وتقارن لك في ثواني معدودة.

ركز على تحضير حقيبتك، وخلي مهمة البحث علينا. 

 توقف عن إهدار الوقت! حمل Bookingo.app اليوم واكتشف عالم من العروض في دقائق. 

 #توفير_الوقت #حجز_سريع #BookingoDZ #سفر #عطلة #الجزائر #efficacité","[Before: 0-10s] أحمد يتحدث مباشرة للكاميرا بنبرة ودودة ومتفهمة. لقطات B-Roll لشخص يضيع وقته في البحث على لابتوب، يظهر عليه التعب والإرهاق.
[After: 10-25s] يتغير تعبير أحمد إلى الحماس. يظهر هاتفه ويعرض واجهة التطبيق. اللقطات تكون واضحة ومقربة على شاشة الهاتف وهو يتنقل بين خطوات الحجز السريعة. موسيقى إيقاعية ومنعشة.
[Bridge: 25-35s] أحمد يربط بين المشكلتين (Before/After). يركز على قيمة الوقت. نبرة صوته مقنعة. يختم الفيديو وهو يرفع هاتفه بابتسامة ثقة.
[CTA: 35-40s] ظهور النص على الشاشة مع CTA واضح.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C06-WA","[C06-WA] Carousel - الحجز في 3 خطوات... أسهل من تحضير قهوة!","Carousel","الحجز في 3 خطوات... أسهل من تحضير قهوة!","Slide 1: مليت من المواقع لي تعييك؟
الحجز السريع: 3 خطوات لسفرتك الجاية!
Slide 2: الخطوة 1: أدخل وجهتك وتواريخ السفر. ساهلة ماهلة.
Slide 3: الخطوة 2: قارن أفضل العروض اللي جبناهالك في لحظة.
Slide 4: الخطوة 3: اختر واحجز بكل سهولة وأمان. مبروك عليك السفرة!","سفرتك القادمة على بعد 3 خطوات فقط! 🚀 

 لا تعقيدات، لا صفحات لا نهاية لها. مع Bookingo.app، عملية الحجز مباشرة وواضحة.

مرر الشاشات وشوف بنفسك كيفاش تقدر تخطط لسفرتك في أقل من 5 دقائق! 

 مرر وشوف شحال ساهل باش تسافر مع Bookingo.app! 

 #حجز_سهل #خطوات_بسيطة #BookingoApp #سفر_الجزائر #dz","Slide 1: تصميم بصورة سؤال كبير وجواب جذاب تحته. استخدام ألوان متباينة لجذب الانتباه.
Slide 2, 3, 4: كل سلايد يحتوي على رقم الخطوة (1, 2, 3) بحجم كبير، وأيقونة بسيطة تمثل الفعل (بحث، مقارنة، تأكيد)، مع نص شرح قصير. تصميم بسيط ونظيف يركز على السهولة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P07-WA","[P07-WA] Image - كليك، كليك، وراك مسافر! الحجز عمرو ما كان بهذي الس","Image","كليك، كليك، وراك مسافر! الحجز عمرو ما كان بهذي السهولة.","الحجز أسهل مما تتخيل!
مع Bookingo.app، سفرك على بعد نقرات.","وقتك ثمين، وسفرك مهم! ✨ 

 علاش تضيعهم في إجراءات معقدة؟ Bookingo.app صُمم خصيصًا ليمنحك أسرع وأسهل تجربة حجز.

من البحث إلى التأكيد في دقائق معدودة. 

 وفر وقتك ومجهودك. حمل التطبيق واحجز سفرتك الآن. 

 #سهولة_الاستخدام #توفير_الوقت #BookingoDZ #حجز_فوري #الجزائر","تصميم غرافيكي يظهر فيه مؤشر فأرة (cursor) وهو ينقر على أيقونات تمثل خطوات الحجز (بحث، مقارنة، تأكيد). استخدام ألوان زاهية ومرحة. التركيز على البساطة والسرعة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V08-WA","[V08-WA] Video - تحب تسافر... بصح الميزانية ديما المشكل؟ هذا الفيدي","Video","تحب تسافر... بصح الميزانية ديما المشكل؟ هذا الفيديو راح يبدلك حياتك!","(نص متحرك يظهر على الشاشة مع تعليق صوتي حماسي)
حاب تسافر بأقل تكلفة؟ تبع معايا...
(Q - Question)
السؤال هو: كيفاش تلقى أرخص سعر بلا ما تضيع سوايع؟
(U - Understand)
حنا في Bookingo.app نفهمو بلي كل دينار مهم.
علابيها صممنا أدوات ذكية باش تعاونك.
(E - Explain)
شوف كيفاش! أولاً، خاصية المقارنة الفورية.
(يظهر تسجيل شاشة للتطبيق)
بمجرد ما تبحث، نوريلك كل الأسعار من كل الشركات.
ثانياً، خاصية 'تنبيهات الأسعار'.
(يظهر تسجيل شاشة لكيفية تفعيل التنبيهات)
أكتيفيها على الرحلة اللي تحوس عليها، وكي يهبط السعر، نبعثولك نوتيفيكاسيون!
(S - Summarize)
إذن، بالمقارنة الفورية وتنبيهات الأسعار، تضمن بلي راك راح تخلص أقل سومة ممكنة.
(T - Transition/CTA)
الذكاء في السفر هو التوفير. ابدأ التوفير اليوم!","الدليل الكامل للسفر بأقل ميزانية! 💰✈️ 

 ما تخليش الميزانية المحدودة تمنعك من تحقيق أحلامك بالسفر! 

في هذا الفيديو، نوريلك الأسرار والخاصيات الذكية داخل تطبيق Bookingo.app اللي تخليك توفر مئات الآلاف في كل حجز.

شاهد الفيديو وتعلم كيف تصطاد أفضل الصفقات كالمحترفين. 

 ابدأ التوفير اليوم! حمل Bookingo.app و قارن الأسعار بنفسك. 

 #توفير_المال #سفر_اقتصادي #BookingoTips #الجزائر #عروض_سفر #dzdeals","فيديو Motion Graphics سريع وإيقاعي. استخدام نصوص متحركة كبيرة وواضحة. تسجيلات الشاشة (Screen Recording) تكون نظيفة ومباشرة، مع تسليط الضوء على الأزرار والميزات المذكورة. موسيقى عصرية ومحفزة. نبرة الصوت تكون تعليمية وواثقة.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C09-WA","[C09-WA] Carousel - كيفاش تسافر لتركيا بسعر فطور في مطعم فاخر؟ السر هن","Carousel","كيفاش تسافر لتركيا بسعر فطور في مطعم فاخر؟ السر هنا!","Slide 1: كيف توفر مئات الآلاف مع Bookingo.app؟
أسرار الحجز الذكي!
Slide 2: السر 1: المقارنة الفورية. نشوفلك كل العروض في لحظة، باش تخير الأرخص.
Slide 3: السر 2: تنبيهات الأسعار. فعلها و خلي التطبيق يخدم في بلاصتك. نبعثولك كي يهبط السعر!
Slide 4: السر 3: العروض الحصرية. لمستخدمي التطبيق فقط، صفقات خاصة ليك وحدك.
Slide 5: جربها درك! حمل التطبيق و ابدا توفير المال.","دراهمك غاليين عليك؟ علينا تاني! 😉 

 في Bookingo.app، مهمتنا ماشي غير نسهلولك الحجز، بل نضمنولك التوفير في كل رحلة.

مرر الشاشات واكتشف 3 أسرار بسيطة تخليك تحجز كالمحترفين وتوفر أكثر. 

 تعلم كيف توفر دراهمك! مرر الشاشات وحمل التطبيق. 

 #توفير #حجز_ذكي #BookingoApp #نصائح_سفر #الجزائر","تصميم إنفوجرافيك جذاب. كل سلايد له أيقونة خاصة به (عدسة مكبرة للمقارنة، جرس للتنبيهات، نجمة للعروض الحصرية). استخدام الأرقام الكبيرة (1, 2, 3) لتوضيح الخطوات. الألوان تكون متناسقة مع هوية العلامة التجارية.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P10-WA","[P10-WA] Image - علاش تخلّص كثر؟ سافر بذكاء، سافر مع Bookingo.app.","Image","علاش تخلّص كثر؟ سافر بذكاء، سافر مع Bookingo.app.","الحجز الذكي = التوفير الذكي.
Bookingo.app بوابتك لأفضل الأسعار.","خليك ذكي في اختياراتك! 💡 

 السفر متعة، والتوفير فن. مع Bookingo.app، تقدر تجمع بيناتهم!

نحن نبحث لك عن أفضل الأسعار لنوفر عليك المال والجهد. لأننا نؤمن أن الحجز الذكي هو أول خطوة لرحلة ناجحة. 

 لا تدفع أكثر مما يجب! اكتشف عروضنا الحصرية عبر تحميل التطبيق. 

 #حجز_ذكي #توفير_ذكي #BookingoDZ #أفضل_الأسعار #الجزائر","تصميم يجمع بين صورة دماغ (رمز الذكاء) وحصالة نقود (رمز التوفير) بشكل إبداعي. النص يكون في المنتصف بخط قوي وجذاب. شعار Bookingo.app في الأسفل.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
