Project Name,Opportunity ID,Opportunity Name,Creative Format,Hooks,scripts,Ad Copy,Technical Directions,Opportunity Owner,Pipeline,Contact Id
"Wayso Project","V01-WA","[V01-WA] Video - -","Video","-","تحليل السوق، بناء الاستراتيجية، وهندسة رحلة العميل.","-","-","Abdellah Chaaban","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V02-WA","[V02-WA] Video - تحوّس على الفرينة وحدها، السكر وحدو، وكل واحد يجيب","Video","تحوّس على الفرينة وحدها، السكر وحدو، وكل واحد يجيبلك جودة شكل؟ حبّس الدّوران، الحل راهو هنا.","(وجه إعلامي 1 - شاف محترف، يبان عليه التعب والإرهاق)
عندي كوموند كبيرة، والوقت يجري... وهذا المورّد تأخر عليا.
وهذا جابلي فرينة ماشي كيما اللي موالف نخدم بيها... راحت السمعة تاع المحل.

(وجه إعلامي 2 - ربة بيت، في مطبخها تبدو محبطة)
حوست في ثلاثة حوانت ومالقيتش الخميرة اللي تنجحلي القاطو.
الوصفة فسدتلي على جال مكوّن واحد ناقص... راح تعبي باطل.

(صوت قوي وواثق - Voice Over)
شحال من مرة ضيعت وقتك، دراهمك، وأعصابك في رحلة البحث على مكونات الحلويات؟
شحال من مرة خفت على سمعة محلك ولا فشلتلك وصفة عزيزة عليك؟
هذا الكابوس خلاص.

(انتقال مفاجئ لمشاهد مشرقة ومنظمة)
NOUNOURS... ماشي مجرد ماركة، هذي راحة البال ديالك.
كلش لحلوياتك، في ماركة وحدة.
فرينة، سكر، خميرة، فانيلا، شوكولاطة... كلش بجودة مضمونة وثابتة.
جودة تخليك تخدم بعينيك مغمضين... سواء كنت شاف في محلك، أو فنانة في كوزينتك.

(مشاهد متسارعة تُظهر حلويات رائعة يتم تحضيرها بسهولة)
هذا هو الفرق.
من الفوضى... للراحة.
من القلق... للثقة.
من وصفة خايفة منها... لتحفة فنية تفرحي بيها عايلتك.

(مشهد ختامي يجمع المنتجات مع كعكة احترافية وحلويات منزلية شهية)
NOUNOURS. الحل الجزائري اللي يفهمك ويوفرلك كلش.
ريح راسك، وبدّع في حلوياتك.","علاش تدوّخ روحك بين 10 موردين؟ 🤔 الحل في ماركة وحدة! 

 من القلق تاع ""الجودة ماشي مضمونة"" وتضييع الوقت في الحوانت، للراحة والثقة في كل وصفة ديرها.

NOUNOURS ماشي مجرد منتجات، هي شريكك في النجاح. سواء كنت شاف محترف ولا ملكة في كوزينتك، وفرنالك كلش لحلوياتك في بلاصة وحدة وبجودة اللي تحمر الوجه.

شوف الفيديو واكتشف كيفاش تقدر تبدّل تجربة صنع الحلويات تاعك للأبد. 

 اكتشف تشكيلة NOUNOURS الكاملة عبر موقعنا، وريح راسك من اليوم! 

 #NOUNOURS #حلويات_جزائرية #صنع_في_الجزائر #مكونات_الحلويات #شاف_جزائري #مطبخ_جزائري #الجودة_أولاً #راحة_البال #وهران #الجزائر #قسنطينة","إخراج: يدمج الأطر الثلاثة (StoryBrand+BAB+PAS). يبدأ بلقطات قاتمة تظهر (الألم/المشكلة) مع إضاءة خافتة وموسيقى متوترة. الجزء الأول (Before): زوايا كاميرا ضيقة تظهر الإرهاق على وجه الشاف وربة البيت. الجزء الثاني (Bridge): عند ذكر 'NOUNOURS'، انتقال سريع (Whip Pan) لمشاهد مشرقة، إضاءة طبيعية، موسيقى ملهمة. لقطات واسعة تظهر تنوع المنتجات مرصوصة بأناقة. الجزء الثالث (After): لقطات مقربة (Close-up) على أيادي تحضر الحلويات بثقة وسهولة. لقطات سينمائية بطيئة (Slow-motion) للشوكولاتة الذائبة والسكر البودرة. المشهد الختامي (Success): لقطة بانورامية للطاولة النهائية العامرة بالحلويات الناجحة، مع ظهور لوغو NOUNOURS بشكل بارز. نبرة الصوت في البداية قلقة، ثم تتحول إلى واثقة وملهمة في الـ Voice Over.","Islem Ben","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C03-WA","[C03-WA] Carousel - راك تضيّع نص نهارك تحوس على مكونات القاطو؟ شوف الح","Carousel","راك تضيّع نص نهارك تحوس على مكونات القاطو؟ شوف الحل.","Slide 1: كرهت من الدوران بين الحوانت على جال مكونات وصفة وحدة؟
Slide 2: مع NOUNOURS، وقتك وجهدك غاليين علينا. جبنالك كلش في ماركة وحدة!
Slide 3: فرينة، سكر، كاكاو، خميرة، شوكولاطة، نكهات... واش مازال؟ مجموعتنا الكاملة في انتظارك.
Slide 4: جودة مضمونة في كل منتج، باش كل قاطو تخدمو يكون تحفة فنية. الثقة تبدا من هنا!","كلش لحلوياتك في ماركة وحدة... ماشي مجرد شعار! 🤫 

 الوقت اللي كنت تضيّعو في البحث على كل مكون من جهة، استثمره درك في الإبداع تاعك.

NOUNOURS توفرلك تشكيلة كاملة من مكونات الحلويات بجودة عالية وثابتة باش تضمن نجاح كل وصفاتك.

مرر الصور واكتشف كيفاش نسهلوا عليك المهمة في الكوزينة. 

 مرر لاكتشاف عالم NOUNOURS المتكامل! 

 #كلش_في_ماركة_وحدة #توفير_الوقت #حلويات_سهلة #مكونات_مضمونة #NOUNOURS_DZ #مطبخ_عصري #الجزائر","تصميم: Slide 1: خلفية تظهر شخص مرهق يحمل أكياس كثيرة ومختلفة. Slide 2: خلفية مشرقة ومنظمة تظهر منتجات NOUNOURS مرصوصة بأناقة. Slide 3: تصميم شبكي (Grid) يعرض صور جذابة للمنتجات المذكورة مع أسمائها. Slide 4: صورة مقربة عالية الجودة لح حلوى ناجحة جداً، مع التركيز على قوامها المثالي. استخدام خط واضح واحترافي. الألوان تعكس هوية العلامة التجارية.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P04-WA","[P04-WA] Image - شعارنا هو وعدنا: كلش لحلوياتك، في ماركة وحدة.","Image","شعارنا هو وعدنا: كلش لحلوياتك، في ماركة وحدة.","NOUNOURS: كلش لحلوياتك، في ماركة وحدة.

ماشي مجرد شعار، هذي هي الخدمة ديالنا.","هذا ماشي مجرد شعار، هذا هو الوعد تاعنا ليك! 🤝 

 في NOUNOURS، نؤمن أن راحتك وثقتك هما أساس كل نجاح. على جال هذا، خدمنا على شعارنا باش يكون هو الحقيقة اللي تعيشها معانا كل يوم: ""كلش لحلوياتك، في ماركة وحدة"".

جودة، توفير للوقت، وراحة بال مضمونة. 

 جرب 'NOUNOURS' اليوم وتذوق الفرق في كل وصفة! 

 #وعد_الجودة #شعارنا #ثقة_العميل #ماركة_جزائرية #حلويات_الجزائر #NOUNOURS","تصميم: صورة عالية الجودة تجمع أبرز منتجات NOUNOURS في تركيبة فنية أنيقة. في وسط الصورة، يُكتب الشعار بخط كبير وواضح. الخلفية نظيفة وبسيطة للتركيز على المنتجات والشعار. إضاءة احترافية تبرز جودة التغليف.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V05-WA","[V05-WA] Video - يقولك 'منتوج بلادي'... بصح واش مخبي مور هاد الكلمة","Video","يقولك 'منتوج بلادي'... بصح واش مخبي مور هاد الكلمة عند NOUNOURS؟","(صوت راوي هادئ وواثق)
الحكاية تاعنا ماشي مجرد حكاية تاع منتج.
هي حكاية تاع أرض... حكاية تاع شغف... وحكاية تاع ثقة.

(مشاهد سينمائية جميلة لمزارع جزائرية، أيادي عاملة محترفة)
كل حبة قمح، كل ذرة سكر... نختاروها بعناية من خيرات بلادنا.
نراقبوا كل خطوة، من المصدر الصافي... حتى توصل لمطبخك.

(مشاهد داخل المصنع تظهر الجودة والنظافة)
لأن الجودة عندنا ماشي اختيار، هي التزام.
التزام باش نوفرولك منتج نقي، مضمون... يخليك تخدم وأنت مهني.

(مشهد ختامي لأسرة جزائرية سعيدة تتذوق حلوى مصنوعة بمنتجات NOUNOURS)
هذي ماشي مجودة، هذي قيمة.
قيمة الذوق الأصيل، قيمة الثقة، وقيمة الفخر بمنتوج بلادك.
NOUNOURS... حكاية جودة من قلب الجزائر.","حكاية كل منتج NOUNOURS... حكاية فخر من قلب الجزائر 🇩🇿 

 وراء كل باكية فرينة وكل علبة سكر، كاين حكاية تاع شغف، دقة، والتزام بالجودة الجزائرية الأصيلة.

حنا في NOUNOURS، نؤمن بأن 'صنع في الجزائر' هي مسؤولية كبيرة. مسؤولية باش نقدمولك الأفضل من أرضنا، ونضمنولك نتيجة تحمرلك وجهك في كل مرة.

اكتشف معنا سر الجودة اللي يخلي منتجاتنا مميزة. 

 اختر 'NOUNOURS'، اختر الجودة الجزائرية اللي تستاهلها. زور موقعنا لمعرفة المزيد! 

 #صنع_في_الجزائر #منتوج_بلادي #الجودة_الجزائرية #فخر_الجزائر #قصة_علامة #NOUNOURS_Story #أصالة","إخراج: يعتمد على إطار StoryBrand + HVC. التركيز على السرد القصصي البصري. استخدام لقطات جوية (Drone shots) للمناظر الطبيعية الجزائرية. لقطات مقربة على المواد الخام (قمح، سكر) لإبراز الجودة. إضاءة دافئة وطبيعية. موسيقى تصويرية هادئة وملهمة تعكس الأصالة. التركيز على (القيمة العالية - HVC) من خلال إظهار النقاء، الأمانة في الإنتاج، والنتيجة النهائية التي تفوق التوقعات (ذوق لا مثيل له). نبرة الراوي يجب أن تكون فخورة وصادقة.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C06-WA","[C06-WA] Carousel - كيفاش تضمن بلي المكونات اللي راك تخدم بيها صح ذات ","Carousel","كيفاش تضمن بلي المكونات اللي راك تخدم بيها صح ذات جودة؟","Slide 1: تساءلت يوماً كيف نضمن أن كل منتج من NOUNOURS يوصلك بأعلى جودة ممكنة؟
Slide 2: كل شي يبدا من الاختيار. نختاروا أجود المواد الأولية من مصادر موثوقة في بلادنا.
Slide 3: نتابعوا مسار الجودة في كل مرحلة: من التحاليل المخبرية الدقيقة إلى عمليات الإنتاج الحديثة.
Slide 4: النتيجة؟ منتج مضمون 100%، يخلي كل وصفة ديرها قصة نجاح بذوق استثنائي.","الجودة عندنا ماشي كلمة، هي رحلة كاملة! ✨ 

 من الحقل إلى مطبخك، كل منتج من NOUNOURS يمر برحلة دقيقة من مراقبة الجودة لضمان أنك تحصل على الأفضل دائماً.

لأننا نعرف أن سر الوصفة الناجحة يبدأ من جودة المكونات.

مرر الصور وتعرف على رحلة الجودة اللي نلتزموا بيها على جالك. 

 اكتشف رحلة الجودة خطوة بخطوة في هذا الكاروسال! 

 #رحلة_الجودة #مراقبة_الجودة #ثقة #مكونات_عالية_الجودة #الشفافية #NOUNOURS_Commitment","تصميم: Slide 1: خلفية تحمل علامة استفهام كبيرة وأنيقة فوق صورة لمنتج NOUNOURS. Slide 2: صورة عالية الجودة لمادة خام (مثل حبات القمح الذهبية). Slide 3: رسم بياني بسيط (Infographic) يوضح خطوات مراقبة الجودة. Slide 4: صورة مقربة جداً (Macro shot) على قطعة حلوى مثالية، تبرز تفاصيلها الشهية. استخدام أيقونات احترافية وخطوط نظيفة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P07-WA","[P07-WA] Image - السر في البنة؟ راهو في أرضنا الطيبة. NOUNOURS، صنع","Image","السر في البنة؟ راهو في أرضنا الطيبة. NOUNOURS، صنع في الجزائر.","الجودة اللي تحوس عليها... والبنة اللي تعرفها.
NOUNOURS
صنع في الجزائر بحب وإتقان.","من خيرات بلادنا، مباشرة لكوزينتك! 🇩🇿❤️ 

 كل منتج من NOUNOURS يحمل في طياته قصة أرض وشغف ناسها.

نفتاخروا بأننا علامة جزائرية تقدم لكم جودة عالمية بمعايير محلية أصيلة. ادعم منتوج بلادك، وتذوق الفرق. 

 ابحث عن علامة الجودة الجزائرية 'NOUNOURS' في متجرك المفضل! 

 #منتوج_بلادي #صنع_بحب #الجزائر #جودة_جزائرية #أصالة_ومعاصرة #ادعم_المحلي #NOUNOURS","تصميم: صورة فنية تدمج منتج NOUNOURS بارز مع خلفية جميلة من المناظر الطبيعية الجزائرية (مثل حقول قمح أو جبال). يتم وضع عبارة 'صنع في الجزائر' كختم جودة أنيق على الصورة. الألوان دافئة وترابية لتعكس الأصالة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V08-WA","[V08-WA] Video - يا صاحب محل الحلويات، الفيديو هذا راح يبدلك طريقة ","Video","يا صاحب محل الحلويات، الفيديو هذا راح يبدلك طريقة خدمتك.","(مشهد 1 - Before: بالأبيض والأسود)
شاف حلويات يجري مكالمات هاتفية متوترة.
""آلو؟ وين راهي السلعة؟""... ""كيفاش ماعندكش؟""... ""الجودة ماشي كيما المرة اللي فاتت!""
(يظهر المخزن فيه بضاعة غير منظمة من ماركات مختلفة).

(صوت قوي - Voice Over)
خدمتك متوقفة على 10 موردين؟
كل يوم تخاف من تأخير جديد ولا جودة ناقصة تهدد سمعة محلك؟
هذا التعب خلاص.

(انتقال سريع بالألوان الزاهية - After)
(نفس الشاف الآن يبتسم بثقة، يتفقد مخزنه المنظم بمنتجات NOUNOURS فقط).

(صوت قوي - Voice Over)
تخيل كل مكوناتك توصل في وقتها... بجودة ثابتة تضمنلك نفس النتيجة الممتازة كل مرة.
تخيل عندك مورد واحد يفهم احتياجاتك ويوفرلك كلش.

(ظهور نص على الشاشة: جودة مضمونة - توصيل موثوق - تشكيلة كاملة)
هذا هو جسر النجاح تاعك: NOUNOURS PRO.
نوفرولك الوقت، الجهد، ونضمنولك راحة البال... باش تتفرغ غير للإبداع ديالك.

(الشاف يخدم على كعكة كبيرة بفخر وسهولة).
NOUNOURS. شريكك في النجاح.","للمهنيين وأصحاب المحلات: حوّل فوضى التوريد إلى أرباح مضمونة! 📈 

 تعاني من تضييع الوقت مع الموردين؟ قلقان من تذبذب جودة المكونات اللي تأثر على سمعتك؟

NOUNOURS PRO هو الحل المصمم خصيصًا لك. نوفرلك تشكيلة كاملة من مكونات الحلويات بجودة فائقة، توصيل موثوق، وأسعار خاصة بالمهنيين.

ركز على فنك، وخلي التوريد علينا. 

 وفر وقتك وجهدك، واطلب قائمة أسعار 'NOUNOURS' الخاصة بالمحترفين اليوم عبر رسالة خاصة! 

 #B2B #تجار_الجملة #حلويات_احترافية #مورد_حلويات #شراكة_نجاح #زيادة_الأرباح #الجزائر #NOUNOURS_PRO","إخراج: يعتمد على إطار BAB + AIDA. (Before): مشاهد سريعة ومتقطعة، بالأبيض والأسود أو بألوان باهتة، كاميرا مهتزة قليلاً لتعكس الفوضى والقلق. (Bridge): انتقال بصري قوي (مثل تأثير تمزق الشاشة) عند ذكر 'NOUNOURS PRO'. (After): مشاهد مشرقة، منظمة، وحركة كاميرا سلسة. (Attention): يبدأ الفيديو بمخاطبة الشريحة المستهدفة مباشرة. (Interest): يوضح كيف يحل مشاكلهم اليومية. (Desire): يرسم صورة للنجاح والراحة التشغيلية. (Action): CTA واضح في النهاية. استخدام Motion Graphics احترافي لإظهار الفوائد.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C09-WA","[C09-WA] Carousel - صاحب محل؟ 4 خطوات باش تزيد أرباحك وتنقص التعب.","Carousel","صاحب محل؟ 4 خطوات باش تزيد أرباحك وتنقص التعب.","Slide 1: هل تعاني من فوضى التوريد، تذبذب الجودة، وضياع الوقت الثمين في عملك؟
Slide 2: الحل في شريك واحد موثوق. NOUNOURS PRO توفر لك كل مكوناتك بجودة ثابتة وتوصيل مضمون.
Slide 3: النتيجة؟ تقليل التكاليف، زيادة الإنتاجية، والحفاظ على رضا زبائنك. يعني، أرباح أكثر وراحة بال أكبر.
Slide 4: مستعد لترتقي بعملك؟ انضم إلى شبكة شركاء NOUNOURS الناجحين اليوم.","لأصحاب محلات الحلويات: هل تبحث عن شريك يزيد أرباحك، ماشي صداعك؟ 🤝 

 نعرف أن إدارة محل حلويات ناجح تتطلب التركيز على الجودة والإبداع، ماشي على مطاردة الموردين.

لهذا السبب، صممنا حلول NOUNOURS PRO لتكون شريكك الاستراتيجي.

مرر الصور واكتشف كيف يمكننا مساعدتك على النمو. 

 مرر لترى كيف تحول NOUNOURS أعمالك! تواصل معنا عبر الخاص لمعلومات أكثر. 

 #شركاء_النجاح #نمو_الأعمال #حلول_B2B #تسيير_فعال #أرباح_مضمونة #NOUNOURS_Business","تصميم: موجه لـ B2B. Slide 1: أيقونة لرجل أعمال مرهق. Slide 2: أيقونة مصافحة (شراكة) مع لوغو NOUNOURS. Slide 3: رسم بياني بسيط يوضح ارتفاع الأرباح وانخفاض التكاليف. Slide 4: صورة لفريق عمل سعيد وناجح في محل حلويات أنيق. استخدام ألوان احترافية (مثل الأزرق الداكن والذهبي) وخطوط رسمية.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P10-WA","[P10-WA] Image - شراكتك مع NOUNOURS... هي استثمارك الأذكى لنجاح محل","Image","شراكتك مع NOUNOURS... هي استثمارك الأذكى لنجاح محلك.","شراكتك معنا، ضمان لنجاحك.

جودة. ثقة. أرباح.

NOUNOURS PRO - شريكك فوق العادة.","هل أنت مستعد للخطوة التالية في عملك؟ 🚀 

 النجاح في سوق اليوم يعتمد على الشراكات الذكية. شراكتك مع NOUNOURS تعني الحصول على منتجات عالية الجودة، خدمة موثوقة، ودعم مستمر يساعدك على تحقيق أهدافك.

لا تتردد في اتخاذ القرار الذي سيميزك عن المنافسين. 

 للطلب بالجملة والاستفسارات التجارية، تواصل معنا الآن عبر رسالة خاصة أو على الرقم [أدخل الرقم هنا]! 

 #استثمار #شراكة_استراتيجية #فرصة_عمل #تجارة_الجملة #حلويات_الجزائر #اتصل_بنا","تصميم: صورة احترافية لمصافحة بين شخصين بملابس رسمية، وفي الخلفية يظهر محل حلويات راقي وناجح. لوغو NOUNOURS PRO يكون بارزًا. استخدام خطوط أنيقة ورسمية.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
