Project Name,Opportunity ID,Opportunity Name,Creative Format,Hooks,scripts,Ad Copy,Technical Directions,Opportunity Owner,Pipeline,Contact Id
"Wayso Project","V01-WA","[V01-WA] Video - -","Video","-","تحليل السوق، بناء الاستراتيجية، وهندسة رحلة العميل.","-","-","Abdellah Chaaban","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V02-WA","[V02-WA] Video - خدمت، قريت، تعبت... و فالتالي مسارك المهني مازالو ","Video","خدمت، قريت، تعبت... و فالتالي مسارك المهني مازالو فبلاصتو؟","راك تحس روحك محبوس في نفس الدائرة؟
شهادات تتكدس... بصح القيمة الحقيقية غايبة.
تعبت من الدورات المحلية لي ما تبدل والو في الـCV تاعك.
هذا هو الألم تاع الطموح لي مازال مالقاش الطريق الصحيح.
بصح واش لوكان نقولك بلي كاينة بوابة توصلك مباشرة للنخبة العالمية؟
مؤسسة العماد، بالشراكة مع سندباد انترناشيونال، هي الجسر لي كنت تحوس عليه.
حنا ماشي مجرد مركز تكوين، حنا نبنو قادة المستقبل بشهادات دولية معترف بيها في كل مكان.
برامجنا مصممة باش تعطيك المهارات والاعتماد لي يفتحولك البيبان لي كانت مغلوقة.
واليوم، هاد البوابة راهي مفتوحة ليك بفرصة حصرية: العضوية الذهبية.
هادي ماشي مجرد اشتراك، هادي تذكرة الدخول تاعك لنادي النخبة.
تخيل حياتك بعد ما تكون جزء من هاد الشبكة العالمية... فرص جديدة، علاقات أقوى، ومسار مهني ما عندوش حدود.
العضوية الذهبية هي الخطوة الأولى نحو مستقبل تستاهلو.","مسارك المهني يستحق يكون عالمي. 🌍 اكتشف كيف. 

 هل تشعر أن طموحك أكبر من الفرص المتاحة حولك؟ تعبت من الاستثمار في شهادات لا تضيف قيمة حقيقية لمسيرتك؟

مؤسسة العماد بالشراكة مع سندباد انترناشيونال تقدم لك الحل النهائي: ""العضوية الذهبية"". بوابتك الحصرية للانضمام لنخبة الكفاءات الدولية، بشهادات معتمدة عالميًا وبرامج تدريبية تصنع الفارق.

هذه فرصتك لتحويل مسارك المهني من المحلية إلى العالمية. 

 اكتشف العضوية الذهبية وخطوتك الأولى نحو العالمية. سجّل الآن! 

 #العماد #سندباد_انترناشيونال #التدريب_الدولي #الجزائر #تطوير_مهني #شهادات_دولية #مسار_مهني","[Hybrid Montage Style]
- **Opening (0-5s):** Quick cuts showing a frustrated professional at their desk, looking at a generic certificate, then looking out a window with a thoughtful/stuck expression. Use a slightly desaturated color grade.
- **Problem Agitation (5-10s):** Text overlays appear with phrases like ""بلا فايدة؟"", ""وقت ضايع؟"". Sound design: a subtle ticking clock, a sigh.
- **Solution Intro (10-18s):** The music shifts to something more hopeful and authoritative. A high-quality animated logo reveal for ""Elimad & Sindibad International"". Shots of international landmarks (London, Dubai, Singapore) blending with professional classroom settings. The speaker's voice is confident and reassuring.
- **Value Proposition (18-25s):** Montage of diverse professionals (engineers, managers, entrepreneurs) succeeding in international contexts. Screen captures of high-value course modules. Text on screen highlights: ""شهادات دولية"", ""شبكة عالمية"", ""برامج النخبة"".
- **The Reveal (25-33s):** A dramatic build-up in music. A sleek, animated 3D model of a golden membership card appears on screen. The lighting is premium and exclusive. The voice tone becomes more direct and aspirational.
- **Transformation (33-40s):** Split screen. On one side, the 'before' character (frustrated). On the other, the 'after' character, now confident, speaking in a board meeting, networking internationally. The color grading on the 'after' side is vibrant and warm.
- **CTA (40-45s):** The membership card is shown again with a clear call-to-action button animating on screen: ""سجّل الآن"". The host's voice is firm and inviting. Final shot is the combined logos.","Islem Ben","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C03-WA","[C03-WA] Carousel - حاب توصل للعالمية بصح الطريق ضايعة؟ العضوية الذهبي","Carousel","حاب توصل للعالمية بصح الطريق ضايعة؟ العضوية الذهبية هي البوصلة تاعك!","Slide 1: حلمك توصل للعالمية بصح ما لقتش الطريق؟
العضوية الذهبية: مفتاحك لعالم جديد من الفرص!

Slide 2: شكون هي سندباد انترناشيونال؟
شريكنا الاستراتيجي، هيئة اعتماد دولية مرموقة تضمن أن شهادتك معترف بها في أكبر الشركات حول العالم.

Slide 3: واش تستفاد كي تكون عضو ذهبي؟
- وصول حصري لبرامج النخبة بأسعار رمزية.
- شهادات دولية تفتح لك أبواب المستقبل.
- شبكة علاقات مع خبراء وقادة أعمال.

Slide 4: كيفاش تلتحق بالنخبة؟
1. سجّل في العضوية الذهبية.
2. اختر برنامجك التدريبي المعتمد.
3. ابدأ رحلتك نحو العالمية!

Slide 5: فرصتك ما تتعوضش!
مستقبلك بين يديك. انضم لنخبة الكفاءات الجزائرية اليوم.","خطوة بخطوة نحو العالمية! 🗺️ 

 تساءلت يومًا كيف يمكنك الحصول على اعتراف دولي حقيقي؟ ""العضوية الذهبية"" من مؤسسة العماد وسندباد انترناشيونال ليست مجرد دورة، بل هي مسار واضح ومضمون.

اسحب لليمين ➡️ لتكتشف:
✅ قوة شريكنا الدولي، سندباد انترناشيونال.
✅ الامتيازات الحصرية التي تنتظرك.
✅ الخطوات البسيطة للانضمام إلى النخبة. 

 شوف كامل التفاصيل وطوّر من مسارك المهني. الرابط في البايو! 

 #عضوية_ذهبية #سندباد_انترناشيونال #تدريب_الجزائر #تكوين_مهني #شهادات_معتمدة #DZcareer","- **Overall Style:** Clean, corporate, and aspirational. Use brand colors of Elimad & Sindibad. Font should be modern and highly readable (e.g., Cairo, Tajawal).
- **Slide 1:** Impactful background image of a compass or a world map with glowing connection lines. Title in a large, bold font.
- **Slide 2:** Logo of Sindibad International prominent. Background could be a professional shot of their international headquarters or a collage of their global partners' logos.
- **Slide 3:** Use icons to represent each benefit (e.g., a graduation cap for certificates, a networking icon for connections, a tag price for affordability).
- **Slide 4:** A simple infographic with three steps. Use arrows to guide the eye from one step to the next.
- **Slide 5:** A powerful image of a successful professional looking towards the horizon. The CTA button should be visually prominent.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P04-WA","[P04-WA] Image - أكثر من 70% من أصحاب العمل يفضلون الكفاءات ذات الش","Image","أكثر من 70% من أصحاب العمل يفضلون الكفاءات ذات الشهادات الدولية.","أكثر من 70%
من مدراء التوظيف يمنحون الأولوية للمرشحين الحاصلين على شهادات دولية.","الأرقام لا تكذب. هل سيرتك الذاتية جاهزة للمنافسة؟ 

 في سوق العمل الحالي، التميز هو مفتاح النجاح. الشهادات الدولية ليست مجرد ورقة، بل هي دليل على أنك تملك المهارات والمعايير التي يبحث عنها كبار أصحاب العمل.

لا تترك مسيرتك المهنية للصدفة. كن أنت الخيار الأول. 

 استثمر في مستقبلك. اضغط لمعرفة المزيد عن برامجنا المعتمدة دوليًا. 

 #إحصائيات #سوق_العمل #الجزائر #شهادات_دولية #توظيف #CV #Elimad","- **Design:** Minimalist and impactful. The statistic ""70%"" should be the largest element on the screen, in a bold, attention-grabbing font.
- **Background:** A clean, solid color background, or a subtle professional office background blurred out.
- **Text:** The rest of the text should be smaller but clear. Add the logos of Elimad and Sindibad International at the bottom. Include a small text saying ""Source: [Industry Survey/Report]"".","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V05-WA","[V05-WA] Video - يقولك 'الدراهم ما تشريش المستقبل'... بصح الاستثمار","Video","يقولك 'الدراهم ما تشريش المستقبل'... بصح الاستثمار الذكي يضمنولك. كيفاش؟","الكل يحوس على ضمان لمستقبلو المهني.
بصح الضمان الحقيقي ما يجيش من شهادة محلية، يجي من الاعتراف الدولي.
في مؤسسة العماد، فهمنا هاد المعادلة.
على بيها بنينا شراكات استراتيجية مع هيئات عالمية كيما سندباد انترناشيونال.
هاد الشراكات ماشي مجرد لوغو على موقعنا.
معناها أن كل برنامج نقدموه، كل شهادة نمدوها، عندها وزنها في السوق العالمي.
معناها أنك كي تتخرج من عندنا، راك تدخل بشبكة عالمية تدعمك.
هذا هو الاستثمار لي يضمنلك مستقبل على قد طموحك.","ما وراء الشهادة: قوة الشبكة العالمية. 

 الشهادة القوية هي التي تأتي مع اعتراف دولي وشبكة عالمية تدعمك. في مؤسسة العماد، لا نمنحك تدريبًا فقط، بل نفتح لك أبواب العالم من خلال شراكاتنا الاستراتيجية.

شاهد الفيديو لتعرف كيف نبني كفاءات جزائرية بمعايير عالمية. 

 تعرف على شركائنا الدوليين وكيفاش نبنوا في الكفاءات الجزائرية. زور موقعنا. 

 #مصداقية #شراكات_دولية #العماد #الجزائر #مستقبل_مهني #GlobalNetwork #DZexcellence","- **Setting:** A professional, well-lit studio. The host is standing or sitting at a modern desk, dressed in business attire.
- **Performance:** The host should speak directly and confidently to the camera. The tone should be authoritative yet accessible. Use hand gestures to emphasize points.
- **B-Roll:** As the host mentions partners, their logos should appear on screen with a professional animation. Show clips of international business conferences, handshakes, and diverse teams collaborating.
- **Graphics:** Key phrases like ""اعتراف دولي"" and ""شبكة عالمية"" should be displayed as clean text overlays. A map of the world with glowing nodes can appear to illustrate the global network.
- **Ending:** The host looks directly at the camera for the final sentence, holding the gaze for a moment before the screen cuts to the logos and CTA.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C06-WA","[C06-WA] Carousel - راك تشك في قيمة الشهادات لي راك تحصل عليها؟ شوف وا","Carousel","راك تشك في قيمة الشهادات لي راك تحصل عليها؟ شوف واش يعني الاعتماد الدولي الصح.","Slide 1: كيفاش نضمنو ليك شهادة دولية معترف بيها؟
السر يكمن في عملية الاعتماد الصارمة.

Slide 2: خطوات الاعتماد مع سندباد انترناشيونال:
1. تقييم جودة المحتوى التدريبي.
2. مطابقة المعايير العالمية للتدريب.
3. تدقيق كفاءة المدربين المعتمدين.
4. إصدار الشهادة برقم تسلسلي دولي.

Slide 3: قوة الشراكات العالمية لي تخلي اسمك يبرق.
شراكتنا تعني أن شهادتك تحمل ختم الجودة الدولي، مما يمنحها مصداقية فورية لدى أي صاحب عمل في العالم.

Slide 4: اخطو خطوتك الأولى نحو العالمية.
لا تقبل بأقل من الأفضل لمسيرتك المهنية.","ما هي القيمة الحقيقية لشهادتك؟ 🤔 

 ليست كل الشهادات متساوية. الاعتماد الدولي هو ما يميز الشهادة العادية عن تلك التي تفتح لك الأبواب العالمية. 

اسحب لليمين ➡️ واكتشف العملية الدقيقة التي نتبعها مع سندباد انترناشيونال لنضمن لك اعترافًا دوليًا لا يقبل الشك. 

 اكتشف معاييرنا الذهبية. اتصل بفرعنا الأقرب. 

 #اعتماد_دولي #جودة_التعليم #العماد #سندباد_انترناشيونال #مصداقية #الجزائر #تكوين_الجزائر","- **Style:** Infographic-based, educational, and transparent. Use clear diagrams and flowcharts.
- **Slide 1:** A question in a large font with a background image of a magnifying glass over a certificate.
- **Slide 2:** A clear flowchart or numbered list infographic detailing the steps. Use icons for each step (e.g., a document icon for evaluation, a globe icon for standards).
- **Slide 3:** A visual representation of a certificate with a prominent ""Internationally Accredited"" stamp. Logos of international bodies could be in the background.
- **Slide 4:** A strong call-to-action with an image of a person confidently stepping forward. Contact details or a prompt to visit a local branch should be clear.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P07-WA","[P07-WA] Image - 'بفضل العماد وسندباد، قدرنا نوصل ببرامجنا للعالمية","Image","'بفضل العماد وسندباد، قدرنا نوصل ببرامجنا للعالمية!' - شهادة مدير مركز تدريب.","""الشراكة مع مؤسسة العماد وسندباد انترناشيونال كانت نقطة تحول لمركزنا. برامجهم المعتمدة دوليًا زادت من مصداقيتنا وجذبت لنا شريحة جديدة من الطلاب الطموحين.""

- مدير مركز تدريب 'Future Leaders Academy'","النجاح يتحدث عن نفسه! 🌟 

 شركاؤنا هم أكبر دليل على قوة برامجنا وتأثيرها. عندما تختار النمو، فإن النتائج تكون استثنائية. قصة نجاح 'Future Leaders Academy' هي واحدة من قصص كثيرة لمراكز تدريب اختارت التميز معنا. 

 اسمع قصص النجاح الأخرى. زر صفحتنا. 

 #دليل_اجتماعي #شهادات_العملاء #شركاء_النجاح #العماد #الجزائر #قصص_نجاح #SocialProof","- **Design:** Professional and clean. Use a high-quality photo of the person giving the testimonial (if available, otherwise use their logo).
- **Text:** The quote should be in a large, elegant font (perhaps a script font for emphasis). The person's name and title should be clearly visible underneath.
- **Branding:** Include the logos of Elimad and Sindibad International subtly at the bottom.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V08-WA","[V08-WA] Video - راك تتخيل روحك عضو في نادي النخبة التدريبية العالم","Video","راك تتخيل روحك عضو في نادي النخبة التدريبية العالمية؟ شوف واش تستفاد بالضبط!","العضوية الذهبية... ماشي مجرد اسم.
هي باقة متكاملة من الامتيازات الحصرية.
أولاً: وصولك لأقوى الدورات التدريبية العالمية بأسعار رمزية.
ثانياً: شهادات دولية معتمدة من سندباد انترناشيونال، تزيد من قيمتك في سوق العمل.
ثالثاً: الانضمام لشبكة من الخبراء ورجال الأعمال، تفتحلك أبواب الشراكات والفرص.
رابعاً: دعم ومتابعة شخصية باش نضمنو توصل لأهدافك.
هادي ماشي عضوية... هادي تذكرة لمستقبل أفضل.","امتيازات حصرية تنتظرك! ✨ 

 العضوية الذهبية هي أكثر من مجرد تدريب. إنها مفتاحك للوصول إلى عالم من المزايا المصممة خصيصًا لدفع مسيرتك المهنية نحو القمة. من الدورات الحصرية إلى الشبكات العالمية، كل شيء مصمم لنجاحك.

شاهد الفيديو واكتشف كل الامتيازات التي ستحصل عليها. 

 اكتشف باقة الامتيازات الذهبية اللي راي تسناك. املأ استمارة التسجيل. 

 #عضوية_ذهبية #امتيازات #حصري #العماد #تطوير_الذات #الجزائر #AIDA","- **Style:** Dynamic Motion Graphics. Fast-paced, energetic, and visually engaging.
- **Visuals:** Use animated icons and kinetic typography to illustrate each benefit as it's mentioned.
  - For ""courses at symbolic prices,"" show a stack of books with a price tag that dramatically drops.
  - For ""international certificates,"" show an animated certificate getting stamped with a glowing seal.
  - For ""networking,"" show animated avatars connecting with glowing lines on a world map.
  - For ""support,"" show a growing bar chart representing career progress.
- **Music:** An upbeat, modern, and inspiring electronic track.
- **Colors:** Use the brand's primary colors dynamically throughout the animation.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C09-WA","[C09-WA] Carousel - واش راك تستنى باش تولي جزء من النخبة؟ شوف واش يمدو","Carousel","واش راك تستنى باش تولي جزء من النخبة؟ شوف واش يمدولك بالتفصيل!","Slide 1: عضوية ذهبية؟ واش معناها ليك بالذات؟
إنها بوابتك لـ 4 امتيازات أساسية تغير قواعد اللعبة.

Slide 2: 1. دورات نخبة حصرية بأسعار رمزية.
استثمر في نفسك بأقوى البرامج العالمية دون أن تكسر ميزانيتك.

Slide 3: 2. شهادات دولية معترف بيها في كل بلاصة.
سيرتك الذاتية ستتحدث عنك بلغة عالمية يفهمها الجميع.

Slide 4: 3. تواصل مع خبراء عالميين وأصحاب أعمال.
ابنِ شبكة علاقات قوية تفتح لك أبوابًا لم تكن ممكنة.

Slide 5: 4. دعم فردي ومتابعة مستمرة لمسارك.
نحن معك خطوة بخطوة لضمان تحقيقك لأهدافك.

Slide 6: ابدأ قصة نجاحك العالمية. انضم الآن!
مكانك بين النخبة ينتظرك.","4 أسباب تجعل العضوية الذهبية استثمارك الأفضل لعام 2024. 

 لماذا يختار الطموحون الانضمام إلى عضويتنا الذهبية؟ لأن القيمة التي نقدمها تتجاوز مجرد التدريب.

اسحب لليمين ➡️ واكتشف المزايا الحقيقية التي ستغير مسارك المهني إلى الأبد. من التوفير المالي إلى بناء العلاقات العالمية، كل شيء هنا. 

 باقة امتيازات لا مثيل لها. زور موقعنا واكتشف المزيد! 

 #امتيازات #عضوية_ذهبية #العماد #الجزائر #استثمار_الذات #ValueProposition #DZ","- **Style:** List-based, clear, and benefit-oriented. Each slide should focus on one key benefit.
- **Visuals:** Use high-quality stock photos that reflect each benefit. For example, a photo of a focused person studying online for Slide 2, a picture of a professional CV for Slide 3, a photo of a networking event for Slide 4, and a photo of a mentor guiding someone for Slide 5.
- **Design:** Use a consistent layout for each slide with a large number (1, 2, 3, 4) to clearly structure the information. The background can have a subtle pattern or texture to add visual interest.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P10-WA","[P10-WA] Image - وفر أكثر من 70% من تكاليف الدورات الدولية مع العضو","Image","وفر أكثر من 70% من تكاليف الدورات الدولية مع العضوية الذهبية!","وفر أكثر من 70%
من تكاليف التدريب الدولي.

استثمار ذكي لمستقبل عالمي.","هل تدفع الكثير مقابل التطوير المهني؟ 💸 

 الوصول إلى التدريب الدولي المرموق لا يجب أن يكون باهظ الثمن. العضوية الذهبية مصممة لتمنحك أفضل قيمة مقابل استثمارك، مما يتيح لك توفير هائل على تكاليف الدورات الفردية.

إنه ليس مجرد توفير، بل استثمار أكثر ذكاءً في مستقبلك. 

 حساب بسيط للوفورات. اعرف كيفاش تستثمر بذكاء. 

 #توفير #استثمار #قيمة_مقابل_سعر #عضوية_ذهبية #العماد #الجزائر #ValueForMoney","- **Design:** Data-driven and visually striking. Use an infographic style.
- **Visual:** A simple bar chart comparing the high cost of ""Individual International Courses"" with the much lower cost of the ""Golden Membership"". The ""70% Saved"" area should be highlighted in a contrasting color.
- **Text:** The numbers and percentage should be large and clear. The slogan at the bottom adds context and value.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
