Project Name,Opportunity ID,Opportunity Name,Creative Format,Hooks,scripts,Ad Copy,Technical Directions,Opportunity Owner,Pipeline,Contact Id
"Wayso Project","V01-WA","[V01-WA] Video - -","Video","-","تحليل السوق، بناء الاستراتيجية، وهندسة رحلة العميل","-","-","Abdellah Chaaban","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V02-WA","[V02-WA] Video - تخدم في تمنراست وراسك قريب يطرطق من الموردين؟ حبس ","Video","تخدم في تمنراست وراسك قريب يطرطق من الموردين؟ حبس كلش وشوف هاد الفيديو.","راك تاجر في تمنراست؟
معناها تعرف هاد الحكاية مليح...
تليفونات ما تحبسش... عشرات الموردين... كل واحد ومشاكلو.
هذا تعطل في الطريق... وهذا سلعتو ناقصة... وواحد أسعاره كل يوم تتبدل.
وراسك يوجعك... ووقتك يضيع... والربح تاعك يذوب.
والخوف الكبير... الرفوف تاعك تفرغ... والزبون يدور ويروح.
بصح، كاين حل واحد يريحك من هاد الكابوس.
حنا في Royal Distribution، ماشي مجرد موردين.
حنا الشريك لي يفهمك... ويعرف واش تحتاج.
بنينا أكبر مخازن في تمنراست... وجهزنا أسطول توصيل يوصل لكل بلاصة.
باش نضمنولك... كلش لمحلّك، في بلاصة وحدة.
تخيل تخدم بفاتورة وحدة... بكونتاكت واحد... وبراحة بال وحدة.
الرفوف تاعك ديما معمرة... الزباين فرحانين... وأنت، تركز على الصح: تكبر تجارتك.
هذا هو الفرق لي تصنعو Royal Distribution.
مستعد تبدل طريقة خدمتك للأحسن؟","🚨 تجار تمنراست: هل مللتم من فوضى الموردين؟ \n\n كل يوم نفس القصة: مكالمات لا تنتهي، بضاعة ناقصة، وأسعار متقلبة تلتهم أرباحك.\n\nRoyal Distribution وُجدت لتضع حداً لهذه المعاناة. نحن لسنا مجرد مورد، بل شريكك الاستراتيجي الذي يوفر لك كل ما يحتاجه محلك في مكان واحد، بنظام لوجستي قوي يضمن لك راحة البال، وبأسعار تزيد من هامش ربحك.\n\nشاهد الفيديو واكتشف كيف يمكنك تحويل الفوضى إلى كفاءة. \n\n اكتشف الحل الشامل لمحلّك، تواصل معنا اليوم! \n\n #توزيع_بالجملة #تمنراست #تجارة_الجزائر #موردين_الجزائر #حلول_لوجستية #RoyalDistributionDZ #تمراست","[إطار PAS + BAB + StoryBrand]

**المشاهد الافتتاحية (Problem/Before):**
- لقطة سريعة ومضطربة لتاجر (بن صايبي) في محله، متوتر، يرد على هاتفين في نفس الوقت. إضاءة قاسية قليلاً.
- لقطات مقربة على فواتير كثيرة مبعثرة على المكتب.
- لقطة لرف فارغ في المحل، مع مرور زبون وخروجه خائباً.
- نبرة الصوت: سريعة، تعكس القلق والضغط.

**المشاهد الانتقالية (Agitate/Bridge):**
- شاشة سوداء للحظة، ثم تظهر عبارة ""بصح، كاين حل..."". موسيقى هادئة وواثقة تبدأ.
- لقطة درون واسعة جداً (Drone shot) تظهر ضخامة مخازن Royal Distribution عند شروق الشمس. إضاءة دافئة وذهبية.
- لقطات ديناميكية لعمال ينظمون البضاعة بكفاءة، رافعات شوكية تتحرك بنظام.
- لقطات لأسطول شاحنات Royal Distribution وهي تنطلق على طريق في تمنراست.
- نبرة الصوت: تصبح هادئة، واثقة، وحلّالة للمشاكل.

**المشاهد الختامية (Solution/After):**
- عودة لنفس التاجر، لكنه الآن هادئ، يبتسم وهو يتصفح قائمة طلباته على تابلت أو هاتف.
- لقطات واسعة للمحل وهو ممتلئ بالبضاعة والزبائن.
- لقطة مقربة للتاجر وهو يصافح زبوناً راضياً.
- إظهار لوغو Royal Distribution بشكل بارز في النهاية.
- نبرة الصوت: ملهمة، تدعو للثقة والعمل.","Islem Ben","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C03-WA","[C03-WA] Carousel - مورد واحد في تمنراست يغنيك على 10؟ حقيقة ولا خيال؟","Carousel","مورد واحد في تمنراست يغنيك على 10؟ حقيقة ولا خيال؟","Slide 1: علاش تختار Royal Distribution كشريك ليك في تمنراست؟ 5 أسباب تخليك تنسى كامل الموردين الآخرين.
Slide 2: 1. مخزون هو الأضخم: كل ما تحتاجه تلقاه متوفر ديما. لا خوف من نفاذ السلعة، ولا تأخير في الطلبيات.
Slide 3: 2. قوة لوجستية توصلك وين ما كنت: أسطولنا يغطي كل مناطق تمنراست، نضمنولك وصول سلعتك في الوقت المحدد وبأمان تام.
Slide 4: 3. زيادة مضمونة في الأرباح: أسعار الجملة تاعنا مدروسة باش تخليك تنافس بقوة وتزيد من هامش الربح ديالك.
Slide 5: 4. شريك نجاحك، ماشي مجرد مورد: فريقنا راه هنا باش يسمعلك، ينصحك، ويسهلك كلش. نجاحك هو نجاحنا.","🤔 تتساءل لماذا Royal Distribution هي الخيار الأول في تمنراست؟ \n\n الأمر لا يتعلق فقط بتوفير البضاعة، بل بتوفير نظام عمل متكامل يريحك ويزيد من أرباحك.\n\nاسحب لتعرف الأسباب الخمسة التي تجعلنا الشريك الذي لا يمكن الاستغناء عنه لكل تاجر ناجح في تمنراست. \n\n اسحب لتعرف قصتنا وكيفاش نعاونوك! \n\n #لماذا_نحن #تمنراست #مورد_بالجملة #الجزائر #تجارة #نجاح #RoyalDistributionDZ #تمراست","تصميم احترافي وموحد الهوية.
- **Slide 1:** خلفية لصورة بانورامية لتمنراست مع سؤال بارز في المنتصف. استخدام أيقونة علامة استفهام كبيرة.
- **Slide 2:** صورة عالية الجودة لمخزن Royal Distribution الضخم والمنظم. النص يكون بجانب أيقونة 'صندوق مفتوح'.
- **Slide 3:** تصميم جرافيكي يوضح خريطة تمنراست مع شاحنات صغيرة تتحرك من نقطة مركزية (المخزن) إلى عدة نقاط.
- **Slide 4:** أيقونة 'كيس نقود مع سهم للأعلى'. استخدام خط عريض وواضح للأرقام والنسب إن أمكن.
- **Slide 5:** صورة لفريق عمل Royal Distribution أو صورة رمزية لمصافحة. وضع لوغو الشركة بشكل بارز.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P04-WA","[P04-WA] Image - الكالكيلاطريس تاعك عيات وهي تحسب فواتير الموردين؟","Image","الكالكيلاطريس تاعك عيات وهي تحسب فواتير الموردين؟","شريك واحد.
فاتورة وحدة.
راحة بال وحدة.
Royal Distribution: شريكك الموثوق والوحيد.","🤯 تعبت من إدارة عشرات الفواتير والموردين؟ \n\n حان الوقت لتبسيط عملك والتركيز على ما يهم حقًا: نمو تجارتك.\n\nمع Royal Distribution، ودّع فوضى الأوراق والمتابعات التي لا تنتهي. نوفر لك شريكًا واحدًا لكل احتياجاتك، مما يعني إدارة أسهل، شفافية أكبر، وراحة بال لا تقدر بثمن. \n\n Royal Distribution: شريك واحد، كل احتياجاتك. \n\n #تبسيط_الأعمال #تمنراست #مورد_موثوق #الجزائر #كفاءة #تنظيم #RoyalDistributionDZ","تصميم بسيط ونظيف.
- **الخلفية:** لون موحد أو خلفية هادئة تتناسب مع هوية العلامة.
- **العناصر:** تصميم جرافيكي يصور مجموعة من الفواتير المبعثرة وهي تتحول إلى فاتورة واحدة نظيفة تحمل شعار Royal Distribution.
- **الخط:** استخدام خط عريض، واضح، واحترافي. التركيز على كلمة ""واحد"" في كل سطر.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V05-WA","[V05-WA] Video - في قلب الصحراء، حكاية ثقة بنيناها حجرة بحجرة... مع","Video","في قلب الصحراء، حكاية ثقة بنيناها حجرة بحجرة... مع تجار تمنراست.","تمنراست ماشي مجرد ولاية... هي تحدي.
الطرق طويلة... والظروف صعيبة.
والتاجر هنا، يحتاج شريك يفهم هاد التحدي... ويعرف كيفاش يتغلب عليه.
حنا في Royal Distribution، ما جيناش باش نبيعو سلعة برك.
جينا باش نبنو الثقة.
مشينا في طرقها... وفهمنا احتياجات تجارها.
عرفنا بلي الموثوقية هي الصح... وأن الكلمة أغلى من كلش.
اليوم، حنا فخورين نكونو جزء من قصة نجاح كل محل وكل تاجر خدم معانا.
لأن حكايتنا... هي حكايتكم.","قصتنا في تمنراست... هي قصة ثقة والتزام. \n\n لكل منطقة تحدياتها، وتمنراست علمتنا أن النجاح يبدأ من فهم هذه التحديات وتقديم حلول حقيقية.\n\nفي هذا الفيديو، نشارككم جزءًا من رحلتنا، وكيف أصبحنا الشريك الموثوق الذي يعتمد عليه تجار الجنوب الكبير. هذه ليست مجرد قصة علامة تجارية، بل هي قصة التزام تجاهكم. \n\n اكتشف كيفاش Royal Distribution ولات شريكك الأساسي في تمنراست! \n\n #قصة_نجاح #تمنراست #ثقة #التزام #الجزائر #الجنوب_الكبير #RoyalDistributionDZ #madeinDZ","[إطار Storytelling]
- **المشاهد:** لقطات سينمائية جميلة لطرق تمنراست عند الغروب. لقطات إنسانية لسكان المنطقة في الأسواق.
- **التركيز:** مشاهد مقربة لعمال Royal Distribution وهم يتحدثون ويبتسمون مع التجار المحليين (يمكن أن تكون لقطات شبه وثائقية).
- **الموسيقى:** موسيقى هادئة وملهمة، قد تحمل طابعًا محليًا خفيفًا.
- **الأداء الصوتي:** نبرة صوت دافئة، صادقة، وقريبة من القلب. ليست نبرة بيع، بل سرد قصة.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C06-WA","[C06-WA] Carousel - واش يخلي Royal Distribution تفهم تمنراست خير من أي","Carousel","واش يخلي Royal Distribution تفهم تمنراست خير من أي واحد آخر؟","Slide 1: رحلتنا في تمنراست: أكثر من مجرد تجارة، إنه التزام.
Slide 2: بديناها بثقة، وكملناها بإخلاص. منذ اليوم الأول، هدفنا كان بناء علاقات تدوم، ماشي مجرد معاملات عابرة.
Slide 3: تحديات المنطقة حولناها لفرص ليك. كل طريق صعيب وكل عقبة لوجستية كانت دافع لينا باش نطوروا حلول تخدمك وتضمن استمرارية عملك.
Slide 4: معاكم، يد في اليد، للنهوض بتجارة تمنراست. لأننا نؤمن أن نجاحنا مرتبط بنجاحكم.","رحلتنا معكم في قلب تمنراست... قصة من الثقة والإصرار. \n\n لم نأت إلى تمنراست كغرباء، بل كشركاء ملتزمين بفهم احتياجاتكم وتحدياتكم الفريدة. كل خطوة في رحلتنا كانت مبنية على خدمتكم بشكل أفضل.\n\nاسحب لتكتشف قصة التزامنا، وكيف نحول كل تحدٍ إلى فرصة لنجاحك. \n\n اقرا قصتنا وشوف علاش حنا اختيارك الأول. \n\n #رحلتنا #تمنراست #ولاء #شراكة #الجزائر #الجنوب_الجزائري #RoyalDistributionStory","تصميم قصصي ودافئ.
- **Slide 1:** صورة مؤثرة لمشهد طبيعي من تمنراست مع العنوان بخط أنيق.
- **Slide 2:** صورة قديمة أو بالأبيض والأسود (رمزية) لبدايات الشركة أو مصافحة، لتعزيز فكرة الثقة والأصالة.
- **Slide 3:** صورة لشاحنة Royal Distribution على طريق صحراوي، ترمز إلى التغلب على التحديات.
- **Slide 4:** صورة جماعية لفريق العمل أو صورة لتجار محليين مبتسمين. استخدام ألوان دافئة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P07-WA","[P07-WA] Image - محلك في تمنراست، بصح المورد تاعك يعرف طريق الصحرا ","Image","محلك في تمنراست، بصح المورد تاعك يعرف طريق الصحرا كيما يعرفها وليد البلاد؟","خبرة تمنراست في يديك.
نعرفو طرقها، ونفهمو تحدياتها.
Royal Distribution: توصيل مضمون بلا حدود.","في تمنراست، الخبرة بالطريق هي نصف الخدمة! \n\n توصيل البضائع في الجنوب الكبير ليس مجرد نقل، بل هو معرفة دقيقة بالتضاريس، التوقيت، والتحديات. نحن لا نعتمد على الحظ، بل على خبرتنا المحلية العميقة لضمان وصول طلبيتك بأمان وفي الوقت المحدد.\n\nاختر الشريك الذي يعرف تمنراست حق المعرفة. \n\n Royal Distribution: خبرة محلية، توصيل بلا حدود. \n\n #خبرة_محلية #تمنراست #توصيل_الجزائر #لوجستيك #الجنوب_الكبير #RoyalDistributionDZ","تصميم يبرز الخبرة المحلية.
- **الخلفية:** صورة عالية الجودة لخريطة طبوغرافية لمنطقة تمنراست، مع تحديد الطرق الرئيسية.
- **العناصر:** أيقونة شاحنة صغيرة موضوعة على الخريطة، مع شعار Royal Distribution.
- **الخط:** خط قوي وواثق.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V08-WA","[V08-WA] Video - شحال من ساعة ضيعتها مع الموردين هاد السمانة؟ 5؟ 10","Video","شحال من ساعة ضيعتها مع الموردين هاد السمانة؟ 5؟ 10؟ شوف كيفاش ترجعها.","(صوت واضح ومباشر)
هذه هي الطريقة القديمة:
تتصل بالمورد الأول... ثم الثاني... ثم العاشر.
تتابع كل واحد وحدو... وتستنى كل واحد وحدو.
ساعات من وقتك الثمين تضيع في التنسيق والمتابعة.
الآن، مع Royal Distribution، هذه هي الطريقة الجديدة:
خطوة 1: تفتح حسابك معانا.
خطوة 2: تختار كل ما يحتاجه محلك من منصة واحدة.
خطوة 3: تؤكد طلبيتك، وحنا نتكلفوا بالباقي.
وقتك لي كنت تضيعو... رجع ليك.
استثمروا في زبائنك... في تطوير محلك... في راحتك.","وقتك أغلى من أن يضيع في المكالمات! ⏳ \n\n تخيل لو كان بإمكانك استرجاع كل الساعات التي تقضيها في التنسيق مع الموردين كل أسبوع. ماذا ستفعل بها؟\n\nRoyal Distribution تقدم لك الحل: منصة واحدة لجميع احتياجاتك، تبسط عملية الطلب وتوفر لك وقتاً ثميناً يمكنك استثماره في نمو عملك أو حتى في راحتك الشخصية.\n\nشاهد الفيديو واكتشف العملية البسيطة من 3 خطوات. \n\n اكتشف كيفاش توفر وقتك وجهدك مع منصة وحدة! \n\n #توفير_الوقت #كفاءة #أتمتة #تمنراست #تجارة_ذكية #الجزائر #RoyalDistributionDZ","[إطار QUEST - فيديو Motion Graphics]
- **الأسلوب:** رسوم متحركة بسيطة وواضحة (2D Motion Graphics).
- **مشهد 1 (القديم):** إظهار شخصية كرتونية غارقة في الأوراق والهواتف، مع ظهور أيقونات ساعات تتطاير.
- **مشهد 2 (الجديد):** إظهار نفس الشخصية وهي تستخدم هاتفًا أو حاسوبًا بابتسامة. تظهر أيقونات (قائمة تسوق، شاحنة، علامة صح) بشكل متسلسل وبسيط.
- **الانتقالات:** سريعة وسلسة. استخدام ألوان العلامة التجارية.
- **الصوت:** تعليق صوتي واضح، إيقاع سريع، وموسيقى خلفية حيوية.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C09-WA","[C09-WA] Carousel - الوقت هو الدراهم. بصح كيفاش تربحهم في زوج مع التور","Carousel","الوقت هو الدراهم. بصح كيفاش تربحهم في زوج مع التوريد؟","Slide 1: وقّف ضياع الوقت، ابدأ الربح! كيفاش Royal Distribution ترجعلك أغلى حاجة عندك: وقتك.
Slide 2: 1. طلب موحد من مكان واحد: انسى قائمة الموردين الطويلة. كلش عندنا، تطلب خطرة وحدة وتهني راسك.
Slide 3: 2. توصيل سريع ومنظم: نظامنا اللوجستي يضمنلك وصول طلبيتك كاملة في الوقت المحدد. لا حاجة للمتابعة والقلق.
Slide 4: 3. ركّز على الأهم: محلك وزبائنك: خلي علينا هم التوريد، وأنت تفرغ لتطوير تجارتك وخدمة زبائنك. هكذا تكبر صح.","خطوات بسيطة لاسترجاع وقتك الضائع في التوريد! ⏱️ \n\n الوقت هو أثمن أصولك كتاجر. كل دقيقة توفرها هي فرصة لزيادة مبيعاتك أو تحسين خدمتك.\n\nاسحب لتكتشف كيف أن نظامنا في Royal Distribution مصمم خصيصًا ليمنحك المزيد من الوقت والكفاءة، ويحررك من تعقيدات التوريد اليومية. \n\n اسحب لتعرف أسرار توفير الوقت! \n\n #إدارة_الوقت #إنتاجية #تجار_الجزائر #تمنراست #عمل_ذكي #RoyalDistributionDZ","تصميم تعليمي وواضح.
- **Slide 1:** أيقونة ساعة رملية تتحول إلى أيقونة كيس نقود.
- **Slide 2:** جرافيك يوضح 'عدة أسهم' تندمج في 'سهم واحد' كبير يتجه نحو شعار Royal Distribution.
- **Slide 3:** أيقونة شاحنة سريعة مع تقويم وعلامة صح.
- **Slide 4:** صورة لتاجر مبتسم داخل محله وهو يتحدث مع زبون. النص يكون في الأعلى بشكل واضح.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P10-WA","[P10-WA] Image - شحال راه يسوى وقتك وانت تجري ورا الموردين؟","Image","شحال راه يسوى وقتك وانت تجري ورا الموردين؟","وقتك = أرباحك
لا تضيعه في التوريد.
Royal Distribution: استثمر وقتك صح.","هل حسبت يومًا التكلفة الحقيقية لوقتك؟ \n\n كل ساعة تقضيها في مهام لوجستية هي ساعة مسروقة من نمو عملك. حان الوقت لتغيير هذه المعادلة.\n\nدع Royal Distribution تتولى عنك عبء التوريد، واستثمر وقتك وجهدك في المكان الصحيح: داخل محلك ومع زبائنك. \n\n Royal Distribution: حل واحد لوقتك، وربحك. \n\n #قيمة_الوقت #استثمار #تمنراست #الجزائر #ريادة_الأعمال #RoyalDistributionTips","تصميم مؤثر ومباشر.
- **الخلفية:** صورة لساعة كبيرة وواضحة.
- **العناصر:** معادلة بسيطة في منتصف التصميم: [أيقونة ساعة] = [أيقونة كيس نقود]. تحتها الشعار والنص.
- **الخط:** خط جريء ومقروء بسهولة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
