Project Name,Opportunity ID,Opportunity Name,Creative Format,Hooks,scripts,Ad Copy,Technical Directions,Opportunity Owner,Pipeline,Contact Id
"Wayso Project","V01-WA","[V01-WA] Video - -","Video","-","تحليل السوق، بناء الاستراتيجية، وهندسة رحلة العميل","-","-","Abdellah Chaaban","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V02-WA","[V02-WA] Video - كليت السم ونت حاسب روحك تشيان؟ 🛑 الحقيقة المُرّة ","Video","كليت السم ونت حاسب روحك تشيان؟ 🛑 الحقيقة المُرّة ورا منتجات التخسيس اللي دمرت صحة آلاف الجزائريين.","(صوت هادئ وواثق)
شحال من مرة وقفت قدام المرايا، وحسيت بالإحباط؟
جربت كلش... ريجيمات قاسية، سبور متعب، وحتى منتجات واعدوك بالمعجزات.
وفي كل مرة، ترجع لنفس النقطة... تعب، ضياع دراهم، والأسوأ من هذا كامل... خوف.
خوف على صحتك من مكونات ما تعرفش أصلها، ومن أعراض جانبية قادرة تندمك حياتك كامل.
(تتغير نبرة الصوت لتصبح أكثر إيجابية وأملاً)
بصح اليوم، هاد الدائرة راح تتكسر.
لأول مرة في الجزائر، جبنالك الحل اللي يجمع بين زوج حوايج كنت تحسبهم ما يتلاقاوش: الجودة تاع برا، والثقة تاع الدار.
نقدمولك منتجنا الطبيعي 100% لإنقاص الوزن.
السر تاعو؟ ماشي في الخلطات السحرية... السر تاعو في الأمان.
كل غرام من هاد المنتج مصنوع في أوروبا، تحت رقابة ومعايير هي الأكثر صرامة في العالم.
يعني مكانش مواد كيميائية خطيرة، مكانش أعراض جانبية، ومكانش وعود كاذبة.
كاين غير مكونات طبيعية نقية، مدروسة علمياً باش تخدم مع جسمك، ماشي ضدو.
تحرق الدهون، تنقص الشهية، وتزيدلك الطاقة... بطريقة صحية وآمنة.
والنتيجة؟ ماشي مجرد رقم في الميزان.
النتيجة هي ثقة في روحك تسترجعها، لبسة كنت متمنيها، وراحة بال ما تتقدرش بثمن.
كيما الآلاف اللي جربوه ورجعولنا شهاداتهم بفرحة.
(نبرة حماسية ومباشرة)
هادي هي فرصتك باش تبدا التغيير اللي تستاهلو! 
اضغط على الرابط أسفل الفيديو، واكتشف كيفاش تقدر تنقص وزنك وأنت مطمن.","🚨 تعبت من التجارب الفاشلة والخوف على صحتك؟ الحل راهو هنا! 

 كلنا جربنا حلول لإنقاص الوزن خلاتنا نحسو بالإحباط والخوف. منتجات كيميائية، وعود كاذبة، ودراهم ضايعة...
حان الوقت باش نوقفو هاد المهزلة! اكتشف في هذا الفيديو المنتج الطبيعي الأول في الجزائر المصنوع بمعايير أوروبية صارمة. الأمان، الفعالية، وراحة البال... هاد هو وعدنا ليك.
الجودة تاع برا، والثقة تاع الدار. انقص وزنك وأنت مطمن. 

 هادي هي فرصتك تبدا التغيير لي تستاهلو! اضغط على الرابط باش تبدا رحلة التحول تاعك اليوم. 

 #صحة #تخسيس_آمن #منتج_جزائري #جودة_أوروبية #الجزائر #انقاص_الوزن #طبيعي100%","مونتاج احترافي (بن صايبي). يبدأ الفيديو بلقطات سريعة بالأبيض والأسود توحي بالإحباط (ميزان، ملابس ضيقة، علب أدوية مجهولة). استخدام موسيقى تصويرية متوترة.
عند ذكر الحل، تتحول الألوان إلى لوحة العلامة (أخضر، بيج، ذهبي) وتصبح الموسيقى ملهمة. لقطات Macro عالية الجودة للمكونات الطبيعية (أوراق، بذور). لقطات نظيفة ومشرقة للمنتج والعبوة.
إظهار أيقونات موشن جرافيك للشهادات الأوروبية (ISO, GMP). الانتقال إلى لقطات لعملاء سعداء (ممثلين أو UGC) يمارسون حياتهم بثقة. زوايا تصوير سينمائية. إضاءة ناعمة ودافئة تعكس الفخامة والأمان.","Islem Ben","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C03-WA","[C03-WA] Carousel - علاه المنتج هذا بالاك هو آخر منتج تخسيس تشريه في ح","Carousel","علاه المنتج هذا بالاك هو آخر منتج تخسيس تشريه في حياتك؟ (الجواب في 30 ثانية)","Slide 1: العنوان الرئيسي: سرّ التنحيف الآمن والفعال... اللي رجّع الأمل لآلاف الجزائريين.
Slide 2: علاش 'صنع في أوروبا' تبدل كلش؟ لأنها تعني: رقابة صارمة، مكونات نقية، ومعايير أمان عالمية. ماشي مجرد كلمة، هادي هي ضمانة صحتك.
Slide 3: مكوناتنا طبيعية وتخدم صح! ماشي مجرد أعشاب مخلطة. كل مكون مدروس علمياً باش يحرق الدهون ويسد الشهية بأمان، بلا ما يضر جسمك.
Slide 4: قول وداعاً للخوف والقلق! منتجنا 0% مواد كيميائية، 0% أعراض جانبية خطيرة. استعملو وأنت مرتاح البال ومهنّي.
Slide 5: واش هي النتائج الحقيقية؟ ماشي غير نقص في الميزان، بل راحة نفسية، ثقة بالنفس، وطاقة يومية. رحلة ممتعة نحو هدفك.
Slide 6: الفرق اللي تحس بيه! شوف بعينك الفرق بين منتج يضمنلك صحتك، ومنتجات السوق المجهولة المصدر. الاختيار واضح.
Slide 7: مستعد تبدا رحلتك وأنت مطمن؟ اكتشف كامل تفاصيل المنتج الطبيعي الوحيد اللي يضمنلك الجودة تاع برا، والثقة تاع الدار.","🔍 سر التنحيف الآمن والفعال... اكتشف علاه منتجنا ماشي كيما أي حاجة في السوق! 

 ماشي كامل المنتجات كيف كيف! كاين فرق كبير بين منتج يغامر بصحتك، ومنتج يستثمر فيها.
في هاد الكاروسال، شرحنالك بالتفصيل الركائز الأساسية اللي تخلي منتجنا هو الخيار الأكثر أماناً وفعالية في الجزائر: الجودة الأوروبية، المكونات الطبيعية المدروسة، والأمان التام.
اسحب لليسار واكتشف الحقيقة بنفسك! 

 تعرف على التفاصيل الكاملة اللي تخليك تنقص وزنك وأنت مطمن! الرابط في البايو! 

 #تخسيس_صحي #جودة_عالمية #صنع_في_أوروبا #مكونات_طبيعية #ثقة #الجزائر #dzpower","تصميم (عبد الرحمن). استخدام هوية العلامة البصرية (الألوان والخطوط). كل سلايد بخلفية نظيفة ومشرقة. استخدام أيقونات بسيطة لتوضيح الأفكار (درع للأمان، ورقة شجر للطبيعة، شهادة للجودة). صور عالية الجودة للمكونات الطبيعية والمنتج. تصميم احترافي ومرتب يعكس الفخامة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P04-WA","[P04-WA] Image - كاين اللي يبيعلك الوهم... وكاين اللي يبيعلك الضمان","Image","كاين اللي يبيعلك الوهم... وكاين اللي يبيعلك الضمان. الجودة الأوروبية ماشي كلمة، هي عقد ثقة بينك وبين صحتك.","(نص كبير وواضح على التصميم)
واش الفرق بين منتج ينقص الوزن... ومنتج يضمنلك صحتك؟
(نص أصغر وأنيق)
الجودة الأوروبية هي الإجابة.","🛡️ صحتك ماشي لعبة! اختار الضمان، ماشي المغامرة. 

 في سوق التخسيس، الخيار الأصعب هو الثقة. كيفاش تتأكد بلي المنتج اللي راك تستعملو ماراحش يضرك؟
الإجابة بسيطة: بالضمان. 'الجودة الأوروبية' هي ضمانك الوحيد بلي كل مكون آمن، نقي، وفعال. هي اللي تخليك تستثمر في صحتك وأنت مطمن.
#الجودة_الأوروبية #الثقة_أولا 

 اضغط للرابط باش تعرف أكثر على ضمان الجودة تاعنا، ورجع ثقتك في المنتجات الطبيعية! 

 #جودة #أمان #صحة_الجزائر #منتجات_طبيعية #ثقة #صنع_في_أوروبا #الجزائر","تصميم (عبد الرحمن). صورة عالية الجودة للمنتج موضوعة على خلفية فاخرة (رخامية أو خشبية). بجانب المنتج، يظهر ختم ذهبي أنيق مكتوب عليه 'European Quality Guaranteed'. استخدام خطوط فاخرة. التركيز على البساطة والرقي لترسيخ الثقة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V05-WA","[V05-WA] Video - كي تشري منتج تخسيس، راك في الحقيقة تلعب بحياتك! 😨","Video","كي تشري منتج تخسيس، راك في الحقيقة تلعب بحياتك! 😨 شوف واش لازم تعرف قبل ما تحط غرام واحد منو في فمك.","(صوت جاد وموثوق، كأنه من وثائقي)
في سوق مليان بالمجهول، شكون يضمنلك بلي الشي اللي راك تاكلو آمن وصحي؟
شكون يضمنلك بلي المصنع اللي تخدم فيه نظيف ومعقم؟
شكون يضمنلك بلي المكونات ماشي مغشوشة؟
(موسيقى تصبح أكثر إيجابية)
الجواب... يكمن في الضمانات والشهادات.
منتجنا ماشي مجرد خلطة، هو نتيجة معايير أوروبية صارمة.
كل مرحلة، من اختيار المكونات حتى للتغليف، تخضع لرقابة عالمية.
حاصل على شهادات مثل ISO 22000 و GMP.
هذا واش يعني؟
يعني أنك تستهلك منتج تم تحليله واختباره لضمان خلوه من أي شوائب.
يعني أنك تضع ثقتك في نظام جودة عالمي، ماشي في مجرد كلام.
(نبرة مباشرة)
لأن ثقتك هي أغلى حاجة عندنا.","🔒 كيفاش تتأكد 100% أن منتج التخسيس تاعك آمن؟ 

 في سوق معمر بالمنتجات المجهولة، الكلام وحدو مايكفيش. الثقة تُبنى بالأدلة والضمانات الحقيقية.
في هاد الفيديو، نكشفولك على المعايير والشهادات الأوروبية العالمية اللي تضمنلك بلي منتجنا هو الخيار الأكثر أماناً لصحتك.
ما تخاطرش بروحك، اختار المضمون. 

 بناء ثقتك أولويتنا! اضغط على الرابط باش تشوف الشهادات والمعايير الأوروبية العالمية اللي نخدمو بيها! 

 #مصداقية #شهادات_عالمية #ISO22000 #GMP #صحة #أمان #الجودة_الأوروبية #الجزائر","فيديو موشن جرافيك (أحمد وإسلام). يبدأ الفيديو بعلامات استفهام وأيقونات خطر باللون الأحمر. ثم ينتقل بسلاسة إلى عرض شعارات الشهادات (ISO, GMP) بألوان العلامة التجارية. استخدام رسوم بيانية بسيطة توضح مراحل التصنيع النظيفة والمراقبة. خطوط واضحة ورسوم متحركة سلسة واحترافية. التركيز على بناء المصداقية من خلال البساطة والوضوح.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C06-WA","[C06-WA] Carousel - من المصنع الأوروبي لدارك 🇩🇿: رحلة الأمان والجودة","Carousel","من المصنع الأوروبي لدارك 🇩🇿: رحلة الأمان والجودة اللي تخليك تثق في كل غرام من منتجنا.","Slide 1: العنوان: الجودة الأوروبية من الداخل: رحلة كل غرام من منتجنا، من المزرعة إلى دارك.
Slide 2: الخطوة 1: المصادر الموثوقة. نختار مكوناتنا الطبيعية من أفضل المزارع المعتمدة في أوروبا لضمان نقائها وفعاليتها.
Slide 3: الخطوة 2: معايير تصنيع صارمة. مصانعنا مجهزة بأحدث التكنولوجيات وتتبع بروتوكولات نظافة وتعقيم عالمية. ماشي كيما أي مصنع آخر.
Slide 4: الخطوة 3: شهادات عالمية. منتجنا حاصل على شهادات مثل ISO و GMP، وهي أعلى ضمانات الجودة والأمان الغذائي في العالم.
Slide 5: الخطوة 4: اختبارات دورية. كل دفعة إنتاج تخضع لتحاليل دقيقة في المخابر لضمان خلوها من أي شوائب أو مواد ضارة. صحتك هي أولويتنا.
Slide 6: التزامنا بالشفافية الكاملة. لأن صحتك غالية، نضمنلك منتج شفاف، آمن، وفعال 100%.","🔬 رحلة منتجنا من أوروبا إلى الجزائر... خطوة بخطوة! 

 هل تساءلت يوماً عن معنى 'الجودة الأوروبية'؟ إنها ليست مجرد شعار، بل هي رحلة دقيقة من الأمان والصرامة.
في هذا الكاروسال، نأخذك في جولة حصرية داخل كواليس تصنيع منتجنا، من اختيار أفضل المكونات الطبيعية إلى الحصول على الشهادات العالمية.
اسحب لليسار واكتشف لماذا نحن الخيار الأكثر ثقة. 

 اكتشف معايير التصنيع اللي تخلي منتجنا الأفضل والأكثر أماناً في الجزائر! 

 #جودة_عالية #شفافية #صناعة_أوروبية #معايير_عالمية #صحتك_أولا #الجزائر #dz","تصميم (عبد الرحمن). تصميم إنفوجرافيك جذاب. كل سلايد يمثل مرحلة مع أيقونة خاصة بها (نبتة، مصنع، شهادة، مجهر). استخدام خط زمني بصري يربط بين السلايدات. ألوان هادئة ومحترفة تعكس الثقة والجدية. تجنب ازدحام النصوص.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P07-WA","[P07-WA] Image - هذا ماشي مجرد لوغو، هذا هو الختم اللي يضمنلك بلي ص","Image","هذا ماشي مجرد لوغو، هذا هو الختم اللي يضمنلك بلي صحتك في أمان تام. تعرف عليه.","(نص واضح على التصميم)
هل تعلم أن منتجنا حاصل على شهادة 'ISO 22000'؟
(نص أصغر)
هذا هو ضمانك الرسمي لجودة وسلامة الغذاء العالمية. صحتك تستاهل الأفضل.","شهادة ISO 22000 ✅... واش تعني ليك كمستهلك؟ 

 تعني الأمان المطلق! شهادة ISO 22000 هي اعتراف عالمي بأن منتجنا يتبع أعلى معايير السلامة الغذائية في كل خطوة من خطوات إنتاجه. 
مع هذا الضمان، يمكنك استهلاك منتجنا بكل ثقة وطمأنينة، مع العلم أن صحتك محمية بمعايير عالمية. 

 اقرا المزيد عن شهاداتنا الرسمية وتأكد بنفسك من مصداقيتنا! 

 #ISO22000 #ضمان_الجودة #سلامة_الغذاء #ثقة #أمان #منتج_موثوق #الجزائر","تصميم (عبد الرحمن). تصميم أنيق يركز على شعار شهادة ISO 22000 بشكل بارز وذهبي. بجانبه صورة لعبوة المنتج. الخلفية بسيطة ومحترفة (بيج أو أبيض). التركيز على إعطاء قيمة وأهمية للشهادة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V08-WA","[V08-WA] Video - بالدارجة، واش كاين داخل هاد العلبة؟ وكيفاش يذوّب ا","Video","بالدارجة، واش كاين داخل هاد العلبة؟ وكيفاش يذوّب الشحمة بلا ما يمس صحتك؟ 🤔","(صوت واضح وبسيط)
كي تسمع 'منتج طبيعي'، ممكن تتخايل مجرد أعشاب مخلطة.
بصح الحقيقة أعمق من هذا.
منتجنا هو علم الطبيعة في علبة.
كل مكون طبيعي تم اختياره بدقة لسبب معين.
مثلاً، عندنا مكون (أ) اللي يخدم كأنه 'شرطي المرور' في جسمك، يوجه الدهون باش تتحرق وتولي طاقة، ماشي تتخزن.
وعندنا المكون (ب) اللي يرسل إشارة للمخ ويقولو 'خلاص رانا شبعانين'، فينقص الجوع وتقدر تتحكم في شهيتك.
والمكون (ج) يساعد على تنظيف الجسم من السموم، ويخلي عملية الهضم أحسن.
(نبرة مطمئنة)
التركيبة الذكية هادي تخلي المكونات تخدم مع بعضها بأمان تام، وتمدلك نتائج حقيقية ومستمرة.
ماشي سحر، علم بسيط وفعال.","🌿 كيفاش مكوناتنا الطبيعية تخدم في جسمك وتذوّب الدهون بأمان؟ 

 بعيداً عن المصطلحات المعقدة، حبينا نشرحولك بالدارجة كيفاش منتجنا الطبيعي يخدم بذكاء داخل جسمك باش يساعدك توصل لهدفك.
شاهد هذا الفيديو القصير والمبسط، وافهم العلم وراء الفعالية. كي تفهم، راح تزيد ثقتك وتطمئن! 

 فهم كيفاش يخدم المنتج يخليك مطمن! شوف الفيديو كامل واعرف كل التفاصيل هنا، بلا ما تدور على معلومات غالطة. 

 #علم_مبسط #مكونات_طبيعية #حرق_دهون #صحة #تثقيف #فعالية #الجزائر","فيديو موشن جرافيك تعليمي (أحمد وإسلام). استخدام رسوم متحركة بسيطة وجذابة لشرح آلية العمل. مثلاً، رسم كاريكاتوري لجزيء دهن يتم تحويله إلى طاقة. رسم بياني يوضح انخفاض الشهية. أسلوب بصري سهل الفهم وممتع، يركز على تبسيط العلم وجعله في متناول الجميع. استخدام ألوان العلامة التجارية.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C09-WA","[C09-WA] Carousel - ماشي مجرد أعشاب! اكتشف الأبطال الطبيعية الثلاثة في","Carousel","ماشي مجرد أعشاب! اكتشف الأبطال الطبيعية الثلاثة في منتجنا اللي راح يغيرو رحلتك مع الوزن.","Slide 1: العنوان: سر الطبيعة اللي يخليك تنقص وزنك: اكتشف المكونات الذكية في منتجنا.
Slide 2: البطل الأول: الشاي الأخضر (مثال). معروف بقدرته على تسريع عملية الأيض وحرق الدهون. هو محرك الطاقة في تركيبتنا!
Slide 3: البطل الثاني: الغارسينيا كامبوجيا (مثال). تساعد على كبح الشهية بشكل طبيعي وتقليل الرغبة في الأكل بين الوجبات. هي اللي تخليك تحكم في روحك!
Slide 4: البطل الثالث: الزنجبيل (مثال). يحسن الهضم ويقلل من الانتفاخ، ويساعد الجسم على امتصاص العناصر الغذائية بشكل أفضل. يضمنلك راحة الجهاز الهضمي.
Slide 5: علاش هاد المزيج هو الأفضل؟ لأن المكونات تخدم مع بعضها بتناغم (Synergy) لتعظيم النتائج بأمان تام، كل مكون يكمل عمل الآخر.
Slide 6: الطبيعة في خدمتك، لنتائج حقيقية ومستدامة. قوة طبيعية بدون أي خطر على صحتك.
Slide 7: حاب تعرف أكثر على مكوناتنا وفوائدها العلمية؟ تفضل بزيارة موقعنا!","🌿 قوة الطبيعة بين يديك! تعرف على أهم المكونات في منتجنا. 

 الفعالية الحقيقية تكمن في قوة المكونات. في هذا الكاروسال، نسلط الضوء على بعض المكونات الطبيعية الرئيسية في منتجنا، ونشرح لك ببساطة كيف تساهم في رحلتك لإنقاص الوزن بأمان.
اسحب لليسار واكتشف أسرار الطبيعة! 

 اكتشف قوة الطبيعة في مساعدتك على تحقيق هدفك بدون أي مخاوف! اضغط هنا! 

 #مكونات_طبيعية #شاي_أخضر #غارسينيا #صحة #تخسيس #أسرار_الطبيعة #الجزائر","تصميم (عبد الرحمن). كل سلايد مخصص لمكون واحد، مع صورة عالية الجودة للمكون في حالته الطبيعية (أوراق شاي أخضر، حبة غارسينيا). استخدام أيقونات بسيطة بجانب كل فائدة (لهب لحرق الدهون، تفاحة مشطوبة للشهية). تصميم جذاب ومريح للعين.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P10-WA","[P10-WA] Image - هذا المكون الصغير هو كابوس الدهون العنيدة! 🔥 اكتش","Image","هذا المكون الصغير هو كابوس الدهون العنيدة! 🔥 اكتشف قوتو الخفية.","(نص على التصميم)
هل تعلم أن الشاي الأخضر في منتجنا...
يحتوي على مضادات أكسدة تسرّع حرق الدهون بنسبة تصل إلى 17%؟
(نص أصغر)
الطبيعة هي الحل الأقوى والآمن.","🍵 السر الأخضر لحرق الدهون! 🍵 

 الشاي الأخضر ليس مجرد مشروب! إنه واحد من أقوى المكونات الطبيعية لحرق الدهون وتسريع عملية الأيض. تركيزه العالي في منتجنا يضمنلك فعالية مضاعفة وآمنة.
اكتشف قوة كل مكون طبيعي نستخدمه. 

 تعرف على فوائد كل مكون في منتجنا وكيفاش يخدم لصحتك و هدفك! 

 #الشاي_الأخضر #حارق_دهون #طبيعي #مضادات_أكسدة #صحة #تخسيس #الجزائر","تصميم (عبد الرحمن). صورة فنية ومقربة لأوراق الشاي الأخضر عالية الجودة. النص مكتوب بخط أنيق وواضح. يمكن إضافة أيقونة صغيرة على شكل 'لهب' بجانب النص. التركيز على إبراز جمال وقوة المكون الطبيعي.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
