Project Name,Opportunity ID,Opportunity Name,Creative Format,Hooks,scripts,Ad Copy,Technical Directions,Opportunity Owner,Pipeline,Contact Id
"Wayso Project","V01-WA","[V01-WA] Video - -","Video","-","تحليل السوق، بناء الاستراتيجية، وهندسة رحلة العميل.","-","-","Abdellah Chaaban","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V02-WA","[V02-WA] Video - حاسب لازم تخرج من أدرار باش دير التاويل؟ اسمحلي نق","Video","حاسب لازم تخرج من أدرار باش دير التاويل؟ اسمحلي نقولك... راك غالط!","(صوت الوجه الإعلامي، يتحدث بثقة وهدوء)
يا أهل أدرار، يا ناسي... شحال من واحد فينا يخمم كل يوم ويقول: واش هو مستقبلي هنا؟
نشوفو الفرص قليلة، ونحسو رواحنا محصورين... كأنو النجاح مكتوب غير للناس اللي في المدن الكبار.
هذا الإحساس... أنا نعرفو مليح، عشتو كيما نتوما.
تحس روحك تخدم وتعب، بصح ماكانش نتيجة كبيرة... تحس بلي راك تدور في حلقة فارغة.
(تتغير النبرة إلى إيجابية ومحفزة)
بصح اليوم، جيت نقولكم باللي كاين حل.
حل بسيط، حقيقي، ومن قلب أدرار.
واسمو 'مستقبلي'.
ماشي مجرد كلام في الهوا... 'مستقبلي' هو نظام يخليك تربح دراهم من تليفونك، بلا ما تحتاج راس مال كبير ولا خبرة معقدة.
كيفاش؟ ساهلة. تشري واش تحتاج، ولا تسوق لمنتجات يحتاجوها الناس... وعلى كل عملية، عندك فايدة مضمونة.
هذا ماشي حلم. هذا واقع. والدليل؟ هاو قدامكم.
(تظهر لقطات للمكتب في أدرار)
هنا في أدرار، عندنا مكتب، عندنا فريق، وعندنا عائلة تاع ناس كيما نتوما... بداو يغيرو حياتهم.
الخطة واضحة: تسجل، تختار، تربح.
مصيرك ماشي هو الركود. مصيرك هو النجاح اللي تبنيه بيدك، من دارك، من مدينتك.
مستقبلك يبدا من هنا!","🛑 **مستقبلك في أدرار... ماشي في بلاصة خلاف!**

حسيت في يوم أن الفرص قليلة هنا في أدرار؟ حسيت بلي لازم تهاجر باش تنجح؟
الفيديو هذا ليك! 
اكتشف كيفاش تقدر تبني مصدر دخل حقيقي من تليفونك ومن دارك، مع نظام ""مستقبلي"" اللي جا باش يغير المعادلة.
ماشي مجرد وعود، بل هو مشروع حقيقي على أرض الواقع هنا في أدرار.

✅ **مستقبلك يبدا من هنا! اضغط على الرابط في البايو باش تفهم كلشي و تبدا رحلتك اليوم.**

#أدرار #فرص_عمل_أدرار #مستقبلي_أدرار #التسويق_بالعمولة_الجزائر #خدمة_من_الدار #الجزائر #مشروع_مربح #Adrar","[Host-led Intro - Before State]: يبدأ الفيديو بلقطة متوسطة للوجه الإعلامي (من أبناء المنطقة) في مكان هادئ في أدرار (مثلاً، منظر طبيعي صحراوي عند الغروب). يتحدث بنبرة هادئة ومتفهمة. الكاميرا تقترب ببطء (Dolly in) لزيادة الحميمية. يتم إدراج لقطات B-roll لشباب في أدرار يبدون في حيرة أو ملل.
[Agitation & Transition - The Problem]: تتغير الموسيقى لتصبح أكثر تأثيراً. لقطات سريعة لسوق العمل، فواتير... لتعميق الإحساس بالضغط المالي.
[The Bridge & Solution - After State]: انتقال مفاجئ إلى مشهد مشرق. الوجه الإعلامي يبتسم بثقة. تظهر رسوم متحركة بسيطة (Motion Graphics) تشرح مفهوم 'اشري، سوق، اربح' بشكل جذاب. موسيقى محفزة وإيجابية.
[Proof & Authority - The Guide]: جولة سريعة ومهنية داخل مكتب 'مستقبلي' في أدرار. لقطات للفريق وهو يعمل، لقطات لشاشة تظهر أرباح (مع طمس التفاصيل الشخصية). التركيز على أن المشروع 'حقيقي وملموس'.
[Call to Action]: يعود الوجه الإعلامي للظهور في لقطة أخيرة قوية ومباشرة. ينظر مباشرة إلى الكاميرا. يظهر على الشاشة CTA واضح مع رابط الموقع أو الصفحة.","Islem Ben","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C03-WA","[C03-WA] Carousel - راك في أدرار و حاير في مستقبلك؟ هاد القصة ليك!","Carousel","راك في أدرار و حاير في مستقبلك؟ هاد القصة ليك!","Slide 1: الحلم يبدأ من أدرار! 🚀
شوف كيفاش شباب كيما نتا راهم يبدلو حياتهم للأفضل من جهتهم.

Slide 2: بصح... علاش نحسو رواحنا محصورين؟
الركود الاقتصادي في أدرار ماشي قدر. هو مجرد مشكلة... وحنا لقينا الحل.

Slide 3: الحل اسمو 'مستقبلي' ✨
بوابتك لحياة أفضل. نظام بسيط يخليك تربح دراهم من مشترياتك وتسويقك.

Slide 4: كيفاش؟ ساهلة!
شريت حاجة ليك ولا لعائلتك ⬅️ ربحت عليها عمولة.
سوقت لصحابك منتج عجبهم ⬅️ ربحت عليها عمولة.

Slide 5: مستقبلك يبدأ بضغطة زر. انضم لينا! 💪
ماتزيدش تضيع الوقت. الفرصة راهي بين يديك.","🤔 **مالك حاط يديك على خدك؟**

كلنا في أدرار نحلمو بمستقبل أفضل، بصح بزاف منا ماعلابالهمش منين يبداو.
هذا الكاروسال ماشي مجرد صور، هذي قصة حقيقية... قصتك!
قصة كيفاش تقدر تحول الركود إلى فرصة، والحيرة إلى أرباح.

🔥 **اسحب باش تشوف كيفاش مستقبلي يقدر يكون بابك للرزق!**

#أدرار_تتغير #قصص_نجاح #مستقبلي_أدرار #العمل_الحر #جزائريون_ونفتخر #Adrar #الجنوب_الكبير","Slide 1: صورة جذابة وحيوية لشباب من أدرار يضحكون ويبدون ناجحين. ألوان دافئة. خط عريض وواضح للعنوان.
Slide 2: صورة بالأبيض والأسود أو بألوان باهتة لشخص ينظر بقلق نحو الأفق في منظر صحراوي. تعبير عن الحيرة والركود. خط أرفع وأكثر جدية.
Slide 3: يظهر لوغو 'مستقبلي' بشكل بارز ومشرق في المنتصف. خلفية نظيفة وبسيطة (بيضاء أو بلون العلامة). أيقونات بسيطة (هاتف، عملات نقدية).
Slide 4: إنفوجرافيك بسيط جداً يوضح المعادلة بأسهم وأيقونات. استخدام ألوان متناقضة لتوضيح السبب والنتيجة.
Slide 5: صورة لشخص يضغط على زر 'انضم الآن' على شاشة هاتف. الـ CTA مكتوب بخط كبير وواضح في الأسفل.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P04-WA","[P04-WA] Image - من قلب أدرار... لمئات الآلاف! السر؟","Image","من قلب أدرار... لمئات الآلاف! السر؟","غير من أدرار... و دخلت آلاف الدينار! كيفاش؟
اكتشف السر مع 'مستقبلي'.","💸 **النجاح ماعندوش عنوان... ويقدر يكون هنا في أدرار!**

ماشي لازم تكون في العاصمة باش دير دراهم.
الفرصة الحقيقية هي اللي تعرف تستغلها وين ما كنت.
مع 'مستقبلي'، التليفون تاعك هو مشروعك.

👇 **فرصتك راهي هنا! اضغط على الرابط في البايو باش تعرف أكثر.**

#أدرار_تقدر #النجاح_المحلي #مستقبلي #ريادة_الأعمال #الجزائر #استثمار #دخل_إضافي #AdrarDZ","تصميم جذاب يدمج صورة لشخصية ناجحة (أو رمز للنجاح) مع خلفية معلم من أدرار. النص مكتوب بخط عصري وجذاب (Typography). شعار 'مستقبلي' يظهر بوضوح في زاوية التصميم. الألوان تعكس الثقة والاحترافية.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V05-WA","[V05-WA] Video - كان خدام بسيط في أدرار... شوف اليوم كيفاش ولا يخدم","Video","كان خدام بسيط في أدرار... شوف اليوم كيفاش ولا يخدم على روحو من تليفونو!","(صوت الشخصية - testimonial)
السلام عليكم، أنا (الاسم) من أدرار.
في الأول، كنت كيما الناس كامل... خدام، والشهرية على قد الحال، ونخمم كيفاش نزيد المدخول.
سمعت بـ 'مستقبلي'، الحق تاع ربي خفت... قلت بالاك صعيبة، بالاك ماشي صح.
بصح قلت والله نجرب، ماعندي ما نخسر.
تسجلت... وبديت غير بالعائلة والصحاب، نوريلهم المنتجات اللي شريتهم وعجبوني.
تفاجأت! أول عمولة دخلتني... كانت صغيرة، بصح فرحت بيها كثر من أي حاجة.
تم عرفت بلي صح كاين منها.
دروك الحمد لله، 'مستقبلي' ولا مدخولي الثاني اللي نعول عليه.
الخوف هو اللي يخليك في بلاصتك. زعم وجرب.","🗣️ **من الخوف والشك... إلى الربح والثقة!**

هذه قصة حقيقية من قلب أدرار.
قصة شاب كان يحلم بمستقبل أفضل، ولقى فرصتو مع 'مستقبلي'.
اسمع تجربتو بكل صراحة وكيفاش تغلب على التردد باش يبدا يربح من تليفونو.
النجاح تاعو يقدر يكون قصتك نتا تاني.

💬 **قصتك تقدر تبدا اليوم! تواصل معانا في الخاص باش تعرف التفاصيل.**

#قصة_نجاح_أدرار #شهادة_حية #مستقبلي_يغير_حياتك #الجزائر #أدرار #العمل_عبر_الإنترنت #UGC","[UGC Style]: تصوير الفيديو بأسلوب بسيط وغير متكلف (User-Generated Content). الشخص يتحدث مباشرة إلى كاميرا هاتفه في بيئته الطبيعية (المنزل، مكان العمل). صوت طبيعي مع ضوضاء خفيفة في الخلفية لزيادة المصداقية.
[B-Roll]: لقطات سريعة للشخص وهو يستخدم هاتفه، لقطة لشاشة الأرباح (مع إخفاء المعلومات الحساسة)، لقطة له مع عائلته وهو سعيد.
[Editing]: مونتاج بسيط، مع إضافة نصوص (Subtitles) لكلام الشخص بخط واضح. لا توجد موسيقى تصويرية قوية، ربما موسيقى خلفية هادئة جداً في النهاية.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C06-WA","[C06-WA] Carousel - حاسبها غير هدرة؟ أرواح تشوف الدليل بعينيك!","Carousel","حاسبها غير هدرة؟ أرواح تشوف الدليل بعينيك!","Slide 1: أرباح حقيقية... من أرض أدرار! 💰
هذي ماشي أرقام من الخيال، هذي نتائج ناس كيما نتا وثقو في 'مستقبلي'.

Slide 2: ""في الأول حسبتها صعيبة، بصح الفريق عاوني بزاف وفهمت كلش بالخف!"" - شهادة من مشترك.

Slide 3: السر؟ خطوات بسيطة ونتيجة مضمونة.
1. تسجل في دقيقة.
2. تشارك رابط المنتوج اللي تحبو.
خلاص! هكذا تبدا تربح.

Slide 4: راك حاب تكون معاهم؟ انضم لمجتمع الناجحين في أدرار! 🤝
هنا، واحد يعاون واحد.","👀 **ما تأمنش حتى تشوف بعينيك!**

بزاف ناس تهدر على الربح من الإنترنت، بصح الدليل هو الصح.
في هذا الكاروسال، حطينالكم شهادات وأرباح حقيقية من أعضاء 'مستقبلي' هنا في أدرار.
النجاح ماشي حكر على حتى واحد، والفرصة متاحة للجميع.

✅ **ماشي غير كلام، هاو الدليل! اسحب و شوف. رابط التسجيل في البايو.**

#الدليل_القاطع #أرباح_حقيقية #مستقبلي_أدرار #مصداقية #الجزائر #العمل_من_المنزل #Adrar","Slide 1: تصميم يعرض لقطات شاشة (Screenshots) لأرباح حقيقية. يجب طمس الأسماء والصور الشخصية للحفاظ على الخصوصية. استخدام أيقونات أسهم تشير إلى الأرقام لزيادة التركيز.
Slide 2: اقتباس من شهادة مكتوب بخط يدوي (Handwritten Font) ليعطي طابعاً شخصياً. خلفية الصورة تكون لشخص مبتسم (صورة عامة).
Slide 3: إنفوجرافيك بسيط جداً يوضح الخطوتين. استخدام الأرقام الكبيرة (1, 2) وأيقونات واضحة (أيقونة تسجيل، أيقونة مشاركة).
Slide 4: صورة جماعية حقيقية من نشاط لمكتب 'مستقبلي' في أدرار (إن وجدت)، أو صورة تعبيرية لمجتمع متعاون. يجب أن تشع الصورة بالطاقة الإيجابية.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P07-WA","[P07-WA] Image - الخدمة من الدار في أدرار... بلا صداع الراس؟ كاينة ","Image","الخدمة من الدار في أدرار... بلا صداع الراس؟ كاينة منها!","ما تحتاج لا خبرة، لا شهادة كبيرة، لا راس مال.
تحتاج برك تليفون ورغبة في النجاح.
'مستقبلي' يبسط لك كلش.","🤯 **راك تلفتهالك مع تعقيدات الخدمة أونلاين؟**

'مستقبلي' جا باش ينحيلك كامل هاد المشاكل.
نظامنا مصمم خصيصاً للناس اللي حابة تبدا طريقها ببساطة وبدون أي تعقيدات.
فرصتك باش تخدم من دارك في أدرار بكل راحة راهي هنا.

✉️ **ابدا مشروعك الخاص اليوم! راسلنا في الخاص للمزيد.**

#العمل_ببساطة #بلا_تعقيدات #مستقبلي_أدرار #أدرار #فرصة_عمل #الجزائر #العمل_عن_بعد","تصميم هادئ ومريح. صورة لشخص يعمل بتركيز وراحة من منزله أو شرفته التي تطل على منظر طبيعي يوحي بأدرار. النص مكتوب بطريقة بسيطة وواضحة. استخدام ألوان ترابية وهادئة. شعار 'مستقبلي' في الأسفل.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V08-WA","[V08-WA] Video - الخدمة تاع الصح ماشي غير في الانترنت... أرواح تشوف","Video","الخدمة تاع الصح ماشي غير في الانترنت... أرواح تشوف وين نصنعو النجاح في أدرار!","(صوت راوي محفز، مع موسيقى ديناميكية في الخلفية)
يقولك الخدمة أونلاين... مجرد أرقام في شاشة.
حنا في 'مستقبلي' نقولولكم... هي قصة نجاح حقيقية، تبدا من هنا!
(تظهر لقطات للمكتب)
هذا هو قلب 'مستقبلي' النابض في أدرار.
هنا وين الفريق تاعنا يخدم كل يوم باش يوفرلكم أحسن دعم.
هنا وين نديرو ورشاتنا... ونتعلمو ونكبرو مع بعض.
هنا ماشي مجرد مكتب... هنا عائلة عندها هدف واحد: نشوفوكم ناجحين.
النجاح تاعنا مربوط بالنجاح تاعكم.
'مستقبلي' ماشي مجرد فكرة في الانترنت، هو واقع على أرض أدرار.","🏢 **ماشي غير كلام! دخل تشوف مركز 'مستقبلي' وين نصنعو النجاح في أدرار.**

باش نبنو الثقة، لازم الشفافية.
ولهذا، حبينا نفتحولكم أبواب مكتبنا في أدرار باش تشوفو بعينيكم أن 'مستقبلي' هو مشروع حقيقي، بفريق حقيقي، على أرض الواقع.
حنا هنا باش نخدموكم وندعموكم في كل خطوة.

👨‍👩‍👧‍👦 **حبيت تكون جزء من هاد العائلة؟ زورنا و لا تواصل معانا نجاوبوك على كل أسئلتك.**

#شفافية #مصداقية #مكتب_أدرار #مستقبلي #الجزائر #فريق_العمل #مجتمع_النجاح #Adrar","[Office Tour Style]: يبدأ الفيديو بلقطة خارجية لمبنى المكتب مع عنوان واضح. كاميرا متحركة (Gimbal) تتجول داخل المكتب. لقطات لأعضاء الفريق وهم يعملون، يبتسمون، ويتعاونون. لقطات لغرفة الاجتماعات، مساحة العمل المشتركة. التركيز على إظهار بيئة عمل إيجابية ومنظمة.
[Community Focus]: إدراج لقطات (إن وجدت) لورشة عمل أو لقاء مع المشتركين. إظهار التفاعل الإيجابي.
[Editing]: مونتاج سريع وحيوي (Dynamic). موسيقى تصويرية ملهمة. ظهور نصوص قصيرة على الشاشة تؤكد على كلمات مثل 'فريقنا'، 'دعمكم'، 'نجاحنا المشترك'.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C09-WA","[C09-WA] Carousel - حسبتها خدمة و خلاص؟ في 'مستقبلي' أدرار... حنا عائل","Carousel","حسبتها خدمة و خلاص؟ في 'مستقبلي' أدرار... حنا عائلة!","Slide 1: هنا يصنع النجاح في أدرار! 📍
مكتب 'مستقبلي' مش مجرد مكان عمل، هو بيتك الثاني للنجاح.

Slide 2: أهلاً بك في فريق الدعم الخاص بك! 🤝
هذو هوما الناس اللي يسهروا على نجاحك ويجاوبوك على كل أسئلتك.

Slide 3: نتعلمو ونكبرو مع بعض! 📈
ورشات عمل وتدريبات مستمرة باش تطور مهاراتك وتزيد أرباحك.

Slide 4: المكتب ماشي غير خدمة... راهو عائلة! ❤️
نفرحو لنجاحات بعضنا وندعمو بعضنا في كل خطوة.

Slide 5: زورنا وتعرف علينا عن قرب! 🗺️
[صورة لخريطة بسيطة لموقع المكتب في أدرار مع العنوان]","👨‍👩‍👧‍👦 **الخدمة وحدك صعيبة... بصح مع فريق يدعمك، كلش يولي ساهل!**

النجاح في 'مستقبلي' ماشي مجرد أرقام، هو بيئة عمل وعائلة تدعمك وتدفعك للقدام.
في هذا الكاروسال، أدخل معانا وشوف كواليس فريقنا ومجتمعنا هنا في أدرار.

➡️ **اسحب باش تشوف بيئة العمل اللي رايحة تدعمك! رابط التواصل في البايو.**

#فريق_مستقبلي #بيئة_داعمة #مجتمع_أدرار #النجاح_الجماعي #الجزائر #Adrar #WorkFamily","Slide 1: صورة بانورامية عالية الجودة لمدخل المكتب أو لمساحة العمل الرئيسية. إضاءة جيدة وأجواء احترافية.
Slide 2: صورة جماعية للفريق، كلهم يبتسمون ويبدون ودودين. يمكن إضافة أسماء أو مناصب بسيطة تحت كل شخص.
Slide 3: صورة من ورشة عمل حقيقية (إن وجدت) أو صورة تعبيرية لأشخاص في جلسة تدريبية.
Slide 4: صورة عفوية من نشاط مجتمعي أو احتفال داخل المكتب. التركيز على التفاعل الإيجابي.
Slide 5: تصميم جرافيك بسيط وأنيق لخريطة توضح موقع المكتب، مع كتابة العنوان ورقم الهاتف بوضوح.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P10-WA","[P10-WA] Image - في أدرار... مستقبلك ماشي مجرد فكرة أونلاين، راهو و","Image","في أدرار... مستقبلك ماشي مجرد فكرة أونلاين، راهو واقع تشوفو بعينيك!","مشروع حقيقي على أرض الواقع
'مستقبلي' - أدرار","✅ **الثقة تبنى بالأفعال، ماشي بالأقوال.**

في 'مستقبلي'، نؤمن بالشفافية المطلقة.
مشروعنا ماشي مجرد موقع على الإنترنت، هو كيان حقيقي موجود هنا في أدرار، تقدر تزورو وتتعرف علينا في أي وقت.
لأن مستقبلك أمانة عندنا.

📍 **شفافية مطلقة! زور مكتبنا و تعرف علينا أكثر.**

#على_أرض_الواقع #الثقة_هي_الأساس #مستقبلي_أدرار #الجزائر #Adrar #مشروع_حقيقي","صورة بانورامية احترافية للمكتب من الخارج أو الداخل، تظهر بوضوح لافتة 'مستقبلي'. استخدام تقنية (Wide-angle) لإعطاء إحساس بالمساحة والجدية. النص يُضاف في الأسفل بخط أنيق وواضح. الألوان تعكس الثقة والاحترافية.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
