Project Name,Opportunity ID,Opportunity Name,Creative Format,Hooks,scripts,Ad Copy,Technical Directions,Opportunity Owner,Pipeline,Contact Id
"Wayso Project","V01-WA","[V01-WA] Video - -","Video","-","تحليل السوق، بناء الاستراتيجية، وهندسة رحلة العميل","-","-","Abdellah Chaaban","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V02-WA","[V02-WA] Video - كي يخرج زبون من عندك يديه خاويين... ماشي غير هو لي","Video","كي يخرج زبون من عندك يديه خاويين... ماشي غير هو لي خسر، البيزنس ديالك هو لي خسر!","شحال من مرة جاك زبون يطلب برودوي معين... ولقيت روحك تقول: ""خلاصلي، اسمحلي""؟
تحس بيها هاديك الخيبة... ماشي برك خسرت بيعة، بالاك خسرت زبون للأبد.
الزبون هذاك راح يروح عند المنافس ديالك... وغدوة، يولي يروح عنده ديراكت.
الفوضى تاع لي فورنيسور... السلعة لي تتقطع... والوقت لي يضيع في التليفونات... هادي هي الخسارة الحقيقية تاعك.
بصح، تخيل معايا سيناريو واحد آخر.
تخيل صيدليتك تولي هي المرجع... البلاصة لي فيها كلش، حتى السلعة النادرة والمقطوعة.
تخيل الثقة تاع الزبون كي يعرف بلي عندك دائما واش يسحق.
هذا ماشي حلم. هذا هو الواقع مع أوريفان.
منصة دولية واحدة، تجمعلك كل الماركات لي تحتاجها، بضغطة زر.
نظام بسيط، فعال، يرجعلك أغلى حاجة عندك: وقتك... وراحة بالك... وثقة زبائنك.
أوريفان ماشي مجرد مورد. حنا الشريك الاستراتيجي لي يضمنلك النجاح.","الزبون لي يخرج من عندك اليوم... بالاك ما يوليش غدوة. 

 كل مرة تقول فيها لزبون ""ما عنديش""، راك تفتح الباب للمنافس ديالك باش يسرقلك مكانتك في السوق.

منصة ORRIVANE الدولية هي الحل النهائي لمشكل السلعة المقطوعة وفوضى الموردين. نوفرلك كل المنتجات لي تحتاجها، النادرة والعادية، في مكان واحد وبكل سهولة.

استرجع ثقة زبائنك، وقتك، وراحة بالك. 

 شوف كيفاش أوريفان تبدل بيزنس صيدليتك للأحسن! اضغط هنا! 

 #Orrivane #PharmacieAlgérie #DermoCosmétique #GrossistePharmaceutique #Alger #Oran #Constantine","[Master Video - Premium Style for Ben Saibi]

[0-3s] Hook: لقطة مقربة (Close-up) على وجه صيدلي محبط وهو يهز رأسه بالنفي لزبون. الكاميرا خلف كتف الزبون. إضاءة درامية خافتة.
[3-8s] Pain (Problem): سلسلة لقطات سريعة (Quick cuts): يد تقلب في أجندة مملوءة، أصابع تكتب رسائل بقلق على الهاتف، مكالمات لم يرد عليها، رفوف شبه فارغة.
[8-14s] Agitation: لقطة تظهر نفس الزبون من المشهد الأول يدخل صيدلية منافسة ويستقبله صيدلي آخر بابتسامة وهو يسلمه المنتج المطلوب. تركيز على ""خسارة الزبون"".
[14-20s] Bridge (Transition): شاشة سوداء للحظة. ثم يظهر شعار ORRIVANE بأناقة مع صوت ""whoosh"" خفيف. الإضاءة تصبح ساطعة ونقية.
[20-30s] Solution (After): لقطات سينمائية عالية الجودة لواجهة منصة ORRIVANE على جهاز لوحي. يد تتصفح المنتجات بسلاسة، تضيف للسلة. لقطات تظهر تنوع المنتجات العالمية. مونتاج ديناميكي وسريع.
[30-38s] The Result (Transformation): نعود لنفس الصيدلي من المشهد الأول، لكنه الآن واثق، يبتسم. يستعمل المنصة بسهولة. لقطة واسعة تظهر صيدليته منظمة وممتلئة، والزبائن راضون.
[38-42s] CTA: يظهر النص على الشاشة بوضوح بجانب الشعار. نبرة الصوت في التعليق الصوتي يجب أن تكون حاسمة وموثوقة.","Islem Ben","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C03-WA","[C03-WA] Carousel - تليفونك معمر بـ les numéros تاع لي فورنيسور؟ و راس","Carousel","تليفونك معمر بـ les numéros تاع لي فورنيسور؟ و راسك معمر بالتواريخ و les factures؟","Slide 1: تليفونك معمر بـ les numéros تاع لي فورنيسور؟ و راسك معمر بالتواريخ و les factures؟ كاين حل أبسط.
Slide 2: (قبل - Le Chaos) صورة تعبيرية: هاتف، كومة أوراق، آلة حاسبة، وكوب قهوة. النص: ""البحث عن المنتجات عند عشرات الموردين يضيعلك وقتك وطاقتك.""
Slide 3: (الحل - ORRIVANE) صورة لشعار أوريفان في المنتصف. النص: ""نقدم لك منصة ORRIVANE: كل ما تحتاجه صيدليتك في مكان واحد.""
Slide 4: (بعد - La Simplicité) لقطة شاشة أنيقة لواجهة المنصة. النص: ""بضغطة زر، تطلب كل المنتجات العالمية، تتبع طلبيتك، وتدير فواتيرك بسهولة تامة.""
Slide 5: (النتيجة) أيقونات تمثل: توفير الوقت + منتجات حصرية + راحة البال. النص: ""النتيجة؟ فوضى أقل، تحكم أكبر، وتركيز أكثر على زبائنك.""","وداعًا لفوضى الموردين! أهلاً بالتحكم الكامل. 

 هل سئمت من قضاء ساعات في التنسيق مع عشرات الموردين المختلفين؟

اكتشف في هذا الكاروسال كيف تقوم منصة ORRIVANE بتبسيط عملية التوريد بالكامل، مما يمنحك وصولاً فوريًا لمجموعة واسعة من المنتجات العالمية ويوفر لك وقتك الثمين. 

 اسحب لتعرف المزيد عن كيفاش أوريفان تبسطلك حياتك! 

 #Orrivane #GestionPharmacie #Simplicité #Efficacité #PharmacieAlgérie #Alger #BusinessSolutions","Slide 1: خلفية داكنة احترافية مع علامة استفهام كبيرة وأيقونات صغيرة للهاتف والأوراق. استخدام خط عريض وجذاب.
Slide 2: استخدام صورة فوتوغرافية حقيقية عالية الجودة لمكتب فوضوي لزيادة المصداقية.
Slide 3: تصميم بسيط وأنيق. شعار أوريفان بارز. خلفية نظيفة باللون الأبيض أو الرمادي الفاتح.
Slide 4: استخدام لقطة شاشة حقيقية للمنصة مع إبراز أيقونة ""أضف للسلة"" أو شريط البحث. يمكن إضافة أسهم صغيرة للإشارة إلى سهولة الاستخدام.
Slide 5: تصميم يعتمد على الأيقونات (Infographic style). كل أيقونة مع تسميتها. وفي الأسفل، CTA واضح.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P04-WA","[P04-WA] Image - السلعة المقطوعة وراحة بالك، في بلاصة وحدة.","Image","السلعة المقطوعة وراحة بالك، في بلاصة وحدة.","السلعة المقطوعة وراحة بالك،
في بلاصة وحدة.
هذا هو وعد ORRIVANE ليك.","وعدنا لك بسيط وواضح. 

 في ORRIVANE، مهمتنا ليست فقط توفير المنتجات، بل توفير راحة البال التي تأتي مع الثقة.

الثقة في أنك ستجد دائمًا ما يبحث عنه زبونك. الثقة في أن عملك لن يتوقف أبدًا بسبب نقص المخزون.

أوريفان: شريكك للنمو والراحة. 

 أوريفان: شريكك للنمو والراحة. زر موقعنا! 

 #Orrivane #PromesseDeMarque #USP #Fiabilité #PharmacieAlgérie #SérénitéProfessionnelle","تصميم فاخر (Premium). صورة عالية الجودة لمنتج Dermo-cosmétique نادر أو مرغوب جداً، موضوع على خلفية بسيطة وأنيقة (رخام أو خلفية بلون محايد). النص مكتوب بخط Serif أنيق وواضح. شعار ORRIVANE في زاوية بشكل غير مزعج.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V05-WA","[V05-WA] Video - عقلك قريب ينفجر؟ كثرة التليفونات، الفواتير، والمتا","Video","عقلك قريب ينفجر؟ كثرة التليفونات، الفواتير، والمتابعة... لازم يتبدل هذا السيستام!","(صوت شخص يتنفس بصعوبة وكأنه متعب)
تليفون يصوني... تزيد رسالة تدخل... المورد هذاك مازال ما بعثش... الفاتورة هاديك مازال ما تخلصتش...
تحس روحك غارق في تفاصيل صغيرة تسرقلك كامل طاقتك.
هذه الفوضى ماشي برك تعبك... راهي تقتل في الإبداع والتركيز ديالك.
بلاصة ما تخمم كيفاش تكبر البيزنس ديالك... راك تخمم كيفاش تخلص فاتورة اليوم.
هذا ماشي هو التسيير. هذا إرهاق.
أوريفان جات باش تحررك من هذه الفوضى. نظام واحد، شريك واحد، وفواتير موحدة.
باش يرجع تركيزك لوين لازم يكون: على زبائنك ونجاحك.","حرر عقلك من فوضى التسيير اليومية! 

 الإرهاق الذهني بسبب إدارة الموردين المتعددين هو عدو صامت لنمو صيدليتك. إنه يسرق وقتك، طاقتك، وتركيزك.

اكتشف كيف يعيد لك حل ORRIVANE الذكي التحكم والهدوء، مما يسمح لك بالتركيز على ما يهم حقًا: خدمة عملائك وتنمية أعمالك. 

 تهنى من فوضى التسيير اليوم! اكتشف حل أوريفان الذكي! 

 #Orrivane #GestionDeStress #EfficacitéOpérationnelle #PharmacieModerne #Alger #SolutionBusiness","[UGC / Motion Graphics Style]

[0-5s] لقطات سريعة جداً (Hyperlapse) من منظور الشخص الأول (POV) لصيدلي: يرد على مكالمات، يكتب بسرعة على الكيبورد، ينظر إلى شاشة مليئة بالجداول. مؤثرات صوتية: رنين هاتف مستمر، صوت إشعارات.
[5-10s] تظهر على الشاشة كلمات رئيسية بأسلوب Motion Graphics متداخلة وفوضوية: ""Appels"", ""Factures"", ""Retards"", ""Suivi"", ""Stress"".
[10-15s] الشاشة تصبح سوداء، ثم يظهر شعار ORRIVANE بهدوء. صوت تنفس عميق ومريح.
[15-20s] واجهة المنصة تظهر على الشاشة، وهي بسيطة ومنظمة. أيقونات بسيطة توضح: ""Commande Facile"", ""Suivi Centralisé"", ""Facturation Unique"".
[20-25s] لقطة أخيرة لصيدلي مبتسم، ينظر مباشرة للكاميرا بثقة. نبرة الصوت في النهاية هادئة وواثقة.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C06-WA","[C06-WA] Carousel - هل يمكن لمنصة واحدة أن تعطيك راحة البال وتخليك متح","Carousel","هل يمكن لمنصة واحدة أن تعطيك راحة البال وتخليك متحكم في السوق؟ هذي قصة حقيقية...","Slide 1: هل يمكن لمنصة واحدة أن تعطيك راحة البال وتخليك متحكم في السوق؟ هذه قصة دكتور أمين الحقيقية.
Slide 2: (قبل) صورة تعبيرية لصيدلي مهموم. النص: ""كان دكتور أمين يقضي 3 ساعات يوميًا في البحث عن المنتجات والتنسيق مع الموردين. كان يشعر أن صيدليته تسيره، وليس العكس.""
Slide 3: (اللقاء مع أوريفان) صورة لشاشة تعرض موقع أوريفان. النص: ""حتى اكتشف أوريفان. في البداية كان متشككًا، لكنه قرر أن يجرب الحل الذي وعده بالبساطة والفعالية.""
Slide 4: (بعد) صورة حقيقية (أو تعبيرية) لصيدلي واثق ومبتسم. النص: ""الآن، دكتور أمين يدير كل طلباته في 15 دقيقة فقط. استعاد السيطرة، ووفر منتجات نادرة، وأصبح مرجعًا في منطقته. الأهم من ذلك، استعاد راحة باله.""","قصة حقيقية: كيف استعاد صيدلي السيطرة على وقته وسوقه. 

 الفوضى ليست قدرًا. الدكتور أمين، مثل العديد من الصيادلة، كان يعاني من ضغط إدارة الموردين ونقص المنتجات.

اسحب لتكتشف قصته وكيف تمكن من تحويل صيدليته من مصدر قلق إلى مصدر قوة وفخر بفضل شريك استراتيجي واحد: ORRIVANE. 

 اقرأ القصة كاملة لتعرف كيفاش أوريفان غيرت قواعد اللعبة! 

 #Orrivane #TémoignageClient #SuccessStory #PharmacieAlgérie #Transformation #Inspiration","Slide 1: استخدام صورة ظلية لصيدلي ينظر نحو الأفق. خط أنيق وكبير للسؤال الرئيسي.
Slide 2: صورة بالأبيض والأسود لزيادة الإحساس بالضغط والإرهاق. النص يكون واضح ومباشر.
Slide 3: صورة ملونة ومشرقة. يمكن إضافة اقتباس صغير مثل ""كان علي أن أجد حلاً...""
Slide 4: صورة ملونة بالكامل، تظهر النجاح والثقة. استخدام أيقونات صغيرة لتلخيص النتائج: (+وقت، +تحكم، +أرباح). في النهاية، وضع CTA.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P07-WA","[P07-WA] Image - ماشي غير منتجات... أوريفان تعطيك 'الهيبة' وتخليك ا","Image","ماشي غير منتجات... أوريفان تعطيك 'الهيبة' وتخليك الرقم واحد.","ORRIVANE
تمنحك الميزة التنافسية التي لا تُرى:
الهيبة.","في سوق مزدحم، كيف تتميز؟ 

 التميز لا يأتي فقط من المنتجات التي تبيعها، بل من السمعة التي تبنيها.

عندما تكون الصيدلية الوحيدة التي توفر منتجًا نادرًا، فأنت لا تبيع منتجًا فحسب، بل تبني 'هيبة' ومصداقية تجعلك الوجهة الأولى للعملاء المميزين.

ORRIVANE هي شريكك لبناء هذه الميزة التنافسية. 

 خلي صيدليتك هي الوجهة الأولى للجميع. انضم لأوريفان! 

 #Orrivane #AvantageConcurrentiel #Positionnement #MarqueDeLuxe #PharmaciePremium #Alger","صورة مجردة وأنيقة جداً. يمكن أن تكون قطعة شطرنج (الملك) بلون ذهبي على رقعة شطرنج داكنة، ترمز للتفكير الاستراتيجي والسيطرة. أو صورة لصيدلية بتصميم داخلي فاخر جداً. النص يكون في المنتصف بخط قوي وجريء (Bold). التركيز على الفخامة والقوة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V08-WA","[V08-WA] Video - علاش كاين صيدليات الزبون يدير عليها 'لاشين' وصيدلي","Video","علاش كاين صيدليات الزبون يدير عليها 'لاشين' وصيدليات دايما فارغة؟ السر ماشي في السعر...","السلام عليكم،
لاحظت بلي كاين صيدليات دايما معمرة، والزبون مستعد يستنى دوره... وكاين صيدليات أخرى تبقى فارغة؟
السر ماشي دايما في السعر ولا في الموقع.
السر هو شكون لي عنده 'السلعة المقطوعة'.
شكون لي عنده هذاك البرودوي النادر لي الناس كامل تحوس عليه.
كي تولي معروف بلي عندك واش ما عندش غيرك، الزبون ما يوليش يخمم زوج خطرات.
يولي يجي عندك ديراكت.
تولي أنت هو 'الاختصاصي'.
مع أوريفان، تقدر تكون هذا الاختصاصي.
نوفرولك وصول مباشر لماركات عالمية ومنتجات حصرية، باش تولي صيدليتك هي الوجهة الأولى والأخيرة للزبون.
هذه هي الاستراتيجية.","السر الذي يجعل بعض الصيدليات لا تقاوم. 

 لماذا يقطع بعض العملاء مسافات طويلة للذهاب إلى صيدلية معينة؟

الجواب يكمن في التخصص والتوفر. القدرة على توفير ما لا يستطيع الآخرون توفيره هي أقوى أداة تسويقية لديك.

شاهد هذا الفيديو لتعرف كيف تساعدك ORRIVANE على أن تصبح المتخصص الذي لا يمكن الاستغناء عنه في سوقك. 

 اكتشف كيفاش تقدر تكون الوحيد اللي عندو كلش! زر موقع أوريفان! 

 #Orrivane #StratégieBusiness #SpécialisteMarché #PharmacieAlgérie #ConseilPro #Oran #Constantine","[Host-led Video]

الوجه الإعلامي (Host) يقف في ديكور احترافي (مكتب أنيق أو أمام خلفية بسيطة تحمل شعار ORRIVANE). يتحدث مباشرة إلى الكاميرا بنبرة خبير واثق.
[0-5s] يسأل السؤال الافتتاحي بنظرة مباشرة وتحدي لطيف.
[5-15s] يستخدم لغة الجسد للتأكيد على أفكاره (مثلاً، حركة اليدين لشرح الفرق بين الصيدليتين).
[15-25s] عندما يذكر ""السلعة المقطوعة""، يمكن عرض صور لمنتجات نادرة بشكل سريع على الشاشة (B-roll).
[25-30s] يركز على كلمة ""الاختصاصي"" مع وقفة قصيرة للتأكيد.
[30-38s] يقدم أوريفان كحل، ويمكن عرض واجهة المنصة على شاشة بجانبه.
[38-42s] يختم الفيديو بنظرة ثاقبة و CTA واضح.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C09-WA","[C09-WA] Carousel - تخيل تكون عندك سلعة ما تلقاها حتى عند واحد آخر فال","Carousel","تخيل تكون عندك سلعة ما تلقاها حتى عند واحد آخر فالسوق! هذي ماشي تخيلات...","Slide 1: تخيل تكون عندك سلعة ما تلقاها حتى عند واحد آخر فالسوق! افتح نافذتك على العالم مع أوريفان.
Slide 2: (منتج 1) صورة لمنتج عالمي حصري. النص: ""[اسم الماركة 1]: الحل الأوروبي المبتكر لمشكلة [X]، متوفر الآن حصريًا لك.""
Slide 3: (منتج 2) صورة لمنتج آخر نادر. النص: ""[اسم الماركة 2]: الأكثر مبيعًا في آسيا لـ [Y]، امنحه لزبائنك قبل أي شخص آخر.""
Slide 4: (منتج 3) صورة لمنتج ثالث. النص: ""[اسم الماركة 3]: التركيبة الطبيعية السويسرية التي يبحث عنها الجميع.""
Slide 5: (الميزة) أيقونة لخريطة العالم. النص: ""هذه مجرد عينة! منصتنا تمنحك وصولاً لأكثر من [عدد] ماركة عالمية. كن دائمًا متقدمًا بخطوة.""
Slide 6: (النتيجة) رسم بياني يوضح النمو. النص: ""منتجات حصرية = زبائن أوفياء + سمعة أقوى + أرباح أعلى.""","نافذتك الخاصة على كنوز العالم. 

 لا تدع حدود السوق المحلي تحد من إمكانيات صيدليتك.

مع ORRIVANE، تحصل على وصول حصري إلى مجموعة من المنتجات العالمية التي تميزك عن المنافسة وتجعل من صيدليتك وجهة للباحثين عن الجودة والتميز.

اسحب لاكتشاف بعض الكنوز التي يمكنك توفيرها لعملائك. 

 اسحب لاكتشاف كنوز أوريفان من المنتجات العالمية! 

 #Orrivane #ProduitsExclusifs #International #DermoCosmétique #AvantageConcurrentiel #PharmacieAlgérie","تصميم الكاروسال يجب أن يكون فاخرًا، مثل مجلة راقية.
Slide 1: صورة غامضة ومثيرة للاهتمام، ربما خريطة عالم قديمة أو صندوق كنز مفتوح قليلاً.
Slides 2-4: كل سلايد يركز على منتج واحد. صورة المنتج عالية الجودة على خلفية نظيفة. استخدام أعلام الدول (أوروبا، آسيا، إلخ) لإضفاء الطابع الدولي.
Slide 5: تصميم إنفوجرافيك جذاب. استخدام أرقام كبيرة وواضحة.
Slide 6: استخدام رسم بياني بسيط وفعال. الألوان يجب أن تكون متناسقة مع هوية العلامة التجارية.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P10-WA","[P10-WA] Image - مع أوريفان، صيدليتك تكتسب مصداقية عالمية.","Image","مع أوريفان، صيدليتك تكتسب مصداقية عالمية.","الاحترافية ليست خيارًا.
إنها هويتك الجديدة.
ORRIVANE - شريكك الدولي الموثوق.","سمعتك هي أغلى أصولك. 

 عندما تتعامل مع شريك دولي مثل ORRIVANE، فإنك لا تحصل على منتجات فحسب، بل تكتسب جزءًا من مصداقيته واحترافيته.

هذا ينعكس مباشرة على نظرة عملائك ومنافسيك لك. ارفع مستوى عملك وشراكاتك. 

 ارفع مستوى عملك وشراكاتك. تواصل مع أوريفان! 

 #Orrivane #Professionnalisme #Confiance #PartenaireStratégique #Crédibilité #PharmacieAlgérie","صورة ترمز للشراكة والثقة على مستوى عالمي. مثلاً، مصافحة بين شخصين يرتديان ملابس عمل رسمية، مع خلفية لمكتب عصري وراقٍ جداً. أو صورة لواجهة صيدلية حديثة جداً معلقة عليها لافتة ""شريك معتمد لـ ORRIVANE International"". استخدام ألوان هادئة واحترافية (الأزرق الداكن، الرمادي، الأبيض).","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
