Project Name,Opportunity ID,Opportunity Name,Creative Format,Hooks,scripts,Ad Copy,Technical Directions,Opportunity Owner,Pipeline,Contact Id
"Wayso Project","V01-WA","[V01-WA] Video - -","Video","-","تحليل السوق، بناء الاستراتيجية، وهندسة رحلة العميل.","-","-","Abdellah Chaaban","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V02-WA","[V02-WA] Video - عندك شغف كبير بالطياب، بصح جامي خممت بلي قادر يكون","Video","عندك شغف كبير بالطياب، بصح جامي خممت بلي قادر يكون هو مصدر الدخل تاعك؟","عندك شغف كبير بالطياب، بصح مازال مجرد هواية.
تحس بلي المحتوى لي راك تشوفو في الإنترنت سطحي، وما يعطيكش أسرار المهنة الحقيقية.
الوقت يفوت، وراك تضيع في دراهمك على مكونات غالية بلا ما توصل لنتيجة احترافية.
هذا الإحباط... يخليك تخمم بلي حلمك باش تولي شاف محترف بعيد عليك.
بصح اسمحلي نقولك، المشكل ماشي فيك... المشكل في غياب خارطة طريق واضحة.
في Khalifa Center، فهمنا هذا المشكل مليح.
على بيها بنينا برنامج ما يعطيكش غير وصفات... نعطوك تكوين تقني عميق.
تتعلم فيه أساسيات الطبخ العالمي، تقنيات الشافات الكبار، وكيفاش تبدع في الأطباق تاعك.
والأهم من هذا كامل... ما نخلوكش وحدك.
عندنا كوتش محترف يوقف معاك خطوة بخطوة، يجاوب على أسئلتك، ويوريلك الطريق الصحيح.
هذا الكوتش هو لي راح يبنيلك الثقة في نفسك باش تحول شغفك من الكوزينة لسوق الشغل.
تخايل روحك تخدم أطباق احترافية، والناس معجبة بالخدمة تاعك، وعندك المشروع تاعك الخاص لي يدر عليك أرباح.
هذا ماشي حلم. هذا هو الواقع لي حققوه عشرات الطلاب لي تخرجو من عندنا.
الطريق للاحتراف يبدا بخطوة وحدة. واليوم، فرصتك بين يديك.
اضغط على الرابط لتحت واكتشف البرنامج الكامل لي راح يبدل حياتك المهنية للأبد.","من الكوزينة لسوق الشغل: كيفاش تحوّل شغفك بالطياب لمهنة مربحة؟ 

 راك تحس بلي شغفك بالطياب يستاهل يكون كثر من مجرد هواية؟ تعبت من الوصفات السطحية لي تلقاها في كل بلاصة وبلا فايدة؟

في Khalifa Center، ما نمدولكش غير وصفات، نمدولك خارطة طريق كاملة باش تولي شاف محترف. نجمعو بين التكوين التقني العميق لي يعطيك أسرار المهنة، والكوتشينغ الشخصي لي يبني ثقتك و يوقف معاك حتى تحقق حلمك.

حان الوقت باش تستثمر في نفسك وتطلق العنان لإمكانياتك. 

 اكتشف كيف تحول شغفك لمهنة مربحة. اضغط هنا وشوف برنامجنا الكامل. 

 #طبخ_جزائري #تكوين_مهني #شاف_جزائري #مطبخ_جزائري #khalifacenter #الجزائر #وهران #قسنطينة #ريادة_الأعمال","النمط العام: إخراج سينمائي عالي الجودة مع طابع إنساني. [0-5s] لقطة مقربة على وجه شخص (العميل المثالي) يطبخ في مطبخه بتركيز لكن معالم الإحباط على وجهه بعد فشل طبق. إضاءة طبيعية. حركة كاميرا بطيئة. [5-15s] لقطات سريعة (B-rolls) له وهو يتصفح فيديوهات طبخ على هاتفه، ثم يرمي الطبق الفاشل. موسيقى تصويرية هادئة وحزينة. [15-25s] ظهور الوجه الإعلامي. يتكلم مباشرة للكاميرا بنبرة خبير ومتفهم. إضاءة احترافية. الخلفية هي مطبخ المركز المجهز. [25-45s] لقطات ديناميكية من داخل المركز: طلاب يتدربون، الشاف يصحح لطالب، لقطات مقربة على تقنيات احترافية (تقطيع، تزيين...). ظهور نصوص Motion Graphics توضح: 'تكوين تقني عميق'، 'أسرار المهنة'. [45-60s] التركيز على جلسة كوتشينغ فردية. الشاف يتحدث مع طالب، يرسم له خطة. إظهار الدعم والجانب الإنساني. نبرة الصوت تصبح مشجعة. موسيقى ملهمة تبدأ في التصاعد. [60-75s] لقطات 'بعد': نفس الشخص في بداية الفيديو لكن الآن في بيئة احترافية، سعيد، واثق من نفسه، يقدم طبقاً رائعاً لزبون. لقطات لشهادات نجاح. [75-90s] عودة للوجه الإعلامي مع دعوة واضحة للعمل. يظهر شعار Khalifa Center ورابط الموقع بوضوح على الشاشة.","Islem Ben","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C03-WA","[C03-WA] Carousel - تحذير: المحتوى المجاني للطياب ممكن راه يقتلك في حل","Carousel","تحذير: المحتوى المجاني للطياب ممكن راه يقتلك في حلمك!","Slide 1: ٥ علامات بلي المحتوى المجاني تاع الطياب راه يضيعلك وقتك... ودراهمك.
Slide 2: العلامة 1: أسرار الشاف مخفية! الوصفات دايما ناقصة تفاصيل دقيقة، والأسرار لي دير الفرق... جامي يمدوهالك.
Slide 3: العلامة 2: فوضى المعلومات. تتعلم تقنية اليوم، وغدوة تشوف العكس تاعها. ماكانش منهجية ولا تسلسل منطقي يخليك تتطور صح.
Slide 4: العلامة 3: وين راه المشكل؟ كي تغلط، ماكانش شكون يصححلك ولا يقولك وين راه الخلل. تبقى تعاود في نفس الأخطاء.
Slide 5: الحل؟ تكوين تقني ممنهج مع كوتش يوقف معاك خطوة بخطوة. استثمر في مستقبلك، ماشي في وصفات عشوائية. Khalifa Center هنا باش يوريك الطريق.","راسك وجعك من كثرة الوصفات المجانية بلا فايدة؟ 😥 

 كل يوم فيديو جديد، وصفة جديدة، وتقنية جديدة... وفي الأخير تبقى في نفس المستوى!

المحتوى المجاني يقدر يكون بداية، بصح جامي راح يوصلك للاحتراف الحقيقي. علاش؟ لأنه يفتقد لـ 3 حاجات مهمة: الأسرار المهنية، المنهجية الواضحة، والمتابعة الشخصية.

اسحب باش تعرف العلامات لي تبين بلي راك تضيع في وقتك، واكتشف الحل النهائي لي يخليك شاف محترف. 

 اسحب لفوق باش تشوف الحل لمشكلتك. 

 #تعليم_الطبخ #تطوير_الذات #مشاكل_الطبخ #khalifacenter #نصائح_مطبخية #الجزائر","تصميم غرافيكي احترافي وجذاب. [Slide 1] خلفية داكنة مع عنوان بارز بخط عصري وأيقونة 'تحذير'. [Slide 2-4] كل سلايد يستخدم أيقونة مميزة (قفل، متاهة، علامة استفهام) مع نص واضح وسهل القراءة. استخدام ألوان البراند. [Slide 5] صورة مشرقة لبيئة التعلم في المركز مع شعار Khalifa Center بارز ودعوة واضحة للعمل (زر 'اكتشف المزيد').","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P04-WA","[P04-WA] Image - السر الحقيقي للاحتراف... ماشي في الوصفة.","Image","السر الحقيقي للاحتراف... ماشي في الوصفة.","ماشي غير وصفات، كوتشينغ يوقف معاك خطوة بخطوة حتى تولي محترف حقيقي. في Khalifa Center، ماتبقاش وحدك!","السر ماشي في الوصفة برك، في الكوتش لي يوريك الطريق. 🧭 

 تقدر تحفظ ألف وصفة، بصح الثقة، الإبداع، والقدرة على حل المشاكل في الكوزينة... هادو ما تلقاهمش في كتاب.

هنا تكمن قوة الكوتشينغ في Khalifa Center. حنا ما نعلموكش برك 'واش دير'، نورولك 'كيفاش تفكر' كيما الشاف المحترف. الدعم الشخصي هو لي يدير كل الفرق بين الهاوي والمحترف.

مستعد باش تكتشف القوة المستترة وراء نجاحك؟ 

 تعرف على قوة الكوتشينغ في مسيرتك المهنية. 

 #كوتشينغ #تطوير_مهني #طبخ_احترافي #khalifacenter #النجاح_المهني #الجزائر","صورة عالية الجودة تُظهر مدربًا (كوتش) من Khalifa Center يبتسم وهو يوجه طالبًا بحماس أثناء تطبيق وصفة صعبة. التركيز على التفاعل الإيجابي والثقة. النص 'ماشي غير وصفات...' مكتوب بخط أنيق وواضح فوق الصورة، مع إبراز كلمة 'كوتشينغ'. شعار المركز في زاوية الصورة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V05-WA","[V05-WA] Video - كنت كيما نتا، نتبع الوصفات في التيليفون... شوف الي","Video","كنت كيما نتا، نتبع الوصفات في التيليفون... شوف اليوم وين وصلت!","قبل ما نجي لـ Khalifa Center، كنت نشوف في الطياب مجرد هواية.
نحاول نطبق وصفات من الإنترنت، مرة تنجح، وعشرة لا.
كنت نحس بلي كاين حاجة ناقصة، بصح ماعرفتش وشنو هي.
كي دخلت للمركز، فهمت الفرق بين الطبخ العشوائي والمنهجية الاحترافية.
شوف كيفاش نتعلمو هنا... كلش تطبيقي.
الشاف معانا خطوة بخطوة، يصححلنا، وينصَحنا.
الجو هنا يشجعك باش تمد أفضل ما عندك.
الجسر بين وين كنت... ووين راني حاب نوصل... كان هو Khalifa Center.
اليوم، راني واثق من روحي ومن خدمتي، ونشوف في مستقبلي المهني بوضوح.","تخيل: تولي تطيب كيما الشافات الكبار، ماشي غير تشوف في التيليفون! 😉 

 كلنا بدينا من تم... نحاولوا نقلدوا وصفات نشوفوها، ونتحسروا كي ما تخرجلناش كيما هي.

بصح كاين طريق مختصر للاحتراف! في Khalifa Center، ننقلوك من مرحلة 'المحاولة' لمرحلة 'الإتقان'. كيفاش؟ من خلال بيئة تعليمية تطبيقية 100%، وتوجيه مباشر من شافات محترفين.

ألقي نظرة على كواليس تكويننا وشوف بنفسك كيفاش نصنعوا الفارق. 

 شوف كواليس دورتنا الاحترافية واكتشف الفرق! اضغط هنا. 

 #وراء_الكواليس #تعليم_تطبيقي #مدرسة_طبخ #khalifacenter #جزائريات #dzpower","نمط الفيديو: UGC-like / Behind-the-scenes. تصوير بالهاتف بجودة عالية أو كاميرا DSLR لإعطاء طابع حقيقي وغير مصطنع. [Before] لقطات سريعة لطالب (أو ممثل) في مطبخ منزلي وهو يعاني مع وصفة من الهاتف. [After] لقطات من داخل ورشات Khalifa Center. البيئة نظيفة، احترافية، والطلاب يعملون بحماس. لقطات مقربة على أياديهم وهم يطبقون تقنيات معقدة بنجاح. [Bridge] يتحدث طالب أو الوجه الإعلامي عن 'الجسر' وهو المركز. لقطات سريعة لمقتطفات من شهادات طلاب آخرين. موسيقى تحفيزية خفيفة. يجب أن يكون الفيديو سريع الإيقاع ومليء بالطاقة الإيجابية.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C06-WA","[C06-WA] Carousel - من وصفات عشوائية لـ أطباق فنية... كيفاش؟","Carousel","من وصفات عشوائية لـ أطباق فنية... كيفاش؟","Slide 1: من هاوي متخوف... إلى شاف واثق. رحلة التكوين في Khalifa Center.
Slide 2: قبل: وصفات عشوائية من الإنترنت، نتائج غير مضمونة، وإحساس بالإحباط.
Slide 3: بعد: إتقان التقنيات الأساسية، فهم عميق للمكونات، وثقة كاملة في كل طبق تقدمو.
Slide 4: السر؟ ماشي الموهبة برك. السر هو 'الجسر': تكوين تقني + إرشاد مستمر. هذا هو لي صنع الفارق. مستعد تبني الجسر تاعك؟","كيفاش قدرت نوصل من الطياب كهاوي للاحتراف في وقت قصير؟ 🤔 

 الرحلة من هاوي لشاف محترف تبان طويلة وصعيبة، بصح السر كامل يكمن في وجود خارطة طريق صحيحة.

قبل، كنت نضيع وقتي بين الوصفات العشوائية. اليوم، كل طبق نخدمو مبني على أساس تقني صحيح وثقة كبيرة.

اسحب باش تشوف كيفاش التكوين الصحيح يقدر يغير مسارك 180 درجة ويختصر عليك سنين من المحاولات الفاشلة. 

 اسحب باش تشوف التغيير الحقيقي. 

 #قبل_بعد #تحفيز #قصة_نجاح #تطوير_المهارات #khalifacenter #الجزائر","تصميم مقارنة 'قبل/بعد'. [Slide 1] عنوان قوي مع صورة مقسومة نصفين: نصف يظهر فوضى في المطبخ، والنصف الآخر طبق احترافي. [Slide 2] استخدام أيقونات وكلمات مفتاحية مثل 'عشوائية'، 'إحباط' مع خلفية رمادية. [Slide 3] استخدام كلمات مثل 'إتقان'، 'ثقة' مع خلفية مشرقة وألوان البراند. [Slide 4] صورة رمزية لجسر يربط بين الصورتين، مع إبراز الكلمات 'تكوين تقني + إرشاد مستمر' وشعار المركز مع CTA.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P07-WA","[P07-WA] Image - الخبرة ما تتقراش في الكتب... الخبرة تتسرق من عند أ","Image","الخبرة ما تتقراش في الكتب... الخبرة تتسرق من عند أهلها!","الخبرة ماشي قراية برك، راهي سنين تاع إتقان وممارسة. مدربين Khalifa Center يشاركو معاك أسرار المهنة باش تولي شاف حقيقي.","تكونت على يد أفضل الشافات.. وهذا السر لي لازم تعرفو. 👨‍🍳 

 في عالم الطبخ، كاين فرق كبير بين لي 'يعرف' الوصفة، ولي 'يفهم' أسرارها.

مدربينا في Khalifa Center ما يمدولكش معلومات برك، يشاركو معاك خلاصة سنوات من الخبرة في أكبر المطابخ. تتعلم منهم التقنيات، الحيل، وحتى طريقة التفكير لي تفرق بين الطباخ العادي والشاف المبدع.

كي تتعلم من الخبير، تختصر على روحك الطريق. 

 اكتشف من هم مدربينا وماذا يقدمون لك. 

 #خبرة #مدرب_محترف #شاف #khalifacenter #اسرار_المطبخ #تكوين_الجزائر","صورة بورتريه احترافية للمدرب الرئيسي في المركز. ينظر للكاميرا بثقة وخبرة. يمكن أن يكون في الخلفية مطبخ المركز بشكل غير واضح (Bokeh). النص مكتوب بجانب الصورة بخط فاخر. التركيز على إظهار السلطة والخبرة (Authority).","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V08-WA","[V08-WA] Video - الحقيقة الصادمة: الطياب لي راك تتعلمو باطل... راه ","Video","الحقيقة الصادمة: الطياب لي راك تتعلمو باطل... راه يكلفك غالي!","راك تحسب كي تتعلم من فيديوهات باطل راك درت لافار؟
اسمَحلي نصدمك... راك تخلّص، بصح ماشي بالدراهم.
أولاً، راك تخلص بوقتك. ساعات وساعات تاع بحث وتجريب، بلا نتيجة مضمونة.
ثانياً، راك تخلص بثقتك في روحك. كل ما تفشل وصفة، ثقتك تنقص.
ثالثاً، راك تخلص بالمواد الأولية لي تفسدها في كل مرة.
المحتوى المجاني يخليك تدور في حلقة مفرغة: معلومات سطحية، بلا أساس، وبلا متابعة.
الحل؟ نظام تعليمي متكامل.
في Khalifa Center، نعطوك تكوين تقني عميق، مبني على أسس صحيحة.
مع كوتش يتابعك ويوجهك.
النتيجة؟ توفر على روحك الوقت، تبني ثقتك، وتوصل للاحتراف بطريق مضمون ومدروس.
الاستثمار في تكوين صحيح هو أذكى قرار تاخذو لمستقبلك.","صدقني! الطياب لي تتعلمو باطل ما يوصلكش للاحتراف.. علاش؟ 🤔 

 الوقت، الثقة، والمكونات... هذي هي العملة الحقيقية لي راك تدفعها مقابل المحتوى المجاني المشتت.

بينما التكوين الاحترافي هو استثمار ذكي يرجعلك بأضعاف: يوفر عليك سنوات من التجارب الفاشلة، يبني ثقتك بنفسك، ويفتحلك أبواب سوق الشغل.

في هذا الفيديو، نشرحلك بالدليل علاش النظام التعليمي المدروس في Khalifa Center هو الطريق الوحيد للاحتراف الحقيقي. 

 اكتشف الفرق الحقيقي بين دوراتنا والمحتوى المجاني! اضغط على الرابط. 

 #استثمار_ذكي #تكوين_احترافي #تعلم_الطبخ #khalifacenter #dz #businessdz","فيديو Motion Graphics سريع وديناميكي. [0-10s] مقارنة بصرية: شاشة مقسومة، على اليسار أيقونات فوضوية تمثل 'المحتوى المجاني' (يوتيوب، فيسبوك...)، وعلى اليمين مسار واضح ومنظم يمثل 'Khalifa Center'. [10-30s] ظهور أيقونات ساعة، علامة استفهام، ونقود تتطاير مع نصوص تشرح تكلفة المحتوى المجاني (وقت، ثقة، مال). [30-45s] تظهر أيقونة 'الحل' مع شعار Khalifa Center. تظهر رسوم بيانية بسيطة توضح 'التكوين التقني' و'الكوتشينغ'. [45-60s] الانتقال من رسم بياني فوضوي إلى رسم بياني تصاعدي وناجح. موسيقى حماسية وإيقاع سريع. التعليق الصوتي بنبرة خبير وواثق.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C09-WA","[C09-WA] Carousel - ماشي كامل لي يطيبو ينجحو... السر ماشي في الموهبة!","Carousel","ماشي كامل لي يطيبو ينجحو... السر ماشي في الموهبة!","Slide 1: تكوين الطبخ: سطحي ولا عميق؟ هنا وين راه الفرق كامل.
Slide 2: التكوين السطحي: يركز على 'الكمية'. يعطيك 100 وصفة، بصح ما يعطيكش 'علاش' و'كيفاش'. تبقى مجرد مقلّد.
Slide 3: التكوين العميق: يركز على 'الكيفية'. يعلمك التقنيات الأساسية، فهم الكيمياء تاع الطياب، وكيفاش تبدع وتخترع وصفاتك الخاصة.
Slide 4: دور الكوتشينغ في العمق: الكوتش هو لي يتأكد بلي فهمت الأساس، ويساعدك تطبق وتتجاوز الصعوبات. هو لي يحول المعلومة لمهارة.
Slide 5: الاحتراف ماشي صدفة، الاحتراف هو خطة مبنية على تكوين عميق ومتابعة صحيحة.
Slide 6: في Khalifa Center، نضمنولك العمق والإرشاد لي تحوس عليه. مستعد باش تكون محترف حقيقي؟","علاش كاين لي ينجح في الطبخ و كاين لي يبقى يطيح؟ السر ماشي في الموهبة برك! 

 كاين زوج أنواع تاع التكوين: لي يعطيك سمكة، ولي يعلمك كيفاش تصطاد. واحد يخليك مقلّد، والآخر يخليك مبدع.

التكوين السطحي يركز على الوصفات الجاهزة، أما التكوين العميق فيركز على بناء شاف حقيقي يفهم أسرار المهنة.

اسحب باش تفهم الفرق لي راح يحدد مستقبلك المهني في عالم الطبخ. 

 اسحب لمعرفة التفاصيل. 

 #تكوين_عميق #اساسيات_الطبخ #احتراف #khalifacenter #علم_الطبخ #الجزائر","تصميم غرافيكي يعتمد على المقارنة. [Slide 1] عنوان واضح مع صورة جبل جليدي (iceberg)، الجزء الصغير فوق الماء 'سطحي' والجزء الكبير تحته 'عميق'. [Slide 2-3] استخدام تصميم الجانبين (Side-by-side). جانب بألوان باهتة للتكوين السطحي، وجانب بألوان زاهية للعميق، مع أيقونات توضيحية. [Slide 4] صورة رمزية ليد تساعد يد أخرى على الصعود، لتمثيل الكوتشينغ. [Slide 5-6] تصميم تحفيزي مع اقتباسات قوية وشعار المركز مع CTA واضح.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P10-WA","[P10-WA] Image - كان مجرد حلم... واليوم ولا حقيقة!","Image","كان مجرد حلم... واليوم ولا حقيقة!","من حلم إلى حقيقة! شفنا شحال من طالب بدا معانا شغوف، وخرج من عندنا محترف فاتح مشروعه الخاص. قصص نجاحهم هي فخرنا في Khalifa Center.","حبيت تكون كيفهم؟ قصص نجاح طلابنا تلهمك! ✨ 

 كل قصة نجاح تشوفها اليوم، بدأت بقرار واحد شجاع: قرار الاستثمار في النفس.

طلابنا ماكانوش يملكو غير الشغف، بصح مع التكوين الصحيح والمتابعة المستمرة، قدرو يحولو هذاك الشغف لمشروع ناجح على أرض الواقع.

قصصهم هي أكبر دليل على أن الطريق نحو الاحتراف ممكن وواضح مع Khalifa Center. نتا تاني تقدر تكون قصة النجاح القادمة! 

 شاهد المزيد من قصص نجاح طلابنا. 

 #قصص_نجاح #دليل_اجتماعي #socialproof #khalifacenter #مشروعي_الخاص #ريادة_اعمال_جزائر","صورة مجمعة (Collage). صورة رئيسية في الوسط لخريج من المركز مبتسمًا أمام واجهة مشروعه الصغير (محل حلويات، مطعم صغير..)، وحولها صور صغيرة لأطباق احترافية من صنعه. الألوان دافئة ومشرقة. النص مكتوب بأسلوب قصصي وجذاب. شعار Khalifa Center موجود.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
