Project Name,Opportunity ID,Opportunity Name,Creative Format,Hooks,scripts,Ad Copy,Technical Directions,Opportunity Owner,Pipeline,Contact Id
"Wayso Project","V01-WA","[V01-WA] Video - -","Video","-","تحليل السوق، بناء الاستراتيجية، وهندسة رحلة العميل.","-","-","Abdellah Chaaban","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V02-WA","[V02-WA] Video - هاذي ماشي بياسة... هاذي قنبلة موقوتة في طوموبيلتك.","Video","هاذي ماشي بياسة... هاذي قنبلة موقوتة في طوموبيلتك.","في طريق مالفة... كلش يبان نورمال.
بصح كاين خطر مخبي... قادر يقلب حياتك في ثانية.
قطعة غيار مقلدة.
تبان كيف الأصلية، بسومة أرخس... بصح هي سبة حوادث مميتة، خسارات بالملايين، و قلق ما يخلاصش.
تحسب راك توفر دراهم... و في الحقيقة راك تشري الخطر ليك و لعائلتك.
بصح كاين الحل.
الحل هو الأمان... الحل هو الضمان... الحل هو الأصلي.
حنا ماشي برك نبيعو قطع غيار.
حنا نبيعولك راحة البال.
نضمنولك كل قطعة تخرج من عندنا أصلية 100%، تحمي سيارتك، تحافظ على جيبك على المدى الطويل، والأهم... تحافظ على سلامة لي راهم معاك في الطريق.
ما تزيدش تخمّم في لا بياس، الأصلي عندنا وبضمانو.
شري لراحة بالك وأمان عائلتك، زور موقعنا درك!","🚨 حياتك أغلى من قطعة مقلدة! شوف الخطر لي راه مخبي في سيارتك.

كل يوم، آلاف السائقين في الجزائر يخاطروا بحياتهم وحياة عائلاتهم بلا ماعلابالهم.

السبب؟ قطعة غيار مقلدة تبان 'صفقة مربحة'، بصح هي في الحقيقة قنبلة موقوتة تقدر تكلفك كلش.

✅ حنا في [اسم البراند]، مهمتنا ماشي نبيعولك قطعة غيار... مهمتنا نرجعولك راحة البال.

نقدمولك قطع غيار أصلية 100% وبضمانها، باش تسوق وأنت مهني وواثق.

استثمر في أمانك، ماشي في قلقك.

باش تحمي سيارتك وعائلتك، زور موقعنا واطلب القطع الأصلية الآن!

#قطع_غيار_أصلية #أمان_السيارات #الجزائر #ميكانيكي_سيارات #صيانة_سيارات #الأصلي_يضمنك","[Hybrid Style: Motion Graphics + Storytelling]
[0-3s] مشهد سريع لسيارة تسير بهدوء في طريق جميل، ثم قطع مفاجئ (glitch effect) لصوت فرامل حاد وصورة ضبابية.
[3-8s] لقطة مقربة (Extreme Close-up) لقطعة غيار مقلدة تبدو بالية، مع ظهور نصوص موشن جرافيكس حمراء: 'خطر مميت'، 'خسارة مالية'، 'قلق دائم'.
[8-13s] مشهد يصور سائق متوتر (ممثل) ينظر في مرآة الرؤية الخلفية ويرى عائلته تضحك. (نبرة الصوت: قلقة ومثيرة للشفقة - Agitation).
[13-17s] انتقال سلس. ظهور شعار البراند ببراقة وثقة. (الموسيقى تتغير من متوترة إلى مطمئنة).
[17-25s] لقطات احترافية لقطع غيار أصلية في تغليفها، مع شهادات جودة تظهر كـ Motion Graphics. (نبرة الصوت: واثقة ومطمئنة - Solution).
[25-30s] لقطات لعملاء سعداء: أب يركب مع ابنته، ميكانيكي يسلم مفاتيح بثقة. (تعبير عن راحة البال).
[30-35s] دعوة للعمل واضحة على الشاشة مع رابط الموقع. (نبرة الصوت: مباشرة ومقنعة - CTA).","Islem Ben","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C03-WA","[C03-WA] Carousel - عينك هي الميزان! تعلم تفرق بين لا بياس الأصلية وال","Carousel","عينك هي الميزان! تعلم تفرق بين لا بياس الأصلية والمضروبة في 3 خطوات.","Slide 1: ما تخليش الغش يضحك عليك! 3 علامات تكشفلك قطعة الغيار المقلدة قبل ما تركبها.
Slide 2: العلامة 1: التغليف والعلبة. الأصلي علبته متقونة، فيها علامات أمان (هولوغرام)، والكتابة واضحة. المقلد تغليفه رديء، ألوانه باهتة، وفيه أخطاء إملائية.
Slide 3: العلامة 2: المادة والجودة. الأصلي تحس بثقله وجودة صناعته، مافيهش زوائد (bavures). المقلد خفيف، ملمسه رخيص، وتلقى فيه عيوب تصنيع واضحة.
Slide 4: العلامة 3: الرقم التسلسلي والـ QR Code. الأصلي رقمه محفور بدقة وتقدر تتحقق منه. المقلد رقمه مطبوع بجودة سيئة أو ماعندوش أصلا.
Slide 5: سيارتك أمانة في يدك. اختارلها دايما الأصلي. عندنا تلقى كلش أصلي وبضمان. تواصل معنا.","❌ قبل ما تشري، افتح عينيك مليح! هكذا تفيق للقطعة المقلدة.

السوق معمر بالقطع المقلدة لي تهدد سلامتك وسلامة سيارتك. بصح مع شوية تركيز، تقدر تحمي روحك.

في هذا الكاروسال، عطينالك 3 أسرار بسيطة تخليك خبير في كشف الغش.

اسحب الصور وتعلّم كيفاش تختار صح!

اسحب الصور لليمين واحمِ سيارتك من الخطر!

#قطع_غيار #سيارات_الجزائر #الأصلي_والمقلد #نصائح_ميكانيكية #dzcars #صيانة_السيارة","Slide 1: صورة مقسومة نصفين، نصف لقطعة أصلية لامعة ونصف لقطعة مقلدة صدئة. عنوان كبير وجذاب.
Slide 2: صورتين جنبًا إلى جنب لعلبتين (أصلية ومقلدة)، مع أسهم تشير للفروقات (جودة الطباعة، الهولوغرام).
Slide 3: صورتين مقربة (Macro) لمادة الصنع، دائرة حمراء على عيوب القطعة المقلدة.
Slide 4: صورة مقربة للرقم التسلسلي المحفور بليزر على القطعة الأصلية مقابل رقم مطبوع بشكل سيء.
Slide 5: صورة سيارة حديثة ونظيفة، مع شعار البراند ورقم الهاتف/رابط الموقع بشكل واضح.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P04-WA","[P04-WA] Image - حياتك شحال تسوى؟ الأمان ما عندوش سومة.","Image","حياتك شحال تسوى؟ الأمان ما عندوش سومة.","كي تتعلق بسلامة عائلتك، ماكانش حاجة اسمها 'غالي'.
قطعة غيار أصلية = طريق آمنة وراحة بال.","شحال تسوى راحة بالك؟ سؤال لازم تسقسيه لروحك.

كاين حوايج في الدنيا ما نقدروش نديرولها سومة: ضحكة ولادك، الطمأنينة كي تكون في الطريق، الأمان.

الاستثمار في قطعة غيار أصلية ماشي مجرد حفاظ على السيارة، هو استثمار في أغلى حاجة عندك.

[اسم البراند]: أمانك هو أولويتنا.

أمانك يبدأ من قطعة أصلية. اضغط على الرابط في البايو واكتشف المزيد!

#أمان_العائلة #راحة_البال #سيارتي #الجزائر #dzpower #سلامة_الطرق","صورة مؤثرة عالية الجودة لأب يربط حزام الأمان لابنه في المقعد الخلفي للسيارة، مع ابتسامة مطمئنة. النص مكتوب بخط أنيق وواضح في زاوية من الصورة. شعار البراند في الزاوية المقابلة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V05-WA","[V05-WA] Video - الميكانيكي المحترف يكشفلك 3 أسرار باش ما يخدعك حتى","Video","الميكانيكي المحترف يكشفلك 3 أسرار باش ما يخدعك حتى واحد في لا بياس!","(صوت ميكانيكي محترف، واثق وحقيقي)
السلام عليكم خاوتي، معاكم [اسم الميكانيكي/خبير].
اليوم نكشفلكم 3 أسرار باش تضمن بلي القطعة لي شريتها صح أصلية.
السر الأول: المصدر. عمرك لا تشري من مصدر مجهول. لازم تعرف شكون لي باعلك وعندك وين ترجع.
السر الثاني: اطلب الضمان. لي يبيع الأصلي ما يخافش يضمنلك سلعته. لي يتهرب، اعرف بلي كاين مشكل.
السر الثالث: قارن بعينك. شوف الفيديو لي فات تاعنا، تعلم الفروقات في التغليف، في المادة، وفي التفاصيل الصغيرة.
الخبرة هي لي دير الفرق. وإذا حبيت تقطع الشك باليقين، حنا في [اسم البراند] رانا هنا.
نوفرولك الأصلي بالضمان، وتزيد معاها استشارة فنية باطل.","👨‍🔧 الميكانيكي الصح ينصحك! 3 أسرار ذهبية لشراء قطع الغيار.

ما تخليش قلة الخبرة تطيحك في فخ القطع المقلدة!

تبع نصيحة المحترفين وتعلّم كيفاش تضمن حقك وتحمي سيارتك.

في هذا الفيديو، خبير في الميكانيك يعطيك الزبدة في 3 نقاط أساسية.

عندك أي سؤال؟ رانا هنا باش نجاوبوك.

اتصل بنا الآن لاستشارة مجانية واضمن قطع غيار أصلية 100%!

#نصائح_ميكانيكي #خبراء_السيارات #قطع_غيار_مضمونة #الجزائر #ميكانيك_ديزاد #تعلم_معنا","[Motion Graphics Style]
الفيديو عبارة عن رسوم متحركة بسيطة وأنيقة. يظهر شخصية كرتونية لميكانيكي محترف يتحدث.
[0-5s] ظهور شخصية الميكانيكي مع ظهور السؤال (الهوك) كنص كبير على الشاشة.
[5-12s] أيقونة 'متجر' عليها علامة استفهام، ثم تتحول إلى شعار البراند مع علامة 'صح' خضراء (السر 1).
[12-18s] أيقونة 'شهادة ضمان' تظهر بشكل بارز (السر 2).
[18-25s] شاشة مقسومة تظهر مقارنة بسيطة بين قطعتين (أيقونات) مع عدسة مكبرة (السر 3).
[25-30s] شخصية الميكانيكي تبتسم بثقة بجانب شعار البراند.
[30-35s] رقم الهاتف ورابط الموقع يظهران بشكل واضح مع جملة 'استشارة مجانية'.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C06-WA","[C06-WA] Carousel - ماشي كلام، بالصور! شوف بعينيك الفرق بين الموت والح","Carousel","ماشي كلام، بالصور! شوف بعينيك الفرق بين الموت والحياة.","Slide 1: صور حصرية: قارن بين الأصلي والمقلد بنفسك! الفروقات لي قادرة تنقذ حياتك.
Slide 2: فحمات الفرامل (Plaquettes de frein): شوف الفرق في جودة المادة. الأصلية (يمين) متجانسة وقوية. المقلدة (يسار) تتفتت وفيها شوائب، وقادرة تخونك في لحظة.
Slide 3: فلتر الزيت (Filtre à huile): لاحظ الفرق في دقة الصناعة. الأصلي (يمين) فيه صمام أمان داخلي. المقلد (يسار) مجرد علبة فارغة، تدمر المحرك مع الوقت.
Slide 4: عرفت الفرق؟ درك جا وقت القرار الصح. اختار الأمان، اختار الأصلي. اطلب قطعتك من عندنا وأنت مطمئن.","👀 الصورة بألف كلمة! شوف الفرق الحقيقي بين الأصلي والمقلد.

يقولك 'يشبهلو'، بصح الشيطان يكمن في التفاصيل.

في هذا الكاروسال، جبنالك مقارنات حقيقية بالصور باش تشوف بعينيك علاش القطعة الأصلية أغلى... وعلاش هي لي تضمنلك أمانك.

اسحب الصور وقارن بنفسك.

اسحب لترى التفاصيل الدقيقة التي تحمي سيارتك وحياتك!

#مقارنة_قطع_غيار #جودة_أصلية #صيانة_وقائية #سيارات #dzmecanic #احمي_سيارتك","Slide 1: عنوان قوي على خلفية داكنة مع صورة مقربة جداً ومتباينة لقطعتين.
Slide 2: صور حقيقية عالية الدقة جنبًا إلى جنب. أسهم حمراء تشير إلى الشوائب في القطعة المقلدة، وسهم أخضر يشير إلى جودة الأصلية. مع نصوص توضيحية قصيرة.
Slide 3: نفس تصميم السلايد الثاني، لكن لفلتر الزيت. يمكن استخدام رسم توضيحي (cutaway view) لإظهار الفرق الداخلي.
Slide 4: صورة يد تضغط على زر 'اطلب الآن' على شاشة هاتف، مع ظهور شعار البراند بشكل بارز.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P07-WA","[P07-WA] Image - الرخيس يكلفك غالي... بصح الأصلي يحافظ على جيبك.","Image","الرخيس يكلفك غالي... بصح الأصلي يحافظ على جيبك.","الضمان تاعنا ماشي مجرد ورقة.
هو وعد بالراحة، الأمان، والتوفير على المدى الطويل.","🛡️ الضمان هو لي يدير الفرق بين المخاطرة والاستثمار.

كي تشري قطعة غيار أصلية من عندنا، أنت ما شريتش مجرد حديد.

أنت شريت:
✅ ضمان الجودة.
✅ ضمان الأمان.
✅ ضمان راحة البال.

التوفير الحقيقي هو كي تركب قطعة وتنساها، ماشي تركبها وأنت تخمم وقتاش تخسرك.

ما تخاطرش بمالك وأمانك، اطلب قطعك الأصلية بضمان من موقعنا!

#ضمان_الجودة #استثمار_ذكي #قطع_غيار_مضمونة #الجزائر #ثقة #ميكانيك","تصميم غرافيكي أنيق. في الخلفية، صورة لقطعة غيار أصلية موضوعة بعناية في علبتها. في الأمام، أيقونة 'درع حماية' كبيرة يتوسطها كلمة 'ضمان'. النص مكتوب بخط يعبر عن الثقة. شعار البراند في الأسفل.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V08-WA","[V08-WA] Video - حسبة بسيطة تكشفلك شحال راك تخسر كي تشري الرخيس!","Video","حسبة بسيطة تكشفلك شحال راك تخسر كي تشري الرخيس!","(صوت هادئ ومقنع)
سيناريو 1: شريت قطعة مقلدة بـ 2000 دينار. فرحت بالسومة.
بعد شهرين، خسرت وعاودت بدلتها... 2000 دينار أخرى.
وزادت خسرتلك قطعة أخرى معاها... 5000 دينار.
وزيد ضيعت وقتك... وزيد تقلقت.
المجموع: 9000 دينار وخسارة راحة البال.

سيناريو 2: شريت قطعة أصلية بـ 4000 دينار من عندنا.
ركبتها... ونسيتها.
بعد عام، مازالت تخدم كي اليوم الأول.
المجموع: 4000 دينار وراحة بال ما تتقدرش بثمن.

الحساب واضح. الاستثمار في الأصلي هو التوفير الحقيقي.
احسبها بعقلك، واختار صح.","💰 الرخيص لي يعييك! شوف الحسبة الحقيقية تاع قطع الغيار.

تعتقد أنك توفر المال عند شراء قطعة غيار رخيصة؟ فكر مرة أخرى!

التكاليف الخفية للإصلاحات المتكررة، الوقت الضائع، والقلق المستمر... كلها فاتورة راح تخلصها غالية.

في هذا الفيديو، درنالك حسبة بسيطة توريلك كيفاش الاستثمار في الأصلي يوفر عليك دراهمك على المدى البعيد.

شاهد الفيديو واحكم بنفسك.

استثمر في الأصلي تربح على المدى البعيد. زور موقعنا واختار صح!

#توفير_المال #استثمار_ذكي #حسبة_صح #قطع_غيار #صيانة_سيارات_الجزائر #dz","[Animated/Visual Scenario]
الفيديو عبارة عن Whiteboard Animation أو 2D Motion Graphics.
[0-12s] على اليسار، تظهر شخصية كرتونية حزينة، وتتراكم فوقها أيقونات نقود وعلامات 'ناقص' حمراء مع كل خسارة (2000 + 2000 + 5000).
[12-20s] على اليمين، تظهر شخصية كرتونية سعيدة، تدفع مرة واحدة (4000)، ثم تظهر أيقونات 'وقت'، 'راحة بال' مع علامات 'زائد' خضراء.
[20-25s] الشاشة تنقسم، وتظهر النتائج النهائية للمقارنة بشكل واضح: '9000 دج + قلق' مقابل '4000 دج + راحة بال'.
[25-30s] يظهر شعار البراند مع جملة 'استثمر بذكاء'.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C09-WA","[C09-WA] Carousel - فاتورة القطعة المقلدة فيها أسطر مخفية... اقراها مع","Carousel","فاتورة القطعة المقلدة فيها أسطر مخفية... اقراها معانا.","Slide 1: الحسابات ما تكذبش: التكلفة الحقيقية لقطعة الغيار المقلدة.
Slide 2: مثال: مضخة ماء (Pompe à eau). السعر المقلد: 3000 دج. السعر الأصلي: 6000 دج. (يبان توفير 3000 دج).
Slide 3: بعد 3 أشهر، المقلدة تفسد وتسبب ارتفاع حرارة المحرك. تكلفة الإصلاحات الجديدة: تبديل حزام التوزيع (Chaîne) + تصليح المحرك = 20,000 دج. الخسارة الإجمالية: 3000 + 20000 = 23,000 دج!
Slide 4: القرار قرارك. يا إما تدفع 6000 دج مرة وحدة وتهني راسك، أو تخاطر بخسارة 23,000 دج وقادر تكون أكثر. استثمر بذكاء.","🧾 قبل ما تفرح بسعرها الرخيص، شوف فاتورة الإصلاحات لي تستنى فيك!

التوفير الحقيقي لا يُقاس بسعر الشراء فقط، بل بالتكلفة الإجمالية على المدى الطويل.

قطعة مقلدة رخيصة اليوم، هي سبب فاتورة إصلاحات غالية غدوة.

اسحب الصور وشوف بالأرقام كيفاش تقدر تخسر دراهمك وأنت تحسب روحك رابح.

اسحب لتعرف كيف توفر دراهمك صح وتتجنب التكاليف الخفية!

#اقتصاد #مالية #سيارات #نصائح_مالية #قطع_غيار_الجزائر #dzmoney","تصميم يعتمد على الأرقام والإنفوجرافيك البسيط.
Slide 1: عنوان بارز مع صورة آلة حاسبة وفاتورة.
Slide 2: مقارنة بسيطة بين سعرين، مع إبراز 'التوفير الوهمي' باللون الأحمر.
Slide 3: رسم بياني يوضح التصاعد الكارثي للتكاليف. إبراز المبلغ النهائي للخسارة بلون أحمر فاقع.
Slide 4: دعوة للعمل واضحة، مع شعار البراند ورابط الموقع.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P10-WA","[P10-WA] Image - الأصلي ماشي مصروف، الأصلي استثمار.","Image","الأصلي ماشي مصروف، الأصلي استثمار.","قطعة غيار أصلية ماهيش مصاريف، راهي استثمار في أمانك، في وقتك، وفي قيمة سيارتك.","🧠 غير نظرتك: قطعة الغيار ليست تكلفة، بل أصل من أصولك.

البعض يرى قطعة الغيار كمصروف إضافي. الأذكياء يرونها كاستثمار ضروري يحافظ على قيمة أصل أكبر: سيارتك.

تمامًا مثلما تستثمر في منزلك، استثمر في سيارتك بقطع أصلية تضمن لك الأداء، الأمان، وتحافظ على قيمتها عند إعادة البيع.

[اسم البراند]: شريكك في الاستثمار الذكي.

استثمر بذكاء، اضغط هنا لقطع غيار تدوم وتحافظ على قيمة سيارتك!

#استثمار #قيمة_مضافة #سيارات_فاخرة #الجزائر #صيانة_ذكية #dzbusiness","صورة عالية الجودة لمفتاح سيارة فاخرة وبجانبه قطعة غيار أصلية لامعة موضوعان على طاولة خشبية أنيقة. النص مكتوب بطريقة فخمة. التركيز على مفهوم 'القيمة' و 'الاستثمار'.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
