Project Name,Opportunity ID,Opportunity Name,Creative Format,Hooks,scripts,Ad Copy,Technical Directions,Opportunity Owner,Pipeline,Contact Id
"Wayso Project","V01-WA","[V01-WA] Video - -","Video","-","تحليل السوق، بناء الاستراتيجية، وهندسة رحلة العميل.","-","-","Abdellah Chaaban","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V02-WA","[V02-WA] Video - عييت ما تحوّس على كرواسون تاع الصح؟ هذاك اللي يرجع","Video","عييت ما تحوّس على كرواسون تاع الصح؟ هذاك اللي يرجعلك الروح كل صباح؟","كل صباح، نفس الحكاية... تحوّس على بداية نهار تفتح النفس.
بصح شحال من خطرة تصيب روحك مديڨوتي من كرواسون يابس، ولا حلوى بلا بنّة.
وكي تكون عندك مناسبة عزيزة... الخوف من إنك ما تفرحش ضيافك يكبر.
هاد القلق خلاص.
في Maison Sucre d’Orge، حنا ماشي برك نخدمو الـ Viennoiserie... حنا نضمنولك بنّة كل صباح.
خبرتنا هي مرجعك لي جامي يخيّبك.
كل حبة كرواسون تخرج من عندنا، هي وعد بالجودة، بالطراوة، والذوق الأصيل.
من قهوة الصباح... حتى لأغلى مناسباتك.
نحولولك كل لحظة لتحفة فنية.
كيك ديزاين يخلّي ضيافك مبهورين، و Pâtisserie Fine تخلّد الذكريات.
هادي ماشي مجرد حلوى... هادي هي ثقتك في بلاصتها.
Maison Sucre d’Orge... بنّة كل صباح، والمرجع تاع الصح.","🥇 المرجع تاع الصح للبنّة في الجزائر - Maison Sucre d’Orge 

 تعبت من خيبات الأمل كل صباح؟ تحلم بحلويات تشرّف في مناسباتك؟

في Maison Sucre d’Orge، نقدم لك أكثر من مجرد منتجات... نقدم لك ضمان الجودة اليومية والثقة المطلقة في كل مناسبة.

من الكرواسون المورّق اللي يبدأ يومك صح، إلى كيك أحلامك اللي يخلّد ذكرياتك. اكتشف لماذا نحن المرجع الأول في الـ Viennoiserie والـ Pâtisserie Fine.

شاهد الفيديو واكتشف سرّ البنّة اللي ما تتنساش! 

 📍 زورونا اليوم في [أدخل العنوان هنا] واكتشفوا بنّة الأصالة اللي تستحقوها كل يوم! 

 #MaisonSucreDOrge #باتيسري_الجزائر #حلويات_راقية #كرواسون_جزائري #كيك_ديزاين_الجزائر #الجزائر #Alger #PatisserieAlgerienne","[0-3s] لقطات سينمائية بطيئة (slow-motion) ومغرية جداً: كرواسون ذهبي يُكسر وتظهر طبقاته، بخار يتصاعد من قطعة pain au chocolat، زبدة تُدهن على شريحة brioche. إضاءة دافئة. موسيقى بيانو هادئة وراقية.
[4-8s] لقطة تظهر شخص (من الخلف) يبدو عليه خيبة الأمل وهو ينظر إلى معجنات تبدو غير طازجة في مكان آخر. ثم لقطة سريعة لسيدة تبدو قلقة وهي تخطط لمناسبة. تغيير الموسيقى لنبرة قلقة قليلاً.
[9-10s] شاشة سوداء للحظة ثم ظهور لوغو 'Maison Sucre d’Orge' بأناقة. عودة الموسيقى الراقية بقوة أكبر.
[11-17s] لقطات تظهر الحرفية: أيادي الشيف وهو يعجن، يطوي العجينة المورقة بدقة. لقطات مقربة على مكونات عالية الجودة (زبدة فرنسية، شوكولاتة داكنة). نبرة الصوت هنا (واثقة، مطمئنة).
[18-25s] لقطات متنوعة وسريعة لمختلف أنواع الـ Viennoiserie معروضة بشكل أنيق في المحل. زبائن سعداء يتناولون فطورهم. نبرة الصوت (شغوفة، حيوية).
[26-32s] انتقال سلس لمشاهد صناعة Pâtisserie Fine وكيكات المناسبات. لقطات فنية لتزيين كيكة زفاف، تفاصيل دقيقة. إظهار النتيجة النهائية المبهرة في مناسبة حقيقية. نبرة الصوت (فخورة، راقية).
[33-36s] لقطة ختامية للوجه الإعلامي أو الشيف يبتسم للكاميرا بثقة وهو يحمل صينية من المنتجات الطازجة. نبرة الصوت (حازمة، ودودة).
[37s+] ظهور اللوغو ومعلومات العنوان/رابط الخرائط على الشاشة.","Islem Ben","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C03-WA","[C03-WA] Carousel - حسبالك الكرواسون تاعنا كيما الباقي؟ اسحب وشوف الحك","Carousel","حسبالك الكرواسون تاعنا كيما الباقي؟ اسحب وشوف الحكاية من العجينة للبنّة الأسطورية!","Slide 1: سرّ بنّة الكرواسون الأصيل... ماشي مجرد وصفة، هي رحلة إتقان.
Slide 2: كلشي يبدأ هنا: عجينتنا المورّقة الخاصة، تتخدم باليد وبكل حب باش تضمن الطراوة المثالية.
Slide 3: السر الثاني؟ المكونات. نختارو غير الأفضل: زبدة فرنسية أصيلة تذوب في الفم.
Slide 4: نخبزوها يومياً، كل صباح. وعدنا ليكم هو كرواسون طازج، سخون، ومقرمش من الفرن ليدكم مباشرة.
Slide 5: النتيجة؟ ماشي مجرد كرواسون. هي بداية نهار مثالية. ذوق الفرق بنفسك!","📜 رحلة الكرواسون الأسطوري تاعنا... في 5 خطوات! 

 ما هو السر وراء الكرواسون اللي يخليك تبدأ نهارك بابتسامة؟

إنها ماشي مجرد وصفة، بل هي قصة شغف، دقة، واختيار لأجود المكونات. من العجينة المورقة المصنوعة بحب إلى الخبز اليومي اللي يضمنلك الانتعاش.

اسحب لليمين واكتشف معنا رحلة الإتقان اللي تخلي Maison Sucre d’Orge مرجع البنّة. 

 حاب تذوق النتيجة؟ زورونا الآن واكتشف الطعم الأصيل! 

 #سر_الحرفة #كرواسون_أصيل #MaisonSucreDOrge #صنع_بحب #جودة_عالية #مخبزة_جزائرية #الجزائر","Slide 1: صورة مقربة جداً ومغرية لكرواسون ذهبي مثالي على خلفية داكنة وأنيقة. العنوان بخط فخم (Serif).
Slide 2: صورة عالية الجودة للشيف وهو يعمل على العجينة المورقة، مع إظهار طبقاتها. استخدام أيقونات صغيرة للتوضيح.
Slide 3: لقطة فنية لمكونات عالية الجودة (قالب زبدة عليه علامة فرنسية، شوكولاتة فاخرة). خط عصري وواضح للنص.
Slide 4: صورة للمخبزة من الداخل مع صواني الكرواسون الطازج الخارج من الفرن. جو دافئ وحميمي.
Slide 5: صورة لشخص يستمتع بالكرواسون مع قهوته، مع ابتسامة رضا. وضع CTA بشكل بارز في الأسفل.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P04-WA","[P04-WA] Image - صباحك ما يكملش بلا هاد البنّة. نقطة.","Image","صباحك ما يكملش بلا هاد البنّة. نقطة.","صباح الخير يبدأ بكرواسون حقيقي.","☀️ صباح السعادة الحقيقية. 

 تخيل تبدأ يومك بصوت قرمشة خفيفة، وريحة الزبدة الأصيلة، وبنّة تذوب في فمك...

هذا ماشي حلم، هادي هي بداية اليوم اللي نضمنوهالك في Maison Sucre d’Orge.

لأن لحظات السعادة الصغيرة هي اللي تصنع نهار كبير. 

 ابدأ يومك صح. زورونا لمتعة لا تضاهى! 

 #صباح_الخير #قهوة_وكرواسون #لحظات_السعادة #MaisonSucreDOrge #بداية_مثالية #الجزائر","صورة فوتوغرافية احترافية عالية الجودة. كرواسون ذهبي ومقرمش في المقدمة، بجانبه كوب قهوة أنيق يخرج منه بخار خفيف. الخلفية هادئة وراقية (Minimalist)، ربما طاولة خشبية فاتحة أو رخامية. الإضاءة طبيعية وناعمة تبرز تفاصيل الكرواسون. النص 'صباح الخير يبدأ بكرواسون حقيقي' مكتوب بخط يدوي أنيق في زاوية من الصورة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V05-WA","[V05-WA] Video - كاين فرق بين 'حلوى' و 'تحفة فنية تتاكل'... السر ما","Video","كاين فرق بين 'حلوى' و 'تحفة فنية تتاكل'... السر ماشي فالمكونات برك!","(صوت شغوف وراقي)
وراء كل قطعة فنية... حكاية شغف.
وراء كل نكهة تخطف الأنفاس... سر الإتقان.
في Maison Sucre d’Orge، صناعة الحلويات عندنا ماشي مجرد خدمة... هي فن.
تبدأ الحكاية باختيار دقيق لأجود المكونات من حول العالم.
وتكمل بلمسة أيادي حرفيين، يصنعون كل قطعة بحب ودقة.
لأننا نؤمن أن اللحظات الثمينة... تستاهل مذاق لا يُنسى.
هذا هو شغفنا. هذه هي قصتنا.
وهذه هي التحفة التي نضعها بين يديك.","🎨 فن صناعة المذاق الأصيل - اكتشف قصتنا. 

 هل تساءلت يومًا عن السر وراء الحلويات اللي تبهر الضيوف وتخلق ذكريات ما تتنساش؟

السر يكمن في الشغف، الدقة، والحب الذي نضعه في كل قطعة. في هذا الفيديو، نأخذك في رحلة قصيرة وراء الكواليس لتكتشف كيف نحول المكونات البسيطة إلى تحف فنية.

شاهد قصة شغفنا بالجودة. 

 زورونا لتذوق فنون الطهي الفرنسي الأصيل! 

 #شغف_الحرفة #صناعة_الحلويات #MaisonSucreDOrge #فن_الطبخ #PâtisserieFine #الجزائر","فيديو يعتمد على Motion Graphics واللقطات السينمائية.
[0-5s] تبدأ بعبارات تظهر على الشاشة بخط أنيق مع خلفية موسيقية ملهمة. (وراء كل قطعة فنية...).
[6-12s] لقطات مقربة وسريعة (B-rolls) للمكونات وهي تُسكب وتُخلط (شوكولاتة سائلة، فواكه طازجة، كريمة غنية). رسوم متحركة بسيطة تبرز جودة المكونات.
[13-20s] لقطات مركزة على أيادي الشيف وهي تزين بدقة متناهية قطعة Pâtisserie. استخدام تأثيرات تسريع الوقت (Timelapse) لإظهار عملية التزيين.
[21-25s] عرض سريع لمجموعة من الحلويات النهائية كأنها في معرض فني. إضاءة درامية.
[26-30s] لقطة لزبون يتذوق قطعة بانبهار. ثم ظهور اللوغو مع شعار 'فن المذاق الأصيل'.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C06-WA","[C06-WA] Carousel - كيفاش شوية فرينة وسكر يتحولو لتحفة فنية تخطف القلب","Carousel","كيفاش شوية فرينة وسكر يتحولو لتحفة فنية تخطف القلب قبل العين؟","Slide 1: من الفكرة إلى التحفة: رحلة صناعة الـ Pâtisserie Fine في Maison Sucre d’Orge.
Slide 2: كلشي يبدأ هنا: اختيار دقيق لأجود المكونات العالمية. شوكولاتة بلجيكية، فانيليا مدغشقر، فواكه موسمية طازجة.
Slide 3: لمسة الشيف: هنا يدخل فن الدقة والشغف. كل طبقة، كل نكهة، وكل تزيين يتم بحرفية عالية لخلق توازن مثالي.
Slide 4: النتيجة النهائية: أكثر من مجرد حلوى... هي قطعة فنية تروي قصة، وتحتفل بلحظة، وتخلق ذكرى لا تُنسى.
Slide 5: لحظاتكم المميزة تستاهل الأفضل. خلي Maison Sucre d’Orge يضيف لمسته السحرية لمناسبتكم القادمة.","✨ من مجرد فكرة إلى تحفة فنية تخطف الأنفاس! 

 صناعة الـ Pâtisserie Fine هي فن وعلم. هي رحلة تبدأ من أجود المكونات، تمر بلمسات الشيف الدقيقة، وتنتهي بتحفة تزين لحظاتكم السعيدة.

اسحب لليمين وشاهد معنا كيف تتحول البساطة إلى فخامة في مطابخ Maison Sucre d’Orge. رحلة من الشغف والإتقان في انتظارك. 

 هل لديك مناسبة قريبة؟ اطلب الآن كيكتك أو حلوياتك المصممة خصيصًا لك! 

 #PâtisserieFine #فن_الحلويات #MaisonSucreDOrge #صناعة_يدوية #كيك_ديزاين #حلويات_مناسبات #الجزائر","Slide 1: صورة غلاف مذهلة لقطعة Pâtisserie Fine معقدة وجميلة. العنوان بخط فخم.
Slide 2: تصميم جرافيكي أنيق يعرض صور المكونات الفاخرة مع أسمائها (Collage). استخدام أيقونات للدلالة على الجودة.
Slide 3: فيديو قصير (Reel-style) أو صورة للشيف وهو يقوم بعملية تزيين دقيقة (مثل استخدام الملقط أو كيس الحلواني). التركيز على يديه.
Slide 4: صورة للقطعة النهائية معروضة بشكل فني على طبق راقٍ. إضاءة تبرز جمالها.
Slide 5: صورة لمجموعة من الأشخاص السعداء في مناسبة (عيد ميلاد، حفل) مع وجود حلوياتنا على الطاولة. CTA واضح في الأسفل.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P07-WA","[P07-WA] Image - الجمال هذا يخبي وراه بنّة عالمية... ذوقها باش تآمن","Image","الجمال هذا يخبي وراه بنّة عالمية... ذوقها باش تآمن!","جمال الطعم، رقيّ الشكل.","💎 كل قطعة... تحفة فنية. 

 في Maison Sucre d’Orge، نؤمن أن العين تأكل قبل الفم.

لهذا نصنع كل قطعة حلوى كأنها جوهرة، بتفاصيل دقيقة وشكل يخطف الأنظار. لكن الجمال الحقيقي يكمن في الداخل... في نكهة غنية ومذاق أصيل يجعلك تكتشف الفرق من أول قضمة.

تجربة تجمع بين رقي الشكل وجمال الطعم. 

 شاهدوا مجموعتنا الكاملة من الحلويات الفاخرة لمناسباتكم الخاصة عبر الرابط في البايو. 

 #حلويات_فاخرة #فن_باتيسري #MaisonSucreDOrge #شوكولاته #ديسير #تحلية #pâtisserie_de_luxe #الجزائر","صورة فوتوغرافية بأسلوب 'Product Showcase'. لقطة مقربة جداً (Macro shot) لقطعة Pâtisserie Fine واحدة، مثل 'Éclair' مزين بفخامة أو 'Tartelette' بالفواكه اللامعة. التركيز حاد على التفاصيل الدقيقة (طبقات الكريمة، لمعان الغلاساج). الخلفية بسيطة جداً (ممكن سوداء أو بيضاء) لتسليط كل الضوء على المنتج. الإضاءة احترافية ودرامية. النص مكتوب بخط صغير وأنيق في الأسفل.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V08-WA","[V08-WA] Video - تخيل صباحك يبدأ بهاد المنظر... وبهاد البنّة. مازال","Video","تخيل صباحك يبدأ بهاد المنظر... وبهاد البنّة. مازالك تخمم؟","(صوت تعليق ودود وحماسي، كأنه صديق ينصح صديقه)
واش هو سر السعادة الصباحية؟
ساعات تكون في تفاصيل صغيرة...
كيما كرواسون سخون ومقرمش...
ولا بان أو شوكولا يذوب فالفم.
هادي ماشي مجرد لقطات من الإنترنت.
هادي هي اللحظات اليومية اللي يعيشوها زبائن Maison Sucre d’Orge.
ناس كيما نتا ونتايا، قرروا أن صباحهم يستاهل الأفضل.
واش راك تستنى باش تكون واحد منهم؟
البنّة راهي تستنى فيك.","😍 هكذا يبدأ اليوم عند عائلة Maison Sucre d’Orge! 

 السعادة الحقيقية تكمن في اللحظات البسيطة: قهوة الصباح، قطعة كرواسون طازجة، وابتسامة رضا.

شاهد كيف يستمتع زبائننا الأوفياء بلحظاتهم اليومية معنا. هذه ليست مجرد معجنات، بل هي جرعة من السعادة نخبزها لكم كل صباح.

هل أنت مستعد لتجربة الفرق؟ 

 انضموا لعائلة Maison Sucre d’Orge! زورونا كل صباح لتجربة لا تُنسى. 

 #تجربة_زبون #UGC #سعادة_صباحية #MaisonSucreDOrge #viennoiserie #فطور_الصباح #الجزائر","فيديو قصير وسريع بأسلوب UGC (محتوى من إنشاء المستخدمين) أو يحاكي هذا الأسلوب. 
[0-5s] لقطات مصورة بالهاتف (لكن بجودة عالية) لزبائن وهم يفتحون علبة من Maison Sucre d’Orge، يكسرون الكرواسون، يغمسونه في القهوة. لقطات قريبة وواقعية. موسيقى تريندي وعصرية.
[6-10s] مونتاج سريع لعدة لقطات مختلفة: شخص يأكل في سيارته، عائلة تتقاسم الفطور، موظف يستمتع بقطعة في مكتبه. التركيز على الابتسامات والرضا.
[11-15s] نص متحرك يظهر على الشاشة: 'لحظاتكم اليومية، بلمستنا الخاصة'.
[16-20s] دعوة للعمل واضحة مع لقطة للمحل من الخارج وهو يعج بالزبائن. ظهور اللوغو.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C09-WA","[C09-WA] Carousel - واش لي يخلّي الكرواسون تاعنا هو النيميرو 1؟ اسحب و","Carousel","واش لي يخلّي الكرواسون تاعنا هو النيميرو 1؟ اسحب واكتشف 4 أسباب تخليك مدمن عليه!","Slide 1: علاش صباحك لازم يبدأ من عند Maison Sucre d’Orge؟ 4 أسباب تخلينا اختيارك الأول كل يوم!
Slide 2: 1. طازج 100% كل يوم: نخبزوه على جالكم كل صباح. ماكانش حاجة بايته. ضمان الجودة هو كلمتنا.
Slide 3: 2. مذاق فرنسي أصيل: ماشي مجرد وصفة، هي خبرة سنين وحب للحرفة باش نقدملك البنة تاع الصح.
Slide 4: 3. تنوع يرضي قاع الأذواق: من الكرواسون الكلاسيكي، للبان أو شوكولا، للبريوش... كل يوم تذوق حاجة جديدة.
Slide 5: 4. جرعة سعادة مضمونة: بداية نهار بنينة ومثالية هي أفضل دافع ليك باش تكمل نهارك بالطاقة الإيجابية.
Slide 6: الآن جا دورك. اكتشف الفرق بنفسك وخلي صباحك أحلى معنا!","🤔 لماذا Maison Sucre d’Orge هو اختيارك الأفضل كل صباح؟ 

 الأمر لا يتعلق فقط بالمذاق الرائع، بل بالتجربة الكاملة! من ضمان الانتعاش اليومي إلى الخبرة الفرنسية الأصيلة، هناك أسباب كثيرة تجعلنا وجهتك المفضلة.

جمعنا لك أهم 4 أسباب في هذا الكاروسال.

اسحب لليمين واكتشف لماذا زبائننا يختاروننا كل يوم. 

 هل أنت مقتنع الآن؟ اكتشف قوائمنا الكاملة عبر الرابط في البايو أو تفضل بزيارتنا! 

 #لماذا_نحن #جودة_مضمونة #MaisonSucreDOrge #فطور_مثالي #مخبزة_فرنسية #أسباب_للنجاح #الجزائر","Slide 1: تصميم جرافيكي جذاب مع سؤال كبير ورقم 4 بارز. استخدام ألوان العلامة التجارية.
Slide 2: أيقونة 'تقويم' أو 'شمس' مع صورة لكرواسون طازج. النص واضح ومختصر.
Slide 3: أيقونة 'قبعة الشيف' أو 'برج إيفل' مع صورة مقربة للعجينة المورقة. التركيز على الأصالة.
Slide 4: تصميم 'كولاج' يعرض 3 أو 4 أنواع مختلفة من الـViennoiserie بشكل جذاب.
Slide 5: أيقونة 'بطارية مشحونة' أو 'وجه مبتسم' مع صورة لشخص سعيد.
Slide 6: صورة واضحة لواجهة المحل مع دعوة للعملوزر بارز.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P10-WA","[P10-WA] Image - هاد الابتسامة... سببها حاجة بسيطة وبنينة. تعرفها؟","Image","هاد الابتسامة... سببها حاجة بسيطة وبنينة. تعرفها؟","ابتسامة الصباح تبدأ هنا.","😊 سر الابتسامة الصباحية. 

 أفضل اللحظات في الحياة هي تلك التي نشعر فيها بالرضا والهدوء. لحظة مع نفسك، مع فنجان قهوة، ومع مذاق يجعلك تبتسم.

في Maison Sucre d’Orge، نصنع أكثر من مجرد معجنات، نصنع لحظات سعادة صغيرة تبدأ بها يومك.

لأنك تستحق أن تبدأ كل صباح بابتسامة. 

 امنح نفسك لحظة من السعادة. زورونا اليوم! 

 #ابتسامة_الصباح #لحظات_جميلة #MaisonSucreDOrge #وقت_القهوة #هدوء #جزائرية_ستايل #Alger","صورة بأسلوب حياة (Lifestyle). شخص (رجل أو امرأة) أنيق يجلس قرب نافذة مشمسة، يبتسم ابتسامة عفوية وهو ينظر إلى الخارج. أمامه على الطاولة كوب قهوة وقطعة Viennoiserie من Maison Sucre d’Orge (التركيز على الشخص والجو العام أكثر من المنتج). الجو العام يوحي بالراحة، الهدوء، والرضا. الألوان دافئة وطبيعية. النص مكتوب بخط ناعم ورقيق.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
