Project Name,Opportunity ID,Opportunity Name,Creative Format,Hooks,scripts,Ad Copy,Technical Directions,Opportunity Owner,Pipeline,Contact Id
"Wayso Project","V01-WA","[V01-WA] Video - -","Video","-","تحليل السوق، بناء الاستراتيجية، وهندسة رحلة العميل","-","-","Abdellah Chaaban","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V02-WA","[V02-WA] Video - شحال من مليون رميتو على صوالح شريتهم و من بعد ندمت","Video","شحال من مليون رميتو على صوالح شريتهم و من بعد ندمت عليهم؟","كامل صراتلنا... تعجبك حاجة في الحانوت، تبانلك parfaite.
تتخايلها في دارك... ولا عليك... تقول هذي هي.
تخلص... تديها فرحان... بصح كي توصل للدار... الصدمة.
اللون ماشي كيما تخيلتو... الحجم كبير بزاف... ولا صغير بزاف.
والمشكل لكبير؟ ""السلعة لا ترد ولا تبدل"".
دراهمك راحو... و زدت فوقها قطعة ماعندك مادير بيها.
هذا الإحساس تاع القهرة والندم... يخليك تخاف تشري.
بصح، واش لوكان نقولك بلي هاد الكوشمار خلاص؟
كاين حل يخليك تجرب كلش بعينيك... قبل ما تخرج دورو واحد من جيبك.
هذا هو Vizu.
تطبيق Vizu يخليك تشوف أي منتوج في الواقع ديالك، غير بتليفونك.
عجبك صالون؟ حطو في بيتك وشوفو كيفاش يجي.
حبيت تشوف طابلة؟ قيسها وشوف يلا تكفيك.
حوايج؟ ديكور؟ كلش تقدر تجربه قبل ما تشري.
القوة رجعت في يدك.
جَرَّب بعينيك، واشري وأنت مهني.
تيليشارجي Vizu دروك... وقول باي باي للندم.","🚫 معادش ترمي دراهمك! الحل لمشكل ""السلعة لا تُرد ولا تُبدل"" راه هنا. 

 تعبت من القلق والندم كل ما تشري حاجة؟ تطبيق Vizu جا باش يبدلك طريقة الشراء في دزاير. جرب الأثاث، الملابس، والديكور في دارك ولا في أي بلاصة قبل ما تخرج دراهمك. شوف، قرر، واشري وأنت مرتاح البال. 

 تيليشارجي Vizu دروك و جرب بعينيك قبل ما تشري! 📲 (الرابط في البيو) 

 #Vizu #VizuAlgeria #التسوق_الذكي #الجزائر #تكنولوجيا #واقع_معزز #جرب_قبل_ما_تشري #DzTech #لا_للندم","[بداية الفيديو - إطار PAS]: مشاهد سريعة ومونتاج متقطع لأشخاص محبطين. زاوية كاميرا قريبة على وجه شخص متوتر في محل. يد تحمل منتج وتتردد. لقطة مقرّبة لافتة ""السلعة لا تُرد ولا تُبدل"". موسيقى درامية متوترة.
[الانتقال - إطار StoryBrand]: توقف مفاجئ في الموسيقى. شاشة سوداء لثانية. صوت هادئ ومطمئن يبدأ. إضاءة دافئة ومشرقة. شاب أو شابة تبتسم وهي تمسك هاتفها في غرفة معيشة فارغة.
[عرض الحل - إطار HVC]: لقطات شاشة احترافية لواجهة التطبيق. عرض حي لكيفية وضع أثاث افتراضي في الغرفة. تكبير على تفاصيل المنتج (الأبعاد، اللون). مشاهد متنوعة: سيدة تجرب ديكور، شاب يقيس حجم تلفاز على الحائط. موسيقى ملهمة ومبتكرة.
[النهاية - CTA]: لقطة واسعة للشخص وهو ينظر لغرفته 'المؤثثة' افتراضياً بارتياح. يضغط على زر 'شراء' في التطبيق بثقة. يظهر شعار Vizu بشكل بارز مع أيقونات App Store و Google Play.","Islem Ben","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C03-WA","[C03-WA] Carousel - تشري وأنت خايف؟ هاد المشكل عندو حل في Vizu.","Carousel","تشري وأنت خايف؟ هاد المشكل عندو حل في Vizu.","Slide 1: الكوشمار لي يعيشو كل جزائري: ""السلعة لا تُرد ولا تُبدل"".
Slide 2: فكّر مليح... شحال من مرة خسرت دراهم على حوايج شريتهم و في الأخير ما عجبوكش؟ 10 آلاف؟ 50 ألف؟ مليون؟
Slide 3: ماشي غير خسارة دراهم. الندم، التوتر، والإحساس بالقهرة هوما الثمن الحقيقي لكل قرار شراء غالط.
Slide 4: علاش هاد المشكل منتشر في السوق الجزائري؟ نقص الثقة، صعوبة المقارنة، والخوف من المجهول.
Slide 5: بصح خلاص وقت الخوف. الحل التكنولوجي راه هنا: Vizu. تطبيق يرجعلك الثقة والسيطرة.","تفهم عدوك، تغلبو. افهم المشكل الحقيقي وراء ""السلعة لا تُرد ولا تُبدل"". 

 ماشي نتا لي غالط كي تخاف قبل ما تشري. المشكل أعمق من مجرد قانون في محل. اكتشف في هذا الكاروسال الأبعاد الحقيقية للمعاناة وكيفاش التكنولوجيا تقدر تكون هي الحل النهائي. 

 اسحب لليمين باش تفهم كيفاش Vizu راح يغير كلش! 

 #مشاكل_التسوق #السوق_الجزائري #Vizu_Solution #الجزائر #اقتصاد #حماية_المستهلك #VizuApp #Dz","تصميم إنفوجرافيك بسيط واحترافي. الخلفية بيضاء مع لمسات من لون علامة Vizu.
Slide 1: أيقونة كبيرة لعلامة تعجب (❗️) مع النص بخط عريض.
Slide 2: أيقونة آلة حاسبة مع أوراق نقدية تتطاير. استخدام أرقام بارزة.
Slide 3: رسم بياني بسيط يوضح ارتفاع مستوى التوتر. أيقونات وجوه حزينة أو قلقة.
Slide 4: صورة رمزية لسوق جزائري مع علامات استفهام (؟) فوق رؤوس الناس.
Slide 5: ظهور شعار Vizu بشكل كبير ومشرق. أيقونة درع أو مفتاح كرمز للحل والأمان.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P04-WA","[P04-WA] Image - شكون لي يقرر في بلاصتك كي تجي تشري؟","Image","شكون لي يقرر في بلاصتك كي تجي تشري؟","إلى متى تبقى أسير الخوف والتردد؟
قرار الشراء ديالك. دراهمك. راحتك.
القوة لازم ترجع ليك.","ما تخليش الخوف يقرر في بلاصتك. 

 كل عملية شراء هي قرار مهم. تطبيق Vizu ما يمدلكش غير منتجات، يمدلك القوة باش تاخذ القرار الصحيح وأنت واثق من روحك. استرجع سيطرتك على تجربة التسوق ديالك. 

 أرجع سيد قرارك! حمل تطبيق Vizu. 

 #القوة_للمستهلك #اشري_بثقة #VizuAlgeria #الجزائر #تسوق_بذكاء #قرارك_بيدك #DzPower","تصميم جرافيكي قوي. صورة يد تمسك هاتف ذكي، ومن شاشة الهاتف يخرج شعاع نور يضيء منتجاً (مثل كرسي أو قطعة ملابس). النص مكتوب بخط أنيق وقوي في زاوية التصميم. التركيز على إظهار المستهلك كبطل القصة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V05-WA","[V05-WA] Video - شرات صالون بـ 30 مليون... وكي لحق للدار كانت الكار","Video","شرات صالون بـ 30 مليون... وكي لحق للدار كانت الكارثة!","(شخص يحكي قصته - UGC)
السلام عليكم، حبيت نحكي لكم حكايتي.
كنت فرحان بزاف، راح نبدل صالون داري. لميت دراهمي، ودُرت وشفت... حتى لقيت واحد عجبني بزاف.
في المحل كان يبان هايل، اللون، كلش.
شريتو... وكي جابوه للدار... الكارثة.
جا كبير بزاف على الصالون ديالي، قريب أغلق الطريق كامل.
اللون في ضوء الدار بان مختلف تماماً.
حاولت نرجعو... قالولي ""السلعة لا ترد ولا تبدل"".
خسرت دراهمي، و زدت فوقها صالون غالط في وسط الدار.
حتى واحد النهار، صاحبي ورالي Vizu.
تيليشارجيتها... وما آمنتش.
وليت نقدر نجرب كلش قبل ما نشري. جربت صالونات، طوابل... كلش.
المرة الجاية كي شريت، شريت وأنا مهني 100%.
Vizu صح بدلّي حياتي.","قصة حقيقية: كيفاش خسرت دراهمي في صالون... وكيفاش Vizu رجعهملي! 

 هذه القصة ممكن تكون قصتك. الندم بعد الشراء هو إحساس قاسي. شوف كيفاش تجربة بسيطة مع تطبيق Vizu قدرت تبدل كلش وترجع الثقة والراحة. 

 قصتي مع Vizu تبدلت، قصتك تقدر تتبدل هي تان! تيليشارجي Vizu درك. 

 #قصص_واقعية #UGC #Vizu #الجزائر #تجربة_شراء #حلول_ذكية #DzStory #معاناة_مستهلك","تصوير بأسلوب UGC (محتوى من إنشاء المستخدم) لزيادة المصداقية. كاميرا هاتف ثابتة، صوت واضح. لقطات للشخص وهو يحكي بحرقة. يمكن إدراج صور حقيقية للمشكلة (إن وجدت). عند ذكر Vizu، ينتقل المونتاج ليصبح أكثر احترافية: لقطات شاشة للتطبيق وهو يحل المشكلة، موسيقى تبعث على الأمل. في النهاية، الشخص يبتسم للكاميرا بثقة.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C06-WA","[C06-WA] Carousel - الندم بعد الشراء... كيفاش تقدر تفيتيه؟","Carousel","الندم بعد الشراء... كيفاش تقدر تفيتيه؟","Slide 1: كيف تتجنب الندم بعد الشراء؟ السر في خطوة واحدة بسيطة.
Slide 2: تشري أثاث؟ جربو في دارك قبل ما تدفع سنتيم! شوف الحجم، اللون، وكيفاش يتماشى مع الديكور ديالك... كل هذا بتليفونك مع Vizu.
Slide 3: تحوس على حوايج؟ قيسهم عليك وأنت في بيتك! شوف كيفاش يجيو عليك بلا ما تتنقل ولا تضيع وقتك.
Slide 4: الحل بسيط: جَرَّب، قَرَّر، و اشري. تطبيق Vizu هو عينك الثالثة في عالم التسوق.","ما تخليش الندم يفسد عليك فرحة الشراء! 

 سواء كنت تشري أثاث لدارك ولا لبسة جديدة، قرار الشراء لازم يكون عن قناعة وراحة بال. Vizu يمدلك هذي الراحة. 

 اكتشف كيف يمنحك Vizu راحة البال، حمل التطبيق! 

 #لا_للندم #تسوق_بثقة #أثاث #ملابس #VizuAlgeria #الجزائر #DzFashion #DzHome","تصميم قصصي وجذاب.
Slide 1: خلفية بها علامة استفهام كبيرة وأنيقة، مع النص الرئيسي.
Slide 2: صورة لغرفة معيشة، ونصفها يظهر أثاث حقيقي والنصف الآخر يظهر نفس الأثاث كنموذج ثلاثي الأبعاد من تطبيق Vizu.
Slide 3: صورة شخص ينظر في مرآة، وبجانبه هاتفه يظهر عليه نفس الشخص يرتدي قطعة ملابس افتراضية.
Slide 4: شعار Vizu مع ثلاث أيقونات بسيطة (عين، علامة صح، عربة تسوق).","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P07-WA","[P07-WA] Image - واش هو أهم حاجة في الشراء؟ ماشي السعر، هي الثقة.","Image","واش هو أهم حاجة في الشراء؟ ماشي السعر، هي الثقة.","الثقة هي أساس كل قرار شراء صحيح.","أساس كل علاقة ناجحة؟ الثقة. حتى مع واش تشري. 

 لما تكون واثق، قرارك يكون صحيح. Vizu يبني جسر الثقة بينك وبين المنتج قبل ما تشريه. استثمر في راحة بالك. 

 ابني الثقة مع كل عملية شراء، حمل Vizu اليوم. 

 #الثقة #Vizu #مبدأ #تسوق_واعي #الجزائر #فلسفة_الشراء #DzLife","تصميم راقي وبسيط. خلفية بلون محايد من ألوان العلامة التجارية. النص مكتوب في المنتصف بخط فخم وواضح (Serif). تحت النص، يوضع شعار Vizu بشكل صغير وأنيق. الرسالة هي التركيز على القيمة المعنوية.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V08-WA","[V08-WA] Video - تخيل تجرب أي حاجة قبل ما توصلك للدار... ماشي خيال،","Video","تخيل تجرب أي حاجة قبل ما توصلك للدار... ماشي خيال، هذي تكنولوجيا Vizu!","زمان... كنت لازم تتخايل.
يا ترى هذا الكرسي يجي شباب في صالوني؟
يا ترى هذا اللون يمشي مع الحيط؟
كنت تشري على حساب خيالك... وساعات الخيال يخدع.
اليوم... جا وقت الواقع.
مع Vizu، ما تحتاجش تتخايل.
تحتاج برك تفتح الكاميرا.
بتكنولوجيا الواقع المعزز، Vizu يحطلك أي منتج قدام عينيك، في دارك، في بيروك، وين حبيت.
تشوفو بحجمو الحقيقي، بلونو الحقيقي.
تدور عليه، تقرب منو، تبعد عليه... كي شغل راه صح تما.
هذا هو الجسر بين الخيال والواقع.
هذا هو Vizu.","ماشي سحر، هذي تكنولوجيا الواقع المعزز (AR)! 

 وداعاً لعصر التخمينات! مع تطبيق Vizu، ولات عندك القدرة تشوف المنتج في واقعك قبل ما يكون عندك. اكتشف كيفاش التكنولوجيا تقدر تخلي التسوق أسهل، أمتع، وأكثر ثقة. 

 شوف كيفاش Vizu يرجع الشراء ساهل وممتع. تيليشارجي التطبيق و جرب بنفسك! 

 #MotionGraphics #AR #الواقع_المعزز #تكنولوجيا #Vizu #الجزائر #مستقبل_التسوق #DzTech","فيديو Motion Graphics سريع وجذاب.
[مشهد Before]: رسومات بسيطة باللونين الأبيض والأسود. شخصية كرتونية تفكر ويظهر فوق رأسها فقاعة بها علامة استفهام ومنتجات مرسومة بشكل عشوائي.
[مشهد After]: انتقال لوني إلى ألوان Vizu الزاهية. نفس الشخصية تمسك هاتف وتوجهه، ويظهر المنتج كنموذج 3D ملون وواقعي في الغرفة. خطوط ورسوم متحركة تشرح كيف تعمل التقنية ببساطة. موسيقى عصرية وإيقاع سريع.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C09-WA","[C09-WA] Carousel - جامي خدمت بتطبيق كيما هذا؟ في 3 خطوات تولي محترف!","Carousel","جامي خدمت بتطبيق كيما هذا؟ في 3 خطوات تولي محترف!","Slide 1: كيفاش تخدم بتطبيق Vizu؟ ساهل ماهل في 3 خطوات بسيطة!
Slide 2: الخطوة 1: افتح التطبيق وخير المنتج اللي عجبك من بين آلاف الخيارات.
Slide 3: الخطوة 2: اضغط على زر 'جرب' و وجه الكاميرا للمكان اللي حبيت تحط فيه المنتج.
Slide 4: الخطوة 3: شوف المنتج في واقعك! حركو، بدل لونو، كي يعجبك... قرر واشري وأنت مهني.
Slide 5: Vizu: التكنولوجيا القوية، في متناول يدك!","ما تخافش من التكنولوجيا، Vizu مصمم ليك! 

 نعرفو بلي أي حاجة جديدة ممكن تبان صعيبة، على بيها صممنا Vizu باش يكون أسهل تطبيق تقدر تستعملو. تبع الخطوات وشوف كيفاش تولي خبير في التسوق الذكي في أقل من دقيقة. 

 جرب بنفسك السهولة! حمل Vizu. 

 #Vizu_Tuto #سهل_الاستخدام #تكنولوجيا_بسيطة #دليل #الجزائر #DzApp #كيفية_الاستخدام","كاروسال تعليمي وواضح.
Slide 1: عنوان بارز مع رقم 3 كبير في الخلفية.
Slide 2: لقطة شاشة من التطبيق تظهر معرض المنتجات مع سهم يشير إلى منتج معين.
Slide 3: أيقونة كاميرا كبيرة مع لقطة شاشة تظهر واجهة الكاميرا في التطبيق.
Slide 4: صورة GIF قصيرة أو صورة ثابتة تظهر منتج افتراضي في غرفة حقيقية مع أيقونات للتحريك وتغيير اللون.
Slide 5: شعار Vizu مع slogan ""التقنية في يدك!"" بخط واضح.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P10-WA","[P10-WA] Image - وقتك غالي عليك؟ علاش تضيعو في التسوق؟","Image","وقتك غالي عليك؟ علاش تضيعو في التسوق؟","وقتك أغلى من أنك تضيعه في الشك والتردد.
اشري بذكاء. اشري بسرعة. اشري بثقة.","ماعندكش الوقت للتسوق؟ ماشي لازم تخسر جهدك! 

 التسوق التقليدي يدي بزاف وقت وجهد. بين التنقل، البحث، والمقارنة... يروح نهار. مع Vizu، تقدر تدير كل هذا وأنت في دارك، في دقائق معدودة. 

 وفر وقتك وجهدك مع Vizu، حمل التطبيق الآن! 

 #توفير_الوقت #تسوق_سريع #Vizu #راحة #الجزائر #حياة_أسهل #DzLifeStyle","تصميم جرافيكي يجمع بين مفهوم الوقت والراحة. صورة نصفها ساعة أنيقة والنصف الآخر شخص مسترخي في أريكة يتسوق بهاتفه. النص يوضع بشكل متوازن على التصميم. الألوان هادئة ومريحة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
