Project Name,Opportunity ID,Opportunity Name,Creative Format,Hooks,scripts,Ad Copy,Technical Directions,Opportunity Owner,Pipeline,Contact Id
"Wayso Project","V01-WA","[V01-WA] Video - -","Video","-","تحليل السوق، بناء الاستراتيجية، وهندسة رحلة العميل","-","-","Abdellah Chaaban","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V02-WA","[V02-WA] Video - الشهادة لي معلّقها فالحيط... صح عندها قيمة عالمية؟","Video","الشهادة لي معلّقها فالحيط... صح عندها قيمة عالمية؟","(صوت المتحدث الرسمي: نبرة موثوقة وفخمة)
في عالم ما يعترفش بالحدود... تحالف استراتيجي واحد قادر يغير كلش.
مؤسسة العماد وسندباد الدولية... ماشي مجرد أسماء، هادي بوابة العبور تاعك للعالمية.
بصح، كاين مشكل.
شحال من مرة حسيت بلي مجهودك وشهاداتك المحلية محبوسة هنا؟
تحس روحك في سباق، بصح كأنك تجري في بلاصتك... الركود المهني يخنقك.
هذا الشعور باللي قيمتك الحقيقية ماشي معترف بيها عالميًا... يوجّع.
اليوم، هاد الشي خلاص.
نقدمولك ماشي مجرد تدريب... نقدمولك نظام بيئي متكامل.
أولاً: تدريب دولي معتمد مع خبير التنمية البشرية الدكتور محمد ميمون... باش تكون عندك شهادة تتكلم لغة العالم.
ثانياً: عضوية حصرية في نادي الامتياز الدولي... دائرة مغلقة من 20 قائد وصانع قرار كيفك... هنا وين تتصنع العلاقات والفرص.
ثالثاً: فرصة باش تولي شريك نجاح دولي... وتكون عندك برامج عالمية جاهزة بضمان.
تخيل روحك... من إطار محلي طموح... إلى خبير عندو مكانة دولية وراحة بال مهنية.
هذا هو التحول لي رانا نضمنوهولك.
بصح، المكانة هادي حصرية.
20 مقعد فقط. ماشي واحد فوقهم.
هادي ماشي فرصة تتعوض، هادي دعوة باش تكون من النخبة.
هل أنت مستعد؟","كاين فرق بين 'شهادة' و 'مكانة عالمية'. اكتشف الفرق.

راك تحس بلي مجهودك وشهاداتك قيمتها محصورة محلياً؟ آن الأوان باش تكسر هاد الحدود.

تحالف مؤسسة العماد وسندباد الدولية يقدم لك نظام بيئي متكامل ينقلك للعالمية:

1️⃣ تدريب دولي معتمد مع الخبير د. محمد ميمون.
2️⃣ عضوية حصرية في نادي الامتياز لـ 20 قائد فقط.
3️⃣ فرصة الشراكة كمركز معتمد ببرامج عالمية.

هذا ماشي مجرد تكوين، هذا استثمار في مكانتك الدولية وراحة بالك المهنية.

هادي ماشي فرصة تتعوض! عدد الأماكن محدود بزاف: سجل دركا باش تكون من 20 نخبوي لي حيغيرو مستقبلهم المهني للأبد! (الرابط في البايو)

#مكانة_عالمية #العماد_سندباد #تطوير_مهني #نخبة_الجزائر #ريادة_الأعمال_الجزائر #تدريب_دولي","المشهد 1 (0-5 ثواني): لقطات سينمائية بطيئة لشعار مؤسسة العماد وشعار سندباد الدولية يتحدان في الوسط مع تأثير ضوئي فخم. موسيقى تصويرية ملحمية وهادئة تبدأ في الخلفية.
المشهد 2 (6-15 ثانية): لقطة متوسطة لرجل أعمال (أو سيدة أعمال) في مكتب أنيق، ينظر إلى شهاداته المعلقة على الحائط بتعبير وجه قلق ومتسائل. إضاءة خافتة. ينتقل المشهد لقطات سريعة ومضببة لأشخاص يعملون بجد لكن يبدون مرهقين (رمز للركود).
المشهد 3 (16-35 ثانية): تغيير جذري في الموسيقى لتصبح ملهمة ومحفزة. ظهور رسومات متحركة (Motion Graphics) أنيقة تعرض 3 أيقونات: 'شهادة دولية'، 'مجتمع نخبوي'، 'شراكة عالمية'. مع كل أيقونة، لقطات حقيقية: لقطة للدكتور محمد ميمون في مؤتمر، لقطة لمجموعة صغيرة من المهنيين يتناقشون في اجتماع راقٍ، لقطة لمصافحة بين شريكين.
المشهد 4 (36-45 ثانية): لقطات Before/After. نفس الشخص من المشهد 2، لكن الآن يظهر واثقاً، يتحدث في منصة دولية عبر الفيديو، أو يتواصل مع شركاء أجانب بابتسامة. الإضاءة ساطعة ودافئة.
المشهد 5 (46-النهاية): يظهر النص '20 مقعداً فقط' بحروف كبيرة وواضحة. ثم تظهر الدعوة للعمل (CTA) مع رابط الموقع. نبرة الصوت في النهاية يجب أن تكون حاسمة ومستعجلة.","Islem Ben","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C03-WA","[C03-WA] Carousel - واش معنتها صح تكون 'من النخبة العالمية'؟ الجواب ما","Carousel","واش معنتها صح تكون 'من النخبة العالمية'؟ الجواب ماشي كيما راك تتخيل.","Slide 1: واش معنتها تكون 'من النخبة العالمية'؟
(النظام البيئي المتكامل اللي يضمنلك مكانتك)

Slide 2: أكثر من مجرد شهادة.
تدريب دولي معتمد مع خبير التنمية البشرية د. محمد ميمون. المعرفة اللي عندك تولي معترف بيها في كل مكان.

Slide 3: نادي الامتياز الدولي.
دائرة مغلقة من 20 قائد فقط. هنا وين تتعلم من الأفضل، تبني علاقات استراتيجية، وتوصل لفرص حصرية.

Slide 4: فرصتك كمركز معتمد.
تصبح شريك النجاح الدولي ببرامج جاهزة ومعتمدة. انطلق بقوة وثقة في السوق العالمي.

Slide 5: المستقبل بين يديك.
النظام هذا مصمم باش يمدلك زوج حوايج: مكانة عالمية مستحقة، وراحة بال مهنية دائمة. انضم لينا.","النجاح العالمي ماشي حلم، هو نظام واضح وخطوات مدروسة.

الكثير يعتقد أن العالمية مجرد شهادة، لكن الحقيقة أعمق من ذلك. إنها نظام متكامل يجمع بين:

- المعرفة المعتمدة (تدريب دولي).
- العلاقات القوية (نادي النخبة).
- الفرص التجارية (الشراكة).

اكتشف في هذا الكاروسال كيف يفتح لك تحالف العماد وسندباد الأبواب المغلقة نحو العالمية.

هل أنت مستعد لبناء مكانتك الدولية؟ اضغط على الرابط في البايو واكتشف تفاصيل النظام البيئي المتكامل.

#نظام_متكامل #النخبة_العالمية #تدريب_معتمد #الجزائر #تطوير_ذاتي #ريادة_الأعمال","تصميم الكاروسال يجب أن يكون نخبوياً وفاخراً. استخدام اللون الأزرق الداكن والذهبي.
Slide 1: خلفية داكنة مع العنوان بخط Serif أنيق وكبير. شعاري العماد وسندباد في الأسفل.
Slide 2: صورة احترافية للدكتور محمد ميمون على اليسار، والنص على اليمين. استخدام أيقونة 'شهادة معتمدة'.
Slide 3: صورة لمجموعة صغيرة من المهنيين في اجتماع راقٍ (Stock photo). النص بجانبها مع أيقونة 'مجتمع نخبوي'.
Slide 4: رسم بياني بسيط يوضح فكرة الشراكة أو صورة لمصافحة. النص بجانبه مع أيقونة 'شراكة'.
Slide 5: صورة لشخص ينظر إلى الأفق بثقة. النص في الوسط مع CTA ورابط واضح.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P04-WA","[P04-WA] Image - كاين لي يخلّص على تدريب، وكاين لي يستثمر في مكان م","Image","كاين لي يخلّص على تدريب، وكاين لي يستثمر في مكان مع النخبة.","مكانك الحقيقي ليس مجرد 'تدريب'.
مكانك مع 'النخبة العالمية'.","توقف عن شراء الدورات، وابدأ في الاستثمار في مكانتك.

أي واحد يقدر يحضر تدريب. لكن القلة القليلة فقط هي التي تستثمر في الانتماء لدائرة النخبة العالمية.

تحالف العماد وسندباد لا يبيعك معلومات، بل يمنحك وصولاً إلى نظام بيئي متكامل يضمن لك مكانة دولية مستحقة وراحة بال مهنية. التدريب هو جزء واحد فقط من المعادلة.

تخيل أنك تحقق مكانة دولية مستحقة! انضم لـ 20 رائد أعمال في نادي الامتياز الدولي. المقاعد محدودة جداً. (الرابط في البايو)

#استثمار #النخبة_العالمية #مكانة_دولية #العماد_سندباد #الجزائر #طموح","التصميم: صورة واحدة عالية الجودة. في الخلفية، صورة رمزية مجردة لشبكة عالمية أو قمة جبل. النص يكون في المقدمة بخط فخم وواضح (Sans-serif للسطر الأول، و Serif أنيق لكلمة 'النخبة العالمية'). شعاري العماد وسندباد في زاوية بشكل مصغر وأنيق.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V05-WA","[V05-WA] Video - شكون هو العقل لي يقدر يضمنلك العبور للعالمية؟ ماشي","Video","شكون هو العقل لي يقدر يضمنلك العبور للعالمية؟ ماشي أي واحد.","(صوت المتحدث الرسمي: نبرة واثقة ومباشرة)
كي يتعلق الأمر بمستقبلك المهني... على من تضع ثقتك؟
على وعود فارغة... أو على خبرة معترف بيها عالميًا؟
نقدم لكم الدكتور محمد ميمون، خبير التنمية البشرية وتطوير المؤسسات.
شخصية قيادية، ومؤلف، ومستشار دولي بنى سمعته على النتائج، ماشي الكلام.
ومعاه، تحالف استراتيجي بين مؤسسة العماد الرائدة محليًا، وسندباد الدولية ذات الامتداد العالمي.
هذا التحالف ماشي صدفة.
هو ضمان ليك... ضمان بلي كل دقيقة تستثمرها معانا، هي خطوة مدروسة نحو مكانة عالمية حقيقية.
الثقة ماشي كلمة نقولوها، الثقة هي منظومة نبنيوها.","لماذا تضع ثقتك في تحالف العماد وسندباد الدولي؟

في عالم مليء بالضوضاء، المصداقية هي عملتك الوحيدة.

برنامجنا مبني على أسس صلبة:
- خبرة معترف بها عالميًا للدكتور محمد ميمون.
- قوة مؤسسة العماد في السوق المحلي.
- امتداد سندباد الدولية في الأسواق العالمية.

نحن لا نعدك بالنجاح، بل نمنحك الأدوات والبيئة الموثوقة لتحقيقه.

الثقة ماشي كلمة، الثقة هي فعل. اكتشف برنامجنا المعتمد دولياً مع د. محمد ميمون. زور موقعنا دركا! (الرابط في البايو)

#مصداقية #ثقة #خبير_دولي #محمد_ميمون #العماد_سندباد #الجزائر","الفيديو بالكامل Motion Graphics احترافي.
المشهد 1 (0-5 ثواني): تبدأ الشاشة بسؤال 'على من تضع ثقتك؟' بخط كبير. ثم تظهر كلمتي 'وعود فارغة' وتتلاشى لتحل محلها 'خبرة عالمية' التي تسلط عليها الأضواء.
المشهد 2 (6-15 ثانية): ظهور صورة احترافية للدكتور محمد ميمون مع اسمه ومنصبه. حوله تظهر أيقونات متحركة تمثل إنجازاته (كتب، مؤتمرات, شهادات).
المشهد 3 (16-25 ثانية): يظهر شعار 'مؤسسة العماد' وشعار 'سندباد الدولية' على جانبي الشاشة، ثم يتقاربان ويربط بينهما خط متوهج يرمز للتحالف القوي.
المشهد 4 (26-النهاية): ظهور عبارة 'ضمانك نحو العالمية' في وسط الشاشة، ثم تظهر الـCTA. الموسيقى تكون رسمية وملهمة.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C06-WA","[C06-WA] Carousel - تعرف شكون هي القوة لي واقفة وراء أنجح البرامج التد","Carousel","تعرف شكون هي القوة لي واقفة وراء أنجح البرامج التدريبية العالمية؟","Slide 1: لماذا تختار العماد وسندباد؟
لأن المصداقية هي أساس كل نجاح عالمي.

Slide 2: الشهادة الدولية: ماشي مجرد ورقة.
إنها اعتراف دولي بمجهودك، جواز سفر لفرص أكبر، وإثبات لقيمتك في أي سوق عالمي.

Slide 3: د. محمد ميمون: قائد فكرك نحو العالمية.
استفد مباشرة من خبرة واحد من قادة الفكر في مجاله. معرفة عميقة، وتوجيه استراتيجي يختصر عليك الطريق.

Slide 4: ارفع مستواك المهني.
قوة التحالف بين العماد وسندباد تمنحك الثقة والموارد اللازمة للانطلاق. المصداقية الدولية تبدأ من هنا.","المصداقية لا تُشترى، بل تُبنى. وهذا هو أساس تحالفنا.

قبل أن تستثمر في أي برنامج، اسأل: من يقف وراءه؟

نظامنا البيئي مبني على ركائز قوية تضمن لك راحة البال:
- اعتماد دولي حقيقي.
- خبير معترف به عالميًا.
- تحالف مؤسساتي قوي.

اكتشف في هذا الكاروسال لماذا نحن خيارك الأكثر أمانًا نحو العالمية.

المصداقية هي أساس النجاح. اقرأ المزيد عن اعتمادنا وخبرائنا في موقعنا وشوف بنفسك. (الرابط في البايو)

#بناء_الثقة #مصداقية #خبير_معتمد #تطوير_الذات #الجزائر #العماد_سندباد","تصميم الكاروسال يركز على بناء الثقة. استخدام صور حقيقية عالية الجودة وألوان رسمية.
Slide 1: صورة لمبنى مكاتب حديث أو قاعة اجتماعات فخمة. العنوان في الأعلى.
Slide 2: تصميم جرافيكي أنيق لشهادة دولية معتمدة بجانب النص. استخدام أيقونة الكرة الأرضية.
Slide 3: صورة أخرى للدكتور ميمون وهو يلقي محاضرة أو في نقاش. النص يبرز خبرته.
Slide 4: صورة رمزية للنمو (مثل رسم بياني صاعد). النص والـCTA في الأسفل.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P07-WA","[P07-WA] Image - في عالم الأعمال، الشك عدوّك الأول. استثمر في اليقي","Image","في عالم الأعمال، الشك عدوّك الأول. استثمر في اليقين.","ماعندكش الوقت للشك.
تدريبك لازم يكون بضمان دولي.","التردد يكلّفك أغلى شيء: الوقت.

هل سئمت من الدورات التي تعد بالكثير وتقدم القليل؟ هل تخاف من أن تكون شهادتك بلا قيمة خارج الحدود؟

المشكلة ليست فيك، بل في غياب الضمان.

نحن نقدم لك الحل: نظام بيئي متكامل مبني على اعتماد دولي وخبرة موثوقة. لا مجال للشك، فقط نتائج.

ثق بالخبراء، ثق بالاعتراف الدولي. انضم لبرامجنا المعتمدة وابدأ رحلتك نحو اليقين. (الرابط في البايو)

#يقين #ضمان_دولي #لا_للشك #العماد_سندباد #تطوير_مهني #الجزائر","تصميم بسيط ومباشر يركز على الرسالة. خلفية بلون واحد (أزرق داكن). النص في المنتصف بخط أبيض عريض وواضح. في الأسفل، شعاري العماد وسندباد وبجانبهما عبارة 'تحالف من أجل الثقة'.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V08-WA","[V08-WA] Video - تخيل روحك في غرفة وحدة مع 19 عقل من أقوى العقول في","Video","تخيل روحك في غرفة وحدة مع 19 عقل من أقوى العقول في مجالك... واش ممكن يصير؟","(الوجه الإعلامي يتحدث مباشرة للكاميرا، بنبرة حماسية وشخصية)
سلام عليكم،
علابالكم، كاين مقولة تقول: 'أنت هو متوسط أكثر 5 أشخاص تقضي معهم وقتك'.
تخيل لو هاد الناس ماشي 5... تخيل لو هوما 19 واحد من أقوى الطموحين والقادة في مجالك.
تخيل حجم النقاشات... الأفكار... والفرص اللي ممكن تخرج من غرفة واحدة.
هذا ماشي حلم.
هذا هو الواقع داخل 'نادي الامتياز الدولي'.
مجتمع حصري ومغلق، 20 عضو فقط.
هنا، أنت ماشي مجرد رقم في دورة.
أنت عضو فاعل، صوتك مسموع، وعلاقاتك هي أكبر استثمار ليك.
هنا وين الأفكار الكبيرة تولد، والشراكات القوية تبدأ.
هادي ماشي مجرد عضوية... هادي دعوة لعالم جديد من الفرص.","شبكة علاقاتك هي أثمن أصولك. هل تستثمر فيها بالشكل الصحيح؟

النجاح لا يصنع في عزلة. النجاح هو نتاج بيئة داعمة وعلاقات استراتيجية.

في 'نادي الامتياز الدولي'، نؤمن بقوة المجتمع. لهذا السبب حصرنا العضوية في 20 قائدًا فقط لضمان:
- تفاعل عميق وشخصي.
- نقاشات ذات مستوى عالٍ.
- فرص حقيقية للتعاون والشراكة.

هنا، ستجد البيئة التي تستحقها طموحاتك.

هادي ماشي مجرد عضوية، هادي دعوة لعالم وين فرصك ما تتحصرش. احجز مكانك في نادي الامتياز الدولي وتواصل معنا دركا! (الرابط في البايو)

#مجتمع_النخبة #علاقات_قوية #نادي_الامتياز #شبكة_علاقات #الجزائر #العماد_سندباد","الفيديو يعتمد على الوجه الإعلامي والتواصل المباشر. (UGC Style but professional)
المشهد 1 (0-10 ثواني): لقطة متوسطة للوجه الإعلامي يتحدث بحماس. الخلفية مكتبة أنيقة أو مساحة عمل عصرية. النص 'أنت = متوسط 5 أشخاص حولك' يظهر على الشاشة.
المشهد 2 (11-25 ثانية): تقطيعات سريعة (B-roll) لمجموعة صغيرة من المهنيين (ممثلين) يتفاعلون بحماس في ورشة عمل، يتبادلون بطاقات العمل، ويضحكون. (تصوير بأسلوب سينمائي).
المشهد 3 (26-35 ثانية): يعود الوجه الإعلامي للحديث، مع ظهور نص 'نادي الامتياز الدولي: 20 عضو فقط' بجانبه.
المشهد 4 (36-النهاية): لقطة مقربة على الوجه الإعلامي وهو يطرح السؤال النهائي، ثم تظهر الـCTA. الموسيقى تكون عصرية وملهمة.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C09-WA","[C09-WA] Carousel - شكون هوما الناس لي راهم يصنعوا المستقبل في مجالك؟ ","Carousel","شكون هوما الناس لي راهم يصنعوا المستقبل في مجالك؟ وهل أنت واحد منهم؟","Slide 1: مجتمع النخبة: 20 عضو فقط.
قصص نجاح لا تُعدّ... ومستقبل يُصنع الآن.

Slide 2: امتيازات حصرية.
وصول لمحتوى تدريبي متقدم ولقاءات حصرية مع خبراء دوليين قبل أي شخص آخر.

Slide 3: ورشات عمل مع الخبراء.
اطرح أسئلتك مباشرة واحصل على إجابات مخصصة لتحدياتك. هنا، لا توجد أسئلة غبية.

Slide 4: شبكة علاقات دولية.
فرص عمل، شراكات، ومشاريع لم تكن تحلم بها. دائرتك الصغيرة تصبح بوابة للعالم.

Slide 5: استثمر في علاقاتك.
لأن النجاح ليس وجهة فردية، بل رحلة جماعية. انضم إلى القادة.","ماذا لو كانت علاقاتك المهنية هي أقوى دافع لنجاحك؟

في نادي الامتياز الدولي، العضوية هي أكثر من مجرد بطاقة. إنها مفتاحك ل:

- محتوى حصري يضعك في الطليعة.
- وصول مباشر للخبراء لحل مشاكلك.
- شبكة علاقات دولية تفتح لك الأبواب.

اكتشف الامتيازات التي تنتظر الـ 20 عضوًا القادمين.

ماتخليش الفرصة تفوتك. تعرف على قصص نجاح أعضائنا الحاليين واكتشف كيف يمكنك أن تكون القصة التالية! (الرابط في البايو)

#امتيازات_حصرية #مجتمع_الأعمال #تطوير_القيادة #الجزائر #فرص_عمل","تصميم الكاروسال يعكس الحصرية والديناميكية. استخدام صور لأشخاص ناجحين في بيئات عمل عصرية.
Slide 1: صورة لمجموعة متنوعة من المهنيين الواثقين. العنوان بخط جريء.
Slide 2: تصميم جرافيكي يوضح أيقونة 'مفتاح' أو 'درع VIP' مع قائمة نقطية للمميزات.
Slide 3: صورة لورشة عمل تفاعلية. التركيز على التفاعل بين الخبير والمشاركين.
Slide 4: خريطة عالمية مع نقاط مضيئة وخطوط متصلة ترمز للشبكة الدولية.
Slide 5: صورة ملهمة لفريق عمل يحتفل بنجاح. النص والـCTA في الأسفل.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P10-WA","[P10-WA] Image - إذا كنت تعتقد أنك تستحق مكانًا مع النخبة، فهذا الم","Image","إذا كنت تعتقد أنك تستحق مكانًا مع النخبة، فهذا المكان ينتظرك.","مكانك محفوظ مع النخبة.
إذا كنت مستعدًا للتألق.","البعض يبحث عن فرصة، والنخبة تصنعها.

كنت تعمل بجد في الظل، تطور من مهاراتك، وتنتظر اللحظة المناسبة للانطلاق.

هذه هي اللحظة.

لم تعد وحيدًا في طموحك. نادي الامتياز الدولي يجمع أمثالك: القادة، المبتكرون، وصناع التغيير.

قبل أن تنضم، كنت تعمل بجد. بعد أن تنضم، ستعمل بذكاء وتحقق أهدافك بشكل أسرع.

20 مقعدًا فقط. هل ستترك مكانك فارغًا ليأخذه شخص آخر؟ تواصل معنا الآن للانضمام إلى النخبة. (الرابط في البايو)

#مكانك_محفوظ #النخبة #طموح #الجزائر #قيادة #العماد_سندباد","تصميم أنيق وراقٍ. صورة لمقعد فاخر فارغ (كرسي مدير أو مقعد في قاعة مؤتمرات فخمة) تحت إضاءة مسلطة (Spotlight). النص مكتوب بخط رشيق وأنيق. الرسالة هي أن المكان ينتظر الشخص المناسب.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
