Project Name,Opportunity ID,Opportunity Name,Creative Format,Hooks,scripts,Ad Copy,Technical Directions,Opportunity Owner,Pipeline,Contact Id
"Wayso Project","V01-WA","[V01-WA] Video - -","Video","-","تحليل السوق، بناء الاستراتيجية، وهندسة رحلة العميل","-","-","Abdellah Chaaban","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V02-WA","[V02-WA] Video - شقى عمرك وعلاش يروح في جهاز يفسد في عامو؟ كاين الح","Video","شقى عمرك وعلاش يروح في جهاز يفسد في عامو؟ كاين الحل.","(صوت الراوي، بنبرة هادئة ومتعاطفة)
كل واحد فينا تعب وشقى باش يجهز دارو... باش يوفر الراحة لعائلتو.
بصح واش يصرا كي هذاك الشقى يروح في لحظة؟
(صوت مؤثرات عطل كهربائي مفاجئ)
تخسرلك الماشينة في نص الغسيل... ولا الفريجيدار يحبس في عز السخانة.
ماشي برك الجهاز لي فسد... هذي راحتك لي تفسدت... دراهمك لي ضاعو... وثقتك لي تكسرت.
(توقف قصير، تتغير النبرة إلى واثقة ومطمئنة)
واليوم، قررنا نرجعو الثقة هذي.
قررنا نقدمولك ماشي مجرد جهاز... نقدمولك راحة البال.
نقدمولك [اسم العلامة التجارية].
أجهزتنا ماشي مصنوعة باش تتباع برك... مصنوعة باش 'تشدّ'.
مخدومة بمواد أولية صحيحة... وهندسة داخلية مصممة للصمود.
والأهم... جبنالك ضمان وطني حقيقي.
واش معنتها؟ معنتها فريقنا يلحقك وين ما كنت في 48 ولاية.
ماشي كلام... هذا التزام.
لأننا نآمنو بلي راحتك ماشي اختيار... راحتك هي الصح.
[اسم العلامة التجارية]... الصح اللي يشدّ، مع ضمان يلحقك للدار.","علاش تخلي شقى سنين يضيع في جهاز معيوب؟

نعرفو مليح إحساس الخذلان كي يفسدلك جهاز شريتو بغلاوتو. ماشي برك الدراهم لي راحو، حتى راحة بالك تروح معاهم.

لهذا السبب، في [اسم العلامة التجارية]، مهمتنا ماشي نبيعولك جهاز، مهمتنا نرجعولك الثقة وراحة البال.

✅ أجهزة مصممة باش تعيش وتصبر (الصح اللي يشدّ).
✅ ضمان وطني حقيقي يوصلك وين ما كنت، من العاصمة لتمنراست.

استثمر في راحتك. استثمر في الصح.

أدخل لصفحتنا واكتشف التشكيلة اللي تجيبلك الراحة لدارك!

#أجهزة_كهرومنزلية #جودة_عالية #ضمان_حقيقي #جودة_جزائرية #الجزائر #وهران #قسنطينة #الصح_اللي_يشد","[مشهد 1 - Problem/Before]: لقطات بالأسود والأبيض أو بألوان باهتة. أم في حالة إحباط أمام غسالة متوقفة. أب يفتح ثلاجة لا تعمل بقلق. لقطات مقربة على فواتير تصليح. إضاءة خافتة وموسيقى حزينة.
[مشهد 2 - Agitate]: تسريع اللقطات السابقة مع إضافة مؤثرات صوتية للقلق (دقات ساعة، صوت هاتف يرن دون رد). التركيز على تعابير وجه الإحباط.
[مشهد 3 - Solution/Bridge]: انتقال سلس إلى لقطات ملونة ومشرقة. ظهور شعار البراند ببطء. الوجه الإعلامي يظهر مبتسماً بثقة. لقطات مقربة عالية الجودة على المكونات الداخلية للجهاز (محرك، هيكل معدني). إضاءة دافئة وموسيقى ملهمة.
[مشهد 4 - After]: نفس العائلة السابقة لكنها سعيدة. الأم تستخدم الغسالة بسهولة. الأب يأخذ مشروباً بارداً من الثلاجة. لقطات واسعة للمنزل وهو منظم ومريح. التركيز على شعور 'راحة البال'.
[مشهد 5 - CTA]: عرض تشكيلة من الأجهزة بشكل أنيق. كتابة الشعار على الشاشة بوضوح: 'الصح اللي يشدّ، مع ضمان يلحقك للدار'. كتابة الدعوة للعمل. نبرة الراوي يجب أن تكون قوية وواضحة.","Islem Ben","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C03-WA","[C03-WA] Carousel - السر باش الجهاز 'يشدّ' ماشي فالحديد برك. أرواح تشو","Carousel","السر باش الجهاز 'يشدّ' ماشي فالحديد برك. أرواح تشوف الصح!","Slide 1: وعلاش أجهزتنا 'تشدّ'؟
السر ماشي غير في الحديد!

Slide 2: شحال من مرة حطيت دراهمك في جهاز... وخذالك في وقت قصير؟
الإحساس بالخذلان هذا نعرفوه مليح.

Slide 3: الحل يبدأ من الداخل.
كل قطعة في أجهزتنا مدروسة ومصممة باش تخدم سنين، ماشي شهور. الهندسة تاعنا هي ضمان الموثوقية.

Slide 4: الثقة تتبنى بالفعل، ماشي بالكلام.
ضماننا الوطني الحقيقي هو كلمتنا. فريقنا يلحقك وين ما كنت في الجزائر باش تبقى دايماً مهني.

Slide 5: ما تشريش جهاز... اشري راحة البال.
استثمر في الصح اللي يشدّ. استثمر في [اسم العلامة التجارية].","الجودة عندنا ماشي كلمة، هي التزام من القلب.

في سوق معمر بالعروض، بزاف لي يركزو على السعر وينساو الأهم: الصح اللي يشد.

في هذا الكاروسال، نكشفولك علاش أجهزتنا مختلفة. السر ماشي برك في المظهر، السر في كل قطعة لداخل، وفي التزامنا بضمان حقيقي يلحقك وين ما كنت.

تصفح واكتشف الفرق.

تصفح الآن واعرف المزيد عن التزامنا بالجودة!

#جودة #متانة #ضمان_وطني #ثقة #أجهزة_كهرومنزلية_الجزائر #استثمار_ذكي #راحة_البال","Slide 1: خلفية نظيفة مع عنوان بارز بخط عريض وأنيق. صورة مقربة لجزء لامع من أحد الأجهزة.
Slide 2: صورة غسالة أو ثلاجة قديمة معطلة (يمكن استخدام رسم توضيحي أو أيقونة). استخدام لون داكن أو فلتر باهت للتعبير عن الإحباط.
Slide 3: رسم انفوجرافيك يوضح المكونات الداخلية للجهاز (محرك، هيكل...). التركيز على الجودة والمتانة. استخدام خطوط واضحة وأيقونات تقنية.
Slide 4: خريطة الجزائر مع أيقونات صغيرة تظهر انتشار خدمة الضمان. التركيز على شعور الطمأنينة والثقة.
Slide 5: صورة لعائلة سعيدة في منزلها. الشعار والدعوة للعمل في الأسفل. ألوان دافئة ومشرقة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P04-WA","[P04-WA] Image - الصح اللي يشدّ، مع ضمان يلحقك للدار.","Image","الصح اللي يشدّ، مع ضمان يلحقك للدار.","الصح اللي يشدّ،
مع ضمان يلحقك للدار.","معادلة الراحة بسيطة: جودة تدوم + ضمان يطمّن.

لا تقبل بأنصاف الحلول. استثمر في جهاز يخدمك سنين طويلة، وكن مطمئناً مع ضمان حقيقي يغطيك في كل ولايات الوطن.

[اسم العلامة التجارية]، اختيارك الذكي لراحة بال دائمة.

أجهزة تستاهل ثقتك، تفقدها الآن على صفحتنا!

#جودة_جزائرية #ضمان_الجزائر #أجهزة_منزلية #الصح_اللي_يشد #ثقة_وأمان #تسوق_الجزائر","تصميم بصري قوي ونظيف. صورة عالية الجودة لأحد أفضل منتجات العلامة على خلفية بسيطة وأنيقة. الشعار (النص) مكتوب بخط كبير وواضح يجسد الثقة. شعار العلامة في زاوية بشكل غير مزعج.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V05-WA","[V05-WA] Video - تسكن بعيد على العاصمة وخايف الضمان ما يلحقكش؟ هذي ","Video","تسكن بعيد على العاصمة وخايف الضمان ما يلحقكش؟ هذي الحكاية ليك.","(صوت الراوي، بنبرة صديقة وواثقة)
يقولك 'الضمان'... بصح كي تسحقو، يقولك 'أرواح للعاصمة'.
نعرفو هذا التخوف مليح.
لهذا، حكايتنا في [اسم العلامة التجارية] بدات بفكرة بسيطة: الثقة لازم تكون للجميع.
من تلمسان... لعنابة.
من الجزائر العاصمة... لتمنراست.
بنينا شبكة خدمة وطنية ماشي باش نكونو الأكبر... مي باش نكونو الأقرب ليك.
كي نقولو 'ضمان يلحقك للدار'، رانا نعنيوها.
ما يهمش وين تسكن، فريقنا المتخصص يتنقل ليك.
لأن الثقة ماعندهاش حدود.
[اسم العلامة التجارية]، التزامنا يغطي كل شبر من الجزائر.","ضماننا لا يعرف الحدود. من الشرق للغرب، رانا معاك.

الكثير من العلامات تتكلم عن الضمان، لكن القليل من يلتزم به فعلاً، خاصة في الولايات البعيدة.

في [اسم العلامة التجارية]، بنينا سمعتنا على الثقة. شاهد هذا الفيديو القصير لتعرف كيف نضمن وصول خدمتنا لكل عائلة جزائرية، أينما كانت.

راحتك هي أولويتنا.

تعرف على تفاصيل ضماننا الشامل الذي يجعلك مطمئن البال!

#ضمان_الجزائر #خدمة_وطنية #كل_الولايات #ثقة #راحة_البال #الجزائر_العميقة #جزائري","فيديو Motion Graphics بشكل أساسي. تبدأ الشاشة بخريطة الجزائر، مع ظهور علامة استفهام فوق الولايات البعيدة. تظهر رسائل نصية قصيرة تجسد قلق العملاء. ثم تبدأ سيارة فان صغيرة تحمل شعار البراند بالتحرك من العاصمة وتنتشر فروعها كشبكة تغطي كل الخريطة. استخدام رسومات أنيقة وبسيطة. موسيقى تصويرية تبعث على الأمل والثقة. يمكن دمج لقطات UGC قصيرة جداً (ثانيتين) لعملاء يبتسمون في مناطق مختلفة.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C06-WA","[C06-WA] Carousel - تخيل ضمان يجيك فني للدار في أي ولاية كنت؟ شوف كيفا","Carousel","تخيل ضمان يجيك فني للدار في أي ولاية كنت؟ شوف كيفاش تمشي معانا.","Slide 1: ضمانك معانا ساهل ومباشر.
في 3 خطوات، راحة بالك ترجع مضمونة.

Slide 2: الخطوة 1: عندك مشكلة؟
كلمة وحدة تكفي. اتصل بنا من أي ولاية، وفريقنا ياخذ كل التفاصيل.

Slide 3: الخطوة 2: رانا جايين!
فريقنا التقني المتخصص ينسق معاك موعد ويوصلك حتى لباب الدار.

Slide 4: الخطوة 3: الحل في بلاصتو.
إصلاح سريع وفعّال، أو استبدال فوري إذا لزم الأمر. المهم راحتك ترجع في أسرع وقت.

Slide 5: الثقة ماشي كلمة، هي خدمة.
مع [اسم العلامة التجارية]، ثقتك هي أولويتنا المطلقة.","كيف يعمل ضماننا الوطني؟ العملية أبسط مما تتخيل!

الضمان الحقيقي هو الذي يكون واضحاً وبسيطاً عند الحاجة إليه. نسينا التعقيدات والإجراءات الطويلة.

في هذا الكاروسال، نشرح لك خطوة بخطوة كيف أن راحة بالك مضمونة معنا. من أول اتصال حتى حل المشكلة، رانا معاك.

تصفح الكاروسال وتعرف على العملية التي تضمن لك راحة البال!

#خدمة_العملاء #ضمان_فعال #خطوة_بخطوة #الجزائر #أجهزة_منزلية #دعم_فني #ثقة_العميل","تصميم تعليمي وواضح. كل سلايد يحتوي على أيقونة كبيرة تمثل الخطوة (هاتف، سيارة خدمة، مفك براغي، علامة صح). استخدام أرقام كبيرة وواضحة (1, 2, 3). ألوان هادئة ومريحة للعين. خط سهل القراءة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P07-WA","[P07-WA] Image - ضماننا يغطي كل شبر في دزاير. شوف بعينك.","Image","ضماننا يغطي كل شبر في دزاير. شوف بعينك.","من الشرق للغرب، من الشمال للجنوب،
ضمان [اسم العلامة التجارية] يلحقك وين ما كنت.","لست وحدك، أينما كنت في الجزائر!

لأن كل زبون يستحق نفس الاهتمام، ضماننا لا يستثني أي ولاية. شبكة خدمتنا الوطنية تضمن لك الدعم وراحة البال، سواء كنت في العاصمة أو في أبعد نقطة في الجنوب.

معنا، البعد الجغرافي ليس عائقاً.

أينما كنت، ضماننا معك! اكتشف تشكيلتنا الآن.

#تغطية_وطنية #كل_الجزائر #48ولاية #ضمان #خدمة_مميزة #جزائري_وأفتخر","التصميم عبارة عن خريطة أنيقة للجزائر. كل ولاية عليها علامة 'Pin' أو نقطة مضيئة، لتوضيح أن التغطية شاملة 100%. استخدام ألوان العلامة التجارية. النص مكتوب في الأعلى أو الأسفل بشكل واضح.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V08-WA","[V08-WA] Video - شحال من خطرة جهاز يخذلاك في الوقت لي تسحقو فيه صح؟","Video","شحال من خطرة جهاز يخذلاك في الوقت لي تسحقو فيه صح؟ هذا الفيديو ليك.","(مشهد أم تحضر لضيوف، فجأة يتوقف الخلاط. صوت صمت محرج)
(مشهد أب يريد مشاهدة مباراة مهمة، التلفاز لا يعمل)
(صوت الراوي، بنبرة متفهمة)
الأعطال المفاجئة... دايماً تجي في وقت غلط.
تفسدلك نهارك، تزيد عليك الستراس، وتخليك حاير.
(توقف قصير، ثم نبرة حاسمة)
حان الوقت باش تتخلص من هذا القلق.
مع أجهزة [اسم العلامة التجارية]، القصة تتبدل.
(انتقال سريع لنفس المشاهد، لكن الأجهزة تعمل بشكل مثالي والناس سعداء)
جودة يمكنك الاعتماد عليها... في كل وقت.
باش تركز على المهم... حياتك.","لا تدع عطلاً مفاجئاً يفسد يومك!

نعلم أن الحياة مليئة بالمفاجآت، لكن جهازك الكهرومنزلي لا يجب أن يكون واحداً منها!

شاهد كيف أن اختيار الجودة والموثوقية من [اسم العلامة التجارية] يمنحك راحة البال التي تستحقها، لتستمتع بلحظاتك المهمة دون قلق.

تخلص من قلق الأعطال المفاجئة: شوف حلنا اليوم!

#مشاكل_يومية #حلول_ذكية #راحة_البال #جودة_تستحق_الثقة #الجزائر #حياة_أسهل","فيديو بأسلوب UGC (محتوى من إنشاء المستخدم) أو مصور بشكل واقعي جداً. الجزء الأول (Problem) مصور بكاميرا مهتزة قليلاً، مع إضاءة عادية. الجزء الثاني (Solution) مصور بثبات، مع إضاءة أفضل وألوان أزهى. استخدام مؤثرات صوتية كوميدية خفيفة عند حدوث العطل. الموسيقى تنتقل من متوترة إلى مريحة. الفيديو قصير جداً ومباشر (15-20 ثانية).","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C09-WA","[C09-WA] Carousel - الغسالة تفسد نهار العيد؟ والفريجيدار في الصيف؟ هذي","Carousel","الغسالة تفسد نهار العيد؟ والفريجيدار في الصيف؟ هذي الحكايات لازم تخلاص!","Slide 1: وداعاً لمشاكل الأجهزة لي تجي بلا ما تعرض!

Slide 2: المشكل #1: ""الغسالة حبست في نص غسيل العيد!""
سيناريو محبط يفسد فرحة العائلة. السبب؟ محرك ضعيف ومكونات رديئة.

Slide 3: المشكل #2: ""الثلاجة ما بقاتش تبرد في عز السخانة!""
كارثة حقيقية تهدد أكل الدار. السبب؟ نظام تبريد غير فعال ومعرض للأعطال.

Slide 4: الحل: هندسة ضد المفاجآت.
أجهزتنا مصممة بمحركات قوية وأنظمة تبريد معززة لتجنب هذه المشاكل من الأساس. الجودة هي الوقاية.

Slide 5: اختر الصح، وريح بالك.
مع [اسم العلامة التجارية]، هذه المشاكل تصبح من الماضي. استثمر في راحة بالك.","هل مللت من الأعطال التي تحدث في أسوأ الأوقات؟

كلنا مررنا بهذه التجربة المحبطة. لكن هل تعلم أن معظم هذه المشاكل يمكن تجنبها منذ البداية؟

تصفح هذا الكاروسال لتعرف كيف أن أجهزتنا مصممة خصيصاً لتفادي هذه الأعطال الشائعة، مما يضمن لك راحة بال دائمة.

تصفح لتعرف كيف تضمن راحة بالك وتتجنب المشاكل!

#أعطال_منزلية #جودة_أولا #هندسة_ذكية #حلول_عملية #استثمار_آمن #الجزائر","تصميم يعتمد على المقارنة. السلايد 2 و 3 يستخدمان أيقونات ورسومات تعبر عن المشكلة بألوان قاتمة (أحمر، رمادي). السلايد 4 يستخدم رسماً توضيحياً للمكونات القوية بألوان زاهية (أخضر، أزرق). السلايد الأخير يجمع كل شيء بصورة منتج نظيفة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P10-WA","[P10-WA] Image - وداعاً للأعطال المتكررة. مرحباً براحة البال الدائم","Image","وداعاً للأعطال المتكررة. مرحباً براحة البال الدائمة.","لا مزيد من الأعطال المفاجئة.","تخيل حياة بدون قلق من أعطال الأجهزة.

هذا ليس حلماً. هذا هو وعدنا في [اسم العلامة التجارية]. بفضل الجودة الفائقة في كل جزء، يمكنك الاعتماد على أجهزتنا لسنوات طويلة.

استثمر مرة واحدة، وارتاح لسنوات.

اكتشف أجهزتنا التي لا تخذلك أبداً!

#بدون_أعطال #موثوقية #جودة_عالية #راحة_البال #استثمار #الجزائر","تصميم بسيط وجريء. النص مكتوب بخط كبير وواثق على خلفية بلون واحد من ألوان العلامة التجارية. يمكن وضع صورة ظلية (silhouette) لجهاز في الخلفية بشكل خفيف. الرسالة مباشرة وقوية.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
