Project Name,Opportunity ID,Opportunity Name,Creative Format,Hooks,scripts,Ad Copy,Technical Directions,Opportunity Owner,Pipeline,Contact Id
"Wayso Project","V01-WA","[V01-WA] Video - -","Video","-","تحليل السوق، بناء الاستراتيجية، وهندسة رحلة العميل","-","-","Abdellah Chaaban","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V02-WA","[V02-WA] Video - تحسب روحك تربح 200 ألف في كوموند، ومبعد تخسر 400 أ","Video","تحسب روحك تربح 200 ألف في كوموند، ومبعد تخسر 400 ألف كي ترجعلك. هاد الحساب شفتو من قبل؟","كل يوم، تعاود نفس الحكاية.
تخدم على الإعلانات، تجيب مبيعات، وتفرح...
ومبعد تبدا المعاناة.
تليفونات ما يرفدوش... الزبون يبدل رأيو... والليفرور يقولك ""ما لقيتوش"".
وفي آخر النهار، الكوموند ترجع.
الخسارة ماشي غير في التوصيل... راك خسرت حق الإعلان، وقتك، والطاقة تاعك.
والأهم، خسرت الثقة تاع الناس فيك.
بصح كاين طريقة مختلفة.
طريقة وين كل كوموند تخرج، تكون شبه متأكد باللي راح توصل.
وين فريق مختص هو اللي يتكفل بكل التفاصيل الصغيرة، من أول مكالمة تأكيد حتى لآخر لحظة قبل التسليم.
نظام مبني على التجربة، ماشي على الصدفة.
هذا هو الفرق بين بيزنس يعاني وبيزنس ينمو وهو مرتاح.","🚨 أكبر تسريب لأرباحك راهو يصرى قدام عينيك كل يوم!

ماشي المبيعات القليلة هي اللي تقتل البيزنس تاعك، ولكن ""المرتجعات"" هي الخنجر الصامت. كل كوموند ترجعلك هي خسارة مضاعفة: خسارة ثمن الإعلان وخسارة ثقة الزبون.

وكالة Wayso تقدم لك النظام المتكامل لتأكيد ومتابعة الطلبات، مصمم خصيصاً باش يحبس هذا النزيف. حنا ماشي مجرد مركز اتصالات، حنا شركاء نجاحك اللي يضمنولك راحة البال وأعلى نسبة تسليم ممكنة.

اكتشف كيفاش نظامنا يقدر يرجعلك راحتك وأرباحك. شوف التفاصيل في الرابط الموجود في البايو.

#تجارة_الكترونية_الجزائر #ديزاد_كوميرس #التسويق_الالكتروني #حلول_لوجستية #ريادة_الأعمال_الجزائر #algeria_ecommerce","المشهد 1 (Pain): لقطات سريعة ومقلقة. صاحب متجر يشد راسو، يشوف في إشعارات فيسبوك آدس الحمراء. لقطة لمنتج مرجع فوق المكتب. صوت رنة هاتف لا يرد عليه أحد. إضاءة خافتة وظلال قوية.
المشهد 2 (Agitation): لقطات Motion Graphics تظهر سهم أخضر (أرباح) يتحول إلى سهمين حمر (خسارة المنتج + خسارة الإعلان). عبارات تظهر على الشاشة: ""وقت ضائع""، ""سمعة متضررة""، ""قلق مستمر"".
المشهد 3 (Solution/Guide): انتقال سلس إلى جو هادئ ومحترف. لقطات لفريق يعمل في مكتب منظم وهادئ، يجرون مكالمات بثقة. شاشة كمبيوتر تظهر داشبورد فيها الطلبات وحالتها (مؤكد، قيد التسليم، تم التسليم). إضاءة ساطعة ونظيفة. النبرة الصوتية تتحول من درامية إلى واثقة وهادئة.","Islem Ben","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C03-WA","[C03-WA] Carousel - تبيع بـ10 ملاين وتفرح... بصح شحال بقالك ربح صح؟ ال","Carousel","تبيع بـ10 ملاين وتفرح... بصح شحال بقالك ربح صح؟ السر ماشي في البيع، السر في هاذ الكلمة.","Slide 1: 5 خطوات يتبعها نظام Wayso باش نضمنولك كل كوموند توصل!
Slide 2: 1. التحقق المزدوج: مكالماتنا ماشي غير تأكيد، هي استبيان ذكي يفهم نية الزبون الحقيقية ويضمن جديته قبل ما السلعة تخرج.
Slide 3: 2. تتبع لحظي: من لحظة خروج الطلبية، نتبعوها خطوة بخطوة ونتواصلو مع شركة التوصيل باش نضمنو كلش يمشي بسلاسة.
Slide 4: 3. إدارة الاستثناءات: الزبون مايردش؟ الليفرور ضيع العنوان؟ فريقنا يتعامل مع أي مشكل قبل ما يتحول إلى 'مرتجع'.
Slide 5: 4. تقرير مفصل وشفاف: في نهاية كل عملية، يوصلك تقرير واضح فيه كل تفاصيل التوصيل. الشفافية هي أساس الثقة.","ما تخليش الربح يهربلك بين يديك بعد ما تبيع!

البيع هو نصف الطريق برك. النصف الثاني والأهم هو ضمان وصول المنتج للزبون. بزاف تجار يخسرو دراهمهم في هذه المرحلة الحاسمة.

في هذا الكاروسال، نكشفلك على 5 خطوات عملية يطبقها نظامنا في Wayso باش نحميو أرباحك ونضمنولك أعلى نسبة تسليم في السوق. اسحب لليسار واكتشف الفرق.

اقرا باش تفهم كيفاش كل كوموند توصل سالم. وخلينا تعليق نقولولك على تفاصيل أكثر.

#توصيل_الجزائر #تجارة_الكترونية #call_center_dz #ecom_dz #ادارة_المتاجر #زيادة_الارباح","استخدم هوية بصرية نظيفة ومحترفة لـ Alloui. كل سلايد بخلفية بيضاء أو رمادية فاتحة. 
Slide 1: عنوان كبير وجذاب مع أيقونة درع أو علامة صح (✓). 
Slides 2-5: كل سلايد يبدأ برقم الخطوة وأيقونة خاصة بها (مثلاً: سماعة هاتف، خريطة GPS، علامة تعجب، ملف تقرير). النص يكون مقروء وسهل الهضم. يمكن إضافة شعار Wayso في زاوية كل سلايد.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P04-WA","[P04-WA] Image - كل ساعة تضيعها في التليفون مع ليفرور هي مليون سنتي","Image","كل ساعة تضيعها في التليفون مع ليفرور هي مليون سنتيم كان قادر يدخل من إعلان جديد. المعادلة بسيطة.","وقتك = دراهم.
علاش تضيعو في متابعة التوصيل؟
ركّز في البيع، وحنا نضمنولك التوصيل.","وقتك أغلى من أن تضيعه في المشاكل اليومية للتوصيل!

صاحب البيزنس الناجح هو اللي يعرف قيمة وقتو. بدلاً من تضييع ساعات في حل مشاكل شركات التوصيل والزبائن المترددين، استثمر هذا الوقت في تطوير منتجاتك وتحسين تسويقك.

فريق Wayso هنا باش يحررلك وقتك. حنا نتكفلو بالجزء المعقد والممل، وأنت تركز على الحاجة اللي تعرف ديرها: تنمية البيزنس تاعك.

خلينا نتهلاو في التوصيل، وانت ركز على نمو البيزنس تاعك. اضغط على الرابط في البايو واكتشف الحل.

#وقتك_ثمين #ريادة_الأعمال #ادارة_الوقت #ecom_algerie #business_dz #النجاح_المالي","تصميم بصري قوي ومباشر. يمكن استخدام صورة مقسومة: على اليمين، صاحب متجر شاد راسو وهو في مكالمة هاتفية مع خلفية فوضوية. على اليسار، نفس الشخص يبتسم وهو يشاهد أرقام مبيعاته ترتفع على شاشة لابتوب. النص المكتوب يكون كبير وواضح في المنتصف.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V05-WA","[V05-WA] Video - كاين 3 غلطات بسيطة، بالاك راك دير فيهم كل يوم، هوم","Video","كاين 3 غلطات بسيطة، بالاك راك دير فيهم كل يوم، هوما سبة 80% من الكوموندات لي ترجعلك.","راك تعاني من المرتجعات؟ أرواح نقولك على أكبر 3 أخطاء تقتل نسبة التسليم عندك.
الغلطة الأولى: التأكيد السريع. تليفون تاع 10 ثواني ""السلام عليكم، عندك كوموند، صح؟"" هذا مايكفيش. الزبون يقدر يقولك إيه وهو ماشي جاد.
الغلطة الثانية: عدم المتابعة. تمد الكوموند لشركة التوصيل وتدعي ربي توصل. لازم متابعة يومية معاهم باش تعرف وين راهي السلعة وتتجنب المشاكل.
الغلطة الثالثة: تتجاهل الزبون بعد التأكيد. رسالة بسيطة ""طلبك في الطريق"" تقدر تبني ثقة وتخلي الزبون يستنى طلبيتو بفارغ الصبر.
الحل؟ نظام متكامل يدير هاد الخطوات بطريقة احترافية. يفلتر الزبائن، يتابع مع شركات التوصيل، ويبني علاقة مع الزبون.","هل أنت مذنب بارتكاب هذه الأخطاء الثلاثة؟

إذا كانت نسبة المرتجعات عندك عالية، فالسبب غالباً ما يكون واحد من هذه الأخطاء القاتلة. في هذا الفيديو، نكشف لك الأسباب الحقيقية اللي تخلي الزبون يرفض استلام طلبيته، وكيفاش تقدر تتجنبها بسهولة.

شاهد الفيديو واكتشف إذا كنت تطيح في هذه الأفخاخ.

تجنب الخسارة اليوم. تواصل معنا لنظام يضمنلك النجاح. الرابط في البايو.

#نصائح_تجارة_الكترونية #مشاكل_التوصيل #زيادة_المبيعات #dz_business #algerian_entrepreneurs #wayso","فيديو بوجه إعلامي (Host). يتكلم مباشرة مع الكاميرا. خلفية مكتبية نظيفة أو استوديو بسيط. 
عند ذكر كل خطأ، يظهر على الشاشة نص كبير وواضح يلخص الخطأ (مثال: ""1. التأكيد السطحي""). يمكن استخدام لقطات B-roll بسيطة لتوضيح كل نقطة (مثال: لقطة لهاتف يرن بسرعة ويُغلق). في جزء 'الحل'، نبرة الصوت تصبح أكثر إيجابية وثقة.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C06-WA","[C06-WA] Carousel - كنت تظن أن مكالمة ""آلو، عندك كوموند"" كافية؟ هادي ه","Carousel","كنت تظن أن مكالمة ""آلو، عندك كوموند"" كافية؟ هادي هي الكارثة الصامتة لي ترجعلك نصف سلعتك!","Slide 1: وهم الأمان: علاش 'التأكيد السريع' هو أكبر فخ يطيحو فيه صحاب المتاجر!
Slide 2: المشكل: التأكيد السريع (أقل من 30 ثانية) ما يعطيكش أي معلومة على جدية الزبون. هو مجرد تضييع وقت لأن الزبون يقدر يبدل رأيو بسهولة بعد 5 دقائق.
Slide 3: الحل: التأكيد العميق. حنا نطرحو أسئلة ذكية تكشف نية العميل، مثل: ""وقتاش الوقت لي يساعدك للاستلام؟"" أو ""هل كاين أي تفاصيل نمدوها لليفرور باش يوصلك بسهولة؟"".
Slide 4: مثال عملي: مكالماتنا تتجاوز الدقيقة. نتأكدو من العنوان بدقة، نتفاهمو على وقت التسليم، ونبنيو علاقة صغيرة مع الزبون. هكذا، نسبة التزامه بالاستلام ترتفع بـ 70%.","التفاصيل الصغيرة هي التي تصنع الأرباح الكبيرة.

الكثير من أصحاب المتاجر يعتقدون أن تأكيد الطلب هو مجرد إجراء روتيني. لكن في الحقيقة، هو أهم خطوة لحماية أرباحك. مكالمة تأكيد فاشلة تعني مباشرة خسارة مالية.

في هذا الكاروسال، نحلل لك بالتفصيل خطأ 'التأكيد السريع' ونوريلك كيفاش التقنيات الاحترافية تقدر تحول طلبية شبه ضائعة إلى تسليم ناجح.

تعلم كيفاش تتجنب المرتجعات بتأكيد احترافي. اقرا المزيد واحفظ المنشور لتعود إليه.

#تحليل_بيانات #تقنيات_البيع #call_center_algeria #خدمة_العملاء #ecommerce_tips #الجزائر","تصميم تحليلي وجاد. خلفيات داكنة مع نصوص بيضاء أو صفراء لإعطاء طابع الخبرة. 
Slide 1: صورة علامة استفهام كبيرة أو قناع. 
Slide 2: رسم بياني يوضح نسبة المرتجعات العالية مع التأكيد السريع. 
Slide 3: أيقونات لأسئلة ذكية أو دماغ يفكر. 
Slide 4: محاكاة لمحادثة هاتفية (نصية) تظهر الفرق بين التأكيد السيء والجيد.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P07-WA","[P07-WA] Image - كلمة وحدة تبدل بيها طريقة تعامل شركة التوصيل معاك ","Image","كلمة وحدة تبدل بيها طريقة تعامل شركة التوصيل معاك من مجرد زبون إلى شريك مهم.","نصيحة ذهبية:
قبل: ""عندي 10 كوموندات، وقتاش تديهم؟""
بعد: ""عندي 10 كوموندات مؤكدة 100% وجاهزة، حبيت ننسق معاكم باش نسهل عليكم التسليم.""
الجسر: أنت ماشي مجرد زبون، أنت شريك تسهل عليهم خدمتهم. هكذا، أولويتك تزيد.","نصيحة صغيرة، تأثير كبير على نسبة التسليم تاعك!

الطريقة اللي تتواصل بيها مع شركة التوصيل تقدر تبدل كلش. هوما يتعاملو مع مئات الزبائن، لكن يمدو الأولوية للشريك اللي يسهل عليهم خدمتهم.

جرب هذه النصيحة البسيطة وشوف الفرق في سرعة وفعالية توصيل طلباتك.

هذه النصيحة وحدها تقدر تبدلك كلش. اضغط 'حفظ' باش متنسهاش وشاركها مع أي صديق عندو متجر إلكتروني.

#نصيحة_اليوم #اسرار_البزنس #شركات_التوصيل_في_الجزائر #dzair_shop #ecommerce_dz #wayso_tips","تصميم يعتمد على النص بشكل كبير (Typography). قسم الشاشة إلى قسمين. قسم 'قبل' بأيقونة حمراء (X) وقسم 'بعد' بأيقونة خضراء (✓). استخدام خطوط مختلفة للتفريق بين الحالتين. التصميم بسيط ومركّز على الرسالة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V08-WA","[V08-WA] Video - في آخر لحظة، الزبون قال ""خلاص ما نحتاجهاش""... شوفو","Video","في آخر لحظة، الزبون قال ""خلاص ما نحتاجهاش""... شوفو كيفاش مكالمة وحدة قلبت كلش.","(صوت عميل Wayso يتكلم)
""كانت عندي كوموند مهمة، الزبون أكدها، ومبعد كي لحق الليفرور، قالو خلاص ما نستحقهاش.
اتصلت بيهم في Wayso، قلتلهم الحكاية.
واحد من الفريق تاعهم عاود اتصل بالزبون... ماعلاباليش واش قالو بالضبط... بصح بعد 10 دقايق، عيطلي الليفرور قالي 'خلاص، استلمها الزبون ودفع'.
أنقذولي كوموند كانت بالنسبة ليا خسارة محققة. هادي هي الخدمة لي نحوس عليها.""","من 'مرتجع مؤكد' إلى 'تسليم ناجح' في 10 دقائق فقط!  реальная история.

أحياناً، الفرق بين الخسارة والربح هو مجرد مكالمة هاتفية واحدة، لكن لازم تعرف واش تقول فيها.

هذه قصة حقيقية لأحد عملائنا، توضح قوة الخبرة في التواصل مع الزبائن وإدارة المواقف الصعبة. في Wayso، كل طلبية عندها قصة، ومهمتنا هي ضمان نهاية سعيدة لكل قصة.

قصص نجاح أكثر تنتظرك. خليك جزء من الحكاية. تواصل الآن عبر الرابط في البايو.

#قصص_نجاح #شهادة_عميل #خدمة_العملاء #dz_commerce #wayso_algeria #حلول_ذكية","فيديو Motion Graphics. تظهر أيقونات ورسوم متحركة تروي القصة. نبدأ برسم لسلعة تخرج من المستودع، ثم هاتف يرن وتظهر علامة X (رفض). بعدها، يظهر شعار Wayso، وتنتقل أيقونة اتصال من الشعار إلى الزبون. في الأخير، تظهر أيقونة اليد التي تستلم المنتج وعلامة الدولار. يمكن استخدام صوت مسجل لشهادة عميل حقيقي أو تعليق صوتي محترف يحكي القصة بنبرة واقعية.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C09-WA","[C09-WA] Carousel - الزبون قال ""مانيش حاب""! كيفاش فريقنا خلاه يقول ""او","Carousel","الزبون قال ""مانيش حاب""! كيفاش فريقنا خلاه يقول ""اوكي، نجيبها"" في أقل من دقيقة؟","Slide 1: الزبون على وشك إلغاء الطلب؟ استخدم هذه الـ 3 جمل السحرية لإنقاذ الموقف!
Slide 2: الجملة 1: ""فهمتك خويا/ختي، معليش نسقسيك برك واش هو السبب لي خلاك تبدل رأيك؟ بالاك نقدر نعاونك"". (هنا تفتح باب الحوار وتفهم المشكل الحقيقي).
Slide 3: الجملة 2: ""إذا استلمت المنتج وماعجبكش، عندك كل الحق ترجعو. المهم تشوفو بعينيك وتحكم"". (هنا تكسر حاجز الخوف من الندم وتقلل من المخاطرة عند الزبون).
Slide 4: الجملة 3: ""حنا نضمنولك جودة المنتج، وبما أنك زبون جديد حبينا نمدولك هذه الميزة..."" (هنا تقدم قيمة إضافية صغيرة تخليه يعيد التفكير في قراره).","فن الإقناع عبر الهاتف: أسرار لا يريد المنافسون أن تعرفها!

مكالمة التأكيد ليست مجرد إعلام، بل هي عملية بيع مصغرة. والتعامل مع زبون متردد هو اختبار حقيقي لخبرة فريقك.

في هذا الكاروسال، نشارك معك 3 جمل قوية يستخدمها خبراؤنا في Wayso لتغيير رأي الزبون في آخر لحظة وتحويل الرفض إلى قبول. اسحب لليسار وتعلم هذه التقنيات.

تعلم أسرار الإقناع. اقرا الصفحات القادمة واحفظها لوقت الحاجة.

#فن_الاقناع #تقنيات_البيع #callcenter_dz #زيادة_المبيعات #ecommerce_algeria #اسرار_التسويق","تصميم جذاب يستخدم أيقونات الكلام (Speech bubbles). 
Slide 1: عنوان قوي مع صورة شخص متردد. 
Slides 2-4: كل سلايد يركز على جملة واحدة. الجملة مكتوبة بخط كبير وواضح داخل فقاعة كلام. تحتها، شرح بسيط لـ 'لماذا هذه الجملة فعالة' بخط أصغر. استخدام الألوان لتمييز كل جملة عن الأخرى.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P10-WA","[P10-WA] Image - هل تعلم أن كل كوموند ترجعلك، راك تخلص عليها ضعف سع","Image","هل تعلم أن كل كوموند ترجعلك، راك تخلص عليها ضعف سعر الإعلان اللي جابها؟","لا تدع أرباحك تتبخر!
تكلفة الطلب المرتجع = 
ثمن الإعلان + تكلفة التوصيل الأول + تكلفة الإرجاع.
معادلة الخسارة واضحة.","إحصائية صادمة لازم كل صاحب متجر يعرفها!

لما ترجعلك كوموند، أنت لا تخسر فقط ثمن المنتج. أنت تخسر ميزانية التسويق اللي صرفتها باش تجيب هذاك الزبون، وتدفع تكاليف توصيل مزدوجة.

هذه الخسارة الصامتة هي أكبر سبب لفشل الكثير من المتاجر الإلكترونية. حماية أرباحك تبدأ من تقليل نسبة المرتجعات إلى الحد الأدنى.

احمي أرباحك من الضياع. اضغط على الرابط في البايو واكتشف كيف يمكن لنظام Wayso أن يغير هذه المعادلة لصالحك.

#احصائيات #خسارة_مالية #ارباح #تجارة_الكترونية_الجزائر #تسويق_رقمي #dzpower","تصميم بياني (Infographic) بسيط ومباشر. في الأعلى، عنوان بارز: ""معادلة الخسارة الخفية"". في المنتصف، معادلة رياضية بسيطة توضح التكاليف. استخدام أيقونات بجانب كل عنصر (أيقونة فيسبوك للإعلان، شاحنة للتوصيل، سهم معاكس للإرجاع). الأرقام والأيقونات باللون الأحمر للتأكيد على الخسارة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
