Project Name,Opportunity ID,Opportunity Name,Creative Format,Hooks,scripts,Ad Copy,Technical Directions,Opportunity Owner,Pipeline,Contact Id
"Wayso Project","V01-WA","[V01-WA] Video - -","Video","-","تحليل السوق، بناء الاستراتيجية، وهندسة رحلة العميل.","-","-","Abdellah Chaaban","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V02-WA","[V02-WA] Video - سطيف... الحس... الكلاكسون... راسك قريب يطرطق! وين ","Video","سطيف... الحس... الكلاكسون... راسك قريب يطرطق! وين تلقى روحك؟","سطيف... مدينة حية، بصح des fois... تزيد عليها.
الحس... الزحمة... والضغط تاع كل يوم.
تحس روحك غارق في الضوضاء... والتركيز كلمة ماعندهاش معنى.
تحتاج بلاصة... وين ترجع تتنفس.
(صمت قصير)
هذي البلاصة موجودة.
مرحبا بك في ""مشاعر"".
هنا، ماشي غير قهوة تشربها... هنا الكالم اللي كنت تحوس عليه.
كل زاوية مخدومة باش تريحلك عينك و ترجعلك الإلهام.
قهوتنا؟ مخدومة بحب و إتقان... باش كل جغمة تمدلك طاقة صافية.
سواء كنت تخدم... تقرا... ولا juste تحوس على لحظة مع روحك.
""مشاعر"" هو الملاذ ديالك.
هذا هو التحول اللي تستاهلو... من ضغط المدينة... لهدوء يرجعلك روحك.
مشاعر: قهوتك المليحة، في الكالم اللي تستاهلو.","😫 الضوضاء تاع سطيف عياتك؟ لقينالك الحل!

بين الخدمة، القراية، والزحمة تاع كل يوم، ساهل بزاف باش الواحد يفقد روحو والكالم تاعو.

بصح كاين ملاذ في قلب سطيف، مخدوم خصيصاً ليك باش ترجع تتنفس وتلقى راحتك. ""مشاعر"" ماشي مجرد قهوة، هو تجربة تاع هدوء، بنّة، وإلهام.

مشاعر: قهوتك المليحة، في الكالم اللي تستاهلو.

📍 زورنا اليوم واكتشف ملاذك الجديد في سطيف!

#مشاعر #سطيف #كالم #قهوة #راحة_نفسية #الجزائر #Setif #Algeria #CoffeeShop","[المشهد الافتتاحي - Problem/Before]: لقطات سريعة ومتقطعة (fast cuts) لمدينة سطيف في ساعة الذروة. أصوات كلاكسونات، ضجيج الشارع، حركة سريعة. الكاميرا مهتزة قليلاً لتعكس التوتر. زووم سريع على وجه شخص يبدو عليه الإرهاق والتوتر في سيارته أو في الشارع.
[الانتقال - Agitate]: شاشة سوداء لمدة ثانية مع صوت نبض قلب متسارع ثم صمت مفاجئ.
[المشهد الثاني - Solve/After]: انتقال بطيء وناعم (slow fade-in) إلى داخل مقهى ""مشاعر"". لقطات واسعة وهادئة (slow-motion) للديكور الأنيق. الإضاءة دافئة وطبيعية. موسيقى خلفية هادئة (lo-fi or soft jazz).
[بناء السلطة - Building Authority]: لقطات مقربة (close-up) على يد الباريستا وهو يحضر القهوة باحترافية. لقطات جمالية (cinematic shots) للبخار المتصاعد من الكوب، تفاصيل الحلويات.
[الدليل الاجتماعي - Social Proof]: لقطات لأشخاص مختلفين في المقهى يبدون سعداء ومرتاحين. طالب يركز على حاسوبه، صديقتان تضحكان، شخص يقرأ كتاب بسلام.
[الخاتمة - CTA]: لقطة أخيرة للشعار مع ظهور العنوان. نبرة الصوت في التعليق الصوتي يجب أن تكون دافئة، مطمئنة، وواثقة.","Islem Ben","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C03-WA","[C03-WA] Carousel - وين تهرب من حس سطيف؟ الجواب راه في قلبها.","Carousel","وين تهرب من حس سطيف؟ الجواب راه في قلبها.","Slide 1: مشاعر: ملاذ الروح في قلب سطيف.
Slide 2: سطيف، الزحمة، الضوضاء... روحك تحتاج تهدأ. وين المهرب؟
Slide 3: هنا وين تلقى روحك. في ""مشاعر""، كل زاوية تحكي قصة هدوء.
Slide 4: كالم يخليك تركز، تخدم، و تبدع. مساحتك الخاصة للإنتاجية.
Slide 5: ديكور يريح العين و يزينلك صورك. هنا، كل لحظة تستاهل تتصور.
Slide 6: زورنا اليوم و عيش تجربة ""مشاعر"" الفريدة. راحة بالك تستناك!","🌿 الهدوء اللي تستاهلو، راه يستنى فيك!

مرات، كل واش نحتاجو هو بلاصة هادئة و فنجان قهوة بنين باش نرجعو نرتبو أفكارنا.

في ""مشاعر""، صممنا كل ركن باش يكون الملاذ تاعك الخاص بعيداً عن ضوضاء المدينة. اسحب لليسار واكتشف علاش ""مشاعر"" هو وجهتك المثالية للهدوء والتركيز.

واش من سلايد عجبك الأكثر؟ خلينا نعرفو في التعليقات! 👇

#مشاعر #ملاذ_الروح #هدوء #سطيف #قهوة_مختصة #تصميم_داخلي #الجزائر #Setif","Slide 1: صورة غلاف أنيقة جداً لشعار ""مشاعر"" على خلفية هادئة من داخل المقهى. الخط عصري وواضح.
Slide 2: صورة بالأبيض والأسود لشارع مزدحم في سطيف، مع فلتر يوحي بالضجيج والتوتر. النص يكون بلون بارز.
Slide 3: صورة ملونة ومشرقة لزاوية هادئة جداً في المقهى، ربما مقعد مريح قرب نافذة.
Slide 4: صورة لشخص يعمل على حاسوبه المحمول مع كوب قهوة بجانبه، يبدو عليه التركيز الشديد.
Slide 5: صورة لشخص يلتقط صورة سيلفي أو صورة للمكان، مع إبراز جمال الديكور.
Slide 6: صورة بانورامية للمقهى مع دعوة واضحة للفعل. استخدام ألوان البراند.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P04-WA","[P04-WA] Image - أفضل استثمار في روحك، يبدا بلحظة كالم.","Image","أفضل استثمار في روحك، يبدا بلحظة كالم.","راحة البال... ماشي رفاهية، هي ضرورة.","🧘‍♂️ استثمر في راحة بالك.

في سباق الحياة اليومي، أفضل هدية تقدر تمدها لنفسك هي لحظات من الهدوء الصافي. في ""مشاعر""، هذي هي القيمة الأساسية اللي نقدّموها مع كل فنجان قهوة.

مشاعر: قهوتك المليحة، في الكالم اللي تستاهلو.

زورنا وعيش لحظة تاع كالم حقيقية.

#راحة_البال #مشاعر #كالم #قهوة #سطيف #استرخاء #لحظة_هدوء #Setif","صورة فنية عالية الجودة (High-key photography) لكوب قهوة أنيق على طاولة خشبية، بجانبه كتاب مفتوح ونبتة صغيرة. الإضاءة طبيعية وناعمة، والتركيز على الكوب. النص مكتوب بخط يدوي أنيق (script font) في زاوية من الصورة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V05-WA","[V05-WA] Video - الكونيكسيون تقيلة، خاوتك دايرين الحس، والتركيز 0%.","Video","الكونيكسيون تقيلة، خاوتك دايرين الحس، والتركيز 0%... هكا راك تخدم؟","راك طالب ولا تخدم من الدار؟
علابالنا بلي التركيز في الدار مرات يكون مهمة مستحيلة.
بين اللي يعيط، واللي يدخل ويخرج... الإنتاجية تاعك تروح فالهوا.
بصح تخيل معايا... بلاصة مصممة خصيصاً ليك.
كالم... واي فاي سريع... وقهوة تخلي المخ يخدم على 220.
هذي البلاصة هي ""مشاعر"". مكتبك الثالث اللي يرجعلك تركيزك.
هنا، كل واحد راه مركز في خدمتو، والأجواء تشجعك باش تنجز أكثر.
ماتزيدش تضيّع وقتك في محاربة المشتتات.","👨‍💻 مكتبك في الدار ما راهش يعاونك؟ لقينالك الحل!

العمل أو الدراسة من المنزل تحدي كبير... خاصة كي يتعلق الأمر بالتركيز! 🤯

إذا كنت طالب، فريلانسر، أو موظف عن بعد، ""مشاعر"" هو مساحتك الإنتاجية الجديدة في سطيف. واي فاي سريع، هدوء تام، وأجواء ملهمة تزيد من إنتاجيتك.

بدّل مكان العمل تاعك ليوم واحد وشوف الفرق بنفسك!

احجز طاولتك أو زورنا مباشرةً لتكتشف مكتبك الثالث!

#مكتب #عمل_عن_بعد #دراسة #تركيز #انتاجية #سطيف #مشاعر #ThirdSpace #Setif","نمط التصوير UGC (User-Generated Content). اللقطات تبدو عفوية وكأنها مصورة بالهاتف. 
[المشهد 1 - Problem]: لقطة من منظور الشخص الأول (POV) لشخص يحاول العمل على لابتوب في المنزل. نسمع صوت تلفاز، أطفال يلعبون، شخص يتحدث في الهاتف بصوت عالٍ. الشخص يتنهد بضيق.
[المشهد 2 - Agitate]: لقطة سريعة لصفحة تحميل بطيئة (buffering)، ثم قطع (cut) لوجهه المتوتر.
[المشهد 3 - Solution/Educate]: انتقال سلس لمشاهد مختلفة داخل ""مشاعر"". شباب وبنات يعملون بتركيز على حواسبيهم. لقطات تظهر prise كهرباء قريبة، سرعة الواي فاي (يمكن إضافة graphic بسيط يوضح ذلك).
[المشهد 4 - Stimulate]: لقطات لأشخاص يبتسمون بارتياح بعد إنجاز عملهم، يتناولون قهوتهم كمكافأة. الأجواء تبدو منتجة ومحفزة.
[الخاتمة - Transition]: النص يظهر على الشاشة. نبرة الصوت ودودة ومحفزة.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C06-WA","[C06-WA] Carousel - التركيز تاعك هرب؟ أرواح لركن الإنتاجية في سطيف.","Carousel","التركيز تاعك هرب؟ أرواح لركن الإنتاجية في سطيف.","Slide 1: مشاعر: مكتبك الهادئ... في قلب سطيف.
Slide 2: مليت من صوت الدار والتركيز ولا عملة نادرة؟ الإنتاجية تاعك تستاهل أحسن.
Slide 3: بيئة عمل مثالية تستناك. هنا، التركيز هو القاعدة، ماشي الاستثناء.
Slide 4: واي فاي صاروخ 🚀 وقهوة تخلي عقلك يصحصح. كلش واجد باش تبدع.
Slide 5: الأجواء هنا ملهمة. كي تشوف الناس كامل تخدم، تتحفز تخدم معاهم.
Slide 6: زورنا واكتشف الفرق بنفسك. الإنتاجية تاعك راح تشكرك!","🚀 طلع الإنتاجية تاعك مع قهوة عليها الكلام!

إذا كنت تبحث عن مكان مثالي للعمل أو الدراسة في سطيف، فتوقف عن البحث!

في ""مشاعر""، نقدم لك كل ما تحتاجه للتركيز والإنجاز: هدوء، واي فاي سريع، وأجواء محفزة.

اسحب لليسار لترى كيف يمكن لـ ""مشاعر"" أن يصبح مكتبك المفضل الجديد.

منشن صديقك الفريلانسر أو الطالب اللي يحتاج هذي البلاصة! 👇

#انتاجية #فريلانس_الجزائر #سطيف #مقهى_للدراسة #عمل_حر #مشاعر #واي_فاي #Setif","Slide 1: صورة غلاف احترافية تُظهر شخصًا يعمل بأناقة على حاسوبه في زاوية جميلة من المقهى. العنوان بخط عريض وواضح.
Slide 2: صورة لشخص يمسك رأسه بتعب أمام شاشة حاسوب في بيئة منزلية فوضوية.
Slide 3: صورة واسعة لزاوية مخصصة للعمل في المقهى، تُظهر طاولات مريحة وإضاءة مناسبة.
Slide 4: صورة مقربة (flat lay) لطاولة عمل: لابتوب، دفتر ملاحظات، وقلم بجانب كوب قهوة ""مشاعر"".
Slide 5: صورة تُظهر عدة أشخاص يعملون بهدوء في نفس المساحة، مما يعطي إحساسًا بالطاقة الإنتاجية الجماعية.
Slide 6: صورة بابتسامة لشخص يغلق حاسوبه بعد يوم عمل ناجح، مع دعوة واضحة للفعل.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P07-WA","[P07-WA] Image - وين تروح كي تحتاج تركز صح؟","Image","وين تروح كي تحتاج تركز صح؟","الإنتاجية تحتاج بيئة مناسبة. بيئتك الجديدة راهي هنا.","💡 مساحتك الجديدة للإبداع والتركيز.

أحيانًا، تغيير بسيط في البيئة يمكن أن يحدث فرقًا كبيرًا في إنتاجيتك.

في ""مشاعر""، كل شيء مصمم لمساعدتك على التركيز وإطلاق العنان لأفكارك.

مشاعر: مساحة عملك الجديدة.

زورنا اليوم وابدأ في إنجاز مهامك في جو مثالي.

#مساحة_عمل #تركيز #إبداع #سطيف #مشاعر #قهوة_وعمل #الجزائر #Setif","صورة عالية الجودة من زاوية علوية (top-down shot) لطاولة عمل منظمة بشكل أنيق في مقهى ""مشاعر"". يظهر فيها لابتوب مفتوح، كوب قهوة، وسماعات رأس. الإضاءة ممتازة وتبرز التفاصيل. النص مكتوب بأسلوب بسيط ونظيف.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V08-WA","[V08-WA] Video - سطورياتك ولاو يبانو كيف كيف؟ حاب تطلع النيڤو بصح و","Video","سطورياتك ولاو يبانو كيف كيف؟ حاب تطلع النيڤو بصح وين؟","(بصوت عصري وحماسي)
حاب سطورياتك وصورك يولّو حديث الناس؟
مليت من نفس الخلفيات اللي ما فيها حتى جديد؟
(صوت انتقال سحري)
أرواح لعالم ""مشاعر""!
كل زاوية عندنا... هي ديكور تصوير جديد.
كل تفصيلة صغيرة... مدروسة باش تزيد لجمالية صورك.
الإضاءة هنا مثالية... تخلي صورك تخرج طبيعية وتهبل.
سواء كنت صانع محتوى، ولا juste تحب تصور لحظاتك الزينة...
""مشاعر"" هو الستوديو تاعك الجديد.
أرواح، اختار زاويتك المفضلة، وصوّر أحلى ذكرى.","📸 طلع النيڤو تاع سطورياتك في بلاصة TOP!

إذا كنت تحوس على المكان المثالي باش تصور محتوى جديد وإنستغرامي في سطيف، ""مشاعر"" هو وجهتك!

ديكور عصري، إضاءة طبيعية، وزوايا فوتوجينيك في كل مكان. كل زيارة هي فرصة لخلق صور وذكريات جديدة ورائعة.

خلي بروفايلك يلمع بصور من عندنا!

أرواح وصوّر أحلى اللحظات! وماتنساش تـtagـينا @machaeir.dz باش نشاركو سطورياتك!

#انستغرامي #تصوير #صناعة_محتوى #سطيف #ديكور #مشاعر #فوتوجينيك #Setif #Instagrammable","[الثواني الأولى - Attention]: رسوم متحركة (Motion Graphics) سريعة وممتعة. تظهر واجهة انستغرام بـ 3 ستوريات متشابهة ومملة، ثم علامة X كبيرة عليها.
[الانتقال - Interest]: انتقال بـ 'swoosh' sound effect إلى لقطات فيديو حقيقية سريعة ومونتاج ديناميكي لزوايا المقهى الأكثر جمالاً. إظهار تفاصيل الديكور (النباتات، الإضاءة، الكراسي الأنيقة).
[المشهد الثالث - Desire]: مشاهد سريعة لأشخاص مختلفين (شباب وبنات) يلتقطون صورًا ومقاطع فيديو بهواتفهم. لقطات POV لشخص يصور كوب القهوة بطريقة فنية. لقطات سيلفي لأشخاص سعداء بخلفية الديكور.
[الخاتمة - Action]: لقطة أخيرة تجمع أجمل الصور التي تم التقاطها في فيديو واحد سريع، مع ظهور دعوة للفعل على الشاشة. الموسيقى تكون عصرية وإيقاعية (upbeat).","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C09-WA","[C09-WA] Carousel - كل زاوية في ""مشاعر""... قصة تستاهل تتصور!","Carousel","كل زاوية في ""مشاعر""... قصة تستاهل تتصور!","Slide 1: مشاعر: كل زاوية، قصة جديدة تتصور.
Slide 2: مليت من نفس الخلفيات في صورك؟ بروفايلك يستاهل تحديث!
Slide 3: اكتشف الديكور العصري والفوتوجينيك تاعنا. كل ركن هو فرصة لصورة رائعة.
Slide 4: هنا، أنت الموديل والبيئة هي الستوديو. المكان المثالي لتصوير محتواك.
Slide 5: حتى القهوة تاعنا فوتوجينيك! كل تفصيلة هنا تزيد لجمالية صورتك.
Slide 6: أرواح لـ ""مشاعر"" وخلّي صورك تحكي وحدها. لا تنسى تشاركنا إبداعاتك!","🤳 بروفايلك يستاهل مكان كيما ""مشاعر""!

كل زاوية في ""مشاعر"" مصممة باش تكون خلفية مثالية لصورك وسطورياتك القادمة.

من الإضاءة للديكور، كلشي مدروس باش يخليك تبدع. اسحب لليسار وشوف بعض الزوايا اللي تستناك!

منشن صاحبك/صاحبتك اللي ديما يحوس على بلايص شابين للتصوار!

#ديكور_عصري #تصوير_فوتوغرافي #سطيف #مشاعر #صناع_المحتوى #الجزائر #Setif","Slide 1: صورة غلاف مجمعة (collage) لأربع صور رائعة من زوايا مختلفة في المقهى. العنوان جذاب.
Slide 2: صورة 'Before' لشخص يحاول التقاط صورة في مكان عادي وغير ملهم.
Slide 3: صورة 'After' لنفس الشخص في زاوية أنيقة جدًا في ""مشاعر""، يبدو سعيدًا بالنتيجة.
Slide 4: لقطة تركز على التفاصيل الدقيقة للديكور: إضاءة فريدة، نباتات، لوحات فنية.
Slide 5: صورة مقربة ومصورة باحترافية (food photography) لأحد مشروبات أو حلويات المقهى المميزة.
Slide 6: دعوة للمشاركة. يمكن وضع إطار يشبه واجهة انستغرام مع عبارة ""Tag us @machaeir.dz"".","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P10-WA","[P10-WA] Image - المكان اللي يحلي صورك ويزين سطورياتك!","Image","المكان اللي يحلي صورك ويزين سطورياتك!","خلفيتك المثالية القادمة... راهي تستنى فيك.","✨ الجمال في كل تفصيلة.

في ""مشاعر""، نؤمن أن البيئة الجميلة تلهم لحظات جميلة.

لهذا السبب، اهتمينا بكل تفصيلة باش تكون تجربتك معانا ممتعة للعين والروح.

أهلاً بك في مكانك الفوتوجينيك الجديد في سطيف.

اكتشف جمال ""مشاعر"" بعين الكاميرا. زورنا اليوم!

#فوتوجينيك #جمال #ديكور #سطيف #مشاعر #تصويري #Setif","صورة فنية تُظهر زاوية من المقهى معروفة بجمالها (e.g., a neon sign, a unique piece of furniture, a wall with nice art). الصورة ملتقطة بطريقة احترافية مع التركيز على اللعب بالضوء والظل. النص يكون مدمجًا بأناقة في التصميم.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
