Project Name,Opportunity ID,Opportunity Name,Creative Format,Hooks,scripts,Ad Copy,Technical Directions,Opportunity Owner,Pipeline,Contact Id
"Wayso Project","V01-WA","[V01-WA] Video - -","Video","-","تحليل السوق، بناء الاستراتيجية، وهندسة رحلة العميل.","-","-","Abdellah Chaaban","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V02-WA","[V02-WA] Video - حسيتي روحك برّانية في حياتك؟ كاينة حاجة لداخل تكسر","Video","حسيتي روحك برّانية في حياتك؟ كاينة حاجة لداخل تكسرت و ماعرفتيش وشنو هي؟","(صوت الدكتورة فريال جمعي، بنبرة هادئة ومتعاطفة)\nتحسي روحك ضايعة، كأنك تمشي في طريق ماشي تاعك.\nنفس المشاكل تتعاود في علاقاتك، نفس الإحساس بالقلق و عدم الرضا يرجع كل مرة.\nتحسي بفراغ كبير، و كأنك نسيتي شكون نتي الصح.\nهذا الإحساس بالغربة على ذاتك... عندو سبب عميق.\n(تتغير النبرة لتصبح أكثر ثقة وعلمية)\nأنا الدكتورة فريال جمعي، باحثة متخصصة في الذات والهوية.\nلسنوات، درست علاه المرأة الجزائرية اليوم تعاني من هذا الضياع الداخلي.\nو اكتشفت أن الحل ماشي في حلول سطحية، الحل هو في الرجوع للأصل... الرجوع لفطرتك الأنثوية الأصيلة.\nعلى هذا الأساس بنيت \""منهاج العودة إلى الفطرة الأنثوية\"".\nهو ماشي مجرد دورة، هو رحلة شفاء علمية، روحية وعاطفية، مصممة خصيصا ليك.\nرحلة ترجّعي فيها بوصلتك الداخلية، تتصالحي مع جروح الماضي، وتبني ثقة حقيقية في نفسك.\n(تتغير النبرة لتصبح ملهمة ومحفزة)\nتخيلي روحك تعيشي بسكينة، تعرفي قيمتك، و تبني علاقات صحية مبنية على الحب و الاحترام.\nتخيلي روحك قوية بأنوثتك الحقيقية، ماشي بالصورة اللي المجتمع فرضها عليك.\nهذه ماشي مجرد أمنية، هذا هو الواقع اللي يستناك.\nفطرتك هي قوتك، والطريق يبدا من هنا.","ضعتي في متاهات الحياة؟ طريق العودة لقلبك يبدأ من هنا. \n\n إذا كنتي تحسي روحك ضايعة، تعاودي نفس الأخطاء، و فاقدة الثقة في نفسك... هذا الفيديو ليك.\n\nالدكتورة فريال جمعي، باحثة في الذات والهوية، تشرحلك السبب الحقيقي وراء هذا الشعور و كيفاش تقدري ترجعي لسكينتك الداخلية من خلال \""منهاج العودة إلى الفطرة الأنثوية\""، وهو برنامج علاجي متكامل مصمم خصيصًا للمرأة الجزائرية.\n\nشاهدي الفيديو واكتشفي الخطوة الأولى نحو الشفاء. \n\n الطريق لقلبك و سكينة روحك يبدا من هنا. تواصلي معنا لتبداي رحلة الشفاء. \n\n #العودة_للفطرة #الشفاء_النفسي #المرأة_الجزائرية #تطوير_الذات #فريال_جمعي #الجزائر #dzpower #femmealgerienne","[المشهد الإفتتاحي - قبل]: لقطات سينمائية لامرأة (لا يظهر وجهها بوضوح) تبدو شاردة الذهن. مرة تنظر من نافذة عليها قطرات المطر، مرة تتصفح هاتفها بقلق، مرة في وسط زحمة ناس لكنها تبدو وحيدة. إضاءة خافتة وألوان باردة لتعكس الشعور بالضياع.\n[مشهد الدكتورة - الجسر]: انتقال ناعم إلى الدكتورة فريال جمعي في مكتبة أو مكتب أنيق. إضاءة دافئة وناعمة. تتحدث مباشرة إلى الكاميرا بثقة وهدوء. لقطات مقربة على يديها وهي تشرح، وعلى كتب ومراجع علمية لتعزيز المصداقية.\n[مشهد الحل - المنهاج]: ظهور غرافيكس أنيقة وبسيطة لكلمة \""منهاج العودة إلى الفطرة الأنثوية\"" مع أيقونات تمثل (الشفاء، الثقة، السكينة). لقطات B-roll لنساء يبتسمن بثقة، يمارسن التأمل، أو يتواصلن بشكل إيجابي مع من حولهن.\n[المشهد الختامي - بعد]: لقطات سينمائية لنفس المرأة من المشهد الأول، لكنها الآن تبدو مرتاحة ومبتسمة. تمشي في حديقة، تستمتع بشروق الشمس. الألوان دافئة ومشرقة. صوت الدكتورة يكون Voiceover. النبرة ملهمة جداً.","Islem Ben","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C03-WA","[C03-WA] Carousel - المشكل اللي يتعاود في حياتك ماشي صدفة. هادي علامة ","Carousel","المشكل اللي يتعاود في حياتك ماشي صدفة. هادي علامة باللي فطرتك راهي تنادي.","Slide 1: أعراض الانفصال عن فطرتك الأنثوية: هل تعانين منها؟\nSlide 2: 1. تكرار الأنماط السلبية في العلاقات: تختاري دايماً نفس النوع من الأشخاص المؤذيين و تحسي روحك تدوري في حلقة مفرغة.\nSlide 3: 2. القلق المستمر وتدني تقدير الذات: صوت داخلك يقولك دايماً \""ماشي كافية\"" و تعيشي في خوف دائم من حكم الناس عليك.\nSlide 4: 3. الشعور بالغربة عن نفسك: كي تشوفي روحك في المراية، تحسي كأنك تشوفي في انسانة غريبة. هويتك ولّات مستوردة و بعيدة على حقيقتك.\nSlide 5: إذا حسيتي روحك في هذه العلامات، أعرفي أنها ماشي نهايتك... بل هي بداية نداء روحك ليك باش ترجعي لأصلك.","3 علامات خطيرة تدل على أنك منفصلة عن فطرتك الأنثوية! \n\n هل تشعرين بأنك تدورين في حلقة مفرغة؟ نفس المشاكل ونفس الألم يتكرر؟\n\nقد تكون هذه علامات يرسلها لكِ عقلك الباطن ليخبرك بأنك ابتعدتِ عن فطرتك وأصلك.\n\nاسحبي الشاشة لتعرفي هذه الأعراض، وشاركينا في التعليقات أي واحدة منها تلامسك أكثر. \n\n اقراي و شاركينا في التعليقات: واش هي أكبر 'علامة' حسيتي بيها؟ \n\n #الأنوثة_الحقيقية #صحة_نفسية #علامات_تحذيرية #الجزائرية #تنمية_بشرية #وعي_ذاتي #dz","تصميم هادئ وأنيق. خلفية بألوان ترابية أو باستيل ناعمة. استخدام خط عصري وسهل القراءة. في كل سلايد، يمكن وضع أيقونة بسيطة ترمز للمشكلة المذكورة (قلب مكسور، قناع، علامة استفهام). السلايد الأخير يكون فيه تدرج لوني يوحي بالأمل.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P04-WA","[P04-WA] Image - الأنوثة اللي تسحري بيها الناس ماشي في المظهر... را","Image","الأنوثة اللي تسحري بيها الناس ماشي في المظهر... راهي في سر واحد برك.","الأنوثة الحقيقية هي انسجامك مع روحك... هي السكينة اللي تبان في عينيك ماشي الماكياج اللي على وجهك. - د. فريال جمعي","ما هو سر الأنوثة الحقيقية؟ \n\n في عالم يركز على المظاهر، ننسى أحياناً أن الجاذبية الأقوى تنبع من الداخل.\n\nالسكينة، الثقة، والتصالح مع الذات... هي مفاتيح الأنوثة التي لا تقاوم.\n\nما رأيك في هذه الحكمة؟ شاركينا وجهة نظرك في التعليقات. \n\n إكتشفي حكمتي في التعليقات حول معنى الأنوثة الأصيلة. \n\n #حكمة_اليوم #الأنوثة #الجمال_الداخلي #تقدير_الذات #فريال_جمعي #جزائرية_وافتخر #algerienne","صورة عالية الجودة للدكتورة فريال، تنظر للكاميرا بابتسامة خفيفة وحكيمة. الإضاءة طبيعية وناعمة. النص مكتوب بخط أنيق يشبه خط اليد (Script font) في زاوية من الصورة. التركيز على عينيها في الصورة ليتناسب مع النص.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V05-WA","[V05-WA] Video - علاه دايماً نطيحو في نفس الغلطة في علاقاتنا؟ الجوا","Video","علاه دايماً نطيحو في نفس الغلطة في علاقاتنا؟ الجواب راح يصدمك.","(صوت Voiceover احترافي، بنبرة واضحة ومفسرة)\nعلاه دايماً تجذبي نفس النوع تاع الرجال؟\nعلاه دايماً تمدي الثقة للناس الغالطة؟\nعلاه تحسي روحك تكرري في نفس سيناريو الفشل في كل علاقة؟\nالجواب ماشي لأنك \""ما عندكش الزهر\"".\nالجواب أعمق بكثير...\nالسبب هو \""الجروح العاطفية غير المعالجة\"" تاع طفولتك.\nكل جرح، كل صدمة، كل إحساس بالنقص عشتيه بكري... راهو يسير في قراراتك اليوم بدون وعي منك.\nهو اللي يخليك تختاري شخص يعاود يفتحلك نفس الجرح، على أمل أنك تصلحيه هذه المرة.\nلكن الشفاء مايجيش من برا، الشفاء يبدا من الداخل.\nكي تفهمي مصدر جروحك، و تتعلمي كيفاش تعالجيها... وقتها فقط راح تكسري هذه الحلقة المفرغة.\nوقتها فقط راح تقدري تبني علاقات صحية و متوازنة.","السر وراء تكرار نفس الأخطاء في علاقاتك! \n\n هل سألتِ نفسك يوماً لماذا تقعين دائماً في نفس المشاكل العاطفية؟ الأمر ليس صدفة أو سوء حظ.\n\nفي هذا الفيديو، نكشف لك عن السبب النفسي العميق الذي يجعلك تكررين نفس الأنماط السلبية، وكيف أن فهم هذا السبب هو الخطوة الأولى نحو الشفاء الحقيقي وبناء علاقات صحية.\n\nاكتشفي جذر المشكلة الآن! \n\n فهم الأسباب هو الخطوة الأولى للشفاء. احجزي استشارة مجانية مع خبيرتنا لفهم حالتك أكثر. \n\n #علاقات_عاطفية #صدمات_الطفولة #الشفاء_العاطفي #علم_النفس #تطوير_الذات #الجزائر #dz","فيديو Motion Graphics بالكامل. تبدأ الشاشة بسؤال كبير ومثير للفضول. استخدام رسومات بسيطة ورمزية: شخصية كرتونية تمشي في حلقة مفرغة، قلب عليه ضمادات، طفلة صغيرة حزينة تظهر كظل للمرأة البالغة. الانتقالات تكون سلسة. الألوان تبدأ داكنة ثم تصبح أفتح وأكثر إشراقًا في النهاية لتمثل الفهم والشفاء. النص يظهر على الشاشة متزامناً مع الـ Voiceover.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C06-WA","[C06-WA] Carousel - كل وحدة فينا عندها قصة... وقصتك تستاهل نهاية سعيدة","Carousel","كل وحدة فينا عندها قصة... وقصتك تستاهل نهاية سعيدة.","Slide 1: قصة وفاء: من الضياع إلى السكينة.\nSlide 2: [قبل] وفاء كانت تعيش في قلق دائم. علاقاتها فاشلة، ثقتها في نفسها معدومة، و تحس روحها ضايعة في حياتها. كانت تظن أن هذا هو مصيرها.\nSlide 3: [الجسر] قررت وفاء أن تستثمر في نفسها و انضمت لـ \""منهاج العودة إلى الفطرة الأنثوية\"". خطوة بخطوة، بدأت تفهم جروحها، تتصالح مع ماضيها، وتكتشف قوتها الداخلية الحقيقية.\nSlide 4: [بعد] اليوم، وفاء إنسانة مختلفة. لقات سكينتها الداخلية، بنت ثقتها في نفسها، و لأول مرة في حياتها، دخلت في علاقة صحية ومتوازنة. قصتها هي الدليل أن التغيير ممكن.","كانت تظن أن حياتها انتهت... حتى اكتشفت هذا السر. \n\n قصة وفاء تشبه قصة الكثيرات. قصة عن الألم، الضياع، وتكرار الأخطاء.\n\nلكنها أيضاً قصة عن الأمل، الشجاعة، والقدرة على تغيير الواقع.\n\nاسحبي الشاشة واقرئي كيف تحولت حياة وفاء 180 درجة، واكتشفي كيف يمكن لقصتك أنتِ أيضاً أن تكون لها نهاية سعيدة. \n\n اقراي قصة وفاء، و شوفي كيفاش تقدري تغيري حياتك نتي تانيك. \n\n #قصص_نجاح #تغيير_الحياة #الأمل #قبل_وبعد #منهاج_الفطرة #إلهام #algeria #femmedz","تصميم قصصي وعاطفي. استخدام صور رمزية (ليست حقيقية) تمثل كل مرحلة. السلايد 2 (قبل) بخلفية رمادية أو مع فلتر باهت. السلايد 3 (الجسر) بصورة تظهر فيها بذرة تنبت أو طريق يتضح. السلايد 4 (بعد) بصورة مشرقة لامرأة تضحك بثقة. الخط يكون أنيق وسردي.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P07-WA","[P07-WA] Image - منهاجنا ماشي مجرد كلام... راهو مبني على سنوات من ا","Image","منهاجنا ماشي مجرد كلام... راهو مبني على سنوات من البحث العلمي.","كل خطوة في \""منهاج العودة إلى الفطرة الأنثوية\"" مبنية على أسس علمية من علم النفس، علم الاجتماع، والدراسات الإنسانية. الشفاء ليس صدفة، بل هو علم ومنهج.","وراء كل نصيحة... علم وبحث دقيق. \n\n نحن لا نقدم حلولاً سحرية أو نصائح عابرة. \""منهاج العودة إلى الفطرة الأنثوية\"" هو ثمرة سنوات من البحث الأكاديمي للدكتورة فريال جمعي.\n\nنؤمن بأن الشفاء الحقيقي يتطلب منهجاً علمياً يجمع بين فهم النفس البشرية واحترام خصوصيتنا الثقافية كجزائريات.\n\nالثقة تبنى على المصداقية. \n\n عرفي أكثر على أساسنا العلمي، زوري موقعنا (الرابط في البايو). \n\n #مصداقية #علم_النفس #بحث_علمي #منهجية #تطوير_الذات #الجزائر #dz","صورة ذات طابع أكاديمي. يمكن أن تكون صورة مكدس من الكتب والمراجع العلمية بشكل فني، أو صورة رمزية للدماغ البشري مع أيقونات علمية. شعار \""منهاج العودة إلى الفطرة الأنثوية\"" يكون واضحاً. النص يكون مكتوباً بخط رسمي وواضح (Serif font).","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V08-WA","[V08-WA] Video - يقولولك لازم تكوني قوية... بصح واحد ما قالك 'كيفاش","Video","يقولولك لازم تكوني قوية... بصح واحد ما قالك 'كيفاش'؟","(تتحدث شابة بأسلوب UGC، كأنها في ستوري، مباشرة وبصدق)\nشحال من مرة سمعتي \""كوني قوية\""؟ بصح حتى واحد ما فهمك كيفاش؟\nالقوة ماشي أنك تخبي ضعفك و دموعك.\nالقوة هي أنك تواجهي هذاك الضعف.\nالقوة تبدا كي تعترفي بأنك تعبانة... بأنك محتاجة مساعدة.\nتبدا كي تقرري أنك تستاهلي ما خير.\nأنا كنت كيما نتي، نظن أن القوة هي التحمل و السكات.\nحتى تعلمت في منهاج الفطرة أن القوة الحقيقية هي أنك تحبي روحك، تسامحي روحك، و تبني قيمتك من الداخل ماشي من كلام الناس.\nبناء تقدير الذات ماشي سحر، هي خطوات تتعلميها و تطبقيها.\nو أول خطوة هي قرارك.","كيف تبنين تقديرك لذاتك من الصفر؟ \n\n نسمع كثيراً عن أهمية الثقة بالنفس، لكن القليل من يتحدث عن الخطوات العملية لبنائها، خاصة بعد المرور بتجارب صعبة.\n\nفي هذا الفيديو، مشاركة سابقة في \""منهاج العودة إلى الفطرة الأنثوية\"" تحكي لنا عن مفهومها الجديد للقوة وكيف استطاعت بناء تقديرها لذاتها خطوة بخطوة.\n\nحان وقتك لتبني نفسك من جديد. \n\n وقت التغيير حان! انضمي لمنهاج العودة إلى الفطرة الأنثوية و ابداي رحلتك اليوم. الرابط في البايو. \n\n #تقدير_الذات #الثقة_بالنفس #القوة_الداخلية #كوني_قوية #جزائرية #تطوير_الذات #dzpower","فيديو مصور بأسلوب UGC (User-Generated Content). تتحدث شابة جزائرية من مكان مريح (غرفتها، مقهى هادئ). التصوير يكون عمودي (Reels/Shorts). تتحدث بصدق وعفوية، كأنها تحكي لصديقتها. يمكن إضافة نصوص بسيطة تظهر على الشاشة لتلخيص النقاط الرئيسية. الموسيقى الخلفية تكون هادئة وملهمة.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C09-WA","[C09-WA] Carousel - 3 خطوات بسيطة تقدري تبداي بيهم اليوم باش تزيدي ثقت","Carousel","3 خطوات بسيطة تقدري تبداي بيهم اليوم باش تزيدي ثقتك في روحك.","Slide 1: 3 خطوات عملية لتعزيز ثقتك بنفسك... ابتداءً من اليوم!\nSlide 2: الخطوة 1: تقبلي ذاتك كما هي. اكتبي 3 حاجات تحبيها في شكلك و 3 حاجات تحبيها في شخصيتك. ركزي على الإيجابيات بدل التركيز على العيوب.\nSlide 3: الخطوة 2: اكتشفي مصادر قوتك. تذكري 3 مواقف صعبة قدرتي تتجاوزيها في حياتك. أنت أقوى مما تظنين، و هذه المواقف هي دليلك.\nSlide 4: الخطوة 3: نظّفي محيطك. ابعدي على أي شخص أو حساب في السوشل ميديا يحسسك بالنقص. أحيطي نفسك بالإيجابية و الدعم الحقيقي.\nSlide 5: هذه الخطوات هي بداية ممتازة. \""منهاج العودة إلى الفطرة الأنثوية\"" يكمل هذه الرحلة بمنهجية أعمق تعالج جذور انعدام الثقة لنتائج تدوم.\nSlide 6: ابداي التغيير من الآن! طبقي هذه الخطوات و انضمي إلينا لرحلة تحول شاملة.","هل تريدين تعزيز ثقتك بنفسك؟ ابدئي بهذه الخطوات الثلاث! \n\n الثقة بالنفس ليست شيئاً نولد به، بل هي مهارة نكتسبها ونبنيها يوماً بعد يوم.\n\nفي هذا الكاروسال، نقدم لك 3 خطوات عملية وبسيطة يمكنك تطبيقها فوراً لتشعري بتحسن فوري في نظرتك لنفسك.\n\nاسحبي الشاشة، طبقي النصائح، واحفظي المنشور لترجعي إليه لاحقاً! \n\n احفظي الكاروسال و طبقي الخطوات. و لنتيجة مضمونة، تواصلي معنا! \n\n #الثقة_بالنفس #خطوات_عملية #تطوير_الذات #ايجابية #صحة_نفسية #الجزائر #dzfemme","تصميم مشرق ومحفز. استخدام ألوان زاهية (أصفر، برتقالي) وأيقونات واضحة لكل خطوة (قلب، عضلة، شخصيات مبتسمة). الخط يكون كبيراً وواضحاً. كل سلايد يركز على خطوة واحدة لجعل المحتوى سهل الهضم.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P10-WA","[P10-WA] Image - تستاهلي تعيشي مرتاحة البال. ما تخليش القلق يسرقلك ","Image","تستاهلي تعيشي مرتاحة البال. ما تخليش القلق يسرقلك أحلى أيامك.","حياتك أثمن من أن تعيشيها في قلق وخوف. أنتِ تستحقين السكينة.","رسالة إلى قلبك المتعب... \n\n رسالة لكل امرأة تشعر بأن القلق والخوف يسيطران على حياتها: أنتِ تستحقين أفضل من ذلك. تستحقين أن تعيشي بسلام داخلي وسكينة.\n\nالخطوة الأولى هي أن تؤمني بأن هذا ممكن، وأنكِ قادرة على التغيير.\n\nنحن هنا لنساعدك في هذه الرحلة. \n\n قولي 'نعم' لحياة أفضل! تواصلي معنا. \n\n #السكينة #السلام_الداخلي #راحة_البال #لا_للقلق #رسالة_لك #الجزائرية #algerianwomen","صورة جميلة و هادئة لامرأة (لا يظهر وجهها) تجلس في مكان طبيعي (أمام بحر، في حديقة) تبدو مرتاحة وهادئة. ألوان الصورة تكون ناعمة ومريحة للعين. النص مكتوب بخط أنيق وواضح.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
