Project Name,Opportunity ID,Opportunity Name,Creative Format,Hooks,scripts,Ad Copy,Technical Directions,Opportunity Owner,Pipeline,Contact Id
"Wayso Project","V01-WA","[V01-WA] Video - -","Video","-","تحليل السوق، بناء الاستراتيجية، وهندسة رحلة العميل","-","-","Abdellah Chaaban","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V02-WA","[V02-WA] Video - اللحظة لي يذوقو فيها ضيافك القاطو تاعك... يا إما ت","Video","اللحظة لي يذوقو فيها ضيافك القاطو تاعك... يا إما ترفعك للسما، يا إما...","شفتي هذيك النظرة في عينين ضيافك؟... نظرة تاع واحد ذاق حاجة ما تتنساش.
هذا هو النجاح. هذي هي الفخامة.
بصح قبل ما نوصلو لهنا... كانت كاينة رحلة.
رحلة تاع القلق... ستراس... والتخمام.
وين نلقى المالح لي يحمر الوجه؟ وشكون يخدملي كيكة كيما لي في بالي؟
كي تكون سمعتك ومناسبتك على المحك، الغلطة ممنوعة.
وهنا تبدا حكايتنا. Maison Sucre d'Orge.
حنا ماشي مجرد محل قاطو. حنا هما الحل لراحة بالك.
من أفخم أنواع المالح لي يبهرو ضيافك... حتى للكيك ديزاين لي هو قطعة فنية بحد ذاتها.
كل تفصيل مدروس. كل ذوق محسوب.
باش في الأخير... ترتاحي وتستمتعي بمناسبتك.
وتخلي خدمتنا هي لي تحكي عليك.
Maison Sucre d'Orge: ماشي قاطو، فن يفرحلك ضيافك.","مناسبتك الكبيرة قربت، والقلق بدا يزيد؟ 🤔 

 كل سيدة تحلم بلحظة مثالية، لحظة كل الضيوف يشكرو فيها ذوقها الرفيع. بصح الطريق لهذيك اللحظة معمر بالتعب والستراس: التنسيق بين الحلو والمالح، والخوف من النتيجة النهائية لي ممكن ماتكونش في المستوى.

في Maison Sucre d'Orge، نفهمو هذا القلق وحولناه لشغفنا. نقدم لك حل متكامل يجمع بين فن الكيك ديزاين العالمي، وأفخم أنواع المملحات، في مكان واحد يضمنلك الجودة، الرقي، وراحة البال.

خلينا نحولو قلقك إلى ثقة، ومناسبتك إلى حديث الناس. 

 اكتشفي عالم Maison Sucre d'Orge الفاخر. زوري محلنا اليوم أو تواصلي معانا باش نخططو لحدثك الأسطوري! 

 #MaisonSucreDOrge #كيك_ديزاين_الجزائر #مناسبات_راقية #حلويات_جزائرية #فن_الضيافة #الجزائر","يبدأ الفيديو بمشاهد سينمائية بطيئة (Slow-motion) لضيوف في مناسبة راقية، يظهر على وجوههم الإعجاب الشديد وهم يتذوقون الحلويات. الكاميرا تركز على تعابير الدهشة والرضا. موسيقى كلاسيكية هادئة في الخلفية.
[Transition: Flashback] يتغير المشهد فجأة. موسيقى متوترة وسريعة. نرى بطلة القصة (العميلة) في منزلها، تبدو قلقة ومشتتة، محاطة بأوراق وقوائم، تتصفح هاتفها بقلق. لقطات سريعة لصور كيكات رديئة ومنسقين مختلفين.
[Transition: The Solution] تهدأ الموسيقى وتصبح دافئة ومطمئنة. تظهر لقطة خارجية أنيقة لواجهة المحل 'Maison Sucre d'Orge'. ثم لقطات داخلية لديكور المحل الفاخر، وابتسامة الوجه الإعلامي أو صاحب المحل وهو يستقبل العميلة.
لقطات مقربة (Close-up) على أيدي الخبازين وهم يزينون كيكة فنية بدقة، ثم لقطات واسعة تعرض تنوع المنتجات (الحلو والمالح) بشكل فني.
يعود المشهد الأخير للعميلة وهي في مناسبتها، لكن هذه المرة هي مرتاحة، تضحك وتستقبل ضيوفها بثقة. الكاميرا تركز على الكيكة الفخمة في منتصف الطاولة كنقطة محورية. ينتهي الفيديو بشعار الماركة.","Islem Ben","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C03-WA","[C03-WA] Carousel - القاطو العادي يموت في نهارو، بصح الفن يبقى في الذا","Carousel","القاطو العادي يموت في نهارو، بصح الفن يبقى في الذاكرة. مستعدة؟","Slide 1: Maison Sucre d'Orge: ماشي مجرد باتيسري، وجهة فنية متكاملة لمناسباتك.
Slide 2: فن الكيك ديزاين: كل كيكة عندنا هي حكاية. نصمموها على حساب ذوقك وشخصيتك باش تكون قطعة فريدة من نوعها.
Slide 3: تجربة ضيافة راقية: من لحظة دخولك للمحل، تحسي بالفرق. ديكور فخم، استقبال دافئ، وخدمة تخليك تحسي بالتميز.
Slide 4: حل متكامل لراحة بالك: علاش تتعبي وتدوري؟ عندنا تلقاي كلش: من الكيك الفني للمملحات العصرية والتقليدية لي تحمر الوجه.
Slide 5: معرض إبداعاتنا: شوفي بعينيك جزء من الفن لي نقدموه. كل صورة تحكي على ثقة زبونة فينا.
Slide 6: مناسبتك الجاية تستاهل الأفضل. تستاهل لمسة فنية من Maison Sucre d'Orge.","علاش تختاري Maison Sucre d'Orge لمناسبتك الجاية؟ ✨ 

 لأننا نؤمن أن مناسباتك ماشي مجرد حفلة، هي ذكرى خالدة. ولكل ذكرى عظيمة لازم قطعة فنية تليق بها.

في هذا الكاروسال، راح تكتشفي الأسباب لي تخلينا الاختيار الأول للسيدات لي يقدّروا الفن والذوق الرفيع. من التصاميم لي تحبس الأنفاس إلى الحل المتكامل لي يريحك من التعب. 

 مرري الشاشة واكتشفي علاش Maison Sucre d'Orge هي اختيارك الوحيد! 

 #فن_الكيك #باتيسري_فاخرة #الجزائر_العاصمة #مناسباتكم #ضيافة_جزائرية #SucreDOrgeDZ","Slide 1: صورة بانورامية لواجهة المحل أو لقطة واسعة من الداخل تظهر الديكور الفاخر. الخطوط عريضة وأنيقة.
Slide 2: صورة مقربة جداً لتفاصيل دقيقة على كيكة فنية. التركيز على الحرفية. استخدام خط يدوي (script font) لكلمة 'حكاية'.
Slide 3: صورة لسيدة (مودل) داخل المحل تبتسم وهي تتحدث مع موظف استقبال أنيق. الإضاءة دافئة.
Slide 4: تصميم مقسوم لنصفين: النصف العلوي صورة لكيكة مذهلة، والنصف السفلي صورة لتشكيلة مملحات راقية.
Slide 5: تصميم كولاج (Collage) أنيق لأربع صور من أفضل أعمال الكيك ديزاين للمحل.
Slide 6: صورة أخيرة بخلفية راقية تحمل الشعار ومعلومات الاتصال. يجب أن يكون التصميم العام متناسقاً باستخدام ألوان الماركة (ذهبي، أبيض، أو ألوان باستيل راقية).","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P04-WA","[P04-WA] Image - هذا ماشي مجرد كيك. هذا هو حديث المدينة بعد مناسبتك","Image","هذا ماشي مجرد كيك. هذا هو حديث المدينة بعد مناسبتك.","الفن الذي يؤكل.","بعض الكيكات تُؤكل... وبعضها الآخر يُخلّد في الذاكرة. 🎂 

 في Maison Sucre d'Orge، حرفتنا هي تحويل أحلامك إلى حقيقة ملموسة... ولذيذة. كل قطعة نصنعوها هي وعد بالتميز، الجودة، وبصمة فنية تخلي ضيوفك يتكلمو عليها لأشهر.

لأن التفاصيل هي لي تصنع الفرق. 

 زوري Maison Sucre d'Orge واكتشفي كيف نحولو أحلامك لواقع فني. 

 #تحفة_فنية #كيك_الاحلام #فخامة #جودة_عالية #صنع_بحب #الجزائر","صورة واحدة عالية الجودة، سينمائية، لكيكة زفاف أو مناسبة كبيرة تكون هي العمل الفني الأبرز للمحل. الإضاءة يجب أن تكون درامية، تسلط الضوء على تفاصيل الكيكة وتجعلها تبدو كتحفة في متحف. الخلفية بسيطة وداكنة قليلاً لإبراز الكيكة. يمكن وضع لمسة خفيفة من الدخان أو البخار لإضافة جو من الغموض والفخامة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V05-WA","[V05-WA] Video - شفتي البنة لي تخليك تقولي 'واو'؟ أرواحي نوريلك وين","Video","شفتي البنة لي تخليك تقولي 'واو'؟ أرواحي نوريلك وين تبدا الحكاية.","كل قطعة فنية تشوفوها واجدة... موراها كاين حكاية.
حكاية تاع يدين فنانة تخدم بحب وشغف.
حكاية تاع صبر... ودقة في كل تفصيل صغير.
من اختيار المكونات... للعجين... حتى للّمسة الأخيرة.
هذا هو سرّنا: ماشي خدمة، هذا عشق.
كل كيكة نخدموها، نعتبروها قطعة منا.
وهذا هو الفرق لي راح تذوقيه.","سرّ البنة لي ما تتنساش!🤫 

 وراء كل قطعة فنية تسحر العين وتفرح القلب، كاين رحلة طويلة من الشغف، الدقة، والحب. حبينا نشاركوكم لمحات من عالمنا خلف الكواليس، وين كل تفصيل صغير عندو أهمية كبيرة.

لأننا نؤمن أن الإتقان هو أساس كل إبداع. 

 شوفي كيفاش نصنعو السعادة في كل قطعة. باش تذوقي بنفسك، زورينا في محلنا! 

 #خلف_الكواليس #صنع_بحب #حرفية #اتقان #شغف #باتيسري_الجزائر","فيديو بنمط UGC (User-Generated Content) أو خلف الكواليس. تصوير حميمي وقريب. الكاميرا تهتز قليلاً لتعطي إحساساً بالواقعية. لقطات مقربة (Extreme close-up) على أيدي الشيف وهي تضيف لمسات دقيقة، تزين وردة من السكر، أو تكتب بالكريمة. إضاءة طبيعية ودافئة قادمة من نافذة المطبخ. موسيقى هادئة وملهمة. لا يوجد وجه إعلامي يتكلم مباشرة، فقط صوت تعليق (Voice-over) دافئ وحميمي.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C06-WA","[C06-WA] Carousel - ماشي مجرد وصفة، هذي رحلة فنية في 4 خطوات.","Carousel","ماشي مجرد وصفة، هذي رحلة فنية في 4 خطوات.","Slide 1: رحلة إبداعاتنا تبدأ هنا. من فكرة في بالك... إلى تحفة فنية على طاولتك.
Slide 2: الخطوة 1: الإلهام والرسم. كل شيء يبدأ بفهم حلمك، ثم نرسمه على الورق بدقة متناهية.
Slide 3: الخطوة 2: الخبز بحب. نستخدم أجود المكونات باش نضمنو بنة تليق بالمظهر.
Slide 4: الخطوة 3: فن التزيين. هنا وين السحر يبدا. صبر، دقة، وشغف لخلق كل تفصيل.
Slide 5: الخطوة 4: النتيجة النهائية. قطعة فنية جاهزة باش تكون نجمة مناسبتك.","فضولية تعرفي واش مخبي ورا البنة الهايلة؟ 🧐 

 كل قطعة من Maison Sucre d'Orge هي نتيجة رحلة مدروسة بعناية، من مجرد فكرة إلى حقيقة تفوق الخيال. في هذا الكاروسال، نفتح لكم أبواب مطبخنا لنشارككم جزءاً من هذا السحر.

الإتقان في كل خطوة. 

 مرري باش تشوفي جزء من سحر خدمتنا. 

 #عملية_الانتاج #فن_صناعة_الحلويات #جودة_عالية #خطوة_بخطوة #حرفيين_الجزائر","Slide 1: صورة لدفتر رسم أنيق عليه رسم تخطيطي لكيكة بجانبه حبة فاكهة أو زهرة للإلهام. العنوان بخط أنيق.
Slide 2: صورة مقربة ليد فنان يرسم تصميم كيكة على ورقة خاصة.
Slide 3: صورة دافئة لخباز وهو يخرج كيكة من الفرن، مع التركيز على البخار المتصاعد.
Slide 4: مونتاج من صورتين: يد تزين تفاصيل دقيقة، ويد أخرى ترش لمسة أخيرة (بودرة ذهبية مثلاً).
Slide 5: صورة احترافية للكيكة النهائية التي تم عرض مراحل صنعها. يجب أن تكون مذهلة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P07-WA","[P07-WA] Image - هنا.. الفن ماشي غير بالمظهر، الفن بلمسة اليد.","Image","هنا.. الفن ماشي غير بالمظهر، الفن بلمسة اليد.","الشغف يصنع الفرق.","الفرق بين الجيد... والاستثنائي. ✨ 

 في عالم الإنتاج الضخم، نختار طريق الحرفية والشغف. كل قطعة تحمل لمسة إنسانية، قصة من الإتقان، وروح فنان كرس وقته ليصنع لك شيئاً فريداً. هذه هي فلسفتنا.

هذه هي Maison Sucre d'Orge. 

 ثقي في أيادينا لي تصنعلك أحلى الذكريات. 

 #صناعة_يدوية #شغف #لمسة_فنية #حرفية_عالية #تفاصيل_صغيرة #الجزائر","صورة مقربة جداً (Macro shot) ليدين أنيقتين (بقفازات عمل نظيفة) وهي تضع لمسة أخيرة وحاسمة على كيكة، مثل وضع زهرة سكرية رقيقة أو لؤلؤة صالحة للأكل. التركيز (Focus) يجب أن يكون على نقطة التلامس بين اليد والكيكة. الإضاءة ناعمة وموجهة لإبراز دقة الحركة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","V08-WA","[V08-WA] Video - واش الفرق بين كيكة 'بنينة' وكيكة 'ما تتنساش'؟ الجو","Video","واش الفرق بين كيكة 'بنينة' وكيكة 'ما تتنساش'؟ الجواب هنا.","يقولو العين تاكل قبل الفم... بصح حنا نقولو البنة هي الأساس.
وعلى جال هذا، ما نتساهلوش في المكونات.
شوكولا بلجيكية حقيقية... ماشي بديل.
زبدة حيوانية صافية... ماشي مارغرين.
فواكه طازجة تاع الموسم... ماشي معلبة.
لأننا نؤمن أن الجودة الاستثنائية... تبدا من مكونات استثنائية.","سرّ البنة الخارقة للعادة... مكشوف! 🤫 

 تساءلتي يوماً لماذا حلوياتنا لها طعم فريد لا يُقاوم؟ السر ليس في الوصفات فقط، بل في التزامنا الصارم بأجود المكونات وأفخرها عالمياً.

في Maison Sucre d'Orge، لا نستخدم 'البدائل'. نستخدم الأصل. لأن ذوقك الرفيع يستحق الأفضل دائماً. 

 الجودة تبدأ من المكونات. اكتشفي الفارق بنفسك! زورينا لتذوقي الفرق. 

 #جودة_المكونات #شوكولا_بلجيكية #فانيلا_طبيعية #بدون_تنازلات #المذاق_الأصيل #الجزائر","فيديو سريع وجذاب يعتمد على Motion Graphics. تبدأ كل لقطة بظهور اسم المكون مكتوباً بخط أنيق (مثال: 'Chocolat Belge Valrhona'). ثم تظهر لقطات سينمائية للمكون نفسه بجودة عالية: قطع شوكولا داكنة تتكسر ببطء، قطرة من العسل الذهبي تسقط، حبات فانيلا حقيقية. النص يظهر على الشاشة متزامناً مع التعليق الصوتي. الموسيقى راقية وإيقاعية.","Ahmed Benkali","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","C09-WA","[C09-WA] Carousel - ماشي كامل الشوكولا كيف كيف. أرواحي تعرفي علاش.","Carousel","ماشي كامل الشوكولا كيف كيف. أرواحي تعرفي علاش.","Slide 1: المكونات هي روح إبداعاتنا. جولة سريعة في عالم الجودة.
Slide 2: الشوكولا: نستخدم فقط الشوكولا البلجيكية والفرنسية الفاخرة. علاش؟ لأنها تذوب في الفم وتعطي مذاق غني وعميق، ماشي مجرد حلاوة.
Slide 3: الزبدة: السر في الطراوة! نعتمد على الزبدة الحيوانية النقية 100% لي تمد قوام كريمي وبنة أصيلة، عكس المارغرين الصناعية.
Slide 4: الفواكه: نختارها باليد! فقط الفواكه الطازجة والموسمية تدخل مطابخنا. باش نضمنولك انفجار تاع نكهات طبيعية في كل قضمة.
Slide 5: الجودة ماشي اختيار، هي التزامنا تجاهك.","مهتمة تعرفي سرّ البنة الخارقة؟ 🧐 

 الجودة تبدأ من المصدر. في Maison Sucre d'Orge، كل مكون نختاره عنده قصة وهدف: إعطاؤك تجربة مذاق لا تُنسى. من الشوكولا الفاخرة إلى الزبدة النقية، لا نقبل إلا بالأفضل.

لأن التفاصيل هي كل شيء. 

 مرري باش تعرفي واش نستعملو. 

 #مكونات_عالية_الجودة #السر_في_الجودة #اختياراتنا #باتيسري_الجزائر #ذوق_رفيع","تصميم إنفوجرافيك أنيق. كل سلايد يركز على مكون واحد.
Slide 1: خلفية راقية مع العنوان الرئيسي.
Slide 2: صورة مقربة لقوالب شوكولا فاخرة. بجانبها نص قصير وواضح مع أيقونة صغيرة لخريطة بلجيكا/فرنسا.
Slide 3: صورة لقطعة زبدة ذهبية اللون بجانبها أيقونة بقرة بسيطة للدلالة على المصدر الحيواني.
Slide 4: صورة ملونة وجذابة لسلة فواكه طازجة ومتنوعة.
Slide 5: صورة تجمع المكونات الثلاثة مع شعار الماركة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
"Wayso Project","P10-WA","[P10-WA] Image - بنة لا تُنسى تبدأ هنا. من قلب الطبيعة إلى تحفتك ال","Image","بنة لا تُنسى تبدأ هنا. من قلب الطبيعة إلى تحفتك الفنية.","الأصل هو سر الأصالة.","الطبيعة في أبهى صورها. ✨ 

 قبل أن تتحول إلى قطعة فنية، كانت مجرد مكونات أصلية وعالية الجودة. نؤمن بأن احترام المنتَج يبدأ من احترام مصدره. هذا هو أساس كل إبداعاتنا.

نختار الأفضل، لنقدم لك الأفضل. 

 اكتشفي تشكيلتنا المصنوعة بأفخر المكونات. 

 #مكونات_طبيعية #جودة_أصلية #فخامة_البساطة #العودة_للاصل #حلويات_صحية #الجزائر","صورة بتصميم Flat Lay فني وأنيق. على خلفية من الرخام الأبيض، تتوزع بشكل متناسق المكونات الرئيسية: بضع حبات من الفراولة الطازجة، أعواد فانيلا حقيقية، قطع من الشوكولا الداكنة الفاخرة، وربما بعض المكسرات الكاملة. الإضاءة طبيعية ومشرقة. الصورة تعطي إحساساً بالنقاء والجودة.","Abderahmane Mohamed","Project Task Manager","QkU5OHqs50n5oCnAzV9d"
